"gene","p-adj-cluster 2-cluster 1","p-adj-cluster 3-cluster 1","p-adj-cluster 3-cluster 2","p-adj-cluster 4-cluster 1","p-adj-cluster 4-cluster 2","p-adj-cluster 4-cluster 3","mean-cluster 1","mean-cluster 2","mean-cluster 3","mean-cluster 4","SEM-cluster 1","SEM-cluster 2","SEM-cluster 3","SEM-cluster 4","Q1-cluster 1","Q1-cluster 2","Q1-cluster 3","Q1-cluster 4","Q3-cluster 1","Q3-cluster 2","Q3-cluster 3","Q3-cluster 4","count-cluster 1","count-cluster 2","count-cluster 3","count-cluster 4"
"ZNF195",0.72130035824514,0.000271483107111004,0.00388791544784439,0.117335903948142,0.541142092615117,0.201712850381259,275.637816666667,342.982120588235,539.446266666667,423.683496666667,23.1075564717621,28.6679684343568,53.860262647627,43.1995466956928,199.778725,211.849275,312.51425,256.349175,319.0356,408.11475,658.0299,514.1697,24,34,39,30
"ZNF263",0.612536429799477,0.675225697773296,0.998835705981666,0.914869417811918,0.187900018504794,0.218565233229664,631.0283,574.713438235294,580.708230769231,661.802593333333,25.5491440677109,25.5694801253352,27.9352803326995,40.2527435320722,555.698425,466.125475,471.2355,528.7751,698.5153,638.178925,718.90725,779.3781,24,34,39,30
"ZNF200",0.43858455394221,0.755911059785276,0.927257562966642,0.998502945072893,0.486906517600457,0.817803639272152,262.14755,228.133779411765,240.371397435897,258.402606666667,16.2676160071835,11.8014282419044,15.0126555533459,16.9314241756719,200.932425,186.919975,179.52175,206.8783,310.11885,250.2204,257.83805,311.453425,24,34,39,30
"ZNF582",0.749252866138941,0.304661767366984,0.0139547835381489,0.995381485007804,0.850731015563775,0.149184785808411,27.4199875,21.0111882352941,38.3003743589744,25.8709666666667,3.31894129011368,2.59942359735054,5.10251267663084,4.63955625682926,14.91785,8.869075,17.235,5.071575,42.1728,34.340275,52.57685,39.821975,24,34,39,30
"ZNF285",0.66066633949803,0.00541255068011648,0.0774618502036362,0.243184224823784,0.839809583126026,0.448207499324341,35.9648166666667,62.0829588235294,110.667348717949,79.84068,4.51212941334953,7.97642202509201,19.6845009430095,16.5752174218644,20.146325,21.7636,34.6314,23.068,47.501925,81.3123,146.27665,96.93225,24,34,39,30
"ZNF275",0.696470423075723,0.875703145447766,0.168910695439616,0.661184290004705,0.0797499892972702,0.961127858875289,476.582783333333,411.549847058824,520.247766666667,546.90029,43.3851108495675,29.3971846150068,37.8056733175207,48.3801252976373,352.921975,289.344225,386.87725,401.859825,524.8057,527.731325,667.3394,551.7823,24,34,39,30
"ZNF37A",0.29625434614311,0.139743269708671,0.980123606631142,0.0464507761792265,0.748073678039277,0.911906382613647,329.085133333333,411.451711764706,427.391935897436,455.4727,21.5174154914862,26.3486242184792,27.9433262967759,42.698767886028,269.3413,300.8776,306.26845,342.88125,397.45195,506.706825,511.8347,496.275225,24,34,39,30
"ZNF510",0.99024253690613,0.83875707819431,0.939102783736381,0.985336200072467,0.895075985889403,0.575266314404908,201.971541666667,194.782482352941,182.77781025641,210.462123333333,16.7532237351155,10.1908284241959,11.9617143272012,23.6618399918794,152.807175,160.566475,133.8312,130.332525,245.586225,226.250125,212.3805,248.436425,24,34,39,30
"ZNF506",0.538297952368947,0.0192155714736314,0.304650904759762,0.0329264829358317,0.385863186623444,0.999971769027367,284.239070833333,374.2949,477.425174358974,474.81098,29.5016487069892,43.7987224277322,45.365130006582,49.2819619620438,198.751625,285.187575,307.07745,284.17395,329.73175,450.41395,611.0762,606.102825,24,34,39,30
"ZNF324",0.996018986810525,0.945878841518513,0.984495569369963,0.0992919339274616,0.104323629574599,0.184272750926207,194.763525,202.768285294118,213.960243589744,279.909913333333,19.1432804338871,18.36165033471,14.6916062818241,38.8126138350573,146.00445,138.615375,157.38155,193.344425,219.756725,228.660975,259.8957,264.614325,24,34,39,30
