"gene","p-adj-Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","count-DiseaseFree","count-Recurred/Progressed"
"ZNF195",0.0283395547595092,481.594769680851,420.072362758621,19.923526879776,18.5597234845077,301.3374,264.6609,592.43645,515.0555,188,145
"ZNF263",0.606784471195574,622.873261702128,613.774373103448,11.8633925508859,12.9561246962694,499.8774,508.505,736.340725,708.5526,188,145
"ZNF200",0.471189290815138,235.931383510638,242.521184827586,6.40785120404613,6.25776067999766,181.3758,199.1935,279.119175,281.29,188,145
"ZNF582",0.0234297928158874,33.3562063829787,27.117255862069,1.83521053710679,2.01809321063123,14.7341,8.8372,48.931375,39.3406,188,145
"ZNF285",0.97181050150707,75.8578143617021,75.5823262068966,4.62307804037162,6.5394635106713,29.5558,32.1651,101.8347,90.0013,188,145
"ZNF275",0.370078559116747,469.254792021277,446.380376551724,18.4565219382664,16.4112222856192,298.434975,307.2816,551.7823,528.703,188,145
"ZNF37A",0.95764969731609,365.125334042553,364.090226206897,13.6423050587216,13.3777328380603,235.592175,245.2162,431.8905,442.227,188,145
"ZNF510",0.814216591570454,178.189045744681,180.464342758621,7.05928975784515,6.12888111166196,120.5589,132.646,208.2136,210.365,188,145
"ZNF506",0.0571983991683463,471.052544148936,417.946384137931,19.1819474056334,19.6303238721362,280.27165,238.0557,629.93885,541.4066,188,145
"ZNF324",0.581993094343958,209.894053191489,202.771426896552,10.1293822174152,6.63909511163657,143.361725,149.4975,233.93625,233.3333,188,145
"ZNF671",0.709893129352652,66.6341265957447,63.796644137931,5.263794283,5.35919623989904,19.030625,18.0574,86.1849,83.4159,188,145
"ZNF416",0.81121600810771,123.900525531915,125.439762758621,3.97620564611156,5.21388420095704,86.657675,87.3786,148.24845,145.1456,188,145
"ZNF586",0.0311801550604626,210.846381382979,189.535797931034,6.74700170816892,7.0146862228074,144.0834,134.7435,260.0035,230.7019,188,145
"ZNF446",0.000562041252268441,421.801142553191,331.45685862069,20.3879573324432,13.1586858832829,258.506425,223.9474,464.9186,405.6128,188,145
"ZNF8",0.209022914019772,111.830333510638,120.369426206897,3.50031647306748,6.25262084723692,75.815675,77.8386,138.121725,141.584,188,145
"ZNF264",0.760531730065992,680.536117553192,670.467383448276,22.6366647307953,23.477093480107,479.384325,467.0643,818.3198,809.8621,188,145
"ZNF213",0.831328016979531,529.18434787234,524.414122758621,15.1183208123338,16.2794338470996,381.32355,391.8802,628.189975,626.4326,188,145
"ZNF343",0.603376889564379,286.864793617021,292.621803448276,7.28592955191615,8.34578676487753,213.563225,226.07,339.99695,356.9682,188,145
"ZNF302",0.156324635225657,474.937653191489,418.121042068965,29.9455898466307,23.7791904896029,258.22655,260.4603,561.06785,451.648,188,145
"ZNF268",0.221712245231891,278.446912765957,298.933071034483,11.0201899894906,12.6045666570988,174.17745,190.7692,336.24835,381.8425,188,145
"ZNF184",0.0741905233534259,261.876148404255,230.340664137931,13.7759564428021,9.0971353134043,169.6271,157.8372,296.771775,282.1505,188,145
"ZNF500",0.948363548700673,204.664446276596,204.164244137931,5.19834078344307,5.63914728394377,153.403025,161.1842,245.611375,247.191,188,145
"ZNF419",0.0455518809684313,201.426844680851,180.970267586207,6.7502245548249,7.62142365497798,138.39885,119.1724,238.348075,212.7148,188,145
"ZNF175",0.182039132791576,231.445505319149,191.298902758621,22.4347668218267,17.9466975835623,83.214125,78.5039,232.208825,221.8061,188,145
"ZNF14",0.881536890877696,177.19362393617,178.64492137931,6.18304194148846,7.65009409845492,112.3053,110.4828,225.506,228.1509,188,145
"ZNF85",0.398862143859402,147.791129255319,138.182504137931,7.99895066911918,7.7568934201488,79.8328,73.2127,189.592625,182.5641,188,145
"ZKSCAN1",0.60437609371176,545.496764893617,565.075191724138,25.5993152540543,27.3144694976082,308.0817,335.4935,679.58715,704.0927,188,145
"ZNF862",0.100799975935659,476.954768617021,415.270688275862,26.3776984910324,25.5328561985674,250.196925,227.1293,601.67765,508.5982,188,145
"ZNF684",0.291393087815271,51.6791579787234,56.3228427586207,2.0442042891137,4.24530133549537,32.7839,30.9278,64.189975,61.3172,188,145
"ZNF430",0.625374898134412,116.041643617021,119.872480689655,5.08220600375463,6.02090611386169,63.8884,66.5446,159.277925,155.4444,188,145
"ZFP30",0.795456467505115,184.612441489362,188.060512413793,8.88871048985444,9.80776778784647,111.304875,111.1966,226.19735,223.1719,188,145
"ZNF549",0.149996254231893,170.549962765957,154.86462,7.06036523176729,8.33211620112493,109.640675,100.1595,205.549925,193.7939,188,145
"ZNF211",0.0555792486109237,439.407873404255,371.262436551724,26.562315439767,21.0935321767217,223.652825,193.0693,542.0533,483.0841,188,145
"ZNF205",0.0413849560372073,421.110528191489,371.264150344828,18.1834834173836,14.5714124810437,271.095125,253.1209,488.436975,423.4969,188,145
"ZNF45",0.360592673493736,239.579028723404,251.289800689655,7.49718265726318,10.8489742650097,159.3434,175.6955,297.135625,284.3762,188,145
"ZNF133",0.32331028346884,480.690398404255,455.493777241379,18.7465202022624,15.8219523894214,312.834425,322.0148,556.752275,547.4358,188,145
"ZNF436",0.50405290274047,1027.90698723404,1086.08129103448,52.2847017003719,72.2090992700361,516.391825,482.7914,1284.901825,1284.8106,188,145
"ZNF484",0.341784811049459,71.4367686170213,75.5203137931035,2.5356728731539,3.61256830387569,50.176525,53.1538,87.7424,86.5947,188,145
"ZNF780B",0.228676281769553,331.793118085106,276.89226,38.7302695618626,12.7929956618432,160.530425,174.689,352.614375,355.1402,188,145
"ZNF557",0.992467963982889,171.200219680851,171.280613793103,5.05262379224263,7.14085020866739,122.6794,113.2271,217.0726,204.0701,188,145
"ZNF337",0.0558663131674068,706.185110106383,616.128156551724,35.509918231243,27.1190475426888,415.562675,386.3851,823.824725,743.377,188,145
"ZNF317",0.604291447606952,728.81169893617,713.689855172414,16.798087957456,25.0538127168803,586.067425,546.6744,841.924125,838.1992,188,145
"ZNF426",0.58266871429189,83.4088319148936,86.7691468965517,4.05265567162787,4.55874197614434,48.2031,49.8282,103.769125,113.2566,188,145
"ZNF331",0.180393570881654,664.476589893617,561.88755862069,57.4418883828296,44.9867007006446,269.450175,238.3407,675.492575,662.8016,188,145
"ZNF227",0.25980921307685,268.826654787234,283.084111724138,7.55701092534627,10.5300531415564,202.86,191.9692,311.449775,323.3236,188,145
"ZNF141",0.269522798334354,77.7059329787234,71.3097531034483,4.19816239770709,3.70486360539385,42.328025,42.8987,93.935,85.5148,188,145
"ZNF304",0.770858488255053,266.343127659574,270.406506206897,9.56031135398742,9.91388042333679,183.5725,189.3076,318.9024,329.9735,188,145
"ZNF132",0.421189255647974,87.5044287234043,78.5682365517241,8.96894779729572,4.93265378025654,36.762925,39.106,91.6728,99.2042,188,145
"ZNF20",0.0368942523632155,135.474837234043,122.351991034483,4.00071030568316,4.89374146927467,91.95035,79.2127,170.33615,153.196,188,145
"ZNF670",0.848961748147136,82.0970388297872,83.032064137931,3.23417758687495,3.69073724444445,51.040075,53.4398,104.55015,107.4561,188,145
"ZFP37",0.355574518599773,42.7995170212766,47.531224137931,3.60845752111651,3.46761038623079,8.75825,15.0048,56.2754,66.1803,188,145
"ZNF189",0.745556360133042,297.622542021277,302.408135862069,9.42579634413132,11.496643538276,212.4151,221.148,356.661025,343.8045,188,145
"ZNF434",0.892412766835579,273.025774468085,271.685459310345,7.06046141492938,6.58110316778088,206.5865,216.2705,341.926025,325.7348,188,145
"ZNF287",0.564426266593409,110.33162712766,106.194175172414,4.8270052285921,5.24667709543872,67.35905,59.4059,143.0074,135.3591,188,145
"ZIM3",0.658724447748772,0.0856813829787234,0.0568455172413793,0.0511181462229858,0.0334935592107031,0,0,0,0,188,145
"ZFP14",0.191211812976918,204.474369148936,185.104168965517,10.6093715524152,9.71342047593763,123.9072,97.4998,251.9235,239.7991,188,145
"ZNF473",0.645437738807534,301.336792021277,309.774833103448,13.2302068314724,11.8719206799977,196.467075,210.5497,358.199675,379.7314,188,145
"ZNF614",0.0598434830889333,316.561128191489,258.250952413793,25.1575043263201,13.1019056893349,149.81635,159.0049,348.916775,308.0824,188,145
"POGK",0.517619651254143,2729.20748776596,2885.41970827586,133.004855830954,213.767802116879,1527.1907,1499.4906,3415.417325,3197.9797,188,145
"ZNF514",0.522589501727977,266.662289893617,278.036053103448,11.6007460298631,13.5355625084806,162.461375,144.1031,346.59945,357.3883,188,145
"ZNF300",0.212850005561887,236.95732712766,199.737262068966,20.816587068959,20.5994343876066,51.117625,28.5049,316.9619,268.843,188,145
"RBAK",0.392184254019607,459.928904255319,476.635622758621,12.9911298737958,14.4659113178715,320.029175,368.2284,552.1136,567.9942,188,145
"ZNF92",0.804771157521753,254.224219680851,258.839495172414,13.1788965934908,12.6205633078087,141.22405,160.5839,310.702125,312.5348,188,145
"ZNF157",0.339049512459776,1.51527606382979,1.85963862068966,0.203141534425976,0.313685319394495,0,0,1.987675,2.2002,188,145
"ZNF182",0.053206428124155,197.043341489362,176.521351724138,7.42993658673758,7.22777676421994,130.344875,114.6595,238.329575,214.2149,188,145
"ZNF673",0.767096684331278,217.64650212766,220.664327586207,6.09657012127096,8.48117666915816,164.48105,166.318,247.72025,248.3255,188,145
"ZNF41",0.606143357492206,229.964177659574,236.347297931034,8.3646972831729,8.98425638641483,159.213175,149.2266,281.208725,300.2114,188,145
"ZNF7",0.756118887510312,505.569787234043,511.781944827586,12.5093772625708,15.9636932440952,388.2397,398.779,617.377775,596.5388,188,145
"ZNF214",0.967759485914348,33.9708978723404,34.1017310344828,2.15165385923655,2.40454615230677,12.510375,15.5334,46.452525,46.9893,188,145
"ZNF215",0.170951141738702,51.5599170212766,60.4169317241379,3.38636212570769,5.89598860485631,14.15855,17.1821,78.532525,80.3399,188,145
"ZNF547",0.105913256561391,63.0093,54.66296,3.60515459717268,3.53680898744976,31.99465,26.9914,79.123125,66.9572,188,145
"ZNF773",0.182137844787769,117.472951595745,108.136996551724,4.69898194123153,5.10854238693959,80.581075,69.8497,140.311125,128.8919,188,145
"ZNF776",0.690995648084593,364.028026595745,356.319220689655,12.7510174058198,14.6099331369954,248.3133,240.4757,448.1552,430.0126,188,145
"ZNF256",0.907894196132133,129.681230851064,128.836508965517,4.51170269097002,5.8992157371036,87.793775,84.5588,168.392375,165.2329,188,145
"ZNF599",0.763701330888577,85.0210154255319,86.9171034482759,4.59265484697384,4.00312212776576,50.212425,57.8947,103.40025,106.8265,188,145
"ZNF18",0.0230491333778249,204.87169787234,182.934905517241,6.91148789442697,6.27380910662513,142.0153,135.4213,245.255525,215.6149,188,145
"ZKSCAN2",0.599453010334737,150.871746276596,158.842322068966,11.279243654426,9.17183570045612,93.2064,105.4433,162.064225,176.2791,188,145
"ZNF689",0.264934260184794,98.4387377659574,106.386288965517,4.59263329596516,5.49712885167108,57.8269,68.0251,124.9596,120.3856,188,145
"ZNF19",0.966367328984445,52.4756978723404,52.3325579310345,2.36702407126539,2.34506948253099,32.176725,31.9435,65.516375,66.8702,188,145
"ZNF230",0.237158090557465,118.89920106383,111.246485517241,4.39160346418877,4.66012403328357,78.56885,74.7126,143.8073,133.0953,188,145
"ZNF222",0.014493672075669,104.726194148936,85.4954910344828,5.56645793787544,5.2230379763293,56.384275,47.6711,127.4169,107.1635,188,145
"ZNF221",0.428062332848319,14.9573617021277,16.0966593103448,0.86498242497659,1.18977224845875,7.316725,8.4648,18.21505,19.4503,188,145
"ZNF233",0.830919417455857,30.5393196808511,29.9271165517241,1.78503584086979,2.29918303863223,13.13325,12.1555,41.166425,39.4344,188,145
"ZNF235",0.714575506556704,70.7889739361702,72.2965689655172,2.73135194854728,3.07467966027736,47.04395,44.9188,85.2785,87.9121,188,145
"ZNF208",0.416779500886263,94.8427393617021,74.56164,18.350556033774,15.5084615422374,2.813375,3.02,42.05225,43.9276,188,145
"ZNF714",0.632216708295829,201.313645212766,192.259074482759,13.3059828238162,12.8647774849998,91.8877,91.1681,238.0521,252.7312,188,145
"ZNF394",0.180629370238673,542.920052659574,513.239056551724,13.1901137390833,18.4984224577975,434.492975,392.6266,617.6903,583.1486,188,145
"ZNF333",0.0951777713054318,187.830664361702,166.797286896552,9.57052258873363,7.12611238305322,110.27215,107.4676,229.322325,210.6796,188,145
"ZNF382",0.575372004148775,28.1864771276596,26.1089806896552,2.67568603538648,2.40008794937457,5.96965,6.9122,32.04445,33.7079,188,145
"ZNF577",0.0418077322193511,225.818688829787,174.602793103448,18.5203903422002,15.4187498952554,81.82535,61.781,272.9444,231.0084,188,145
"ZNF75A",0.782272837946065,258.643311170213,263.263922758621,10.5808790476062,13.1788213661974,158.427275,159.1523,340.5356,330.1295,188,145
"ZNF496",0.0654548717597322,254.351184042553,282.509506206897,10.0956662541924,11.3840094647216,174.7496,200.9709,299.095625,336.0812,188,145
"ZNF2",0.167960954578619,111.664888829787,118.246582758621,2.95681700106551,3.83678005846277,83.501575,86.4103,133.91225,142.4205,188,145
"ZNF589",0.534581207574675,254.879036702128,245.574069655172,9.78582778489499,11.3791327939786,156.3709,151.9666,322.9889,293.5886,188,145
"PRDM9",0.834964136219005,3.12135744680851,3.58249448275862,1.15644749736855,2.02383102807119,0,0,0.784075,0.8563,188,145
"ZNF12",0.963414551764234,666.804494680851,668.250223448276,23.3570887838804,19.2006913460272,500.7347,523.2385,766.49275,788.6045,188,145
"ZNF202",0.311074438314094,285.313013829787,271.969144827586,9.11250801175073,9.20268163189003,196.140675,200.3925,349.562775,314.1967,188,145
"ZNF3",0.479721299997752,777.840926595745,749.738709655172,23.3736571904556,33.5746806772647,558.595425,512.6192,941.896075,889.9357,188,145
"ZNF606",0.0735794416706159,281.150346808511,247.892708275862,12.500437208274,13.5065882931569,183.059225,137.6268,337.07255,323.2494,188,145
"ZNF91",0.153480576404031,436.921168617021,389.332242068966,21.7811697458677,25.2420064818202,209.70795,176.5947,601.0669,525.4296,188,145
"ZNF226",0.145237822467705,392.243837765957,362.073755172414,12.4495534654993,17.1226556360675,284.293825,237.8465,483.87215,427.7327,188,145
"ZNF229",0.293208300406014,165.740067553191,188.688708965517,12.485016094381,18.8193044354678,33.40435,44.6333,246.87945,233.7119,188,145
"ZNF180",0.813642842075137,192.413196276596,194.74248,6.28546172427675,7.74503124674381,136.5277,137.0261,222.1367,217.7089,188,145
"ZNF641",0.193486408019979,87.8494196808511,95.94878,4.18997341270197,4.53685731530752,45.269425,55.7582,118.7242,125.1137,188,145
"ZNF610",0.265876353881026,84.4848260638298,74.3282586206897,6.3685599180563,6.28378752554866,25.76,21.4873,113.53725,94.4363,188,145
"ZNF528",0.00113698510246985,329.940169680851,241.989145517241,20.7498646592132,14.3685906125384,152.7455,127.8257,408.305075,303.4658,188,145
"ZNF701",0.178570380842911,131.974465425532,120.776444827586,5.55233422742341,6.13538871408857,84.229025,70.4807,162.48615,154.214,188,145
"ZNF283",0.089101347954359,58.5942585106383,64.5212413793103,1.89892955713936,3.09958178195593,40.5885,43.2064,70.724375,75.1487,188,145
"ZNF558",0.0700956337623645,448.907671808511,385.321346206897,26.1873798656001,20.8402632000481,234.18945,241.2621,512.6937,478.7597,188,145
"ZNF597",0.868964496829491,35.3102861702128,34.9000682758621,1.6651164251659,1.82839272771477,19.125175,19.4421,47.370675,49.5137,188,145
