"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","count-M0","count-M1","count-MX"
"ZNF195",0.464399115988067,6.08602746468012e-05,0.982905991686785,479.922860663507,392.185727272727,379.058318181818,19.3973474954154,48.1990390346777,13.3225552100434,280.0295,268.9457,247.6581,609.6473,499.8706,468.9259,211,11,209
"ZNF263",0.897672995776433,0.197452354678822,0.58588611458567,630.192259241706,653.097127272727,602.044742105263,11.9479172870517,77.6286197485181,10.7176568715013,497.09095,519.31715,498.2946,763.35575,777.60845,683.342,211,11,209
"ZNF200",0.424589004280543,0.206654684158802,0.75569307280925,240.27416492891,210.179681818182,227.362736842105,5.78776310808989,22.3657433059246,4.92703178932808,182.01955,163.92925,183.4571,284.5787,231.1735,264.5243,211,11,209
"ZNF582",0.617793202696127,0.000502418682779671,0.963363398688375,34.281091943128,27.3465545454545,25.4182272727273,1.8567464876005,6.14862361952751,1.42832125873604,13.7904,13.92635,9.4572,48.4998,41.909,35.769,211,11,209
"ZNF285",0.98589618548424,0.288881210007249,0.80050354441818,77.3952132701422,80.7557363636364,67.4432483253589,4.39804445898035,13.9345609600816,4.99083821909462,29.4518,45.29035,27.1565,101.7949,90.51715,84.695,211,11,209
"ZNF275",0.361943737162924,0.00837705934451982,0.907601881309923,481.83092985782,391.990072727273,419.667596172249,15.5110340914344,46.30903637321,14.0454067910232,336.57065,293.28685,280.4095,555.92915,495.90675,485.8612,211,11,209
"ZNF37A",0.610104063251793,0.00102530883486096,0.980596647103269,397.261631753555,347.426409090909,337.514683732057,11.8063661778611,56.143665573712,11.5894717527071,290.93065,261.2564,222.5978,467.27825,347.643,415.5601,211,11,209
"ZNF510",0.713857287736448,0.625118197597193,0.530631308588674,178.113381042654,197.8664,170.751594736842,5.96740790365665,30.6733031733283,5.18443539725368,124.6197,129.6493,122.0544,207.44915,249.57255,200.6803,211,11,209
"ZNF506",0.300152750546835,0.000240697808195911,0.971832502139525,476.22477014218,367.240154545455,383.976695215311,16.6684312450641,70.6501675758951,16.1301455717503,308.00555,219.62445,219.7661,617.9731,414.5661,487.5009,211,11,209
"ZNF324",0.762563404383025,0.0298235209096209,0.994170204515252,218.445998578199,194.285218181818,190.738885645933,9.64910278324112,16.2536198675518,5.14177227019226,149.4859,159.3982,140.4336,243.9766,225.54435,222.2222,211,11,209
"ZNF671",0.655500383599419,0.590714473386565,0.837518092234298,66.4592630331754,48.8364363636364,60.2489593301435,4.94626666090778,16.4430100678084,3.99992984235425,17.80065,19.0726,19.7485,92.46785,62.61945,80.0494,211,11,209
"ZNF416",0.939346732770816,0.594337379783706,0.999507083461426,124.70552464455,118.906709090909,119.421479904306,4.00395347514047,15.7660262450421,3.67652408652703,87.82595,86.80335,86.2919,147.3438,159.8577,141.8182,211,11,209
"ZNF586",0.309179620605743,0.136468574471669,0.665311745446011,205.911386255924,166.626572727273,189.724784688995,6.02314182333183,31.0671494391718,5.88729358810171,138.4643,96.26735,135.101,255.68835,189.29995,230.7019,211,11,209
