"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF195",0.0475714855925971,0.0562150796778627,0.991338962711977,0.987074693084775,0.50515201567639,0.619120301864186,0.997837910237046,0.179683401108646,0.268894251276827,0.99778221679206,453.8289656,351.110888235294,370.664884146341,497.5997,467.4776,17.5499440805617,20.3787592027392,16.0555331341226,136.806800440533,37.8360395919669,262.0006,260.25935,256.039,248.955875,248.0826,571.61205,435.0508,469.27215,715.9073,612.055675,250,51,82,8,36
"ZNF263",0.709688380292251,0.869300300282466,0.383478470252905,0.271292043195908,0.647974482153749,0.158450737145463,0.931673535423682,0.53147835528982,0.999982675275553,0.183866259211884,617.0390356,649.723139215686,596.402901219512,736.8998125,593.272322222222,11.024554172647,22.6223747015841,16.407662275973,83.0087369455629,25.0499023568727,490.873925,534.1713,492.720925,561.98555,469.481325,724.36325,778.35165,682.193825,910.452375,711.88995,250,51,82,8,36
"ZNF200",0.837593508277187,0.426564067790717,0.214614068392611,0.525230926327013,0.830668965087648,0.222087321279358,0.924876583632709,0.999996566711434,0.362983866179299,0.827617716338987,233.182692,245.616249019608,216.180043902439,276.81205,244.558158333333,5.12957241677644,11.8765138729047,6.57164234925528,30.7406480460667,13.4384772080215,183.2291,187.563,168.196125,232.4297,184.9626,271.888025,285.83365,255.834225,325.208825,305.696525,250,51,82,8,36
"ZNF582",0.230161926876323,0.538064569121966,0.957459727574967,0.999891360281635,0.956220029424569,0.995341236768235,0.99722331767588,0.755359202621429,0.960930036504573,0.999999979002111,31.9848904,24.2218980392157,27.232087804878,30.6927625,30.5273833333333,1.56673698853128,3.28567539283214,2.4837562799422,6.69195486495692,4.44611735131794,12.11945,9.2342,10.80265,17.12345,6.955525,46.2179,30.9476,40.183425,43.91665,46.932025,250,51,82,8,36
"ZNF285",0.990233709373684,0.606327968294771,0.611724036618894,0.733587379142382,0.659508079395526,0.95628944069296,0.364317015505131,0.364171152642436,0.954453333613503,0.998200615242959,68.718906,63.8668490196078,81.0588378048781,98.6122375,90.6442055555556,3.54684634285279,6.8414659208351,10.5939955066826,37.6069338655403,12.7164970089194,26.684325,28.9629,26.036375,45.459175,37.399725,93.182625,98.57855,90.85915,89.31405,123.86735,250,51,82,8,36
"ZNF275",0.999499654187401,0.976016801512474,0.973301639908019,0.990806118912624,0.985118972786627,0.999244999077496,0.997883606408589,0.994001950911297,0.999979351028815,0.998671077436966,454.2184556,461.471468627451,437.842874390244,418.4390125,442.077819444444,14.918788599617,28.1885831323098,17.711345478195,68.5145529415139,35.7188374224419,300.4568,295.26435,342.259275,246.56905,288.680175,533.02665,560.64825,520.137725,538.1291,505.11105,250,51,82,8,36
"ZNF37A",0.437795367170657,0.124810664301143,0.999351871109348,0.999262853876121,0.892275091502014,0.832669911225342,0.000138411264000382,0.117422345973775,0.11589197540658,0.172998288759417,341.2933872,385.316325490196,392.321912195122,326.716525,473.581097222222,9.19821171768298,32.1628732743305,14.4339345248004,82.0460798177632,43.5081267048883,231.1003,221.1024,284.546125,191.59995,297.1094,413.38135,466.12275,471.3076,336.958575,613.007525,250,51,82,8,36
"ZNF510",0.393792647113926,0.999999998992277,0.551725096824516,0.999861165769261,0.979945286751938,0.999885890034237,0.42060203865118,0.061927232636993,0.535786905716708,0.884831102713747,175.744272,153.58502745098,175.659590243902,171.12635,200.807133333333,5.51359271064624,7.06182210544763,6.87001819067837,22.3048997581809,18.8443604736873,120.819275,116.08685,134.60135,130.200525,119.4069,207.27105,183.72285,207.776375,198.060375,271.892425,250,51,82,8,36
"ZNF506",0.0393861316313567,0.999291179251881,0.158338711725327,0.997355492206976,0.921948333231815,0.999255189956024,0.787977414167079,0.0297649354517354,0.772346890084665,0.92341329276851,438.503262,334.205462745098,431.234696341463,409.8118875,487.091772222222,16.5852341755665,22.2104405828391,21.8881513450113,95.0412240617524,42.4985308631585,244.9819,212.71305,286.57495,266.189,283.00995,588.7727,423.31715,584.9616,464.2602,621.404575,250,51,82,8,36
"ZNF324",0.0013592646439643,0.807483430906019,0.000499074431583479,0.749419245175687,0.0577114669444522,0.933558222736552,0.347293535473526,0.755399769110127,0.132353701677624,0.293296590604192,197.1844904,261.930856862745,181.827498780488,149.6861625,233.390961111111,5.06869770193057,33.3672901128091,6.7080794061048,20.7430900013796,16.2972267042894,144.9374,159.73025,143.355375,105.20535,177.945425,229.241925,250.8934,210.09155,197.148575,289.060625,250,51,82,8,36
