"gene","p-adj-T1-T0","p-adj-T2-T0","p-adj-T2-T1","p-adj-T3-T0","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T0","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-TX-T0","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","mean-T0","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T0","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T0","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T0","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX","count-T0","count-T1","count-T2","count-T3","count-T4","count-TX"
"ZNF195",0.979553562893693,0.957470843605909,0.999999982407526,0.986238033046972,0.99970887368985,0.513694925287398,0.987083019202375,0.999684518605705,0.784070004250562,0.999999987354742,0.648053581321409,0.860396976172235,0.786411446329319,0.668618118859471,0.670245577758325,244.7634,439.502733333333,445.2002109375,399.539904390244,398.224550793651,750.6219,NA,185.875731645817,21.6792174821788,15.8165200485703,29.5473209486475,NA,244.7634,254.6405,273.74855,253.0009,241.8258,750.6219,244.7634,548.72095,551.71435,469.4132,468.79575,750.6219,1,3,128,205,63,1
"ZNF263",0.999723140557359,0.999999997950124,0.995080415595321,0.999981972998793,0.999731660136951,0.814776366418105,0.999999725114143,0.983031503479521,0.987130122729325,0.555128503877457,0.978815814204454,0.991146153321257,0.919653757183031,0.956529003061201,0.885512625982796,629.5656,573.705933333333,625.0350625,601.66074195122,641.687836507936,458.5697,NA,62.6447667954883,14.8789737366606,11.2817694413708,22.8635666803058,NA,629.5656,517.6976,508.1493,483.8475,533.1408,458.5697,629.5656,626.01185,726.6196,698.2491,796.2695,458.5697,1,3,128,205,63,1
"ZNF200",0.999999997147633,0.996714087390586,0.949132190160202,0.958503384186423,0.65380333023688,0.0172090029573858,0.98770853761451,0.859107136246874,0.900233319044952,0.728840114742992,0.999993342120115,0.999959748450231,0.999717420336715,0.98667442888057,0.997656500372296,280.45,282.917233333333,244.55646328125,217.72826097561,232.603334920635,266.1692,NA,30.3039139312253,7.09470021806376,4.90172278977248,9.18297511875063,NA,280.45,264.8076,186.947975,172.1928,180.1787,266.1692,280.45,313.0143,293.7442,255.016,263.70775,266.1692,1,3,128,205,63,1
"ZNF582",0.997374843299065,0.999993543499775,0.984208933760179,0.999994613551602,0.863575845483421,0.16756795510241,0.999998527096711,0.891604403976282,0.634124861555288,0.999950204692684,0.999795366238112,0.968203572910994,0.995376922982113,0.999856275381958,0.99975993796691,30.256,42.8419666666667,33.47598125,27.1555975609756,27.8526555555556,21.1443,NA,20.3269554319983,2.44377477511953,1.43264013210901,2.99446935325392,NA,30.256,26.44645,14.129075,10.2775,11.02845,21.1443,30.256,61.44545,47.613825,40.9556,37.61225,21.1443,1,3,128,205,63,1
"ZNF285",0.996156723856638,0.997736926095903,0.999929527237079,0.981441987187424,0.999928741985854,0.206308039503796,0.992360854354319,0.999999999980858,0.952361820372642,0.958717570780136,0.999996764597761,0.987487994033095,0.990008526412102,0.953324188413369,0.976120806297901,111.3266,72.69,81.27842578125,64.1194107317073,72.2697619047619,122.5124,NA,13.9149021176339,6.85610207112739,3.87664374969628,9.79909827769611,NA,111.3266,58.9223,37.66955,24.1013,23.35,122.5124,111.3266,81.32205,101.7949,88.1575,88.9046,122.5124,1,3,128,205,63,1
"ZNF275",0.99665800762503,0.999996405556166,0.975069281891753,0.999858457264779,0.995047332370146,0.848073078594627,0.999640123050235,0.998194372721268,0.82865880507422,0.998966953636002,0.999351840497072,0.94430039095468,0.99050526507096,0.976797400460927,0.969075113930636,485.6478,372.765833333333,461.2435625,434.562769268293,423.53976031746,583.9552,NA,42.4300318167975,18.1348592122049,14.5243091050067,21.6947832234213,NA,485.6478,336.57,304.728375,287.7141,306.80215,583.9552,485.6478,410.03735,556.671075,499.7859,491.43935,583.9552,1,3,128,205,63,1
"ZNF37A",0.998748170997905,0.999133403117048,0.999988740458109,0.997478333615522,1,0.966408144026898,0.99890330168197,0.999996996942197,0.999994973712764,0.996436307181152,0.999874108975223,0.982099452408883,0.980131221017888,0.966315080363138,0.977964584400406,291.3111,368.8418,353.7827015625,369.194415121951,357.157161904762,231.9652,NA,47.9482913898226,16.2029043853943,11.5708451213406,19.6571685170313,NA,291.3111,321.79325,226.351375,245.2162,228.0989,231.9652,291.3111,400.3726,423.947925,442.9022,448.27255,231.9652,1,3,128,205,63,1
"ZNF510",0.738415906443834,0.453113540545892,0.998673700428654,0.608470565726554,0.99999999999229,0.27876503437512,0.58613900909165,0.999999855336344,0.798463016590933,0.999694527165162,0.489898256060855,0.970766257801439,0.985651421356176,0.945410699907748,0.956369114335253,300.2327,175.9359,157.718903125,176.337666829268,173.015053968254,105.7214,NA,26.3868582641688,5.75267313603063,6.12489266105611,8.59428018107648,NA,300.2327,150.4266,112.923725,123.8646,123.58555,105.7214,300.2327,194.5349,182.7322,202.9639,207.849,105.7214,1,3,128,205,63,1
"ZNF506",0.995619193590365,0.940104023491649,0.992751550108935,0.805864512623733,0.858502603087116,0.0354056865089255,0.868280276641116,0.940082316863985,0.740895356139417,0.954896978598974,0.989987718846649,0.803271535806029,0.473729199363616,0.275205557997349,0.34836525103103,680.3724,542.231633333333,464.41048125,386.152811707317,415.096152380952,882.4627,NA,148.698691738443,20.5249583641214,16.5628090897364,27.4234843588769,NA,680.3724,413.8379,306.38475,223.9113,246.6708,882.4627,680.3724,671.3882,614.4771,512.2183,538.2998,882.4627,1,3,128,205,63,1
"ZNF324",0.977747261091282,0.999208270180659,0.961632438112769,0.984607733186235,0.999713394753766,0.0593959621459412,0.980365197562151,0.999933900954163,0.188009344780683,0.999725746713062,0.997418164888256,0.999980282508323,0.999732500922201,0.999999998223857,0.999999802018568,265.7099,171.588366666667,225.558959375,190.477214634146,185.840276190476,193.408,NA,11.5341459221931,14.1576181027568,5.69351305916087,8.29218059765095,NA,265.7099,164.40465,153.78545,136.5114,146.29515,193.408,265.7099,182.99515,238.8066,225.7826,213.58745,193.408,1,3,128,205,63,1
