"gene","p-adj-Stage II-Stage I","p-adj-Stage III-Stage I","p-adj-Stage III-Stage II","p-adj-Stage IV-Stage I","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage III","mean-Stage I","mean-Stage II","mean-Stage III","mean-Stage IV","SEM-Stage I","SEM-Stage II","SEM-Stage III","SEM-Stage IV","Q1-Stage I","Q1-Stage II","Q1-Stage III","Q1-Stage IV","Q3-Stage I","Q3-Stage II","Q3-Stage III","Q3-Stage IV","count-Stage I","count-Stage II","count-Stage III","count-Stage IV"
"ZNF195",0.981803441675152,0.889341319081618,0.171418123456665,0.749022588531004,0.00128055164273455,0.315794158310768,548.72095,484.10139037037,425.295678378378,377.015183561644,260.50625,22.2271746064086,22.7417713792834,14.5389035641253,418.467825,282.3151,251.086,256.039,678.974075,609.6473,499.0487,469.27215,2,135,148,146
"ZNF263",0.999999623382934,0.998958619887167,0.857237723657026,0.999973499295284,0.997587640900908,0.926940641290332,626.01185,624.794443703704,608.891889864865,620.987581506849,59.71075,14.3945649879564,14.1522188283415,13.7200170067686,596.156475,511.3944,474.78535,507.23035,655.867225,723.9938,726.563525,740.114425,2,135,148,146
"ZNF200",0.981767095398559,0.843300309394207,0.0390605280283721,0.876486283784739,0.117629179162548,0.970311379885557,270.9298,249.603181481481,224.331302702703,228.469169178082,48.2067,7.22197650176123,6.70963429860295,6.03066543937991,246.82645,196.8743,178.3052,172.0931,295.03315,294.1417,254.179075,269.029825,2,135,148,146
"ZNF582",0.436710112111164,0.189825207479419,0.0168384885151077,0.165613681721624,0.00469247157751562,0.975850515346224,61.44545,35.8263362962963,27.3829777027027,26.2237506849315,14.18755,2.50338037030149,1.62500482807232,1.86151307314864,54.351675,13.7338,8.7404,10.80265,68.539225,50.2857,41.1428,37.320875,2,135,148,146
"ZNF285",0.99985483386394,0.985036393480259,0.0543293218385055,0.999986292174624,0.918370202276083,0.212104799796339,77.82565,81.3846288888889,60.9002506756757,76.2067602739726,22.39975,5.56544306075283,4.35996059588692,6.78510663248732,66.625775,37.19695,23.202275,28.634875,89.025525,111.16345,88.169225,95.114025,2,135,148,146
"ZNF275",0.967616175899459,0.998867575901241,0.240310678261332,0.996383798244073,0.468436247319459,0.973631089390048,410.03735,482.400162222222,433.13157972973,444.157913013699,35.12015,22.8319108907506,17.7223411669492,14.654234353073,392.477275,301.2787,290.326275,303.1369,427.597425,576.95575,492.88855,536.131875,2,135,148,146
"ZNF37A",0.995825977841924,0.98147635706119,0.803952495187549,0.962697731565175,0.423636079208613,0.918764951134518,321.79325,349.612634074074,368.005368918919,380.813530821918,16.01305,13.6394345840063,14.7117306126857,14.5302342531188,313.786725,244.12485,237.797175,248.737625,329.799775,425.36645,432.8943,463.2489,2,135,148,146
"ZNF510",0.99922878292235,0.999999830823262,0.886339905307072,0.994299746297966,0.881378428052103,0.439680637561506,182.8462,175.337676296296,182.394598648649,168.140993835616,44.1083,6.90999269513991,8.07949023211866,5.11605962518915,160.79205,120.4576,123.210225,126.6361,204.90035,207.434,211.10565,196.5255,2,135,148,146
"ZNF506",0.718332662884867,0.382742005465996,0.00711392678919154,0.362114823403119,0.00349731469677816,0.996014323556402,671.3882,492.322946666667,400.354439189189,394.1068,127.6309,21.1830918258869,22.1542291975693,16.1379606459349,607.57275,304.0446,227.751225,246.33975,735.20365,651.72225,528.945,532.371675,2,135,148,146
"ZNF324",0.92375880462769,0.985344771639622,0.348560611776838,0.94749351165331,0.964442947069206,0.62546322106694,164.40465,214.261571111111,192.220502702703,207.910868493151,15.62985,6.76934293790889,7.14461155230638,12.6755392746179,156.589725,165.35365,136.41685,144.8162,172.219575,250.86815,225.227075,222.2587,2,135,148,146
