"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-T4d-T1","p-adj-T4d-T2","p-adj-T4d-T3","p-adj-T4d-T4","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","p-adj-TX-T4d","mean-T1","mean-T2","mean-T3","mean-T4","mean-T4d","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-T4d","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-T4d","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-T4d","Q3-TX","count-T1","count-T2","count-T3","count-T4","count-T4d","count-TX"
"ZNF195",0.998084910788452,0.400522690544568,0.482365335445374,0.37415467810507,0.44661253171851,0.977615762838715,0.911857316438146,0.925814123860227,0.9799635612725,0.995970180140095,0.999343994413701,0.999715956654478,0.999999999705544,0.999852436963287,0.992842948307317,391.157866153846,386.520243537415,360.641384615385,340.028064705882,287.0538,362.188733333333,7.73642418099447,6.37382048597406,12.3918213230464,21.7557933848822,55.2376,62.8405055017949,317.670975,292.38795,259.623,242.743425,259.435,300.2041,451.114425,456.979775,415.7502,444.847575,314.6726,402.13235,260,588,117,34,2,3
"ZNF263",0.986543125885934,0.91024733899715,0.987723080581237,0.962807557880255,0.99253594451185,0.99996745703273,0.65182790547511,0.693910878379282,0.755279821147858,0.798558801744126,0.929309821512394,0.900372729511367,0.859433059667621,0.846972828968424,0.469875639279767,967.585136923077,951.775621258503,930.716660683761,918.847161764706,618.4857,1148.68246666667,21.8881035448372,12.9572981629127,25.7541609967287,64.0624915790379,126.3328,346.242621160925,717.82525,721.54745,751.4035,733.0928,555.3193,940.22895,1125.477075,1121.967175,1069.8234,946.220475,681.6521,1492.3321,260,588,117,34,2,3
"ZNF200",0.989226060238722,0.0397670714117008,0.00324890782111797,0.667084705394837,0.459542284096003,0.999779254213444,0.99983024731231,0.999489129132937,0.99995957407984,0.999996746658704,0.98300796407006,0.990150816769553,0.814609251138578,0.873701963483285,0.987635119044021,268.880122307692,272.731451190476,241.820753846154,246.293885294118,253.43065,302.083,4.68823940606637,3.60203565141995,6.18853953852715,17.4151153056774,69.05875,48.2226126653254,217.3617,215.8017,197.541,186.585275,218.901275,254.10025,302.160475,314.867925,272.0543,275.370575,287.960025,330.23455,260,588,117,34,2,3
"ZNF582",0.00534743021368578,0.0414827115181273,0.991113430898387,0.0558548237147805,0.720409533870383,0.928494482631554,0.218712610142503,0.418169536432046,0.480878904621958,0.675084737714823,0.897068733908914,0.990602460657905,0.996302833869483,0.999980719313816,0.893041892464751,60.4608069230769,51.9708482993197,50.0252222222222,43.9839176470588,9.34805,40.7102,2.11691271492203,1.31608928081413,2.68581460731544,5.10065367220588,0.86145,13.5787850919489,33.70205,27.2832,28.9617,20.844475,8.917325,27.1316,81.631175,72.71115,69.9684,73.847975,9.778775,47.5609,260,588,117,34,2,3
"ZNF285",0.999909399848027,0.683099146635124,0.698016700469132,0.984712508763306,0.991059210408313,0.999945320909659,0.515666564887533,0.529389070195585,0.672680636843099,0.655680313976841,0.415889380899312,0.39372862131818,0.264656464125062,0.334054642648867,0.114714632758106,93.7006776923077,92.6099134353742,83.339994017094,85.9164617647059,16.2348,162.733533333333,3.61352595318975,2.78522427564435,4.75121016470575,10.6303344050937,11.9915,31.2622696126568,53.969425,44.676275,49.7128,35.14995,10.23905,131.54985,122.1716,125.36935,111.7126,123.7399,22.23055,180.24385,260,588,117,34,2,3
"ZNF275",0.967548883099773,0.946349302632707,0.99865093553847,0.99999953926998,0.99985401210965,0.997925150328454,0.989237552929778,0.99442872381643,0.996819345401296,0.991767055769831,0.999752142997467,0.99997252490452,0.999997703756572,0.999868809957906,0.999648180888826,615.382844615385,600.38754914966,590.14338034188,611.707379411765,503.81425,573.884266666667,14.3858404664747,10.5349742857181,25.2922940172696,42.4400027251803,112.96085,211.371841785248,456.40345,419.682225,408.6832,436.7756,447.333825,373.7038,744.31115,744.914575,732.8896,753.427125,560.294675,732.74845,260,588,117,34,2,3
"ZNF37A",0.368554668803439,0.916123897581351,0.999456637479508,0.988074976292234,0.999982679185128,0.999999999075391,0.999844226890204,0.999999940311362,0.999998593077496,0.999999080364261,0.818359233928778,0.921287868247878,0.905249476909014,0.918083452005049,0.991946811738146,742.379472692308,695.255238605442,706.16794017094,704.712111764706,683.0717,509.969,20.773944713187,12.6965285215819,32.190151815242,69.8067548803825,114.472,158.20239681071,522.072975,487.250375,487.5046,537.872125,625.8357,361.0555,888.1383,848.6953,808.0699,781.5816,740.3077,630.6813,260,588,117,34,2,3
"ZNF510",0.0924770144247486,0.0632140411226323,0.874966929926873,0.74666719576929,0.99964331417422,0.999659628156701,0.881863003425692,0.962849540810302,0.986007690019007,0.978319984219599,0.572258602006433,0.78104457153329,0.881010778121871,0.852532325916661,0.999967191674501,352.785257307692,328.36718792517,314.254324786325,321.627682352941,255.3134,233.809766666667,7.66343798223034,5.20285744375936,11.6446181966587,19.5249427196215,27.1006,49.5452746632254,263.96225,239.41555,221.9591,263.10215,241.7631,190.09515,432.2652,409.0355,372.6041,413.171075,268.8637,275.86175,260,588,117,34,2,3
"ZNF506",0.405827440013583,0.848501509687936,0.999998512361775,0.99999995240977,0.957349521852731,0.979616689078805,0.479256270545913,0.609049033987197,0.606613915243307,0.49947396969647,0.99963789114389,0.999999850747437,0.999999518440722,0.999611853574164,0.842266960652079,448.472313846154,423.702654081633,425.501746153846,450.099061764706,226.72545,417.212266666667,9.7044930177792,7.61318799422737,14.1917886336171,38.2312479608831,100.00725,20.4602917937268,358.494475,298.829175,323.9549,346.2985,176.721825,403.241,534.80545,533.7696,516.5788,560.636525,276.729075,437.1428,260,588,117,34,2,3
"ZNF324",0.0208009911947373,0.312187653484931,0.999999910195319,0.665877529553087,0.999931928034628,0.999916329904816,0.400159981538355,0.220688547754218,0.231172548678562,0.223552113452285,0.999970007485785,0.999930174836204,0.999947383353488,0.999788103783334,0.599858923571223,233.174933076923,207.684184183673,208.318975213675,203.497526470588,380.03205,221.493666666667,9.63299821240101,3.79541865676494,5.67743203959361,10.005569801577,68.34135,22.4687300179852,177.39415,157.19735,166.0196,171.58085,345.861375,205.38065,257.1631,243.702075,242.2155,241.13095,414.202725,243.11155,260,588,117,34,2,3
"ZNF671",0.00210525741024736,0.455991551044365,0.967461883742284,0.0751767433977002,0.841239410400848,0.668139248653305,0.876574556308611,0.980220636193697,0.963262700656901,0.998571924937754,0.594554944812985,0.872219222655225,0.812152041556689,0.978278574814152,0.999986688487563,172.750610769231,137.32978537415,147.464786324786,111.048838235294,74.02355,56.071,10.0437141405462,4.63123435427073,9.3127684292395,14.5386254748136,33.47665,28.7684642845831,87.611625,50.5651,64.5418,45.015225,57.285225,29.2613,220.60315,193.91345,208.7108,153.968325,90.761875,78.5118,260,588,117,34,2,3
"ZNF416",0.320584357826837,0.136732796043283,0.8338877514735,0.749073580750465,0.994103198063367,0.999994744702547,0.999292034883702,0.999992992283777,0.999999993632519,1,0.999642862174223,0.999999975767593,0.999983123683349,0.999996824256538,0.999999567150172,152.105544230769,141.599471428571,133.153561538462,134.911111764706,134.82975,139.8219,5.6573006705675,2.56727217310942,4.56551428999691,7.05059320364939,9.91325,28.8185908415615,113.60305,105.88565,99.8632,105.7248,129.873125,119.8322,167.81285,165.703775,157.3952,164.394125,139.786375,167.7943,260,588,117,34,2,3
"ZNF586",0.977330695585438,0.811443708730075,0.96126310145954,0.927877903315874,0.983069760199449,0.999964427077576,0.621595449142416,0.6699269740496,0.749217490357249,0.793581054056863,0.965978942966833,0.979977633170232,0.993219960360125,0.996641986679785,0.981608452606549,252.813553846154,245.476087244898,234.193232478632,229.201235294118,104.2253,190.025933333333,8.95463998753396,5.70946881523756,8.57956069510102,12.754384620154,24.3508,41.3825609922962,178.8456,163.427275,166.3052,186.794375,92.0499,157.94765,283.56465,292.7123,289.9445,274.538925,116.4007,228.7063,260,588,117,34,2,3
"ZNF446",0.855407116142322,0.998897558088384,0.797190406832614,0.999106300897309,0.99999791637753,0.993166229667483,0.898261386101646,0.936894639091525,0.876526403241416,0.936505543974232,0.99909719378004,0.999926573423713,0.997899485742695,0.999880255412505,0.991943878729097,320.045689615385,303.517932482993,328.252612820513,307.171752941176,176.6273,278.968333333333,12.7034668240394,7.94895073960497,14.236327170547,30.0850146996801,3.7749,87.77816873586,213.08545,187.581625,236.3475,219.997025,174.73985,222.9276,376.293425,368.800375,410.8805,368.941,178.51475,365.49795,260,588,117,34,2,3
"ZNF8",0.926988429157964,0.146224411984776,0.366324591772609,0.654190656704704,0.857015041299813,0.999999997056191,0.901041122720433,0.858607338509608,0.71245613802296,0.725045040551799,0.981860192841294,0.992458366907116,0.999906632747482,0.999934656743297,0.805886509455369,118.768643461538,114.680960204082,103.468864102564,103.148211764706,160.8505,95.7748,4.70814342052935,2.08402428713759,3.30730723346038,6.21458498816386,38.018,9.03784708895505,84.80615,80.641475,75.8955,79.0966,141.8415,89.89705,136.800075,138.77415,125.9988,121.027475,179.8595,104.65935,260,588,117,34,2,3
"ZNF264",0.200197402748448,0.0236744929904553,0.50831037183735,0.983066632844774,0.999861426711209,0.868797601401407,0.940352563590428,0.9835551453635,0.998038827769149,0.978431293247207,0.890596169999947,0.969900644452076,0.996920905487003,0.962092852158166,0.999999994045464,966.745953461538,891.576363265306,814.035315384615,911.211876470588,677.28605,690.794133333333,32.8310378111167,17.6560891365784,27.5568276467177,56.7414874416075,341.57295,50.0561877893677,738.7798,648.363825,604.6281,711.394125,506.499575,640.9941,1094.7296,1038.074225,1021.3349,1144.074175,848.072525,720.0741,260,588,117,34,2,3
"ZNF213",0.999324082702442,0.98859839158902,0.932706982659224,0.915891566234086,0.948141338578343,0.783303373112823,0.996490442395731,0.997546198553134,0.991872395435671,0.999918122524482,0.125431096164652,0.110578094397476,0.171214624035225,0.073436032697342,0.359773226580043,772.579800769231,763.946970408163,795.988936752137,711.547879411765,656.6818,1255.04326666667,21.5361828860094,13.5437684332034,29.93068821844,50.7881184979339,34.5016,356.964126963874,530.962625,543.12595,591.9714,524.10085,639.431,1046.09115,924.151075,929.718075,974.728,782.802025,673.9326,1610.1621,260,588,117,34,2,3
"ZNF343",0.993531257655185,0.861396267582601,0.957870167242546,0.594405674997842,0.711880249134829,0.958274871095672,0.907571350222909,0.884720674507826,0.834450301383798,0.722045574850984,0.318941117326627,0.277142847058394,0.21736252498746,0.138546689334032,0.99625746375968,324.992194230769,320.729876530612,311.922495726496,295.010291176471,399.8725,446.367966666667,5.91807458824655,4.2811849694955,10.2617739967864,15.6863738588648,4.30439999999999,101.338021221888,258.716375,252.966925,244.1315,226.789825,397.7203,346.03245,366.596675,372.897425,357.1142,356.799075,402.0247,508.8497,260,588,117,34,2,3
"ZNF302",0.022456412096012,0.145894693354273,0.999021232253529,0.341822809729721,0.975461818511734,0.996731345605212,0.898510271136947,0.978289258523111,0.98504205812647,0.995037660737056,0.973967295043003,0.853439743490111,0.827980720463343,0.763030564452325,0.782499797405055,807.315378076923,726.095312244898,712.808072649573,679.927544117647,545.775,961.362266666667,28.5812728932402,12.7511845631802,23.5823132070288,40.9290447010353,187.8412,381.523782165661,576.824725,517.4624,529.3173,548.727,451.8544,673.7056,924.790875,881.777225,877.0457,835.20795,639.6956,1322.2402,260,588,117,34,2,3
"ZNF268",0.967484828392785,0.816734346826768,0.971604006511551,0.965945786144555,0.849196795557979,0.686135036650029,0.751238975320153,0.796949480981453,0.855870047935285,0.645539979993302,0.997751390412939,0.999351504559634,0.999946775157894,0.984562833701981,0.972062066062402,447.888766153846,435.426236904762,419.007751282051,478.734194117647,246.0881,393.593966666667,11.6276467604673,8.94113357868484,19.0722780357201,41.3117504533739,60.7981,118.732923522014,323.300625,269.681375,282.7742,316.69435,215.68905,282.7254,573.116725,563.7961,506.9651,577.909375,276.48715,485.8284,260,588,117,34,2,3
"ZNF184",0.999862407148903,0.424408959014527,0.221953648438568,0.913831575788358,0.858710213003432,0.999996814484645,0.931815851570762,0.923249084120893,0.986210973329749,0.984378916504683,0.999294363933892,0.998902408825697,0.999999999999087,0.999999994952225,0.995447026949138,322.754138076923,325.319993707483,294.355302564103,297.498608823529,230.04965,294.826266666667,8.73945751311743,5.82886232034821,10.012143099414,19.0042146943009,57.01805,65.5875364621545,245.2735,238.6686,221.013,239.135375,201.540625,230.26095,368.654925,381.429825,348.3871,363.770525,258.558675,337.0981,260,588,117,34,2,3
"ZNF500",0.513007154571966,0.37042321389146,0.00853309116057976,0.713917281078693,0.976913105513379,0.141464962032186,0.980769780723367,0.994980170084151,0.914163500336284,0.999432132973015,0.999489070748965,0.999997973661371,0.982096203485093,0.999997413109664,0.999377583957357,305.063653461538,289.446482142857,331.43784957265,273.616902941176,243.93385,281.882533333333,7.66529079494511,4.83188107558947,12.7058941320071,18.7439414912924,66.76865,112.04924306944,220.983575,207.302875,237.6282,185.982375,210.549525,176.761,375.81635,351.1532,407.9113,346.16925,277.318175,368.03455,260,588,117,34,2,3
"ZNF419",0.974361696789816,0.310620792787405,0.528442807295567,0.671879077565561,0.827704795207532,0.999933563160796,0.742061611536845,0.786038914537742,0.901635017988599,0.927837390000072,0.888727549132721,0.921923684598917,0.983887338100851,0.991560762731474,0.998956961378874,205.379971153846,199.441050510204,181.271345299145,176.814185294118,102.65495,139.274366666667,8.40138718603573,3.93059117509212,7.78846027398962,10.9916553545007,46.80285,30.0622126431358,148.773225,142.1469,128.4535,129.013975,79.253525,116.886,234.63825,240.0389,227.4184,216.43535,126.056375,167.84305,260,588,117,34,2,3
"ZNF175",0.635670539520253,0.37430110841325,0.916450495677698,0.989164072899243,0.999999999999381,0.995102170639118,0.698932478173047,0.792574648374508,0.866714018829982,0.810027687545333,0.974064122406746,0.993302655700969,0.998921295526627,0.994359016080216,0.987877963132186,174.133355384615,162.048993027211,151.361870940171,162.150014705882,66.3033,127.779866666667,5.43545280638149,4.81591437850525,6.87584901805307,18.2590589706188,28.5852,36.0025996780942,128.475325,92.03525,99.0356,93.186125,52.0107,103.4422,209.370075,202.364025,199.3324,213.466725,80.5959,162.92475,260,588,117,34,2,3
"ZNF14",0.540506971220164,0.6794149924842,0.998940623104143,0.928900055653809,0.999746825982584,0.999999895723127,0.545895925176368,0.660880149781695,0.701873699766669,0.729301064344579,0.999074881486752,0.999987226059265,0.999999255608876,0.99999981995737,0.893550084401955,276.146793846154,263.256384353742,259.285782051282,258.097432352941,153.8801,253.999466666667,6.09495005340394,4.27048067467064,9.09686159503719,22.242530823211,84.2151,45.0692445443798,217.287125,194.255325,193.0194,185.437725,111.77255,213.43525,334.7629,317.63735,311.296,309.9639,195.98765,291.29145,260,588,117,34,2,3
"ZNF85",0.837595527456648,0.983895068222645,0.999994539020713,0.954335925825163,0.725848355484391,0.836447340185076,0.653932352126725,0.568477344157601,0.58833214526358,0.805687039328442,0.999999998172137,0.999995275540819,0.999998330194113,0.999734475228176,0.839000577210533,170.074135769231,176.976024829932,175.947331623932,157.856352941176,86.87195,171.262733333333,3.908382904034,3.41095346021317,7.55305347233615,11.1634226465008,55.04225,10.4764701660965,130.89175,127.2558,135.2583,109.701575,59.350825,162.3634,202.3244,210.604725,204.2703,192.90875,114.393075,180.49975,260,588,117,34,2,3
"ZKSCAN1",0.857685754862062,0.994215145467584,0.695841387962494,0.612003216167852,0.276916851672569,0.852503561831993,0.999369977958576,0.997267157718143,0.999848885012512,0.999999882988209,0.848661816581338,0.907740439001461,0.800784784049829,0.591069441225339,0.913102185633188,1701.48030846154,1605.31702568027,1769.39918547009,2023.44580588235,1973.97395,938.917166666667,67.073838254516,44.2790745412086,125.073669331208,217.82464635223,269.11775,334.861192095224,900.466675,837.251,846.5545,1200.1609,1839.415075,604.2341,2305.204225,2126.577875,2219.806,2815.665625,2108.532825,1115.71635,260,588,117,34,2,3
"ZNF862",0.00955216913719081,0.997515587778911,0.348935247699597,0.15602234143542,0.899028666270517,0.349559185248151,0.831847547587078,0.956431474469451,0.867358964167901,0.992424971609941,0.990752688680319,0.999980222673401,0.995682879543681,0.999991021502882,0.993652412131926,607.859938076923,529.072326020408,591.983695726496,470.969217647059,339.4796,498.293,20.4627305025519,12.4472432517093,30.4752635971033,52.2218162129122,41.0013,66.9226847344755,384.38915,309.77895,333.9722,258.085725,318.97895,439.59995,738.596,668.271375,746.5317,564.01765,359.98025,555.48425,260,588,117,34,2,3
