"gene","p-adj-stage II-stage I","p-adj-stage III-stage I","p-adj-stage III-stage II","p-adj-stage IV-stage I","p-adj-stage IV-stage II","p-adj-stage IV-stage III","p-adj-stage Tis-stage I","p-adj-stage Tis-stage II","p-adj-stage Tis-stage III","p-adj-stage Tis-stage IV","p-adj-stage X-stage I","p-adj-stage X-stage II","p-adj-stage X-stage III","p-adj-stage X-stage IV","p-adj-stage X-stage Tis","mean-stage I","mean-stage II","mean-stage III","mean-stage IV","mean-stage Tis","mean-stage X","SEM-stage I","SEM-stage II","SEM-stage III","SEM-stage IV","SEM-stage Tis","SEM-stage X","Q1-stage I","Q1-stage II","Q1-stage III","Q1-stage IV","Q1-stage Tis","Q1-stage X","Q3-stage I","Q3-stage II","Q3-stage III","Q3-stage IV","Q3-stage Tis","Q3-stage X","count-stage I","count-stage II","count-stage III","count-stage IV","count-stage Tis","count-stage X"
"ZNF195",0.965624649656594,0.189199312001268,0.290873249686926,0.968294559360134,0.994094440374292,0.999999527615466,0.968380115529059,0.978779821647246,0.993470735570117,0.99324008714641,0.996928706347628,0.999949715259417,0.997570239803133,0.999832512004094,0.986439954546813,397.244004142012,387.024006065858,363.255380803571,366.34882,282.3015,379.735276470588,9.97549934630803,6.46129082519466,8.54048721964696,29.1077134445235,NA,26.7188501283415,321.5801,295.7292,272.8115,294.37545,282.3015,318.1067,452.7582,459.101,426.103625,447.2499,282.3015,438.2975,169,577,224,15,1,17
"ZNF263",0.579028189860544,0.560800669448581,0.999451554656918,0.970076119402829,0.999827722464766,0.999985478973391,0.779073810658542,0.692403441431671,0.677015380595986,0.678609377151294,0.727988385048261,0.954276468986313,0.976416018962971,0.998559752327923,0.583053750181998,993.707916568047,947.594503812825,939.089800446429,925.285613333333,1419.0747,878.583129411765,29.5221037678236,12.9207182588154,20.6164332098855,68.0506161575792,NA,84.0400249186956,734.0775,715.8545,743.010025,721.5248,1419.0747,683.5789,1124.9761,1120.0574,1071.009775,1066.60715,1419.0747,973.9092,169,577,224,15,1,17
"ZNF200",0.975436980168972,0.143589790007428,0.185136655371145,0.331076045545308,0.446276511919207,0.877671881490708,0.683206504054097,0.638870780867937,0.518952812538459,0.369134744801469,0.998674394660961,0.999990317463189,0.992143379584471,0.81230424747495,0.643322736233899,275.667375147929,270.222001559792,255.038661160714,230.4926,398.0485,267.211023529412,5.92508532679885,3.67213767609051,4.84811111456979,14.3414020157757,NA,24.8794006536038,222.9981,212.7867,208.5169,200.52815,398.0485,214.3181,310.992,311.9814,295.391375,247.62345,398.0485,270.7736,169,577,224,15,1,17
"ZNF582",0.021399705339921,0.0126932807596499,0.970137222439614,0.479147885035825,0.970357505126565,0.994671206611686,0.89603295305089,0.969175897337333,0.978544790666109,0.993068991745361,0.695535092149279,0.99891874096767,0.999994812187441,0.999609213092356,0.984465943315924,61.5742775147929,52.7278894280763,50.7388441964286,46.13118,27.2544,49.6849764705882,2.70692473381117,1.35499900341586,1.93579542658228,7.29078465162701,NA,7.95852981827346,35.2615,26.8734,27.942525,29.1869,27.2544,24.6275,84.2627,73.3285,71.208025,65.18345,27.2544,79.9864,169,577,224,15,1,17
"ZNF285",0.999999808569856,0.494584009141462,0.176025816240183,0.935962081163384,0.920849331335023,0.999773396794805,0.303088916617486,0.303921843210651,0.215273264279078,0.212952172676636,0.924666673601487,0.921740898254631,0.53108491131263,0.715986423290095,0.481072400064533,93.8827479289941,94.2536835355286,82.5796330357143,77.8841466666667,225.1009,109.612382352941,4.50094437463637,2.81259795150402,3.5426330859579,11.3706854512104,NA,20.8441546528853,55.6713,47.654,44.450825,46.7486,225.1009,33.0051,120.8635,127.8846,109.638425,103.6504,225.1009,156.5396,169,577,224,15,1,17
"ZNF275",0.999462398374204,0.980961562894423,0.994148960454985,0.960879790425134,0.926806759567727,0.875441947005409,0.997049363945405,0.997795493774928,0.998655990532834,0.984395320452586,0.999979064728558,0.99969453667855,0.997396782407265,0.995733954680991,0.996029703425874,610.754628402367,603.433019930676,592.587288839286,667.41084,491.2517,621.783594117647,18.9501471488424,10.7969000972452,15.9460034936161,56.585143370794,NA,56.0577997119783,433.9541,420.0923,437.086975,539.75505,491.2517,410.4577,736.6749,746.9059,728.5981,761.6073,491.2517,770.7736,169,577,224,15,1,17
"ZNF37A",0.789312784093131,0.558150135543502,0.980312072133517,0.999996741030872,0.993793699797054,0.974871836332488,0.950048516360974,0.971822550454791,0.979893662619097,0.948782298779354,0.956931856332042,0.760857621899865,0.640301601136219,0.995241934940448,0.891624622575017,740.814947337278,704.246513864818,686.069880357143,751.143213333333,453.5666,811.160123529412,27.843560578598,13.115479443724,21.5890550668672,65.489357967371,NA,59.9002550068467,508.0429,489.3779,495.189775,543.46355,453.5666,655.6616,879.4326,857.416,808.26935,853.9923,453.5666,901.5172,169,577,224,15,1,17
"ZNF510",0.650252385323103,0.69773565139342,0.999971870325653,0.600247969125289,0.865914424702165,0.896671777388328,0.94066542687748,0.968928885967981,0.971474685395605,0.996864628787964,0.894320415427878,0.569197692208458,0.554966570912974,0.353585705017426,0.854111966389019,346.512502366864,329.827742461005,328.024251785714,292.555426666667,230.4845,380.549652941176,9.63281856241999,5.35198691092516,7.79720596526367,26.5035760444663,NA,34.6614691692121,250.9756,233.7966,250.61,220.964,230.4845,287.7358,412.2573,410.4251,408.3143,337.93845,230.4845,456.2755,169,577,224,15,1,17
"ZNF506",0.263981290759932,0.959429041183215,0.787874196014498,0.452014525118203,0.856267862827673,0.652414097676555,0.999999952319482,0.999993361939277,0.99999999284529,0.998219384535183,0.993329556678433,0.759563388113171,0.94384376958467,0.472717349148629,0.9999669858435,454.100430769231,421.153977642981,439.038613392857,367.992686666667,445.1548,479.228070588235,12.0349105990062,7.6138329834949,10.7533881202475,54.6076124764809,NA,57.5830111946439,367.2036,298.8919,335.14515,243.24255,445.1548,377.3512,539.9523,531.574,536.701025,452.4238,445.1548,578.4076,169,577,224,15,1,17
"ZNF324",0.100580783250239,0.47070059165459,0.993645353082134,0.99926667867522,0.996135584640055,0.999505306937534,0.999999999996263,0.999931616342002,0.999977586394738,0.999999379113694,0.998947561201568,0.995152971917739,0.999401369923928,0.999999999999789,0.999999305279885,233.343527810651,208.668600866551,213.445425,222.942526666667,232.5034,222.760894117647,9.44536961899805,3.74132401434588,9.48981840697405,18.6615474958854,NA,16.1178544042812,178.2657,161.0678,158.025,176.18955,232.5034,178.2579,263.1994,244.085,244.33515,249.2933,232.5034,253.7197,169,577,224,15,1,17
