"gene","p-adj-YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES","count-NO","count-YES"
"ZNF195",0.0298707854708726,435.532260273973,564.584525806452,35.4421109853196,33.0627249856055,265.3436,411.57095,550.6305,638.61815,73,31
"ZNF263",0.692365200851872,569.066132876712,582.122138709677,18.7379884034908,24.4897578112665,465.2599,478.8838,655.7981,674.04625,73,31
"ZNF200",0.686479768952294,235.15931369863,228.964970967742,8.70533348117376,11.4263279450237,180.601,187.256,273.9617,272.03315,73,31
"ZNF582",0.773219243318072,10.5916821917808,9.58084516129032,2.0188221955889,2.48524063482508,2.2386,2.2204,11.0614,11.32405,73,31
"ZNF285",0.898951170655349,12.689297260274,12.1634935483871,2.3340884832778,3.15018273986728,2.7583,1.97015,14.7106,17.5407,73,31
"ZNF275",0.752672374688054,777.82707260274,803.330229032258,43.092914378251,71.0829966432642,535.4144,534.3017,967.4892,980.8404,73,31
"ZNF37A",0.0819334910234069,500.621546575342,584.272216129032,26.9885601732672,35.9664468605645,322.3229,446.66015,686.7164,722.52615,73,31
"ZNF510",0.0101423225134138,306.514747945205,375.5762,13.4357227336776,25.2646811353592,219.2021,270.7711,397.7951,436.74645,73,31
"ZNF506",0.133739854513475,412.738187671233,535.807861290323,42.8712200157482,73.7110031429016,218.9921,308.7228,460.5968,674.13215,73,31
"ZNF324",0.149908983467966,242.515720547945,191.176619354839,22.59203330049,10.1964554071727,155.2622,152.9025,263.5582,215.56025,73,31
"ZNF671",0.396300577422522,61.9202863013699,73.0165290322581,7.89728002716212,7.24444272681116,24.3902,41.5387,68.1345,99.33355,73,31
"ZNF416",0.607163095368101,114.966336986301,120.939664516129,6.54838703986005,8.821014451709,79.7665,95.1685,138.3648,141.0592,73,31
"ZNF586",0.237964688977701,213.910854794521,240.931867741935,12.9799132213378,16.8652585020699,144.1071,171.3453,249.136,301.457,73,31
"ZNF446",0.159292858062522,198.812978082192,165.185164516129,14.1788733880727,14.3644425358528,132.8474,125.62425,228.1749,166.0327,73,31
"ZNF8",0.292075755263936,230.619016438356,257.229351612903,14.4955557720971,17.8659437365788,148.3765,176.9637,271.318,340.78075,73,31
"ZNF264",0.762231485189192,1194.16584931507,1158.1353,69.1021486138888,81.7223324670345,719.303,821.6021,1517.6099,1447.5078,73,31
"ZNF213",0.0453209562793906,739.286076712329,612.803993548387,37.0417654565284,39.2687854012425,577.2137,488.20865,866.1061,660.0795,73,31
"ZNF343",0.421154272839502,311.394836986301,294.937261290323,11.0768628374822,17.2465990782473,240.0262,215.26905,367.2916,361.53465,73,31
"ZNF302",0.0227646235639279,354.755775342466,476.818974193548,22.9708921913165,60.5615795172374,216.8893,295.73395,457.9023,516.0359,73,31
"ZNF268",0.0380269818308061,340.134978082192,427.746483870968,19.1841333845176,45.4585308377519,230.7616,276.8549,411.9757,543.46995,73,31
"ZNF184",0.0232156784126207,209.806384931507,260.68905483871,9.75298094724089,25.0157426628874,165.1643,180.69525,234.5414,285.7211,73,31
"ZNF500",0.417835547066321,253.870108219178,237.97764516129,10.9025432329395,15.462248894111,195.61,180.1426,326.3441,303.1864,73,31
"ZNF419",0.133415330992176,81.453098630137,97.7245,5.49699763826416,10.2619451443828,52.7338,58.8531,101.051,129.3389,73,31
"ZNF175",0.317162531876872,161.020520547945,139.753958064516,11.3883702727459,18.3071997238015,93.4442,63.0033,206.8742,176.14655,73,31
"ZNF14",0.13645276072917,147.8566,180.292009677419,11.6389466624222,18.6778313595558,93.9365,92.1979,189.9101,227.114,73,31
"ZNF85",0.587358729530346,51.4029178082192,45.0014967741935,6.62281706697099,9.06069797788807,14.071,12.85105,74.0851,50.88965,73,31
"ZKSCAN1",0.0313900866385888,1844.08931780822,2466.12615483871,140.926265950489,285.785114531377,1027.0769,1258.3703,2300.2641,3086.3034,73,31
"ZNF862",0.824358351158607,397.109865753425,412.325590322581,39.352721664702,49.0612814374114,180.0809,181.30225,473.0014,555.96855,73,31
"ZNF684",0.203133299136649,56.3488726027397,64.6385451612903,3.7943197953299,4.31176142967177,33.9734,46.15095,74.7318,76.96105,73,31
