"gene","p-adj-Low grade dysplasia-High grade dysplasia","p-adj-Negative/no dysplasia-High grade dysplasia","p-adj-Negative/no dysplasia-Low grade dysplasia","mean-High grade dysplasia","mean-Low grade dysplasia","mean-Negative/no dysplasia","SEM-High grade dysplasia","SEM-Low grade dysplasia","SEM-Negative/no dysplasia","Q1-High grade dysplasia","Q1-Low grade dysplasia","Q1-Negative/no dysplasia","Q3-High grade dysplasia","Q3-Low grade dysplasia","Q3-Negative/no dysplasia","count-High grade dysplasia","count-Low grade dysplasia","count-Negative/no dysplasia"
"ZNF195",0.974023206566202,0.26030527241325,0.774800235891323,558.800459259259,530.50015,444.553334210526,33.7075282298576,93.5854663846645,56.807168870217,424.8555,388.492275,263.03825,615.79125,544.1922,530.69995,27,6,38
"ZNF263",0.864814520690018,0.0883255210537164,0.763586377336067,585.609403703704,554.112166666667,512.285286842105,24.9171018332874,59.226052583294,22.5136358172931,508.12715,460.33115,447.723075,657.82195,673.081225,588.183525,27,6,38
"ZNF200",0.934389913946414,0.0962187771467825,0.676038774004298,246.782581481481,236.07865,210.979005263158,14.5745241447226,23.6621442919381,10.1350873354997,192.7109,205.789125,171.114475,284.1063,279.19835,233.4688,27,6,38
"ZNF582",0.910135591656939,0.999586007683556,0.898661939725895,10.4467555555556,7.15086666666667,10.5685368421053,2.92804493941708,1.75657538308051,3.27537357419677,2.2204,5.248625,2.306275,11.815,9.034925,10.39085,27,6,38
"ZNF285",0.216925070520392,0.484909051060789,0.533386943616424,14.6303222222222,3.15941666666667,10.2603736842105,3.95452253602502,0.821619920002214,1.7702819879155,1.72245,2.327825,2.694475,21.7494,3.874875,13.96035,27,6,38
"ZNF275",0.620825598545488,0.732351740998788,0.858067186322286,789.735611111111,647.401116666667,725.669644736842,62.6216090741699,97.9505202932257,57.8893265513979,534.3017,450.00075,430.90805,1014.1047,827.325525,864.00825,27,6,38
"ZNF37A",0.894695192050004,0.0657930788034313,0.677651739917136,606.979485185185,559.732183333333,473.512092105263,38.832423339548,115.111043910534,39.8117159684974,452.9107,309.222275,259.077625,738.47615,797.80335,681.349725,27,6,38
"ZNF510",0.929119472627289,0.0644056334696842,0.620117584569895,359.345037037037,339.3258,289.461757894737,20.2682074180779,81.833227899279,19.0944395074138,293.35825,207.141575,214.744625,420.61865,475.503025,388.568725,27,6,38
"ZNF506",0.868366443270755,0.64763755800656,0.999946443009778,508.778911111111,417.862233333333,419.583778947368,76.9351617704796,135.21900030455,65.5775201818542,324.06045,182.43515,201.8534,546.46575,568.930575,404.193325,27,6,38
"ZNF324",0.963135834424637,0.174872347106312,0.398013626573825,181.277103703704,170.419666666667,223.188155263158,9.81229236750653,29.4077543586003,18.5475276587267,148.3973,114.000925,156.128025,207.60785,204.683025,251.142425,27,6,38
