"gene","p-adj-Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","count-DiseaseFree","count-Recurred/Progressed"
"ZNF195",0.0699819695528308,404.143870422535,488.76893943662,28.0293510227367,36.9077757259876,237.45335,286.25045,462.02845,561.6629,71,71
"ZNF263",0.31805453136357,570.152346478873,543.613611267606,20.5480895983927,16.7098765039099,448.94305,447.7638,654.9159,622.16355,71,71
"ZNF200",0.869760337658259,236.437078873239,234.001508450704,11.2148007061653,9.69915361406875,172.09945,173.9988,268.45775,272.2727,71,71
"ZNF582",0.274319753249662,12.4179478873239,9.72967042253521,2.13253451505358,1.20517668889934,2.9294,3.48095,14.2316,12.4674,71,71
"ZNF285",0.186850812972338,13.4426169014085,18.3895436619718,1.93221366744048,3.18988404198125,3.06625,3.1492,18.31755,24.22415,71,71
"ZNF275",0.0422273598284587,723.891611267606,853.892157746479,39.5525237299038,49.5672811064795,443.81255,566.7604,900.6938,1035.60405,71,71
"ZNF37A",0.241097672708256,509.405245070423,552.496677464789,26.9737738807376,24.7437789514546,336.05805,410.0394,687.05505,691.4094,71,71
"ZNF510",0.459228737912474,329.208411267606,349.036238028169,21.922554635327,15.2692681925293,232.45715,241.55745,400.46225,411.44225,71,71
"ZNF506",0.144745431193362,369.708946478873,442.745149295775,30.7046468083548,39.2103888343211,195.0927,275.04575,456.7221,618.38065,71,71
"ZNF324",0.446539732265638,210.128933802817,230.122211267606,13.5783467703154,22.3969803763379,154.9916,153.2301,249.481,250.95975,71,71
"ZNF671",0.129420332692482,57.0947267605634,69.5031845070422,5.05334595219636,6.37467818167175,25.23935,33.1944,78.9323,88.8208,71,71
"ZNF416",0.219079002093271,102.629976056338,113.992035211268,6.09749229152057,6.89405042930812,67.0596,72.91425,133.65645,135.66395,71,71
"ZNF586",0.0657217992612465,196.308194366197,229.477994366197,10.7398982047615,14.2985530603192,141.6754,138.9265,233.4497,292.15775,71,71
"ZNF446",0.529176925250571,192.515252112676,205.590784507042,14.1370101682972,15.1580895978896,130.8227,130.75485,222.29895,245.252,71,71
"ZNF8",0.157723278094781,222.234669014085,249.743129577465,12.1075223946045,15.115983066257,151.1973,161.8879,276.6458,324.9929,71,71
"ZNF264",0.219862459347104,1102.88104647887,1223.48846901408,63.4359344642161,74.5191000671039,716.74665,762.52565,1335.34335,1498.6001,71,71
"ZNF213",0.223309246163647,738.02918028169,684.570983098592,30.6641418593346,31.140215005751,530.5532,497.43015,901.4586,852.35185,71,71
"ZNF343",0.113826846810148,314.085077464789,287.036597183099,13.5880911063947,10.214384307855,224.59515,221.89895,376.7094,327.9807,71,71
"ZNF302",0.0614072089130296,365.733056338028,443.186054929577,23.7222049527365,33.5308811386238,220.367,290.61295,447.25245,519.60045,71,71
"ZNF268",0.931797690251346,395.591398591549,392.48226056338,26.028333874177,25.2501112983194,279.01235,248.83045,483.70145,495.26065,71,71
"ZNF184",0.839769760653976,228.069061971831,231.754953521127,12.2825998378785,13.4252812931424,163.0413,176.64495,268.44945,249.3223,71,71
"ZNF500",0.153932959255186,260.794638028169,240.962557746479,9.25616887008,10.2816412706243,213.64815,180.1426,297.8606,284.8488,71,71
"ZNF419",0.193977970809743,78.4840845070423,89.5485028169014,5.10439412234794,6.76843589487037,48.8238,46.6241,104.18655,118.80075,71,71
"ZNF175",0.689394533204801,149.028202816901,142.834591549296,12.088948915364,9.64402747042463,85.4632,88.04705,184.4893,186.49375,71,71
"ZNF14",0.342700045828016,143.681073239437,157.774549295775,10.8464835868556,10.0737302217204,89.06575,106.4662,188.2905,195.9365,71,71
"ZNF85",0.891793736368054,52.5088323943662,53.7856478873239,6.6119630250012,6.63762132665792,13.73685,14.15445,74.09785,82.66875,71,71
"ZKSCAN1",0.364989080420617,1942.60655774648,2126.4843028169,142.649295329353,143.470707653072,1193.2697,1308.29025,2255.32915,2520.02005,71,71
"ZNF862",0.866091724712795,402.704583098592,410.853887323944,36.9717064016298,30.985902203831,189.18965,202.48025,500.12665,545.6421,71,71
"ZNF684",0.32130252376627,57.3888464788732,62.7123535211268,3.60249705410516,3.95340755704798,33.8688,37.3212,73.16,75.0266,71,71
"ZNF430",0.155157859459681,165.286642253521,186.836594366197,9.92529158239576,11.3501742131554,112.71725,125.10625,208.15755,227.62195,71,71
"ZFP30",0.0535381725646494,107.833687323944,140.601776056338,9.97467114602279,13.5558103821968,45.54435,49.11735,153.1215,239.97305,71,71
"ZNF549",0.13385773946221,112.514021126761,139.157514084507,12.2540681436937,12.7310750876795,48.95025,51.27795,158.35415,206.3259,71,71
"ZNF211",0.0321790218142439,181.409856338028,223.555636619718,11.3573069869994,15.8241121428486,101.99155,126.2114,227.09855,293.8865,71,71
"ZNF205",0.403503767510824,275.026356338028,261.997287323944,11.5504779703221,10.4099501143776,207.05805,200.70595,331.3446,327.2325,71,71
"ZNF45",0.966445532700493,230.531335211268,229.712702816901,15.3758301480286,11.8716655060671,163.3245,165.5721,247.91245,270.23135,71,71
"ZNF133",0.0413131868858809,359.356798591549,305.480329577465,21.3110458659559,15.1749663150748,235.7708,229.57,443.5136,355.31625,71,71
"ZNF436",0.464200066045736,790.391249295775,736.939953521127,54.9594045544455,47.7814219285886,475.4144,385.19005,1003.19595,1022.30655,71,71
"ZNF484",0.464889143768311,168.003036619718,177.940804225352,8.66485097691413,10.4315573047305,119.18765,115.1825,196.5534,217.8418,71,71
"ZNF780B",0.380279234516667,338.648145070423,369.631943661972,25.0689841885291,24.7133585076857,193.36935,218.5636,406.7341,433.99145,71,71
"ZNF557",0.38552732616408,186.800209859155,197.766632394366,9.76368420331078,7.96133056895695,133.92345,152.15125,216.1928,234.4657,71,71
"ZNF337",0.529403164328552,438.800495774648,416.349650704225,28.1962209605202,21.7474395761636,325.56115,293.48855,508.32795,491.96465,71,71
"ZNF317",0.423555400745873,914.019295774648,946.584988732394,32.8090276777921,23.8713296330951,721.5555,763.0216,1056.8039,1086.58035,71,71
"ZNF426",0.777287276834412,241.173277464789,230.462276056338,31.8136266383242,20.4036035751211,103.92935,119.8343,270.2942,278.83695,71,71
"ZNF331",0.912085279118197,278.998430985915,284.250764788732,32.7803463858106,34.3562822116184,76.3983,66.01975,355.39915,392.6455,71,71
"ZNF227",0.817249886240392,256.242564788732,261.012732394366,13.7499010630352,15.3446146110967,184.8611,179.6206,306.323,300.1046,71,71
"ZNF141",0.306835578339602,70.8893295774648,81.2203323943662,7.16937595892137,7.07547668941321,37.15625,40.0428,87.4791,111.3595,71,71
"ZNF304",0.286838988156459,294.490425352113,322.212738028169,15.7617814276583,20.5885019501734,193.58655,212.97075,347.8411,392.3668,71,71
"ZNF132",0.391417752593582,54.4808436619718,60.951738028169,4.35906656589301,6.13608577677964,30.54205,29.26495,65.4132,74.51125,71,71
"ZNF20",0.280164059182116,94.701414084507,102.128433802817,4.72048857270893,4.9646160788956,65.98415,77.16295,116.6825,121.12665,71,71
"ZNF670",0.194644085346738,85.6166056338028,94.8594845070423,5.69036298296399,4.23346508886116,55.49895,66.53805,101.11165,119.10945,71,71
"ZFP37",0.673927399906832,63.5185816901408,67.2922661971831,6.25008296536751,6.40589835382493,30.67255,32.96895,81.8351,92.49935,71,71
"ZNF189",0.813608165134298,487.470726760563,478.632071830986,28.100208724832,24.7068493397154,311.4993,340.0413,637.674,594.7451,71,71
"ZNF434",0.494146605468496,350.363774647887,339.918291549296,10.5614865825772,10.9830646263008,283.10855,286.8212,411.99155,389.04095,71,71
"ZNF287",0.232705170115968,67.4693633802817,57.4927563380282,5.49402547399321,6.25269373599828,30.1692,15.3946,91.5381,86.45085,71,71
"ZIM3",0.604925800728701,0.830729577464789,0.473207042253521,0.567479115886551,0.391684251907644,0,0,0,0,71,71
"ZFP14",0.869362387512624,149.564078873239,152.36726056338,13.1463443045053,10.7983368298012,79.02555,81.6728,187.24575,202.00485,71,71
"ZNF473",0.135667065469528,315.45384084507,353.300794366197,18.3848472379987,17.2616094909429,215.6595,241.02225,377.4843,423.05325,71,71
"ZNF614",0.0484902963394126,226.798885915493,299.900656338028,23.2285282389015,28.4477491910173,107.65485,149.25245,275.20455,393.34695,71,71
"POGK",0.475041691524456,2020.69801549296,1940.34074084507,89.4932464224099,67.6652933727661,1510.88395,1546.4723,2342.4402,2274.6239,71,71
"ZNF514",0.252332103119137,256.419366197183,283.502411267606,17.5100866349731,15.7656817679642,165.36845,183.00995,296.0776,360.79995,71,71
"ZNF300",0.230435073130535,100.699063380282,126.282471830986,8.77708306408433,19.3418394398352,40.7327,40.73745,143.9475,151.3373,71,71
"RBAK",0.600079423607622,822.496066197183,849.437314084507,33.0178686696001,39.2223290174946,638.0174,640.9899,988.2556,968.0305,71,71
"ZNF92",0.0683444506300156,302.208938028169,349.869290140845,17.6019089616373,19.0621958830972,200.9273,234.07165,389.84995,411.09455,71,71
"ZNF157",0.674624870307322,2.19057605633803,2.4700985915493,0.417514656523975,0.516870349533939,0.30155,0.2213,1.82055,2.53425,71,71
"ZNF182",0.122331288382707,174.646246478873,201.919585915493,11.8497651912108,12.9389262575202,116.72255,136.0789,217.393,249.08495,71,71
"ZNF673",0.162005210146676,168.149271830986,187.244114084507,8.43449716315826,10.6470643517829,123.1413,128.4974,198.13655,223.3066,71,71
"ZNF41",0.515996025739826,282.622635211268,297.86854084507,19.3060902301261,13.2448735191563,192.58545,212.27685,326.58955,352.6404,71,71
"ZNF7",0.476308313014079,491.189657746479,513.478061971831,18.2892292988515,25.2879888965578,376.36415,365.5118,577.3903,646.68625,71,71
"ZNF214",0.775183315365142,27.8508042253521,29.1452436619718,3.38839789759293,2.99691993364034,7.93045,10.2756,39.435,41.12115,71,71
"ZNF215",0.664214943080915,65.6188802816901,61.0968422535211,7.85821265047767,6.80461810136463,10.735,12.5217,107.5306,95.2954,71,71
"ZNF547",0.172667274820588,40.9347056338028,48.1368098591549,3.17714862825327,4.18501351951457,20.6132,23.9617,49.97195,65.72195,71,71
