"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZNF195",0.628972143094674,481.414038461538,453.308508227848,53.1655756398315,21.8702014202649,307.01055,263.03355,555.15765,562.14885,26,158
"ZNF263",0.623685683665641,576.053926923077,559.704765189873,34.8552732565719,12.2243415631287,486.996,450.750325,617.887725,654.56165,26,158
"ZNF200",0.529405997116745,246.248465384615,234.918060126582,15.5130914227981,6.83057753775441,181.916875,176.424725,287.64205,270.428125,26,158
"ZNF582",0.0970860067100859,15.2240192307692,10.1012151898734,5.027658004026,0.939787454026498,3.855325,2.88595,10.543075,12.96705,26,158
"ZNF285",0.629846491187802,12.6522846153846,14.7576658227848,3.1794743707034,1.68837224904625,2.5678,2.9329,20.43295,18.438725,26,158
"ZNF275",0.507085870397338,830.745880769231,777.616329113924,85.8640857871691,29.2120587923781,543.1549,490.13655,1026.7653,982.2764,26,158
"ZNF37A",0.349407386333551,568.080515384615,523.367203797468,51.9789486407549,17.3578703291352,374.8376,343.181075,674.718575,691.7047,26,158
"ZNF510",0.679698896778371,320.044203846154,333.201668987342,27.0022936906886,12.1126189109954,244.4735,232.410325,403.7966,403.866825,26,158
"ZNF506",0.842492939810206,409.300346153846,423.280094936709,46.5159995076477,27.4185089840893,266.581375,228.84885,520.73035,525.624125,26,158
"ZNF324",0.43940499896295,197.825723076923,221.662738607595,13.5059628919598,12.2565706109525,145.123025,158.732525,250.67015,244.60625,26,158
"ZNF671",0.956472974519943,63.2535461538462,63.9046253164557,10.3651625491833,4.51993158168868,25.41385,27.92155,78.563425,79.117825,26,158
"ZNF416",0.628469402519624,102.998492307692,108.597138607595,8.78650972119265,4.45325969622182,74.128425,68.271475,122.4838,134.06255,26,158
"ZNF586",0.505952359842973,205.029230769231,219.632937341772,23.1804672217682,8.03542269174023,147.312575,148.101425,255.424075,261.555725,26,158
"ZNF446",0.226676047753753,170.627361538462,201.206165822785,14.7004545385844,9.92092653474915,113.747925,135.1912,216.07735,230.706475,26,158
"ZNF8",0.732512425162935,227.314476923077,235.529870253165,20.3308438341757,9.13890240059314,166.374125,152.177075,274.672525,302.290825,26,158
"ZNF264",0.521948509915615,1235.54929615385,1158.47175696203,124.2720488189,44.2657839982942,979.6789,738.639675,1426.182625,1466.770875,26,158
"ZNF213",0.420983245247675,684.361684615385,732.908434177215,45.1896267365437,23.2368993368677,528.557675,529.813325,844.258825,897.173675,26,158
"ZNF343",0.543308692081989,313.360307692308,300.696458227848,22.7584039025769,7.56756093742522,224.17945,222.472125,363.303175,359.5305,26,158
"ZNF302",0.954017939024409,404.850534615385,401.865553797468,54.42730248484,18.9772561225567,271.132425,235.207475,432.7324,495.14015,26,158
"ZNF268",0.330915504897182,337.843607692308,380.914211392405,33.9998266387254,17.0130579034155,210.265425,242.365225,418.55045,482.42245,26,158
"ZNF184",0.64043571288136,220.381976923077,230.501806962025,20.5535674469918,8.09716003676268,140.941725,175.34445,278.06135,263.036875,26,158
"ZNF500",0.711902432238167,253.116588461538,246.7411,16.7852392594935,6.42528575773956,196.2451,189.00445,300.484225,292.2717,26,158
"ZNF419",0.957333520584334,82.3030307692308,81.7493196202532,9.35827176331148,3.89913160911471,52.3284,47.393975,120.7251,105.4143,26,158
"ZNF175",0.0550964779994464,177.629446153846,139.007778481013,19.082539515068,7.48454271369842,109.951775,71.7334,211.81335,185.5604,26,158
"ZNF14",0.709467261709086,162.886434615385,154.77335443038,17.6921596963218,8.32045352003703,130.9702,93.6841,177.793625,196.994775,26,158
"ZNF85",0.760725489968382,50.6151461538462,54.9371386075949,9.93596744018762,5.50532374346814,11.95985,13.808575,83.27235,75.788725,26,158
"ZKSCAN1",0.669036908302203,1886.95121153846,2032.43412278481,195.153006988997,133.841846546449,1151.842,1183.77705,2300.11395,2299.85495,26,158
"ZNF862",0.43481874231248,360.725319230769,407.991276582278,46.9840770424466,23.2273072455666,199.66605,186.6333,472.452025,517.73685,26,158
"ZNF684",0.997229595134994,58.8768384615385,58.8539607594937,5.89964575155043,2.48589603238348,37.713375,36.2532,77.06905,71.4777,26,158
"ZNF430",0.912785655481255,177.539069230769,175.428670253165,16.7774203838261,7.29879802886239,122.237375,113.966975,235.158675,213.939875,26,158
"ZFP30",0.331048117849523,142.425080769231,120.699578481013,20.9094130407836,8.36304177874196,42.80805,35.138475,224.00515,158.712575,26,158
"ZNF549",0.515771328063501,135.070815384615,120.559863291139,22.7424882720242,8.23390108480061,51.272475,45.875725,181.02195,178.6398,26,158
"ZNF211",0.817632752870137,197.859380769231,203.508693670886,18.809378251621,9.42145157763824,131.262875,112.394375,232.8599,268.379275,26,158
"ZNF205",0.211513027141408,244.444123076923,268.781648101266,17.0333322990002,7.35625713446231,189.364175,202.740275,267.355325,331.077625,26,158
"ZNF45",0.923108937270229,227.738592307692,230.117746835443,14.3645318929732,9.68748787339281,179.997475,159.730525,255.732075,269.447025,26,158
"ZNF133",0.258588970639159,360.015319230769,324.676275949367,44.9970559428004,10.3066332699783,230.470025,232.4216,398.52795,385.6221,26,158
"ZNF436",0.431772065962658,788.615392307692,718.779353797468,99.7962816047217,32.0294585280911,407.39885,400.6081,1164.11845,918.000925,26,158
"ZNF484",0.700312315537471,162.738842307692,169.151283544304,12.9500248785032,6.39748065396516,121.9931,112.258175,187.4293,202.001,26,158
"ZNF780B",0.427848688848109,385.742723076923,351.04610443038,42.4788416258941,16.2787198782264,284.65795,198.946325,423.158975,414.789275,26,158
"ZNF557",0.375990518550366,203.375753846154,189.935553797468,15.207582291931,5.613201983097,155.352,143.821425,257.68195,219.71715,26,158
"ZNF337",0.285713595007198,469.049534615385,423.436258227848,62.7795938188196,13.9284084788616,295.074525,311.1581,523.286875,510.1416,26,158
"ZNF317",0.685732389844826,947.027684615385,926.567672151899,41.8572789394109,19.2748860216149,786.937525,734.860075,1068.29185,1053.884025,26,158
"ZNF426",0.488042959823871,245.845980769231,215.823489240506,30.7779259922067,16.7627404444053,125.753825,108.816075,309.374125,254.975475,26,158
"ZNF331",0.88280364975103,282.939403846154,274.227467721519,64.8432288774718,21.4549373252583,73.011525,71.5012,285.550025,374.251175,26,158
