"gene","p-adj-Esophagus Squamous Cell Carcinoma-Esophagus Adenocarcinoma, NOS","mean-Esophagus Adenocarcinoma, NOS","mean-Esophagus Squamous Cell Carcinoma","SEM-Esophagus Adenocarcinoma, NOS","SEM-Esophagus Squamous Cell Carcinoma","Q1-Esophagus Adenocarcinoma, NOS","Q1-Esophagus Squamous Cell Carcinoma","Q3-Esophagus Adenocarcinoma, NOS","Q3-Esophagus Squamous Cell Carcinoma","count-Esophagus Adenocarcinoma, NOS","count-Esophagus Squamous Cell Carcinoma"
"ZNF195",1.61040070167928e-11,591.4451625,334.29515625,31.1206689866949,18.9323180354002,403.2561,218.257725,728.258225,399.63465,88,96
"ZNF263",0.257807994210716,575.714203409091,549.457344791667,17.0503098773688,15.690140839002,460.507825,446.696275,667.391275,621.139825,88,96
"ZNF200",0.751937694614604,238.591754545455,234.619158333333,7.66383658911583,9.74603960823753,185.241425,170.82675,288.193625,261.384575,88,96
"ZNF582",0.502339769456647,11.5810375,10.1321375,1.76813579903908,1.27791120551569,2.73405,3.241675,13.583425,11.405575,88,96
"ZNF285",0.521430404464262,13.4414011363636,15.394034375,2.39368886097907,1.91198496383055,2.39455,3.653475,14.0326,20.244225,88,96
"ZNF275",0.25253448320133,818.424359090909,754.598221875,36.1149406096721,41.689409854111,589.9391,449.157725,1012.51625,886.4296,88,96
"ZNF37A",1.58241122805158e-06,610.658627272727,455.459920833333,23.0398661978285,21.2152361549624,462.6598,287.24215,739.309275,580.601975,88,96
"ZNF510",0.123328410285336,349.154678409091,315.014596875,12.434243238452,17.7704978052948,264.362675,219.08385,417.003825,380.0292,88,96
"ZNF506",1.92098052380629e-05,528.010240909091,323.491279166667,40.5225763095424,24.7068456034479,307.480675,165.2557,671.462525,391.1964,88,96
"ZNF324",0.00572614200402666,187.600827272727,246.430298958333,5.92755625106851,19.3926313509276,150.1646,169.7871,214.53435,262.7209,88,96
"ZNF671",0.00324458268180106,76.4367465909091,52.2405135416667,5.06133724656477,6.22688253285151,43.13665,20.656,102.361425,64.4036,88,96
"ZNF416",0.140072746932114,114.000701136364,102.127572916667,5.55576134382136,5.7357385302115,79.30725,56.7424,134.195075,126.76485,88,96
"ZNF586",0.0181299448486804,236.3115375,200.38905,10.3522276801232,10.8618343988778,172.3478,128.240425,282.818475,247.594825,88,96
"ZNF446",0.00248552819655345,169.339278409091,222.135719791667,7.62559922028237,14.9182461791668,118.99635,145.477775,200.918925,243.664675,88,96
"ZNF8",0.0125587533240613,256.014644318182,214.527158333333,10.4650492174092,12.4976989479114,176.778425,136.5332,326.815825,265.6948,88,96
