"gene","p-adj-stage I-N","p-adj-stage II-N","p-adj-stage II-stage I","p-adj-stage III-N","p-adj-stage III-stage I","p-adj-stage III-stage II","p-adj-stage IV-N","p-adj-stage IV-stage I","p-adj-stage IV-stage II","p-adj-stage IV-stage III","mean-N","mean-stage I","mean-stage II","mean-stage III","mean-stage IV","SEM-N","SEM-stage I","SEM-stage II","SEM-stage III","SEM-stage IV","Q1-N","Q1-stage I","Q1-stage II","Q1-stage III","Q1-stage IV","Q3-N","Q3-stage I","Q3-stage II","Q3-stage III","Q3-stage IV","count-N","count-stage I","count-stage II","count-stage III","count-stage IV"
"ZNF195",0.950376760347742,0.996461488351801,0.979669973249354,0.996558382284925,0.983711556462693,0.999999982978267,0.977339147448709,0.763644767055424,0.879753601972849,0.884481825030106,478.826433333333,412.439868421053,452.786567948718,451.977772727273,545.129944444444,30.178385019047,35.4750670768848,37.9213329651426,32.6573287910187,115.282321775414,395.4912,328.98625,232.25585,272.2057,265.3436,558.022025,463.0515,571.092025,548.44515,831.3968,18,19,78,55,9
"ZNF263",0.999382376667229,0.999098613619707,0.999999577199944,0.999364429507927,0.999998812072477,0.99999997272371,0.995516413702576,0.979212101132289,0.970271070703425,0.973935072897633,571.331105555556,559.629147368421,561.092458974359,561.599954545455,595.433544444444,27.4046978965876,45.857690563668,17.3996005928639,18.9124202189629,70.70242367776,476.9649,435.4678,441.927325,466.29365,424.208,651.7004,618.2326,651.7405,620.7581,730.4637,18,19,78,55,9
"ZNF200",0.962331436078638,0.999999916507629,0.900986318587658,0.994368189625967,0.993572793409064,0.964740140376343,0.999999926302615,0.979289540451314,0.999999998235413,0.99736165749707,241.196205555556,222.207952631579,241.748751282051,231.769307272727,242.032366666667,14.8227689634436,19.2782956036426,11.0151551305967,10.9044852283797,12.2194054245127,200.049075,165.0268,171.636,176.03815,219.2718,267.4589,245.9175,273.98855,270.75355,269.8484,18,19,78,55,9
"ZNF582",0.787289067582443,0.999803565267152,0.700894801497816,0.999705448860205,0.745650422222569,0.999999508907583,0.669303250712508,0.993176954793819,0.614681562593819,0.645771178840695,11.5331388888889,6.97547368421053,10.9853987179487,10.9032018181818,4.88072222222222,4.01735586518364,2.10862193353556,1.54131333957685,1.29570874765802,1.58503801231826,2.254725,1.8543,3.4479,3.2055,1.7786,13.301875,10.14805,11.786725,15.41595,7.0224,18,19,78,55,9
"ZNF285",0.41646641463201,0.960017420674417,0.54407370385411,0.974099448219252,0.548030196283171,0.999990618731846,0.372385243006391,0.99372772637353,0.506133000333332,0.502361335724963,19.1363111111111,7.38815789473684,15.4581602564103,15.7486381818182,3.92616666666667,5.63764195329236,1.98086389539142,2.33581107413686,3.17465319511213,1.3615471320442,2.9588,1.36485,2.998475,3.35915,1.8206,25.8316,9.96425,20.00165,18.96085,4.1337,18,19,78,55,9
"ZNF275",0.689495530639927,0.949084780062364,0.885396297941618,0.994554435840993,0.749850208115584,0.99008209492545,0.604437664472969,0.0931741563977394,0.181009521224297,0.303285710491517,832.884172222222,673.949173684211,762.044793589744,792.600289090909,1050.4349,102.979172057376,74.148272105842,39.1884690527735,44.6562770702993,224.974690504619,565.713925,405.0713,455.778325,576.231,791.2532,986.50105,955.9827,879.108975,1043.90895,1042.241,18,19,78,55,9
"ZNF37A",0.946017523458888,0.359182333480373,0.890391788112601,0.99999997899558,0.896321956826074,0.0591653248677865,0.99612047729545,0.999328351706629,0.882920477912561,0.994404552860438,580.898822222222,527.428178947368,476.14901025641,579.865052727273,548.162488888889,38.6782547240479,53.2149951609608,23.2952533242891,31.6484979751482,96.3719145268078,457.1846,367.1516,320.90745,392.4098,260.0131,737.92615,672.6933,581.478525,745.45475,683.6391,18,19,78,55,9
"ZNF510",0.999846506785218,0.999997718887114,0.998908572932973,0.999217135007454,0.991611944833509,0.998399351925333,0.948547971261528,0.97364079902983,0.89967614715782,0.847743548070813,331.054016666667,322.940768421053,333.299907692308,341.159730909091,285.318944444444,22.7976779679469,31.9334371325832,20.4937755644369,18.2111215157245,26.3701362895559,263.64325,216.61325,237.354175,231.4472,252.8482,404.4069,411.06155,406.34545,405.0613,328.419,18,19,78,55,9
"ZNF506",0.573711768598063,0.888865601577414,0.868902563064324,0.917718890611859,0.864830578134458,0.999994278788457,0.999912680613293,0.823845534334219,0.985147989460431,0.989478723167942,496.809772222222,333.935763157895,416.578698717949,420.731854545455,477.743422222222,64.1994939744712,51.117886484845,39.4476483143011,48.6943417198342,105.980862530721,336.954025,197.5441,221.68545,262.44225,254.8256,650.7156,437.32725,544.336125,443.33175,716.5898,18,19,78,55,9
"ZNF324",0.144775350230318,0.0110516110491119,0.995999466898114,0.0250033675697957,0.99960549293358,0.999402282303452,0.122824222271848,0.984255719849969,0.997108556168569,0.99188747989306,327.507633333333,217.947352631579,204.353653846154,210.112125454545,187.149333333333,80.1292795200148,15.2098294461514,12.744120780631,13.2649689649365,28.2936006129969,162.8424,169.7998,154.328175,157.0666,113.0569,284.66505,266.5009,237.166175,226.4151,206.3751,18,19,78,55,9
