"gene","p-adj-[Unknown]-[Not Evaluated]","p-adj-Negative-[Not Evaluated]","p-adj-Negative-[Unknown]","p-adj-Positive-[Not Evaluated]","p-adj-Positive-[Unknown]","p-adj-Positive-Negative","mean-[Not Evaluated]","mean-[Unknown]","mean-Negative","mean-Positive","SEM-[Not Evaluated]","SEM-[Unknown]","SEM-Negative","SEM-Positive","Q1-[Not Evaluated]","Q1-[Unknown]","Q1-Negative","Q1-Positive","Q3-[Not Evaluated]","Q3-[Unknown]","Q3-Negative","Q3-Positive","count-[Not Evaluated]","count-[Unknown]","count-Negative","count-Positive"
"ZNF195",0.722670513336052,0.0187506162088883,0.994454425325346,0.133289772098669,0.128178809243966,0.000932907166376618,238.300084,204.479022222222,196.123863076923,286.382171428571,8.80130950921563,25.0712282222891,9.79049380967853,24.4877501699009,179.9159,182.2222,143.0305,218.6675,271.746,237.7292,234.7989,360.6839,125,9,65,21
"ZNF263",0.999706468410263,0.00121082356285851,0.320683193893216,0.957136804217671,0.981036953350136,0.267671168027133,720.6846352,727.522533333333,598.591827692308,695.298485714286,19.5650220281204,134.201836558627,20.4008189545459,41.9680637786158,584.8701,528.6368,478.2035,531.026,817.803,727.9138,676.9026,809.559,125,9,65,21
"ZNF200",0.996257605464623,0.996430544420758,0.999378849904359,0.512230281418819,0.923065479693527,0.648604401832729,266.5922032,260.092355555556,263.757810769231,238.634380952381,7.80826633966246,39.2067996332485,10.584425237033,12.7679675517952,196.473,150,215.9962,205.5336,319.0557,331.2139,313.697,268.2688,125,9,65,21
"ZNF582",0.973972881440084,0.638297168755258,0.999690243049679,0.999479459052938,0.972179490496061,0.841600443714245,8.4037888,9.74892222222222,10.0586246153846,8.15951904761905,0.848441439833113,3.87885211061847,1.05077786553451,1.72025037572219,3.2405,2.5316,3.8256,2.9683,9.1887,10.3734,16.1523,11.2202,125,9,65,21
"ZNF285",0.829735757407373,0.411638292467595,0.998506089838268,0.528281770011196,0.999899747574553,0.987346296286759,16.9502656,10.0847777777778,11.4241661538462,9.47674285714286,2.63417949589085,4.57221683476461,1.25047778970656,2.37843845879293,3.4134,1.8987,3.6224,2.28,19.4377,7.2246,15.3777,8.8279,125,9,65,21
"ZNF275",0.878118338108163,0.0400175113965988,0.242363018864957,0.945815200714768,0.764634736677413,0.683847381137939,365.2996448,301.418933333333,466.690203076923,397.606514285714,22.1668656593731,46.3448965403689,32.7674093405556,49.886573994206,188.5343,256.6667,273.8852,213.3905,446.4,351.9904,657.0213,507.0202,125,9,65,21
"ZNF37A",0.833729743227056,0.923375694801915,0.697408441181156,0.0268315563597932,0.0802493373208523,0.109089667675748,298.662,228.680288888889,321.710133846154,458.53760952381,25.2770209431604,38.8103124300762,21.3249044118044,37.3748560136637,197.0656,149.2352,217.4063,334.6639,333.8658,271.519,382.6006,572.3337,125,9,65,21
"ZNF510",0.999304235600301,0.129925535003637,0.713191894218841,1.79789594345614e-06,0.00754501029573396,0.0019513962326928,159.3572896,156.679388888889,180.163233846154,236.925123809524,5.39720038741172,19.3753031336605,7.44187601476218,17.3592679621975,120.7792,123.5955,133.3789,166.8947,190.5956,211.5739,214.3365,289.3347,125,9,65,21
"ZNF506",0.62881681618513,0.963660520877447,0.520558680021323,0.376060012869926,0.999774153871044,0.274723503519637,167.0487576,125.572566666667,174.397623076923,128.99599047619,8.96822913503572,36.8804503963181,12.9916419361403,17.4011923357265,87.9272,67.3762,100.1993,68.0838,233.5526,148.686,253.629,168.0173,125,9,65,21
"ZNF324",0.563370098684179,0.163826208724891,0.982777787170441,0.060079365546018,0.0465094723061927,0.00198939410510779,243.1963816,208.836788888889,218.885123076923,288.629080952381,6.98132205867696,24.8338531089589,8.64030012826711,19.1919641752772,187.4459,151.9811,160.7368,225.5863,284.5249,262.0253,265.861,324.4452,125,9,65,21
"ZNF671",0.965712169874591,0.909674129767686,0.880041218314144,0.551848671003625,0.635528364658525,0.838542154025192,37.863876,32.5875444444444,41.1828553846154,47.997280952381,3.05532385147977,8.3664464084904,3.69368373649403,7.35763740544353,15.8198,16.3221,18.3968,20.4485,52.6056,37.3444,59.4035,66.6994,125,9,65,21
