"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF195",0.977561592867228,0.999994408252002,0.974715278942477,0.941992808635091,0.878892711069081,0.949001965384005,0.993119401690826,0.999960141595663,0.991686691574759,0.901966962388367,217.055313114754,209.776068674699,217.755664417178,242.382255555556,206.831916666667,5.89071717358222,15.2539956648362,6.74506026621897,23.9039309048109,14.0007327636532,154.58905,141.3611,160.1953,197.1326,180.39835,268.284975,229.45675,261.40515,290.8545,261.347,244,83,163,9,18
"ZNF263",0.99991742151419,0.999912183273137,0.999999911651929,0.82704880072285,0.866520488826982,0.851279152098783,0.7174778528363,0.799439047909039,0.763343379348957,0.999937913112161,639.234804918033,642.661644578313,642.00538404908,709.345733333333,699.096738888889,12.7539292677836,17.2126142976599,15.9109956630825,61.6667450936483,52.2429472583653,502.22575,529.39855,514.02895,620.3674,529.951925,729.863825,731.78315,743.27665,760.9558,791.8575,244,83,163,9,18
"ZNF200",0.77243125088184,0.0897758022851273,0.934159132916834,0.936695443794665,0.766103791524156,0.553973349547386,0.865322353487536,0.996781981068235,0.999996777615688,0.732483350344991,273.145234836066,261.231190361446,252.668833742331,294.453955555556,253.897816666667,5.17076460646705,9.05151556138873,6.18000083281567,35.5567930628363,16.6666330325018,217.376575,193.53745,202.90935,223.7998,206.139925,314.803875,314.7008,290.88775,298.8179,323.91895,244,83,163,9,18
"ZNF582",0.999626219405201,0.716807199270991,0.788043172072844,0.999516143319752,0.999923757410877,0.977153580170086,0.901930279779299,0.884626431058542,0.996443081573026,0.954244099842871,9.77955655737705,10.035913253012,8.51007607361963,10.5104666666667,7.62089444444444,0.665026571994081,1.36670316103975,0.605507288827578,3.46387546490761,2.16425838155299,3.416225,2.61445,3.44975,4.8129,3.21515,11.93395,12.22075,10.63835,10.4773,9.4727,244,83,163,9,18
"ZNF285",0.338287110300493,0.73808391147993,0.918317752665821,0.658461486682992,0.969653505165882,0.864556167044929,0.992432017834026,0.987281216163608,0.999994975072302,0.910202890972835,11.529743442623,15.9471421686747,13.8368693251534,20.0909111111111,13.5191,0.832343137743839,2.21092521375426,1.91522455341311,7.1082360663225,3.26326418712419,2.722375,3.89295,4.0387,7.007,2.68295,15.6952,18.5494,16.75055,17.5439,20.004525,244,83,163,9,18
"ZNF275",0.95010520084583,0.136852814382904,0.82534109933495,0.808868479537196,0.93167792964602,0.994733193707292,0.410432790890344,0.27239193920652,0.0614709012260134,0.291488545513779,404.800205737705,427.85026626506,463.599508588957,497.530233333333,298.829533333333,14.9443896782816,26.1559712340429,22.1821846609896,76.1964634619175,41.7094947889911,235.94095,221.63895,265.83265,330.6716,201.705,513.85315,597.2497,598.61395,518.7971,366.9861,244,83,163,9,18
"ZNF37A",0.999753851553969,0.942225654417665,0.994729396469009,0.896175293172905,0.928668858045624,0.962790236003229,0.0805332045596451,0.143033912776845,0.180061521603861,0.936713515186213,318.168748360656,322.736087951807,333.315225153374,378.591155555556,441.344244444444,10.1226583247851,18.5848598730263,11.0686525592215,69.1962781331745,161.136805779764,207.532925,197.0405,236.1311,235.8037,236.078125,379.456,421.7256,419.14015,436.0812,326.53465,244,83,163,9,18
"ZNF510",0.549514781714411,0.982217402063719,0.349615110169901,0.358613865445106,0.140673104551365,0.466070652730749,0.889545054744249,0.999952901730679,0.792366254449816,0.234993303238016,186.388720901639,172.13823373494,190.473804907975,232.145066666667,169.833966666667,4.90817718830023,8.13326414078287,5.47629190503718,23.7897237130458,15.528251968461,129.928925,124.9109,142.7945,179.0776,124.610175,222.55135,209.63225,221.90625,302.2308,187.17985,244,83,163,9,18
"ZNF506",0.22140906106464,0.511658987385066,0.932070979997916,0.983276478006687,0.702791003586404,0.855178776624124,0.514010548418208,0.99128107414773,0.894587722230436,0.634249885263316,170.388901639344,141.969151807229,153.381871165644,189.854977777778,129.42155,7.37027805533719,10.2915055867813,7.5879734558088,55.9623636621817,19.6067863399473,79.476175,62.86135,69.61205,85.5086,49.34785,236.699125,206.76635,221.54035,185.3768,179.002275,244,83,163,9,18
"ZNF324",0.94859194262833,0.978328919803072,0.999022581457419,0.99517542742525,0.968199686088383,0.981216835823046,0.615684364603297,0.866683801878117,0.774061837454977,0.767484780820137,236.324303688525,243.824208433735,241.024679754601,225.716944444444,264.207972222222,4.34913976976662,9.67754320062132,7.1212777841767,21.4931003291761,24.4519096706485,184.02755,187.95225,183.42735,190.5615,215.7328,278.565,290.5859,283.46975,269.3663,275.79775,244,83,163,9,18
