"gene","p-adj-stage II-stage I","p-adj-stage III-stage I","p-adj-stage III-stage II","p-adj-stage IV-stage I","p-adj-stage IV-stage II","p-adj-stage IV-stage III","mean-stage I","mean-stage II","mean-stage III","mean-stage IV","SEM-stage I","SEM-stage II","SEM-stage III","SEM-stage IV","Q1-stage I","Q1-stage II","Q1-stage III","Q1-stage IV","Q3-stage I","Q3-stage II","Q3-stage III","Q3-stage IV","count-stage I","count-stage II","count-stage III","count-stage IV"
"ZNF195",0.669987692892844,0.907607445785788,0.849831647014192,0.936451589914804,0.617968416979162,0.994523467477082,199.731825,227.174910204082,215.935296190476,213.116063732394,22.5694639835622,9.95563289953988,12.6383013562465,5.02768817729657,145.91875,159.834475,143.4452,155.2067,217.092975,270.011325,265.1515,255.99875,20,98,105,284
"ZNF263",0.748664203311359,0.600122621172298,0.976918902289915,0.126419073090718,0.115478526123917,0.279798356132624,565.925385,613.31061122449,624.383828571429,663.790154577465,35.7013698482361,16.5286489926471,18.4922167636339,12.1644572266321,478.599375,510.38175,492.3964,523.803375,602.9102,706.6599,724.9892,753.958275,20,98,105,284
"ZNF200",0.58261907090329,0.789099720067383,0.930813027342786,0.970214537542936,0.285594521821846,0.701834904060437,250.85837,276.113656122449,269.238045714286,259.238000704225,14.765242004353,7.73019463942587,8.2372571408434,4.87883353790349,205.28765,213.130225,207.7986,205.476975,299.394625,310.961675,327.3263,299.63625,20,98,105,284
"ZNF582",0.979694099344916,0.928765458852899,0.981696338558171,0.9719065958957,0.333500044089086,0.127200361633881,9.438645,10.3883908163265,10.9128780952381,8.43602042253521,1.70854233893098,1.08299042412782,1.29365679143913,0.483118842442754,3.9143,3.7103,3.0425,3.231075,10.878925,13.35495,12.4467,10.208775,20,98,105,284
"ZNF285",0.99527388389556,0.716691656285172,0.488387410760878,0.971387061740823,0.982369939669849,0.523657597367679,10.813775,11.9057346938776,15.6365628571429,12.7226700704225,2.39109691926304,1.31497085636401,1.99551993437353,1.19256559239007,4.00455,3.2574,2.4953,3.60085,15.0938,16.8508,21.2202,16.0681,20,98,105,284
"ZNF275",0.880637310188611,0.86865640365846,0.999975129400045,0.316550257168181,0.257272412261427,0.258742795249983,352.81542,398.350455102041,399.795333333333,452.274345774648,31.9421593415996,22.9958608788625,22.458605898459,16.0337601520332,221.68145,222.945725,238.9337,259.275725,457.98825,512.9496,518.3268,588.91605,20,98,105,284
"ZNF37A",0.834972385873212,0.997135297170554,0.67728273614367,0.930866675512535,0.941350369837501,0.857095738274156,303.91876,335.942601020408,311.520282857143,325.600606690141,22.9915540859457,14.8275557940862,17.2007911875826,9.06134322738935,212.119675,237.9489,196.5384,218.6091,386.462675,397.7872,374.1176,410.21155,20,98,105,284
"ZNF510",0.898853410493435,0.95992721891644,0.98490870722625,0.982578973063279,0.887473797575058,0.98979211939297,177.92113,190.621783673469,186.93171047619,184.30728415493,10.1058080604985,7.2923865577786,7.80221337126517,4.43121001774652,143.5064,132.88815,134.6672,129.27455,203.1274,226.2739,216.1843,223.444475,20,98,105,284
"ZNF506",0.99999594585643,0.734247023767526,0.302483383872006,0.781092683501863,0.266378182755053,0.992362887168803,178.850115,178.261106122449,152.049288571429,155.468574295775,19.3165068645654,12.5185339228268,10.8412586012153,5.95533525369025,125.844775,83.238625,55.3846,75.9248,218.45545,260.087525,231.5659,220.699275,20,98,105,284
"ZNF324",0.83090976973826,0.999942657603521,0.506862463594371,0.957597029497033,0.864175750629946,0.799810326161701,247.73312,231.277437755102,246.68775047619,238.482338380282,15.8228597726377,6.47757649602964,8.96902294612116,4.68782745287843,196.05875,181.786525,175.8034,186.503475,276.838325,271.04,298.0804,281.485625,20,98,105,284
"ZNF671",0.799217510133154,0.663567296151232,0.979359821025965,0.802181416134929,0.99938215697232,0.92995623285359,44.4669,37.4133132653061,35.66966,37.8570542253521,8.60556355985383,3.2704076303177,3.06202145745593,1.8298922806889,18.309725,15.181575,14.9961,16.5614,70.329175,46.930825,45.0651,52.90335,20,98,105,284
"ZNF416",0.999280974106361,0.99216670832032,0.993154103099852,0.814699376425752,0.187750922525993,0.080845309689465,151.21432,153.14906122449,155.513139047619,138.480853169014,10.7209542554746,7.20050576598556,6.99681441412818,3.33118313334462,118.23605,110.92785,106.3201,99.695825,188.403025,180.755775,186.0632,165.270025,20,98,105,284
"ZNF586",0.972555599287757,0.999993000986373,0.851950949972793,0.926416326507781,0.145247647924477,0.63108869595728,129.411165,123.116918367347,129.798862857143,137.853473239437,10.4443675586043,5.76689464661379,5.93408743536489,3.55081365393018,98.314525,94.251525,92.5019,96.25545,149.774125,143.127425,151.838,171.629225,20,98,105,284
"ZNF446",0.999833226398572,0.978720614124661,0.842326487581324,0.965000347734297,0.692067196081958,0.9995356189488,185.691235,183.806319387755,195.30756,196.542854577465,26.0406392975654,8.26914184847759,11.0816776315442,5.79514385019757,122.269225,133.966575,118.406,130.069975,201.03915,215.593475,246.8953,232.5969,20,98,105,284
"ZNF8",0.291849466034699,0.188549948772964,0.97902575731192,0.171872096277705,0.985333543771842,0.999253892920926,75.92947,91.6567469387755,93.6744438095238,93.1441915492958,6.58631928719676,3.86063878661468,3.69207247180178,2.10708806182659,57.54315,66.1163,68.6063,66.449525,82.813925,110.107025,108.7442,113.4033,20,98,105,284
"ZNF264",0.993824097289597,0.854979475766717,0.254918819531089,0.930202430130184,0.303398761668422,0.963704589847293,676.968035,692.371680612245,629.945888571429,643.147967957746,39.1107445441842,24.0558557370716,25.5394213772248,14.1447869337776,581.5945,533.6581,470.165,479.68285,751.689325,797.25395,760.7011,791.268575,20,98,105,284
"ZNF213",0.926892611666772,0.965414187667824,0.231633170163789,0.943048598866289,0.0780338275049995,0.999146630272046,505.98717,532.700924489796,485.686891428571,482.989581338028,30.4537384025518,21.0932280229999,19.0887953374167,9.42506682081013,402.4628,384.90655,351.187,382.0213,570.579675,627.765625,570.0586,570.6135,20,98,105,284
"ZNF343",0.993006618642223,0.989311221240616,0.73852511838725,0.73401568210628,0.0477231614861975,0.494086388160844,241.802725,234.854203061224,249.785916190476,266.582106338028,18.0809395575953,6.76615710245381,10.1445333384778,6.87051598740828,187.7571,189.6865,180.6613,193.829825,263.2719,265.205325,285.0448,303.4578,20,98,105,284
"ZNF302",0.939794349887386,0.999372310309873,0.619244804679222,0.959984872817173,0.996078290090514,0.587562433819675,216.79769,234.624998979592,213.07353047619,231.316696830986,25.0096999024935,12.53418762236,12.2445883711526,7.63749698625341,158.88515,147.59935,121.8666,144.40445,229.6516,297.82545,265.3996,286.777375,20,98,105,284
