"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZNF195",0.716931278619424,218.902104379562,215.3591171875,10.0524491062208,4.60304679375167,156.1117,153.286025,245.614,263.6851,137,384
"ZNF263",0.00145788501828248,598.673074452555,660.026911979167,14.7621295822908,10.1673122197632,478.2035,529.7615,665.875,750.493925,137,384
"ZNF200",0.0179184976074599,278.75606350365,259.685326302083,6.54690884176574,4.18903738346374,226.8274,203.41835,327.0142,302.695725,137,384
"ZNF582",0.396477945828378,8.71153065693431,9.55055208333333,0.892693494828467,0.497341569219747,3.2405,3.186475,9.2393,11.59285,137,384
"ZNF285",0.556190530560657,13.9105284671533,12.8184692708333,2.39437570970716,0.70646425494221,2.9914,3.331125,14.9777,17.206425,137,384
"ZNF275",0.0121238766641028,377.380891240876,439.887220572917,17.8430676093718,13.3923703350059,208.8479,259.14855,494.5607,565.046175,137,384
"ZNF37A",0.370555075457871,315.353793430657,332.968472916667,10.85425364327,11.0781548647526,235.8037,211.328875,413.7931,394.81495,137,384
"ZNF510",0.0153236852926792,172.311668613139,190.095318489583,5.4783135195827,3.90385814182095,124.263,137.47775,209.7693,226.963725,137,384
"ZNF506",0.236766699280612,150.145928467153,162.725976822917,9.08067137891921,5.45415617681317,50.9039,77.493675,221.7443,231.593225,137,384
"ZNF324",0.746381688624054,237.979416058394,240.5618046875,6.21784872706928,4.21856495261731,187.1866,186.425175,278.5146,284.025625,137,384
"ZNF671",0.826391155495999,38.1250605839416,37.4400776041667,2.52188462074695,1.63284610319812,17.1761,15.50155,49.1359,52.86565,137,384
"ZNF416",0.0752200890363427,154.260840875912,143.15466171875,4.99423658775722,3.26653593736616,112.2847,101.9187,181.2796,169.630975,137,384
"ZNF586",0.181559731414205,126.998811678832,134.838044270833,4.07692155146387,3.18281931609036,96.2963,93.825,149.8406,167.765225,137,384
"ZNF446",0.000925994258237361,169.611553284672,201.826075520833,5.85096130456181,5.38376042275772,123.6153,133.1103,197.2075,242.3261,137,384
"ZNF8",0.00394287400929783,84.7133496350365,95.12018984375,2.86052996839183,1.88833777884722,61.6358,67.9062,100.4022,116.205775,137,384
"ZNF264",0.922146312118646,650.651564963504,648.2891859375,17.8571741999127,12.9462254423262,522.1637,477.883075,778.9214,783.531425,137,384
"ZNF213",0.184204904973074,510.067019708029,486.677972135417,16.0031673986011,8.82071010459354,386.5801,369.07425,592.1911,571.094175,137,384
"ZNF343",0.183601672368934,246.743908759124,260.657497395833,9.30694065488795,5.28526192211549,183.414,193.829825,278.7431,292.464775,137,384
"ZNF302",0.00536253581512824,202.638848175182,237.7839703125,10.2734318009226,6.55141939453111,128.6746,151.259275,244.4697,296.3244,137,384
