"gene","p-adj-LIVING-DECEASED","mean-DECEASED","mean-LIVING","SEM-DECEASED","SEM-LIVING","Q1-DECEASED","Q1-LIVING","Q3-DECEASED","Q3-LIVING","count-DECEASED","count-LIVING"
"ZNF195",0.0497606718877087,206.512597747748,223.550811371237,5.97768306586747,6.00229613988141,146.520925,156.72875,245.580775,269.91465,222,299
"ZNF263",0.514617864661014,637.445725675676,648.680917391304,12.2388889161506,11.7390612043835,512.67935,512.11,739.37315,747.72675,222,299
"ZNF200",0.20824906715658,269.889519369369,260.847065886288,5.87976378831859,4.38027511968888,210.93875,205.70085,316.826325,306.64865,222,299
"ZNF582",0.0660077727162434,8.40173513513514,10.0190852842809,0.616492622240357,0.602243842444513,3.033925,3.31665,9.5461,11.9449,222,299
"ZNF285",0.813277379468135,12.8816671171171,13.2719214046823,1.53676947251155,0.85051063085019,2.839175,3.44965,15.533525,17.05635,222,299
"ZNF275",0.0699313254649654,446.556900900901,406.295126421405,17.5583580834679,13.9632884236928,252.850175,244.03545,565.540125,516.0337,222,299
"ZNF37A",0.0150469313374061,303.961361261261,346.434585618729,9.30180958777046,13.3167948847756,202.04755,225.5312,373.164425,420.45125,222,299
"ZNF510",0.0866200273040625,178.988844594595,190.193235451505,4.49554232389552,4.52569190621987,131.238475,134.3971,214.069975,232.68655,222,299
"ZNF506",0.067946057103009,149.510783783784,166.773823745819,7.09394581988091,6.19580923695477,57.3542,82.22965,219.239075,232.6401,222,299
"ZNF324",0.00294956108695654,227.805431531532,248.849856856187,5.11562237021318,4.73536750382392,173.2477,195.1416,274.77725,284.85165,222,299
"ZNF671",0.0642282867266044,34.6721927927928,39.8090177257525,1.97421726742871,1.8834643064157,14.87465,16.9735,47.6048,54.18515,222,299
"ZNF416",0.0993686258912164,140.818102252252,149.978282943144,4.20961073562199,3.61804652214552,98.531475,110.64265,167.0936,176.31635,222,299
"ZNF586",0.271688817153848,136.072882882883,130.329318394649,4.07155759318072,3.33034874966562,94.91,95.4909,164.836,157.8957,222,299
"ZNF446",0.0465068315454323,183.428955405405,200.724975585284,5.57166162161232,6.217398560984,128.018775,130.6749,217.983275,237.9253,222,299
"ZNF8",0.0812026245011278,89.1592189189189,94.7777096989967,2.27917370097241,2.19410569338378,65.28265,66.1398,107.240775,114.54355,222,299
"ZNF264",0.926652526283293,650.047295045045,648.06626187291,17.4706272184987,13.2387999268369,488.271425,484.4577,769.79395,795.57765,222,299
"ZNF213",0.657754697370941,488.838606756757,495.790475919732,11.1234421044398,10.6957570221348,372.22135,383.59685,576.38925,575.06,222,299
"ZNF343",0.312458484019526,262.400512612613,252.988229765886,7.75710012085601,5.5839740177585,191.608375,191.2889,294.668125,287.5023,222,299
"ZNF302",0.0444108656559061,215.555834234234,238.184520401338,7.78083107669117,7.76193219931651,131.7911,145.16225,270.14515,294.06985,222,299
"ZNF268",0.46094165170734,270.350057657658,260.901815050167,9.92593313236154,8.21187929763206,169.368725,152.4362,343.023775,364.00925,222,299
"ZNF184",0.0680994853265823,191.952058108108,206.078389966555,5.3053776056042,5.36758716686094,140.69035,146.1126,219.81815,244.67875,222,299
"ZNF500",0.0774801433792387,193.12599954955,203.287617725753,4.14192611092411,3.8782169669908,152.549975,154.4984,223.36215,243.5072,222,299
"ZNF419",0.523212497286319,121.367681081081,125.111954849498,4.13432055391945,4.01018446346003,74.97705,81.0133,158.367325,156.3244,222,299
"ZNF175",0.10576230599368,98.5062716216216,105.812875585284,3.36437776205443,2.97605607747809,68.32595,68.25985,125.5572,135.4763,222,299
"ZNF14",0.0395550952971373,82.582395045045,94.7202096989967,4.07279274045931,4.06709887062545,37.305825,37.03675,114.66845,134.9207,222,299
"ZNF85",0.295697959398397,39.8167792792793,43.6346140468227,2.58873029208027,2.48636332859933,12.27095,15.0898,54.744625,56.04585,222,299
"ZKSCAN1",0.62189209510448,694.798215315315,713.387674916388,28.2517444344527,24.771938327317,399.2308,417.55875,886.43405,945.72385,222,299
"ZNF862",0.00305974942953657,177.183873873874,214.635797993311,8.16665328556408,8.99067787219132,88.99815,110.5707,229.073525,281.82765,222,299
"ZNF684",0.00468658406303935,35.0397864864865,40.1269311036789,1.4110222873542,1.13340159477608,24.760775,27.22805,40.869175,48.79965,222,299
"ZNF430",0.632353248686234,117.466312162162,120.56807993311,4.81218754024545,4.2902373342558,77.74265,73.25685,146.674075,166.2337,222,299
"ZFP30",0.017344849781334,104.143470720721,120.569653177258,4.72302579701585,4.78128084485982,53.697625,63.2373,146.914775,159.74605,222,299
"ZNF549",0.687035305060782,91.8885121621622,94.0374926421405,4.02818617222106,3.48654774976476,46.86965,47.37595,127.82235,127.64525,222,299
"ZNF211",0.768718362435031,165.908419369369,163.895505351171,5.37228233150892,4.34130186183031,108.8181,113.90975,204.130525,204.07765,222,299
"ZNF205",0.107467102800454,340.783575225225,372.677054180602,13.8762595361645,13.5757948265392,241.29715,245.86825,382.5418,408.45125,222,299
"ZNF45",0.444271042450378,203.350604504505,210.643432441472,8.67378367031453,5.09052863454305,151.6548,152.3903,235.121525,250.3119,222,299
"ZNF133",0.0958188519987559,376.218638288288,403.195993645485,12.3257330206277,10.5047907522083,248.7761,272.2999,451.669175,480.48215,222,299
"ZNF436",0.35902616649766,733.33544009009,757.312203344482,18.4521747227056,17.8529313820439,535.330375,541.1215,904.556125,942.6583,222,299
"ZNF484",0.0140138598693121,93.9465315315315,84.2542133779264,3.12971044797084,2.46523876897254,63.062775,56.07595,113.944025,107.38385,222,299
"ZNF780B",0.0102468208390903,140.213315765766,159.799480936455,5.00199283878536,5.39426044954924,91.122125,103.35345,181.365175,192.25325,222,299
"ZNF557",0.000394451398965878,140.069261711712,159.608490635452,4.22708924865415,3.52537873125847,101.43935,119.20925,165.313825,190.7145,222,299
"ZNF337",0.0355535220329991,333.499263513514,367.925549832776,11.4851322138247,11.1977372553423,219.006125,240.05595,409.971775,439.1221,222,299
"ZNF317",0.0274452568177921,726.96375045045,791.471122742475,13.8490394558849,22.9319782400517,602.37305,628.19915,835.975225,868.2561,222,299
"ZNF426",0.0675711641551611,146.050173423423,169.074063879599,8.28180030707726,8.91548238526371,76.904125,75.99935,177.2921,209.74715,222,299
"ZNF331",0.325540431331096,194.685906306306,208.195284949833,10.5119182050566,8.88893710096739,83.37035,88.21545,259.192225,285.7119,222,299
"ZNF227",0.682786109260671,210.798993693694,214.572118729097,7.99635076443769,5.2897850603816,148.7888,150.143,237.8272,259.797,222,299
"ZNF141",0.00141059457533033,37.0656009009009,43.6963066889632,1.3198409245655,1.48584804940985,24.21025,25.20715,45.682675,55.02885,222,299
"ZNF304",0.520415819939403,266.299661261261,260.029281270903,7.21602788760446,6.47062410990123,200.218175,186.5242,315.3784,326.5771,222,299
"ZNF132",0.00898533775543753,35.3487657657658,42.0410026755853,1.60736328152087,1.84661206102911,20.564325,21.8365,44.189825,52.24465,222,299
