"gene","p-adj-stage II-stage I","p-adj-stage III-stage I","p-adj-stage III-stage II","p-adj-stage IV-stage I","p-adj-stage IV-stage II","p-adj-stage IV-stage III","mean-stage I","mean-stage II","mean-stage III","mean-stage IV","SEM-stage I","SEM-stage II","SEM-stage III","SEM-stage IV","Q1-stage I","Q1-stage II","Q1-stage III","Q1-stage IV","Q3-stage I","Q3-stage II","Q3-stage III","Q3-stage IV","count-stage I","count-stage II","count-stage III","count-stage IV"
"ZNF195",0.731581150353322,0.404319940673255,0.892717961387366,0.283438051938197,0.763695858825442,0.99954641092045,246.165555555556,223.225048648649,211.90520617284,210.547087686567,37.0899814387554,10.7807693515457,10.6667828949338,5.34036063646127,153.4537,160.16965,152.8003,152.202175,262.06775,268.294675,248.8038,250.324475,27,74,81,268
"ZNF263",0.431060063429212,0.182912473679788,0.906784454876644,0.0219760327327154,0.260284947973435,0.725560388218817,551.70892962963,618.903867567568,640.336198765432,666.418451492537,26.7852591403663,20.780711508653,20.2753915324297,12.908225427823,468.5974,488.812675,502.7297,522.3236,614.232,707.05515,739.4592,751.514925,27,74,81,268
"ZNF200",0.999999370827529,0.999684104204267,0.999446503527272,0.910797196974656,0.725698124551283,0.611710679869612,271.896722222222,272.118928378378,273.644285185185,260.910282835821,13.3525127456745,8.02606003754042,9.41622699591274,5.22485364860486,226.64325,211.20835,203.8358,203.322775,306.69715,316.71335,330.896,302.23465,27,74,81,268
"ZNF582",0.891226444849865,0.592407377102604,0.883229953661391,0.563621826369313,0.865956505396526,0.999229148678082,11.3230740740741,9.75099054054054,8.59574320987654,8.75598694029851,2.7252843021644,1.04400130920488,1.04397762782592,0.585352096498061,4.6078,3.659925,3.0425,3.034375,10.9135,12.917075,10.1664,9.66025,27,74,81,268
"ZNF285",0.917910814565178,0.972554722647269,0.99068634052025,0.982533703400318,0.95164881252619,0.998252008333767,14.7821703703704,11.9779824324324,12.9109197530864,13.3289026119403,4.54468371768107,1.62446262171859,1.67344037366197,1.29948137816573,3.35675,2.761125,2.7813,3.369425,14.36515,15.8696,16.21,16.11005,27,74,81,268
"ZNF275",0.989318593043036,0.999819154864264,0.946993513022871,0.273073793214994,0.115179193033034,0.0145642250983709,363.936840740741,381.046682432432,359.644174074074,452.328571641791,31.1585790362656,24.5678521905794,20.9567706838748,16.5058510502625,250.964,221.23855,223.8187,256.1553,447.97505,502.521875,475.0358,608.691825,27,74,81,268
"ZNF37A",0.921159917894113,0.999752301457997,0.744822045329944,0.930328882700695,0.998700329954648,0.677988143207337,340.392892592593,312.046174324324,344.30135308642,316.067638432836,22.9171436558322,14.4815494823995,39.2848661331828,9.27668162382448,243.7841,218.32805,198.9281,204.585575,414.8836,369.8168,370.4646,385.1822,27,74,81,268
"ZNF510",0.958052866170299,0.855367392775759,0.978683319862862,0.998633327810114,0.92479122126031,0.659198009763455,188.03922962963,179.978728378378,175.432538271605,185.792401119403,12.2461808807044,6.60986155044643,7.75177268505038,4.61475873125355,141.9746,132.88815,129.4514,131.884475,207.244,208.611325,204.9509,230.544,27,74,81,268
"ZNF506",0.264692580029603,0.364783342587846,0.990725489360713,0.345807498619075,0.942559345452303,0.996920047492455,190.050140740741,147.76275,152.723988888889,155.417083208955,16.6991737955487,12.5069823738288,11.019724320371,6.3983929047706,118.42985,56.0786,86.2884,72.468175,257.3991,218.037425,207.3545,216.743425,27,74,81,268
"ZNF324",0.399968048709535,0.196692976728424,0.946552548678764,0.133619757196145,0.913551599676637,0.999997757514251,267.293648148148,240.20652972973,233.397845679012,233.577522761194,17.1384667523201,7.3026229853691,10.2032875259671,4.54052953157769,216.24075,196.18445,162.757,184.02755,277.3843,280.597875,277.8223,276.8934,27,74,81,268
"ZNF671",0.999473824039851,0.956691032461977,0.947646417735724,0.97300393353149,0.965789941814876,0.996888210256164,37.5004555555556,36.7716648648649,34.2692444444444,35.0152690298507,5.28845868209554,2.97251100945057,2.85016432346994,1.84098984552894,16.9904,17.399175,14.3032,15.590325,52.7656,47.7592,52.6044,48.313275,27,74,81,268
"ZNF416",0.38485569227921,0.110549404771995,0.809608138115264,0.0370960806470572,0.492280474194516,0.987275431263247,173.061985185185,151.068028378378,142.258880246914,139.663870895522,10.3233685064058,8.36683309575645,6.62653376450802,3.64143370102259,144.4336,111.16775,102.55,99.2532,199.49745,176.383525,167.9711,168.13555,27,74,81,268
"ZNF586",0.473022865224291,0.83120360636658,0.832657848753168,0.994774916258272,0.156924555164461,0.692505194846278,138.518677777778,119.693944594595,127.581225925926,135.639087686567,12.9598677342561,4.90278570298417,6.42632887173444,3.71135570007923,101.48985,93.57485,91.5628,95.526575,147.3631,147.4467,151.838,167.637975,27,74,81,268
"ZNF446",0.999831783993375,0.607880497487966,0.384443546125187,0.862098885580208,0.70731437602703,0.799980533234469,175.820533333333,177.539535135135,202.73237654321,191.385392910448,15.4631630342249,9.86236352115851,13.4682322734043,5.8544807031781,129.2643,131.13645,127.8698,129.058575,205.27415,209.074325,246.0779,222.81715,27,74,81,268
"ZNF8",0.951730104473969,0.973579686641297,0.998817149777835,0.96551556236326,0.362198345417062,0.438271438596334,90.5348703703704,86.3375243243243,87.1819024691358,93.8798455223881,9.1251891530203,3.6192193749018,3.51602212868479,2.19173266524795,57.01395,64.267075,60.3644,68.501525,99.8271,106.457725,101.9102,115.9303,27,74,81,268
"ZNF264",0.509361816404608,0.104525014687017,0.619168117312614,0.0408316369225286,0.319390195451083,0.995505040617154,748.639255555556,676.054159459459,630.604969135802,623.700170149254,42.0159279670552,24.080719415626,28.701823011409,14.2448708194267,587.30945,522.079825,386.5057,469.354725,831.16935,797.25395,777.5983,763.975075,27,74,81,268
"ZNF213",0.896425002827322,0.997734908197208,0.603473728861894,0.856294137835377,0.0738853146775584,0.781994163330327,505.715640740741,533.643732432432,498.419381481481,477.264261567164,30.8939206307415,23.9697904007761,23.8914261103062,9.53634000021988,388.0909,385.51915,345.4621,378.09255,549.1839,641.760625,579.7882,562.48775,27,74,81,268
"ZNF343",0.545529105783281,0.999897365597843,0.291311118110176,0.879190857891431,0.00383618712734213,0.563254953417148,254.28727037037,222.914890540541,252.749381481481,270.071456716418,24.1282817671393,6.19097099642497,8.9766096598548,7.27377215390848,173.58165,191.168625,202.3433,192.28425,283.9537,257.777475,290.3392,313.704775,27,74,81,268
"ZNF302",0.999847130884532,0.957238211663092,0.933131757277473,0.996812309935697,0.969857952934604,0.613739792384192,221.422385185185,219.420345945946,208.068643209877,226.394513432836,22.2293897579377,13.8669485018405,11.6780938387065,7.45669796953786,137.7396,142.7235,139.1304,142.8513,280.8215,272.711175,238.337,277.7445,27,74,81,268
"ZNF268",0.90984726886713,0.847769797014717,0.997408983309421,0.889720465007373,0.999984001987315,0.992106141503362,239.118696296296,259.587174324324,263.852548148148,258.951073880597,28.300523625135,16.6154522569217,15.5868224919397,8.11054570805699,154.56795,162.16415,146.4898,159.2697,353.00845,332.551875,347.9238,341.1325,27,74,81,268
"ZNF184",0.377965018256546,0.445671444750096,0.997748805144253,0.541252022446798,0.900057446080317,0.963020560843142,216.78242962963,187.118987837838,189.568462962963,194.600760820896,17.8444575028261,8.4018290953384,8.07564673508871,5.27876918078569,162.62075,140.053675,151.6267,140.8249,220.22465,217.673975,213.106,224.112975,27,74,81,268
"ZNF500",0.998004855820078,0.794288297635843,0.736284759942393,0.759765965946531,0.623531098313416,0.999959777528392,185.995077777778,188.564156756757,199.137897530864,198.745024626866,10.4977619337817,6.88078693135152,8.22557960085432,3.8713283787755,152.8055,148.556975,150.715,155.5336,216.7381,220.92545,229.089,238.17465,27,74,81,268
"ZNF419",0.999934746540519,0.994539406453159,0.993431458301723,0.805453567301208,0.572957853404623,0.752950415607522,114.816033333333,115.663343243243,118.506358024691,126.893571268657,9.06489277410761,6.24979236639514,6.01058845443155,4.5363250815052,82.8522,73.173775,78.9868,76.997125,159.49225,141.525475,143.1601,159.059875,27,74,81,268
"ZNF175",0.113382498111917,0.0341444546994017,0.924758020409711,0.0104852765945862,0.777302266915191,0.997371355706378,124.452140740741,101.358972972973,96.7730950617284,95.6410578358209,11.6843655401099,4.95734465181289,5.01623384744438,2.75610912312169,84.336,71.758025,67.5908,59.889,135.6184,124.37515,123.7553,125.4028,27,74,81,268
"ZNF14",0.940901589033531,0.856134461168193,0.990324078664632,0.74692649532492,0.941531838758148,0.996997346587952,74.959562962963,83.3136716216216,86.4894790123457,88.1741735074627,9.67825862281778,8.24826188086628,7.08447463445612,3.98309482090068,35.22615,30.071875,33.1179,39.56005,98.7034,111.6979,126.6253,126.66025,27,74,81,268
"ZNF85",0.8219561483102,0.625966690675746,0.969825921533966,0.706417283509617,0.998398723786451,0.978574774934473,50.4432111111111,42.6487891891892,39.7621382716049,41.7819697761194,10.7493484148535,4.47847604567521,3.67327236223453,2.46956111684838,15.1965,16.673275,13.1086,13.0655,54.23645,61.779525,56.2319,55.066525,27,74,81,268
"ZKSCAN1",0.299172343674559,0.1287700659229,0.939901813830145,0.221540746631738,0.999965517858894,0.865747865946311,847.556959259259,687.780354054054,650.316755555556,690.221435074627,83.6240482961886,36.518552624064,38.7932972284316,26.8751187663931,578.4178,458.033125,402.3097,361.059225,989.11255,870.000275,821.8495,902.40945,27,74,81,268
"ZNF862",0.99989084165873,0.68927578004337,0.483052638028499,0.945497410204742,0.882398493754627,0.72167558671637,206.918944444444,204.814404054054,172.864728395062,191.351780223881,26.6030184963627,19.547978832347,11.5627629484015,8.53881669434926,131.26285,115.62225,95.426,91.8292,226.99605,251.40855,219.7027,250.824425,27,74,81,268
"ZNF684",0.724389685824759,0.731568370088317,0.999986280888317,0.659016040149836,0.999997949039055,0.999994907424768,40.5229555555556,36.0434743243243,36.1469086419753,36.0882992537313,2.8481881772955,1.54054324034608,1.53681760661459,1.34272476224296,29.3553,24.7862,26.664,24.509825,50.2653,44.186025,44.505,41.032025,27,74,81,268
"ZNF430",0.762590434938743,0.683518278262915,0.998315206889428,0.910994805852808,0.91417686904691,0.810010727119897,129.940807407407,114.122782432432,112.178740740741,120.305193283582,8.88265087090638,6.46723266111359,7.63256574653453,4.80702407469443,94.71155,79.9352,75.6275,75.046775,169.6002,152.838575,144.4905,152.571825,27,74,81,268
"ZFP30",0.991406567239186,0.984221141761392,0.99975323079258,0.894899494681502,0.936164666459805,0.960095763395259,116.835485185185,111.91687027027,110.849928395062,106.128995522388,13.3736121755285,8.26013437279547,7.92104315933592,4.75631916737585,64.2687,68.736725,57.4728,53.425625,148.0813,155.445275,149.5215,145.2759,27,74,81,268
"ZNF549",0.956580109425678,0.845056868185204,0.975167585566271,0.911389579753827,0.998947894746336,0.980826174943086,99.7391074074074,93.0429148648649,89.1089172839506,91.9444481343284,11.0556157269259,7.00907895615138,6.28872333531228,3.5675302364203,62.99965,55.015525,48.9083,46.052725,116.4519,132.8652,122.3218,126.255075,27,74,81,268
"ZNF211",0.931017701609566,0.988232193826651,0.978992037702669,0.953826819864833,0.99567977519123,0.99362364955437,169.449918518519,159.210886486486,164.013712345679,161.49627238806,13.6488040997389,7.51258768730815,8.815133839789,4.73257095973871,121.8367,115.811575,108.6147,111.547825,209.80365,185.6741,200.8308,203.483275,27,74,81,268
"ZNF205",0.927234115648923,0.264378172674883,0.347620355772594,0.473498061973012,0.649465489680396,0.80700218257344,298.309940740741,326.646725675676,381.255165432099,357.982563059701,14.2412864863583,15.2708747897212,30.9655831312002,12.458031916681,252.7542,245.4237,234.2745,242.72365,352.06265,381.585425,410.1112,401.960425,27,74,81,268
"ZNF45",0.456537401457831,0.162869393227293,0.848696613486965,0.360894839614569,0.999999939913468,0.72850181958829,235.978214814815,201.231404054054,187.500511111111,201.307430597015,23.0770139039116,8.20609984516567,9.05248679498527,7.15235490480264,170.7497,150.42555,127.3853,152.355575,267.13225,230.781875,234.3418,234.948425,27,74,81,268
"ZNF133",0.873219892181307,0.846095280036272,0.127624098752203,0.981135047921966,0.236462856929432,0.842052498073392,381.664548148148,351.461482432432,413.869443209877,395.303862313433,32.5451596268914,18.8348282076348,19.307854671178,11.1732230104172,260.0128,253.637075,291.2834,257.3239,497.09885,413.19105,508.1099,478.898725,27,74,81,268
"ZNF436",0.521009659711535,0.173028726015405,0.796390006119185,0.411164172698721,0.999982437552786,0.675081752266403,829.112159259259,743.444659459459,702.382128395062,742.106360820895,62.7240735721302,33.8665052649904,27.6147544947347,17.0368145559602,601.8662,539.03955,508.5102,541.4079,984.4531,883.576975,857.5703,929.313875,27,74,81,268
"ZNF484",0.995713570549404,0.999511116815295,0.998307374473904,0.44946074503537,0.236165397027625,0.134703877966159,80.144462962963,82.3968391891892,81.2185962962963,93.1795593283582,5.78757677249271,3.30136680433083,4.3667314419766,2.9925021884728,63.54465,61.314775,58.5657,59.351025,96.1995,101.21495,99.7005,118.531125,27,74,81,268
"ZNF780B",0.973430922953967,0.997071287358884,0.988569824686405,0.998130787943742,0.966079781183464,0.999832771692926,148.943077777778,141.234843243243,145.354841975309,146.139785447761,16.9486763530004,7.67233322024369,9.16568998420715,4.98784182981646,100.1536,99.882475,97.867,93.41985,168.85725,164.005525,167.9353,182.4738,27,74,81,268
"ZNF557",0.92622843377947,0.505524847472764,0.715216665591232,0.520321616691864,0.723381950545179,0.993821780643952,159.695240740741,151.832816216216,142.209386419753,144.075413432836,11.5770907480413,6.21343002125298,5.54124238655092,3.59579167516903,120.2706,118.775175,112.0415,102.1219,194.3335,183.027875,170.1183,175.98,27,74,81,268
"ZNF337",0.999994104296275,0.62473127477243,0.363844237370688,0.598400470756558,0.24203869734009,0.999268034313462,312.798825925926,313.77347972973,358.451739506173,355.704348507463,36.6896110884455,18.044085099724,18.1808170844838,10.6677614723636,200.02485,214.3604,246.8948,229.205,375.3478,344.231,440.9369,437.0686,27,74,81,268
"ZNF317",0.790201484856613,0.206485437747954,0.496029476967513,0.55683278781546,0.973858393487637,0.536998738033666,830.514711111111,769.561809459459,703.451145679012,753.173650373134,63.3707940951001,54.2884599094942,21.1500244657888,15.1744571088158,640.73175,597.929025,614.6983,604.6508,849.60835,812.78155,801.8415,849.2585,27,74,81,268
"ZNF426",0.359116847592548,0.201116272035614,0.972666974782625,0.10131091666118,0.888010939768929,0.997222647882243,212.920159259259,164.584410810811,155.425209876543,152.117007089552,33.7210380034661,18.4514044501875,14.407884231243,7.20408502592611,94.71015,75.04165,77.0686,72.8433,306.45205,207.90025,179.6813,201.692925,27,74,81,268
