"gene","p-adj-1-[Unknown]","p-adj-2-[Unknown]","p-adj-2-1","p-adj-3-[Unknown]","p-adj-3-1","p-adj-3-2","p-adj-4-[Unknown]","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-[Unknown]","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-[Unknown]","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-[Unknown]","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-[Unknown]","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-[Unknown]","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","count-[Unknown]","count-1","count-2","count-3","count-4","count-5"
"ZNF195",0.832365255175724,0.867712967205722,0.996887424859832,0.986195070845564,0.0929885415373746,0.156255000098603,0.875590354621223,0.993936611863018,0.999998084816821,0.224444797167976,0.863200391226912,0.998780710889312,0.997000728889106,0.937117856842391,0.996483064656792,142.1621,226.58598034188,221.005112429379,188.404785135135,219.826433571429,254.05285,107.4022,8.73730986373617,8.77785989026873,9.20511580357819,6.92109197921639,20.67665,88.461,164.8255,152.0737,130.57365,157.606975,243.714525,195.8632,265.1515,256.6556,226.6443,264.043575,264.391175,2,117,177,74,140,2
"ZNF263",0.999215855401504,0.999999999918778,0.223957025678593,0.996513541872079,0.987940700476454,0.0968199796282504,0.99994238757675,0.9589261490435,0.716053585111689,0.728677108880253,0.999998207648124,0.999941313271381,0.999984535848318,0.999369147661792,0.999999854033916,672.31935,622.591700854701,674.278983615819,604.140652702703,643.136151428571,651.92455,15.92745,17.277619303008,15.3758096302979,21.9874619233371,16.1028569760816,36.00425,664.355625,514.7183,535.9504,461.6445,490.011175,633.922425,680.283075,727.3763,769.8858,710.335075,739.15085,669.926675,2,117,177,74,140,2
"ZNF200",0.887380703541085,0.943551180918032,0.899342685514993,0.974645298354155,0.622675258692416,0.972194912689528,0.975135149977004,0.402934257892114,0.91944426244841,0.999999985503426,0.999999999805817,0.877831516337612,0.937265628324521,0.971002453300216,0.971517708751688,213.6237,276.267665811966,266.103984745763,257.456022972973,256.990079285714,212.25555,71.9769,7.33454527939771,6.14978790065814,9.72830722115747,6.7475818201051,31.77795,177.63525,230.1449,204.846,201.101675,204.914375,196.366575,249.61215,314.5955,317.75,305.65135,297.95215,228.144525,2,117,177,74,140,2
"ZNF582",0.998993877950245,0.978310553882267,0.295006246263641,0.986482756929121,0.756731110333662,0.999318030769076,0.999155835164706,0.999999555937795,0.200859993269028,0.687187790773937,0.999999991008051,0.998148004472781,0.970791929092208,0.981099427045142,0.998409275539225,5.60635,8.29452307692308,10.7754101694915,10.2937648648649,8.19534,5.24355,2.99935,0.753269023106683,0.838930573315764,1.27448487063203,0.78127841822422,1.50955,4.106675,3.0498,3.9432,3.448025,2.803825,4.488775,7.106025,9.7345,12.5,13.487625,10.065075,5.998325,2,117,177,74,140,2
"ZNF285",0.826557637323785,0.810864976127419,0.999983912419742,0.724284633521328,0.942729182467732,0.959714984899757,0.571027961977803,0.163791113640196,0.135594816247864,0.867700433721008,0.992803468328696,0.998347277658445,0.997733537092325,0.990550558953327,0.960102283652343,31.19555,15.024747008547,14.6636084745763,12.5017743243243,9.47876928571429,20.57475,31.19555,2.70403284296883,1.12479113554259,1.60377460344996,0.995882710477315,19.33005,15.597775,2.5295,4.8501,2.883975,2.16925,10.909725,46.793325,17.5812,18.1383,17.7238,12.309875,30.239775,2,117,177,74,140,2
"ZNF275",0.974849295847411,0.725783800840032,0.00180718985037165,0.894632653027969,0.649464669016102,0.54297586558209,0.864474046033492,0.244938156820149,0.573781172710462,0.999455732768371,0.999993599758001,0.934782142481208,0.603688805307358,0.809061540622466,0.768041510820316,223.4053,357.307063247863,471.703870621469,413.646535135135,425.571417857143,189.6368,116.5185,20.3888587080505,18.6964395146297,37.0012143493386,19.516441264169,85.7066,165.14605,202.3904,271.5002,212.2158,257.737225,146.7835,281.66455,460.0271,638.9219,541.190775,531.27035,232.4901,2,117,177,74,140,2
"ZNF37A",0.911389715085648,0.929623329101696,0.999208109772573,0.96223577926434,0.946696815895651,0.986610951768871,0.88442786656936,0.998580155233225,0.962126276500687,0.794447974211155,0.999999998250442,0.923379298639484,0.939963409623652,0.968904552174275,0.89859704184994,189.27475,333.991020512821,325.455743502825,307.414916216216,344.115039285714,194.49545,55.44895,15.4552410347847,11.8814908964286,18.4747920796147,23.2640371930952,121.05975,161.550275,223.1076,213.8413,197.39905,230.23015,133.965575,216.999225,415.61,418.6385,360.329425,405.525175,255.025325,2,117,177,74,140,2
"ZNF510",0.418522084149582,0.373756431547759,0.998602531320115,0.501423178228742,0.992497070036729,0.928027028100263,0.31217856609762,0.913410398012787,0.982353369398295,0.677533578491893,0.999905317012816,0.63308421838978,0.585322482801388,0.714167554054241,0.513397404695288,84.42715,182.983530769231,186.536738418079,176.66802027027,192.338131428571,101.62315,32.28725,7.16316157507791,5.54683350562686,7.63972995108379,6.30483571176917,30.67675,68.283525,125.3436,134.5172,132.983725,138.247925,86.284775,100.570775,215.0396,226.3499,207.646775,237.3913,116.961525,2,117,177,74,140,2
"ZNF506",0.999762629591297,0.999999999564926,0.465587946112124,0.99990883801293,0.99990612842683,0.784638624795472,0.999986330208128,0.981539755128249,0.873356778009283,0.999069229302245,0.994583681710776,0.997043237273428,0.97139705953064,0.995415739094826,0.991178234445867,170.3845,148.913878632479,171.896006779661,152.618167567568,158.342936428571,112.7807,72.1877,9.48942669342768,8.26914176046118,12.6158766400517,8.95244871856761,94.1106,134.29065,67.31,96.9698,58.2377,71.776275,65.7254,206.47835,218.8034,236.1309,229.43045,228.8201,159.836,2,117,177,74,140,2
"ZNF324",0.99541761089602,0.96982693676674,0.609541303596583,0.992425551853314,0.999690887117546,0.902432246996516,0.990049371195234,0.994878010094684,0.889324803125511,0.999986865637616,0.919052336536564,0.951683601123138,0.989932603979041,0.965270936954205,0.969910488583143,276.5227,246.927460683761,231.842062711864,243.40425,241.604413571429,196.88645,8.00219999999999,7.15953582498101,5.85216871203627,7.87551748255018,7.63450354305989,19.52055,272.5216,197.0088,179.9367,197.7791,180.05355,187.126175,280.5238,287.3695,276.771,286.8408,277.809825,206.646725,2,117,177,74,140,2
