"gene","p-adj-Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","count-DiseaseFree","count-Recurred/Progressed"
"ZNF195",0.311032530645331,344.012283333333,305.333966666667,14.9219624933557,36.16229882081,300.87525,207.2131,413.763275,414.1274,48,9
"ZNF263",0.962848864071563,848.877354166667,845.095822222222,33.6255200230715,48.8371173941239,715.677575,765.2459,961.153575,977.0795,48,9
"ZNF200",0.608074264792721,188.717366666667,181.304544444444,5.9062049850199,10.1407851140705,160.58655,166.0377,207.16705,205.247,48,9
"ZNF582",0.847919519484796,69.01415,70.674,3.35940394815105,8.71921466395404,50.84515,54.0166,82.6216,88.7246,48,9
"ZNF285",0.859326131646762,78.4888229166667,80.4060222222222,4.52768772134067,5.36776567781071,61.119425,71.203,95.1439,91.9801,48,9
"ZNF275",0.77320822101844,1482.60617708333,1549.88881111111,94.6282832532675,178.648567104692,1045.21735,1155.4098,1784.482075,2127.2863,48,9
"ZNF37A",0.180578598224183,347.156716666667,266.529011111111,23.310715531003,58.6216111086021,240.02955,164.2295,435.6051,266.0377,48,9
"ZNF510",0.720543720553276,248.603227083333,261.132333333333,13.4478304335855,36.9154814111611,191.3457,180.9211,294.128275,335.305,48,9
"ZNF506",0.673183375601977,517.706289583333,500.116255555556,16.2453867491105,41.14063235692,429.038125,387.8116,608.86465,584.9541,48,9
"ZNF324",0.747527904271642,241.840464583333,250.018122222222,10.0313348135848,23.3681803419366,207.64555,206.5574,277.335825,295.953,48,9
"ZNF671",0.337275402629159,198.67925,224.209755555556,10.3145211955387,26.336186416692,150.5749,178.0698,254.6281,278.0766,48,9
"ZNF416",0.936907433015701,128.159291666667,127.264255555556,4.42275212916325,10.9789151093776,113.50395,121.1099,149.377175,145.2068,48,9
"ZNF586",0.991969489867226,142.832077083333,142.653566666667,7.33289491513312,10.9467557721962,109.539375,136.6652,172.15455,155.3157,48,9
"ZNF446",0.393588639042357,277.433089583333,311.836766666667,15.8732303449154,37.0543560016528,209.640575,260.3105,304.965925,327.157,48,9
"ZNF8",0.284680491325034,95.76978125,86.7430555555556,3.112811417886,10.0266611943845,83.15095,61.3161,109.76795,113.2759,48,9
"ZNF264",0.927430485118106,691.77996875,696.996488888889,22.1181745988346,59.0769368103306,594.198125,601.108,790.461475,775.9662,48,9
"ZNF213",0.0848967868491813,470.02584375,595.667377777778,25.4760512579086,96.6926943125298,363.753025,366.4653,536.609175,730.4033,48,9
"ZNF343",0.203032507079428,204.53055,230.845544444444,7.58645654035861,24.7412459539627,170.6887,183.2707,247.089775,263.9556,48,9
"ZNF302",0.669989225530614,509.544247916667,539.047377777778,26.2369569621913,76.6911799698776,369.774625,300.3279,616.46015,737.1534,48,9
"ZNF268",0.608197585853536,413.01033125,383.790444444444,21.7426977907949,61.4893606174929,323.530575,334.8437,528.7748,524.3731,48,9
"ZNF184",0.791469250414341,94.1287854166667,98.5113333333333,5.61313428829875,24.2479308343287,68.1559,45.2459,113.25825,91.8635,48,9
"ZNF500",0.590137092564601,281.6943,297.292,11.8573999770488,19.8153161440771,224.730075,275.6245,322.93915,334.4262,48,9
"ZNF419",0.667729386778875,219.075835416667,227.686033333333,7.7786876163748,20.2073706949414,191.10245,211.5369,252.072625,248.5902,48,9
"ZNF175",0.364390670879964,212.0444875,232.813177777778,8.73984955894714,24.3291885901242,177.178325,224.8062,252.090525,250.5664,48,9
