"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","mean-T1","mean-T2","mean-T3","mean-T4","SEM-T1","SEM-T2","SEM-T3","SEM-T4","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q3-T1","Q3-T2","Q3-T3","Q3-T4","count-T1","count-T2","count-T3","count-T4"
"ZNF195",0.149786430772267,0.17769318067042,0.999431969085434,0.305442777518482,0.804310393103076,0.836716681204588,382.160138095238,318.955368,315.322582352941,253.1328,17.7055932770511,18.6069371376706,29.6645347970202,109.8058,326.7001,266.3026,229.6748,198.2299,426.6997,390.3953,369.5115,308.0357,21,25,17,2
"ZNF263",0.0590953436157258,0.999924697719956,0.0958938940796268,0.919032979226741,0.343381035405454,0.912266943768934,776.003095238095,934.343932,780.019952941176,677.68325,43.7541027998466,40.0377412094088,53.900146477749,203.61605,716.1151,758.0679,587.8136,575.875225,925.3959,1127.5585,939.0983,779.491275,21,25,17,2
"ZNF200",0.612310301962211,0.401120477369668,0.0346509075639939,0.99999120242519,0.966371567989621,0.890604444005799,186.510280952381,199.571544,168.047617647059,187.2801,8.35119264628204,6.36515559743326,9.51340794428345,18.312,160.7617,181.4462,141.5231,178.1241,205.247,206.7952,194.0789,196.4361,21,25,17,2
"ZNF582",0.999988671056217,0.995556078359878,0.993015846376395,0.0101822022861576,0.00989142727844972,0.00835290610573713,69.0568619047619,68.833924,70.8680705882353,11.6759,5.12805663841426,4.7040422711794,6.22211091652634,6.4162,47.7093,53.7401,57.1291,8.4678,85.2234,80.4979,88.1573,14.884,21,25,17,2
"ZNF285",0.99798486879656,0.860565238668386,0.759630324765521,0.0519662819606874,0.0416547215925549,0.119982493325195,80.6375285714286,82.399372,72.0493764705882,15.56445,8.9248114968199,6.1248917894673,6.76910214226317,1.85835,60.218,76.1189,46.3415,14.635275,98.6635,91.9801,92.9428,16.493625,21,25,17,2
"ZNF275",0.355948873822903,0.975407311602793,0.674844689467659,0.166296133916063,0.0357183271443133,0.120033001003352,1378.0281952381,1685.811568,1463.42740588235,404.31255,142.723141070626,130.147527018314,140.179903755798,13.45065,1051.0898,1250.3669,1155.4098,397.587225,1684.761,2178.2683,1665.8436,411.037875,21,25,17,2
"ZNF37A",0.999919006261068,0.976916740040884,0.983088553111965,0.55339266217326,0.56288016733953,0.672783024824106,329.946257142857,332.935036,352.088,492.6777,25.700112161566,37.4708033127433,39.5797481717366,268.9935,266.0377,218.8014,219.1231,358.18095,387.0731,435.4202,447.5623,627.17445,21,25,17,2
"ZNF510",0.99583959324553,0.999999999935979,0.996546775935956,0.73790167041104,0.679037762674749,0.743713370508215,245.484,251.832576,245.501288235294,174.0633,18.2724733098529,18.1657415970055,27.576050264845,7.39660000000001,162.3722,203.8617,143.0629,170.365,305.1439,274.4119,335.305,177.7616,21,25,17,2
"ZNF506",0.988366797952794,0.998971447019353,0.969349893936676,0.078218192787325,0.0554914153219113,0.0949448054668997,508.053071428571,519.055824,502.708917647059,298.51285,27.6897907883394,23.6337360452188,22.0602579777997,110.47835,406.8729,434.6919,427.505,243.273675,615.085,606.8702,557.1485,353.752025,21,25,17,2
"ZNF324",0.170733979585606,0.975745150502912,0.0897179592097106,0.997879292111431,0.738144697755257,0.99999999686794,228.639819047619,269.71822,219.617976470588,219.72015,11.0274049328493,15.5820198453495,16.5395176317841,1.77105,204.6995,215.0583,197.1983,218.834625,251.8868,329.2088,238.4473,220.605675,21,25,17,2
