"gene","p-adj-Current reformed smoker for < or = 15 years-[Unknown]","p-adj-Current reformed smoker for > 15 years-[Unknown]","p-adj-Current reformed smoker for > 15 years-Current reformed smoker for < or = 15 years","p-adj-Current Reformed Smoker, Duration Not Specified-[Unknown]","p-adj-Current Reformed Smoker, Duration Not Specified-Current reformed smoker for < or = 15 years","p-adj-Current Reformed Smoker, Duration Not Specified-Current reformed smoker for > 15 years","p-adj-Current smoker-[Unknown]","p-adj-Current smoker-Current reformed smoker for < or = 15 years","p-adj-Current smoker-Current reformed smoker for > 15 years","p-adj-Current smoker-Current Reformed Smoker, Duration Not Specified","p-adj-Lifelong Non-smoker-[Unknown]","p-adj-Lifelong Non-smoker-Current reformed smoker for < or = 15 years","p-adj-Lifelong Non-smoker-Current reformed smoker for > 15 years","p-adj-Lifelong Non-smoker-Current Reformed Smoker, Duration Not Specified","p-adj-Lifelong Non-smoker-Current smoker","mean-[Unknown]","mean-Current reformed smoker for < or = 15 years","mean-Current reformed smoker for > 15 years","mean-Current Reformed Smoker, Duration Not Specified","mean-Current smoker","mean-Lifelong Non-smoker","SEM-[Unknown]","SEM-Current reformed smoker for < or = 15 years","SEM-Current reformed smoker for > 15 years","SEM-Current Reformed Smoker, Duration Not Specified","SEM-Current smoker","SEM-Lifelong Non-smoker","Q1-[Unknown]","Q1-Current reformed smoker for < or = 15 years","Q1-Current reformed smoker for > 15 years","Q1-Current Reformed Smoker, Duration Not Specified","Q1-Current smoker","Q1-Lifelong Non-smoker","Q3-[Unknown]","Q3-Current reformed smoker for < or = 15 years","Q3-Current reformed smoker for > 15 years","Q3-Current Reformed Smoker, Duration Not Specified","Q3-Current smoker","Q3-Lifelong Non-smoker","count-[Unknown]","count-Current reformed smoker for < or = 15 years","count-Current reformed smoker for > 15 years","count-Current Reformed Smoker, Duration Not Specified","count-Current smoker","count-Lifelong Non-smoker"
"ZNF195",0.999999994968903,0.395653644193512,0.465927705058624,0.992881465957957,0.995631502752099,0.355088479192566,0.960298917398983,0.968368298531846,0.886594210544261,0.856750090063007,0.999648156396719,0.999705591110051,0.317685021795321,0.962633596773222,0.969986863242223,354.05545,356.16465,215.014033333333,401.12545,299.2843,340.708154347826,62.8408229345741,20.9417356296981,56.6967140238401,168.19925,37.4039359384366,13.8504497004945,232.5708,335.31825,159.37905,317.025825,274.9603,289.9837,427.00185,368.63345,252.2893,485.225075,324.0884,413.912825,6,4,3,2,4,46
"ZNF263",0.999996153983537,0.99559981391729,0.999051258062363,0.953486442041215,0.94372532659031,0.850130402005636,0.999964856204007,0.9997419893773,0.988153208731341,0.984157417878912,0.999999358762971,0.999924812063326,0.984901532408995,0.938213487132134,0.999982819722852,842.518716666667,860.103575,923.6326,683.7884,815.077375,834.262136956522,84.8962938859776,109.785108475447,23.9307058502252,186.1038,166.391803325822,32.7496279290009,668.40005,742.902,899.70195,590.7365,680.5263,718.43315,971.561025,897.137025,935.6427,776.8403,932.799425,956.394475,6,4,3,2,4,46
"ZNF200",0.69453733945201,0.955760895540843,0.997860680913669,0.638403571910395,0.999030531123934,0.978910751897474,0.132512232447483,0.922108802210353,0.758045353006994,0.998042662003114,0.981982187301334,0.824275833109144,0.995678001937833,0.768768752105208,0.125583683413992,202.4324,168.7846,180.779166666667,157.2491,143.8993,191.634967391304,12.8219558126676,3.78863190017188,15.1436652239293,22.3486,24.4067192581264,5.44017270188891,186.511325,162.980225,170.035,146.0748,126.655775,170.0673,220.93515,174.136375,195.39355,168.4234,157.841125,204.838225,6,4,3,2,4,46
"ZNF582",0.979698630836593,0.999998762800387,0.995477866801497,0.994249156623451,0.90232215070431,0.993318501065635,0.999795767191175,0.945778030989978,0.999548151875825,0.999610413569406,0.967869758481466,0.639301171203871,0.98225850736562,0.999993493757719,0.999492432139192,61.5848,49.709575,59.8237666666667,72.9678,66.082875,70.45795,11.8746216352634,5.22167341302495,12.5843124352417,7.235,13.0885712641713,3.91109778083021,48.828175,46.23275,49.23175,69.3503,58.9119,49.6481,84.042025,55.432575,71.00455,76.5853,80.305775,88.2134,6,4,3,2,4,46
"ZNF285",0.957458096551024,0.988516694498797,0.786107157062129,0.945550279097708,0.999932032912044,0.789795275077085,0.999999861716023,0.97933202654853,0.988008621946623,0.966403078841078,0.999999995672467,0.908866146331674,0.971938951076484,0.91738300913034,0.999999948073949,78.7558833333333,59.420075,94.468,52.79885,77.334325,78.2779586956522,16.8958310683122,18.2201619498097,18.6001509268966,30.16955,10.3732148999539,5.21297142058736,82.10185,40.355,78.5237,37.714075,69.38425,60.518475,91.13885,76.808375,110.73525,67.883625,89.150375,92.725975,6,4,3,2,4,46
"ZNF275",0.9478402574656,0.295277348531899,0.0891010403841768,0.800052740744915,0.994495452462014,0.0764524964716731,0.999996585844805,0.980865226033428,0.324549817237047,0.875763873925926,0.997677515102504,0.977529775963226,0.0663234505990298,0.850295048952116,0.999917493942309,1576.87981666667,1215.481925,2518.19213333333,923.54335,1528.78185,1455.01685217391,191.107758219818,304.426798685386,497.37322844398,577.53425,172.657274683893,95.0863892293761,1289.5233,1141.7951,2257.65075,634.776225,1309.1073,992.60395,1857.080425,1509.010325,3015.3739,1212.310475,1726.23335,1897.49395,6,4,3,2,4,46
"ZNF37A",0.997199054342834,0.192418354519946,0.122681351319268,0.999724156059654,0.98944847973846,0.626928884414075,0.805510814319559,0.97788327799997,0.0232077718390568,0.830706127898718,0.999999386041537,0.995834055398397,0.0640446138231455,0.998987882484338,0.672182169573493,343.528083333333,296.471725,604.552333333333,380.38495,215.654375,337.804323913044,74.8826578268044,58.3697346302627,201.893956485629,3.95415,47.2378073331693,21.7552091537932,239.399325,230.4796,456.0732,378.407875,172.861125,236.96005,417.340675,359.830725,797.26695,382.362025,279.99995,427.07865,6,4,3,2,4,46
"ZNF510",0.998423087424256,0.999999215785182,0.998065925690512,0.998225904425306,0.999999086896324,0.997694413057399,0.63588188186174,0.903420893171861,0.733413580991137,0.97367816112855,0.995235765677344,0.999999600599393,0.996616368222866,0.999982437948316,0.675814315463305,268.930083333333,243.7978,274.829233333333,236.34915,174.3031,247.596886956522,27.2402872621223,83.8368912955289,37.5645203006478,21.55315,44.9058809398242,13.7200231646276,231.35595,121.774325,242.864,225.572575,112.67525,179.49475,324.09285,313.552125,307.8995,247.125725,239.5534,302.184075,6,4,3,2,4,46
"ZNF506",0.574870398010886,0.951528967674208,0.992019299243966,0.85837303067177,0.99999211806497,0.999250626094373,0.993002605405553,0.921082382185653,0.999437463606839,0.985171446852594,0.953184043876245,0.777126243793666,0.998524166776607,0.969973048993831,0.99999999899663,553.879316666667,426.343925,479.6099,440.92085,510.124875,508.668802173913,59.5760705978243,52.5116647003847,43.1545115627941,49.74005,56.5416082294325,17.8619015610068,425.983325,366.2089,443.05825,416.050825,457.333475,426.490625,670.62665,489.943075,517.7532,465.790875,575.4896,604.6133,6,4,3,2,4,46
"ZNF324",0.99901882304338,0.998269727531576,0.999999689146663,0.96364230055885,0.99632100620351,0.998536885093745,0.912169564142019,0.803250808918876,0.813858374315228,0.651350849585861,0.999797623076641,0.999892894960496,0.999652237452823,0.97316490152674,0.679797456087814,248.198966666667,231.403625,227.499833333333,201.6951,293.84405,240.027465217391,35.2648008597872,62.157584596215,10.9759871006869,4.49680000000001,50.5368766587578,9.14351107725507,238.3654,180.434225,216.63855,199.4467,211.4447,208.58825,311.4255,257.8898,234.3011,203.9435,360.61215,278.121975,6,4,3,2,4,46
"ZNF671",0.378310187410832,0.99728054413745,0.821076665777065,0.9999999617943,0.662510494017358,0.998618206735557,0.98676534052869,0.18057798459985,0.924502809750743,0.997875258477766,0.965856255684681,0.0341205821669188,0.866284011326475,0.998076612405412,0.999993855868268,186.750983333333,94.5445,162.997333333333,189.61425,217.237125,212.178241304348,49.0205483028319,24.2167558101135,7.78115035975473,12.89015,37.722284123101,10.2397803234007,93.953525,79.49765,156.4053,183.169175,178.473925,165.098,271.877825,111.53845,169.87365,196.059325,269.67475,260.74195,6,4,3,2,4,46
"ZNF416",0.81895807463169,0.999999798812985,0.922531830517499,0.999755440493715,0.986057164756291,0.999955162579649,0.999925460850801,0.93857671312898,0.999995698983358,0.999998518152287,0.989287057862966,0.332198875613662,0.994741065442071,0.982638441422772,0.968696469822258,122.678416666667,96.88715,121.1422,115.2699,118.0768,131.371365217391,15.2125857424133,9.41739472257765,4.88119618672855,2.187,19.1409278645263,4.8856725187833,105.460475,90.584325,116.4032,114.1764,106.151125,114.75725,146.919375,106.067125,124.5246,116.3634,138.163025,151.62035,6,4,3,2,4,46
"ZNF586",0.967625970814039,0.878839933620219,0.999278668927579,0.997070201589165,0.905148400521052,0.799054572606455,0.952633504039842,0.655299958605689,0.503181081485995,0.999946281068612,0.989113120778075,0.666532675150803,0.499680938975886,0.999986377868147,0.993279637216828,132.71435,109.081475,96.7625666666667,150.3459,158.575975,145.140143478261,13.4084096173695,19.2745120753365,29.6887732789312,60.0025,43.5333116457266,6.24135882752925,112.4056,94.940825,69.0929,120.34465,95.911625,118.5305,137.25835,134.8684,119.91725,180.34715,210.6791,165.380675,6,4,3,2,4,46
"ZNF446",0.86104342778098,0.999759353139873,0.822992421407089,0.999993591927997,0.922873119745661,0.999998781972563,0.874542161701979,0.999999997014817,0.836017577803809,0.929986753036774,0.987135595437295,0.949782154453192,0.966442071171247,0.994330881424778,0.958459213437622,252.701866666667,337.809025,229.950433333333,240.07115,335.45555,284.901680434783,48.1672089121681,86.1692255693351,11.9656041630909,11.63145,28.8700155768489,17.2297120625565,239.0312,243.22665,223.04195,234.255425,288.9775,211.55215,274.71975,470.652975,241.86555,245.886875,384.0565,327.380875,6,4,3,2,4,46
"ZNF8",0.139760509951293,0.992938532107142,0.104106740215444,0.991374039217076,0.778264939881765,0.92730247371964,0.20732515557109,0.999973583771954,0.148956517542788,0.851652944597866,0.946420619549693,0.189124457954577,0.772264138392091,0.999994753659019,0.294802459741013,105.3312,68.54545,114.415733333333,94.37605,71.417175,96.4953239130435,15.6827537775099,6.89347470118179,10.0287251041418,7.47235,10.9933612504225,3.14399566867531,75.315075,61.5011,104.75495,90.639875,56.05635,84.26955,132.3433,71.71745,121.5771,98.112225,85.642425,109.79805,6,4,3,2,4,46
"ZNF264",0.890075154699478,0.991747554267702,0.999091258636259,0.778346434503164,0.997919658993656,0.978794665763566,0.953562871762558,0.999962922291139,0.999964262963129,0.99124503521113,0.997927980126271,0.926623833245204,0.998972820928059,0.825616761224537,0.980328922694456,734.62795,620.775125,666.780966666667,558.80685,642.97735,703.595115217391,95.7380327326841,124.146238194507,79.443882838419,53.62135,87.7131724028619,21.9591970023115,703.4878,524.98295,588.6133,531.996175,608.6569,595.96415,858.667625,688.404425,718.1473,585.617525,734.4759,787.079175,6,4,3,2,4,46
"ZNF213",0.0057416285148536,0.998011765578494,0.0819671453312832,0.996408887269899,0.206447932499613,0.999998301226415,0.910161617363198,0.151743716974642,0.997268339995216,0.999667058500574,0.993893795602597,0.00146647137227907,0.999997239961858,0.999919595200732,0.965527885719099,419.708183333333,845.911625,473.870733333333,490.53795,536.406175,461.878865217391,34.7475411691477,133.277046872198,91.6870868265598,10.65285,138.870965794578,25.348852740708,371.39895,716.499925,395.09615,485.211525,398.87115,353.645825,484.255775,983.62065,553.88825,495.864375,616.885125,550.838825,6,4,3,2,4,46
"ZNF343",0.999423561104134,0.991486179692276,0.999823069817503,0.999997860024354,0.999989837240942,0.999178029060787,0.99684893226412,0.976272509243558,0.932774598599129,0.997416289094138,0.999999998584073,0.997952694273285,0.979317553477098,0.999992982537945,0.992752950958725,214.384033333333,198.1712,183.100933333333,207.76705,237.466825,215.1965,20.3909340837322,31.5183391912814,44.2653070658175,45.82495,29.3584587540336,11.7055174862799,190.35715,154.51625,143.5336,184.854575,227.251425,173.34625,249.93765,237.05855,220.0713,230.679525,269.6656,233.316125,6,4,3,2,4,46
