"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","count-M0","count-M1","count-MX"
"ZNF195",0.0786369789587752,0.866169527867728,0.701433200657771,388.514596674584,424.198659493671,401.303441935484,6.38977063568241,15.8042289266997,29.3634542726663,306.6054,328.80205,292.40395,440.1114,505.3245,448.8156,421,79,31
"ZNF263",0.948880685543851,0.000153333444849357,0.000549810407919349,648.880904275534,642.951594936709,767.895551612903,8.00652841576026,13.8502845417518,22.0640205364459,557.6326,574.2242,680.65815,716.2956,712.91385,851.58845,421,79,31
"ZNF200",0.509354405453039,0.417461521579131,0.188015100861634,193.25151543943,198.523302531646,184.1411,1.85171794315895,4.94677055697119,6.35643582775317,170.1012,169.7168,164.54705,214.0266,222.30615,201.47115,421,79,31
"ZNF582",0.0500030677544415,0.994466150123771,0.31719930787025,35.798593824228,29.1288658227848,36.2307258064516,1.20513798859956,1.75361183595474,2.75966927143811,21.5545,19.3322,21.54,44.499,35.7359,46.7083,421,79,31
"ZNF285",0.0141090902992107,0.115303419584347,0.00227757883307578,49.1602448931116,37.4968556962025,61.6959806451613,1.64259936340174,3.12651489721461,8.47545907662192,23.3329,17.32925,35.85505,66.3391,51.4041,65.26035,421,79,31
"ZNF275",0.935077470432503,0.000771802311627434,0.00738608816577357,630.523801662708,619.168565822785,449.147916129032,13.4104377914003,28.9202237580566,15.6493314996995,494.1215,477.51585,393.4841,700.399,665.5546,509.1778,421,79,31
"ZNF37A",0.982645902197403,0.0493110447581212,0.0770177445290687,533.454858907363,537.778934177215,446.68985483871,10.0206482354365,19.9111165780434,22.7403650552421,404.3909,397.7316,346.00085,655.3175,626.30535,543.0163,421,79,31
"ZNF510",0.00174238057967657,0.00764653385871006,0.793400082419652,293.607883610451,253.752337974684,240.811306451613,4.72032229028385,9.30094517978655,15.0562692023121,226.5154,191.58015,199.44305,352.9953,308.46595,271.0367,421,79,31
"ZNF506",0.623113846914399,0.100233348986631,0.413646529575134,419.471466270784,406.007351898734,374.178132258065,5.98745726409026,12.2403779937296,12.2117675456309,335.016,339.50785,330.85965,481.6044,455.55805,427.85075,421,79,31
"ZNF324",0.340391956385204,0.663101087909415,0.259494802939546,146.93823064133,140.869186075949,152.615132258065,1.75833525632481,3.25530817120024,7.01909893160694,125.4315,122.99075,116.7218,166.4504,154.8793,179.81395,421,79,31
"ZNF671",0.00087668584606404,0.83524263893367,0.0253882901335198,250.057820902613,201.973487341772,261.524758064516,5.26798055992473,11.7189115649486,20.195717387981,166.7602,125.87135,162.43425,329.4702,273.7203,351.80575,421,79,31
"ZNF416",0.00159455623700921,0.0472118603777089,0.997079480033622,123.035396199525,105.528224050633,104.894132258065,2.09515348222928,3.64082756040122,5.96276344295789,94.6617,84.0397,82.6231,147.0081,121.90405,130.24565,421,79,31
"ZNF586",0.224572269693288,0.904796416602897,0.37890778595868,150.477450356295,139.908660759494,154.612951612903,2.57897127097464,5.75430278072536,7.75550060702513,114.0114,101.6034,138.9923,180.0259,166.98045,186.6035,421,79,31
"ZNF446",0.0185646596333461,2.39762925142717e-05,0.0456762137753731,203.658810688836,235.268807594937,283.231038709677,4.55743397037927,11.6708936651956,15.9817106345587,152.5956,165.94335,226.94825,230.9347,265.9512,335.2419,421,79,31
"ZNF8",0.761879124828042,0.99892289654031,0.896425734046909,89.5871479809976,83.4024379746836,90.1776032258065,3.83591737353519,3.83118481029103,5.37897360591686,63.464,60.24165,74.37295,104.6226,97.22195,101.5118,421,79,31
"ZNF264",0.349999723448648,0.0181226249068611,0.249294210742555,804.054040617577,769.48690886076,700.691974193548,10.237685350676,19.9699934058992,31.426984852678,670.7504,655.20285,614.55345,933.4405,864.6161,810.34185,421,79,31
"ZNF213",0.166645341663582,0.887702837562346,0.312865416237187,372.428163895487,402.805772151899,360.595816129032,6.78916273283952,15.7349163711028,14.5365390307249,289.4815,308.5587,309.26465,423.8816,473.50885,412.5382,421,79,31
"ZNF343",0.699150910970681,0.311385256956574,0.693879239424439,288.069636579572,296.809602531646,312.07594516129,4.42055567514072,8.62583438234446,15.0511857222425,228.9708,251.18745,261.5643,337.415,337.1534,340.92115,421,79,31
"ZNF302",0.979304358733422,0.412640036152149,0.575433385287645,678.18070736342,684.563758227848,741.366570967742,13.7159581656772,23.4041093198879,34.0846020276038,527.528,556.20235,600.016,776.5156,834.05905,836.16215,421,79,31
"ZNF268",0.0149235479004656,0.000167663281187114,0.126403560921916,417.791440380048,372.591235443038,318.101948387097,6.55648461602357,13.7845608344447,21.3750712455963,333.0026,289.3583,259.88275,482.5693,457.02215,376.28665,421,79,31
"ZNF184",0.972457849504301,0.729691446677686,0.854513965236776,247.198594774347,244.566135443038,233.766051612903,4.61114598201243,11.4634900227127,15.8767000109316,185.936,185.0978,183.29855,288.3736,275.82735,269.052,421,79,31
"ZNF500",0.767745298380686,0.00021656734333686,0.000306726959595327,205.09393847981,200.016978481013,249.538716129032,2.95736344959184,5.71021129499496,12.1892649197898,164.2202,165.3137,206.58865,243.9034,242.3078,286.01395,421,79,31
"ZNF419",0.876731544133715,0.00814338566583572,0.0105022474431025,165.831454869359,161.83009113924,203.019583870968,3.2417104292107,7.92796366628885,10.8472356112663,120.6687,121.12425,162.5774,202.3253,196.84875,238.3182,421,79,31
"ZNF175",0.0172003787981859,0.126414800122782,0.991735932890467,229.685286223278,206.053564556962,204.227664516129,3.46330947751138,7.31535062402245,12.8266501896306,181.0491,163.0347,154.231,272.5629,240.9,237.68045,421,79,31
"ZNF14",0.00895378259596524,0.479801214488618,0.764778600462177,215.372065795724,191.450040506329,201.194067741935,3.30157541154417,6.27924360559829,11.3934679972619,169.3894,156.28635,160.4948,252.7979,220.58965,237.85465,421,79,31
"ZNF85",0.999999632341552,0.972241410226415,0.978425511171457,106.556425890736,106.561282278481,104.516609677419,2.31583260523017,5.34732111169204,11.2465829685243,78.5588,78.9094,70.875,121.0423,120.1476,107.8788,421,79,31
"ZKSCAN1",0.0644690909115175,0.0102685706009757,0.417418530215559,790.956766033254,688.200211392405,588.444316129032,18.9209997605225,36.11101527553,47.7099051987566,509.0014,488.7574,356.33605,1009.2057,853.141,787.1747,421,79,31
"ZNF862",0.29497497889105,0.125678715282329,0.672585486143671,546.348219952494,596.178560759494,645.158261290323,12.611285819975,39.7240570649818,36.8941833844615,369.4709,384.95105,473.0483,667.3489,694.31185,734.83455,421,79,31
"ZNF684",0.0144690500395971,0.622658958477746,0.040062374167303,91.5245358669834,73.3424240506329,100.661190322581,2.77106743330498,2.8865536061165,8.54707547016497,61.6369,54.59215,66.0143,100.4019,84.71515,118.19125,421,79,31
"ZNF430",0.563347522526207,0.00777470540990988,0.101689242867685,105.609955344418,100.431781012658,82.4835612903226,1.99112684632615,4.8817683424092,7.61537732885454,80.4124,65.6605,47.1905,131.6316,122.4857,117.7939,421,79,31
"ZFP30",0.0311929079606189,0.607087553736728,0.80475765486774,197.41095391924,174.015044303797,184.047180645161,3.89455382502161,5.9888134594275,10.1720204945453,148.0599,139.7081,150.38595,239.8335,202.45715,231.53385,421,79,31
"ZNF549",4.45785899214624e-05,0.307454549749233,0.43060243056134,175.718885035629,132.704872151899,153.791319354839,3.99841246343728,7.88726018375279,14.4277073898386,107.473,76.71235,81.9216,234.787,175.52945,239.4804,421,79,31
"ZNF211",0.0863683658790499,0.144225609645107,0.0114348777325314,236.568481472684,208.920264556962,273.830932258065,5.26738070551454,11.4870138206055,16.1667354052087,166.067,143.73045,202.8706,286.2094,256.42435,329.79495,421,79,31
"ZNF205",0.469869665913847,4.17525275541175e-05,0.0045715427165256,351.023986460808,375.066663291139,487.419922580645,8.04613947408933,20.1034843188225,29.6594617334933,250.555,255.7649,374.9988,410.2899,456.2243,580.83475,421,79,31
"ZNF45",0.00621651144378965,0.0874308049867649,0.996611119113755,292.94716935867,262.851888607595,261.525325806452,3.95174127143026,8.33476441584974,13.5330991276609,232.5986,206.94865,222.83975,352.2949,302.1339,301.91885,421,79,31
"ZNF133",0.377210753207245,0.0296332993670142,0.307021111743147,282.260796437055,301.982192405063,339.519448387097,5.95305843047704,13.1801761710578,19.2680854855775,207.7348,225.1926,262.1516,321.6645,364.9255,397.0576,421,79,31
"ZNF436",0.999907094850313,0.600291535854535,0.669803325130097,547.24067672209,547.662705063291,499.697264516129,12.9471317820133,26.4644565208843,58.3300061142142,392.2146,378.14035,356.8449,648.267,660.0164,515.18255,421,79,31
"ZNF484",0.0113010901008245,0.00537134688752394,0.532006291803355,101.385377434679,89.6044848101266,82.0421129032258,1.66234350399357,3.47506526075618,4.88097746694365,78.1553,68.8689,62.39795,123.3374,110.95635,101.3293,421,79,31
"ZNF780B",0.121143605860458,0.949591428470424,0.659674120746346,293.076381947743,259.347798734177,285.108487096774,7.06542461801072,13.7238487141911,18.7335096406239,193.0189,169.459,203.8308,368.6844,320.403,342.23205,421,79,31
"ZNF557",0.37224189876456,0.30234114616476,0.861073813616857,163.210302612827,154.45142278481,148.575251612903,2.67898179918643,5.12475194005222,8.29508476738253,126.9497,129.87755,120.5841,195.8175,176.93025,164.37255,421,79,31
"ZNF337",0.20363624528729,0.137042503249465,0.769919517970085,629.289431353919,705.374925316456,758.484558064516,17.5407682190864,43.4459928466061,63.7117169643513,379.8833,404.46295,536.45445,784.1802,931.5419,930.24095,421,79,31
"ZNF317",0.400815062518467,0.0264373441813673,0.277854265958722,711.443666033254,689.690016455696,645.141796774193,6.79595240596768,14.7881952852043,22.1613619898016,638.1895,591.6498,555.41095,771.8932,756.60695,762.32165,421,79,31
"ZNF426",0.000316950537278315,0.0426114878913471,0.989512473850755,118.74026912114,88.0532658227848,89.9331774193548,3.21048328668862,6.36667819346755,10.3722082579525,67.7126,45.7861,37.3238,163.7148,117.0222,128.60395,421,79,31
"ZNF331",0.243330146775595,0.151059688186126,0.028552390484768,537.295091211401,440.5677,707.296290322581,21.846871174645,24.9156134814773,204.647642612375,358.296,297.60835,382.928,585.1763,517.20915,552.13945,421,79,31
"ZNF227",0.691401425624634,0.96620161442412,0.76761041524702,296.458686460808,289.075897468354,299.875796774194,3.5819768225319,8.41113034176792,12.669328637315,245.6159,238.99745,248.01885,343.6264,332.204,347.60375,421,79,31
"ZNF141",0.895623331638448,0.888362799992145,0.987957205622402,97.4340135391924,95.0147670886076,93.6288193548387,2.16007776007539,4.63088706392845,8.6909972929728,66.8815,67.16225,65.48435,118.0964,121.3013,100.7266,421,79,31
"ZNF304",2.1305544977146e-06,0.0508229709003841,0.674993931196994,375.166018527316,300.294086075949,322.092119354839,6.09130366320512,11.6239598716974,21.3490117524187,281.6068,235.56115,257.9158,453.455,348.22345,386.4816,421,79,31
"ZNF132",0.00348594291507065,0.795174600755057,0.0389469677242482,94.8197427553444,75.0806329113924,100.763509677419,2.46019249737,4.79838053239731,9.37932051966963,58.0753,46.92415,64.1501,121.2863,88.9298,123.2109,421,79,31
"ZNF20",0.973360479949802,0.56671403771608,0.724896377162728,118.248076247031,117.381678481013,112.207874193548,1.53160732059256,3.97564852783418,5.29305953746811,98.4646,100.8829,92.6105,132.4292,132.10885,120.0795,421,79,31
"ZNF670",0.000366486479365102,0.138534717993079,0.839106303768017,54.2939054631829,44.7461316455696,47.1556838709677,1.02812035246452,1.65076268155652,3.37523533477599,39.9642,36.99865,30.75075,64.788,51.7741,61.83175,421,79,31
"ZFP37",0.00197207643970154,0.987028942002685,0.0884266490047775,95.5488698337292,75.3248417721519,96.9315419354839,2.40116248016291,4.34049712507079,10.1137563576948,61.969,49.9968,53.78175,123.1984,96.7367,126.88875,421,79,31
"ZNF189",0.0199269668451967,0.917172114455433,0.447472740826803,1299.62234893112,956.223737974684,1222.97331290323,53.7507319697956,77.6816126801178,156.649211222264,647.6427,562.091,585.0372,1560.0319,1101.33685,1532.07225,421,79,31
