"gene","p-adj-N1-N0","p-adj-NX-N0","p-adj-NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX","count-N0","count-N1","count-NX"
"ZNF195",0.68131210413141,0.948351909988931,0.744314778291711,396.855058158996,367.7209,393.158909352518,9.10970111510349,26.9391388858571,7.87595244580586,309.04215,305.8832,309.333625,455.89045,405.384475,439.948125,239,16,278
"ZNF263",0.372231641021544,0.843690283266067,0.273475769369718,653.113860251046,597.9988875,660.903789928058,12.0328423536012,30.2377687295071,8.00836820888725,557.70255,490.822,580.281275,721.2848,681.88395,727.5415,239,16,278
"ZNF200",0.854078299295982,0.573004147476694,0.97985906923729,191.465489958159,196.82959375,194.912288489209,2.67472217680207,12.0293583182752,2.15301453628001,165.94965,164.168475,171.319225,213.45325,222.186475,214.53895,239,16,278
"ZNF582",0.126537201738116,0.972520714663902,0.145757420156825,35.5117573221757,23.85,35.0518870503597,1.80701752589095,3.53233736621377,1.11791643273634,20.5612,12.822,22.435375,42.3079,31.69125,45.47585,239,16,278
"ZNF285",0.729983985820064,0.390843100603263,0.448540346237814,46.2847589958159,39.62646875,50.2212255395683,2.23826642692442,5.48481735644496,2.05099902309263,19.85155,23.013075,26.411875,60.8161,53.8426,66.7476,239,16,278
"ZNF275",0.82862835055408,0.260036315822107,0.998704287297614,638.631707949791,598.2498125,601.58691942446,19.9111167193647,42.9245852315594,13.9463304994292,485.88215,476.841675,479.334525,699.9598,665.271225,671.911875,239,16,278
"ZNF37A",0.993280035253712,0.873569008123894,0.957400520281445,524.535024686193,518.86164375,533.215357553957,14.561026122333,47.2902095690367,10.3944210412957,389.82185,369.8776,408.71325,645.3822,647.0174,636.318225,239,16,278
"ZNF510",0.0421575811141423,0.664704343380394,0.084336685486233,289.803847280335,230.2535375,282.552819784173,6.56200285171073,20.6257233471255,5.431381468369,227.7188,183.945725,219.926775,344.90315,284.137975,344.954875,239,16,278
"ZNF506",0.0523628672161418,0.557261140102495,0.116080365424661,422.40079916318,351.2966,411.655965827338,8.46485441665525,17.9740281557122,6.48313721617404,333.79015,296.690525,336.81215,482.01465,382.38495,468.579375,239,16,278
"ZNF324",0.0963011886357256,0.0988712240478549,0.0150485992801236,143.893946443515,124.93529375,150.333146043165,2.42224042993491,9.26145828815792,2.00632390827014,119.78205,95.804325,129.41595,160.70725,143.6004,168.9705,239,16,278
"ZNF671",0.00747881095942016,0.911772996097676,0.00454297842108198,244.010359832636,159.81490625,247.91049028777,7.03865426043673,21.0632977813057,6.50299577867431,156.5908,94.7798,157.7583,315.5087,187.283225,329.36485,239,16,278
"ZNF416",0.036184905602952,0.67391423778475,0.0156238550415112,118.577127615063,92.14559375,121.665810431655,3.01380274650922,7.33947593619865,2.21007171330527,90.34785,72.700825,94.2996,143.22745,114.40675,146.36485,239,16,278
"ZNF586",0.258628251148266,0.896780358731903,0.327936174229793,151.042593723849,129.85965625,148.995981654676,3.72833239720467,10.4535304678729,2.85113904610952,113.0079,113.442625,112.3835,179.35265,156.722125,181.20155,239,16,278
"ZNF446",0.136352246675968,0.983713078729896,0.151194156006876,210.665753138075,258.35848125,212.136604316547,6.80165666319824,48.0473347428972,4.78258848752578,151.65665,150.06455,155.00715,240.8933,293.160175,240.9795,239,16,278
"ZNF8",0.632688096859896,0.838764715553494,0.750213919021524,91.2197292887029,74.34134375,87.6493985611511,5.58658795564215,7.19981566935321,3.4790798716823,66.2622,53.412475,61.297075,101.0311,101.081075,104.670675,239,16,278
"ZNF264",0.296768749033829,0.983513362027281,0.265976075837867,793.482225941423,714.78706875,796.616292805755,14.3832430016873,35.244945492888,11.463867459976,655.36535,607.7863,670.473125,923.4352,794.846875,921.30885,239,16,278
