"gene","p-adj-Stage II-Stage I","p-adj-Stage III-Stage I","p-adj-Stage III-Stage II","p-adj-Stage IV-Stage I","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage III","mean-Stage I","mean-Stage II","mean-Stage III","mean-Stage IV","SEM-Stage I","SEM-Stage II","SEM-Stage III","SEM-Stage IV","Q1-Stage I","Q1-Stage II","Q1-Stage III","Q1-Stage IV","Q3-Stage I","Q3-Stage II","Q3-Stage III","Q3-Stage IV","count-Stage I","count-Stage II","count-Stage III","count-Stage IV"
"ZNF195",0.664412614148254,0.0606651667164705,0.912491710748978,0.0252890143882148,0.696915679830605,0.939345537070139,375.752983955224,398.031212280702,412.142428225806,423.033692857143,7.31499050871463,21.3291848235071,12.7021475160021,15.8018167078536,299.0518,288.0719,327.230125,326.5757,422.643875,448.0122,459.748525,504.436,268,57,124,84
"ZNF263",0.537098859752734,0.714474296381522,0.958233017111252,0.625796723168795,0.99355233291399,0.994538393269187,666.873573134328,635.762601754386,648.576983064516,642.968054761905,10.7333306884615,17.0251149647349,13.4124284127067,14.5100797254875,567.2227,558.2645,568.75685,566.428625,726.1012,709.4653,724.63615,716.281375,268,57,124,84
"ZNF200",0.999924246973416,0.999773836260792,0.999490956633416,0.91724093693972,0.975144394275587,0.92010576560841,192.978162313433,193.31570877193,192.616077419355,196.114348809524,2.13626922880925,6.51203824448966,3.44136308597985,4.74625760066546,168.587875,168.7345,169.869,167.74905,213.619725,214.4359,211.271675,221.946125,268,57,124,84
"ZNF582",0.491756898535514,0.00468649388695397,0.75521335147925,0.00216095205043509,0.497485344687809,0.936996584156786,38.9795063432836,34.2625771929825,30.6366524193548,28.7489892857143,1.66125917700009,3.15532483822675,1.33317494872121,1.72460514117387,22.985,19.1915,20.58265,18.62705,47.983025,43.5379,39.702725,35.67555,268,57,124,84
"ZNF285",0.864834399037121,0.0558833941873802,0.742557040747695,0.000785378153586147,0.142041076058306,0.467350670613883,53.2523402985075,49.435850877193,43.9834879032258,37.0733142857143,2.13458164966856,6.01070570713948,2.48362055269414,3.03772702473349,29.2358,17.6991,23.99935,17.080975,69.97135,63.639,54.607325,54.094475,268,57,124,84
"ZNF275",0.894206886627151,0.999400273289814,0.942661452008351,0.999993905843454,0.925711931837297,0.999469329584361,614.466597014925,642.158452631579,617.929728225806,613.604436904762,15.8354136825252,55.1199341815947,17.8723393071352,28.3469856687815,491.132525,433.4318,476.733775,471.02555,673.864575,669.5947,710.87095,673.519575,268,57,124,84
"ZNF37A",0.98748628291848,0.528668301701796,0.926467843630061,0.927465753888693,0.998358824669301,0.959682673903647,539.116075373134,529.531468421053,509.909962903226,523.860586904762,11.3204075644238,35.2164602760381,17.4443293379537,21.0305157441865,421.170125,385.0717,386.86685,387.969975,664.403375,638.3119,613.5558,623.270275,268,57,124,84
"ZNF510",0.999929226878196,0.00355839185614371,0.104332503085104,0.000104416271923591,0.0107226351586415,0.632243083405579,300.459661567164,299.663931578947,265.477334677419,249.686155952381,5.69720330995051,16.4488571000534,7.670090632738,9.01342466327837,236.6366,228.4158,202.223325,192.503575,359.201125,339.8016,327.4353,302.5751,268,57,124,84
"ZNF506",0.990218216320214,0.796661645134763,0.985999144470665,0.426537125407026,0.831133813289072,0.918666184890617,421.516335820896,416.255680701754,409.730390322581,398.992558333333,7.02334786580441,18.1512360932338,11.1243270098689,11.7703210834802,340.6869,332.2362,313.615775,331.726375,476.02505,478.932,482.3997,447.13575,268,57,124,84
"ZNF324",0.290664612550858,0.0121191208114294,0.965248227236396,0.0109638587551204,0.873727349306511,0.980608767077755,152.544014179104,143.454592982456,140.791611290323,138.873394047619,2.21862961392301,4.46189939104707,3.34429282235735,3.21027875429343,129.810825,124.8131,119.9935,118.687475,172.3254,164.5207,158.495825,153.269,268,57,124,84
"ZNF671",0.194746453235891,3.11395601400033e-05,0.55491623791791,8.18730875318252e-08,0.05864372020244,0.39787993964305,270.891884701493,240.507215789474,218.459300806452,195.211203571429,6.64326583929184,14.1823463235991,8.52971234069661,11.4477010730256,196.894275,162.0948,142.9673,116.67815,354.7939,320.262,281.69035,269.701125,268,57,124,84
"ZNF416",0.00217702059178593,1.7818955703186e-06,0.993350898893869,1.01308686473178e-06,0.842185582512448,0.896727311303687,131.038232462687,110.213010526316,108.506906451613,104.548976190476,2.41882266248704,4.24330436480125,4.28157134411881,3.57518321774673,104.0361,86.9565,81.219225,83.396275,156.771775,127.2531,133.2402,121.615525,268,57,124,84
"ZNF586",0.454475397304273,0.471578879690798,0.0939435836726396,0.0872001692444437,0.0164776296335305,0.764764155770695,152.445611567164,163.578794736842,144.312249193548,137.186704761905,2.9213724960192,6.28748297745366,5.46910495216062,5.70512655212283,118.876325,130.977,106.9781,98.342725,179.988025,200.3222,169.8878,166.666025,268,57,124,84
"ZNF446",0.903753037601342,0.000519689785451027,0.16886709249541,0.00104377169822578,0.134061072710714,0.990459129773434,195.336745149254,204.786219298246,236.028235483871,240.074563095238,3.92793532924969,12.1632806848409,12.1645716537675,11.5703661468815,151.4392,150.9986,164.912875,166.432325,227.258075,230.9347,268.9213,272.4159,268,57,124,84
