"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","count-M0","count-M1","count-MX"
"ZNF195",0.0101746687707408,0.787959618996651,0.00673010925224682,321.714242713568,461.56249,307.454616666667,10.1032045344729,66.805975639059,19.4164906368079,230.7153,293.2316,208.819775,376.9162,593.5739,367.7782,199,10,60
"ZNF263",0.428628704731136,0.549765008335167,0.746092591872838,730.890615075377,804.26094,758.885496666667,12.8476645581416,63.5993135615545,23.4617578950184,587.2486,653.502975,627.6181,840.4394,910.637575,845.1563,199,10,60
"ZNF200",0.511971447306757,0.813312247528606,0.389519332993397,172.300060301508,189.99823,167.83932,3.52324519721332,12.9825216826834,6.41599416884113,139.8779,165.068725,142.699,200.60415,210.789375,180.005125,199,10,60
"ZNF582",0.0628137941309832,0.940760525203916,0.058763750859014,28.3243065326633,16.234,29.132375,1.18809606997832,2.19331808307768,2.13964886496286,16.43735,12.63555,19.378725,35.74955,18.09835,33.962675,199,10,60
"ZNF285",0.697135468374846,0.744945889792092,0.524804721426157,49.7648185929648,40.27531,53.6599166666667,2.63831941399154,10.8740355815478,4.20772041319554,29.48395,9.66795,26.831475,63.80865,55.287625,76.28335,199,10,60
"ZNF275",0.708247609744516,0.782131505454551,0.888466558589736,422.877698994975,356.37729,397.379583333333,18.3176815471751,39.797558246102,35.6171063869056,268.21,285.51735,259.5159,492.0335,366.7804,446.45595,199,10,60
"ZNF37A",0.30675429124885,0.403725899998436,0.126833747870919,315.164646231156,384.15352,287.724355,9.90007744754091,57.6382916724055,19.9814550333982,219.97065,257.9652,169.6646,397.45085,462.053625,400.555675,199,10,60
"ZNF510",0.84733168446362,0.206454351075623,0.975227253416966,187.13208241206,172.90679,167.075725,5.76975646608074,37.6360903535318,8.64141368923221,133.86565,116.591325,112.819025,223.3588,155.7203,195.380375,199,10,60
"ZNF506",0.946732587269884,0.816444138596206,0.999233036688471,340.354109045226,326.97301,328.642381666667,9.44642643706738,40.5233218344544,15.9614396626319,256.4977,282.771325,261.464375,406.44875,415.486225,384.380175,199,10,60
"ZNF324",0.225868515582282,0.405411069699111,0.568881776464106,148.540622613065,125.46403,140.388598333333,3.03121604456741,11.0664671992872,5.85116293433233,123.031,102.19045,112.2787,172.1584,142.50365,164.9007,199,10,60
"ZNF671",0.0269042743266102,0.242182641998084,0.00503587669573224,131.000871356784,46.88627,154.753005,6.81721537356673,13.8101404742477,15.1534964594082,57.1553,22.35145,63.347125,190.8243,58.8666,215.11625,199,10,60
"ZNF416",0.0572724384642695,0.597947859721643,0.0264516963637343,77.8742532663317,55.22316,82.2019816666667,2.09586425704906,6.48798380485374,4.39582961894046,58.0314,36.804225,61.694125,92.6057,67.793275,100.94535,199,10,60
"ZNF586",0.398712345111098,0.692980232266636,0.255300521915282,121.727193969849,101.80268,127.434015,3.53797590529977,11.1949080114011,5.15862343538858,92.28435,89.7791,106.9882,147.66095,119.96415,147.44955,199,10,60
"ZNF446",0.890042837450195,0.067355542232729,0.858136168532512,310.657010050251,332.16976,358.158291666667,10.1933522043168,53.6434048505255,18.3332737709854,216.6341,205.4378,264.085575,352.82355,450.1283,384.579125,199,10,60
"ZNF8",0.897863477821053,0.067145337453511,0.350961234146681,81.7445020100503,86.28638,71.3100666666667,2.24798784178142,16.4837692589596,3.50847480340343,56.9099,64.334725,52.08955,101.57495,89.997075,88.999825,199,10,60
"ZNF264",0.417828532459673,0.134914301190861,0.927501839779151,669.114108040201,573.1892,602.79021,17.0687166901358,66.9867738518815,27.8378215624668,510.71495,490.3614,451.973475,833.3704,741.10615,759.856025,199,10,60
"ZNF213",0.207805154873278,0.947600113515605,0.303910379312886,546.050830150754,653.40696,555.02994,13.5972348049646,95.8812195010405,23.834609936059,430.35345,464.73225,453.7629,622.5742,763.1654,639.153075,199,10,60
"ZNF343",0.387746806273368,0.911410737500736,0.532743536780235,254.81743919598,295.10058,260.52752,6.35594845964221,50.9021883245216,12.461568124266,187.78385,216.896875,196.771125,303.5944,342.556925,292.937,199,10,60
"ZNF302",0.78522931637921,0.581578788878081,0.978088562331105,524.312415075377,580.12428,562.332575,18.6645728842354,64.5792719982741,33.0012797674165,347.547,458.702775,423.811275,634.38435,649.989375,667.13615,199,10,60
"ZNF268",0.999604813704791,0.00497043503527983,0.348335660543346,419.112974874372,420.67626,335.23098,12.8661102685476,54.2037262207133,22.8393351774222,290.3544,294.441325,221.5168,527.67215,473.487875,417.222625,199,10,60
