"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZNF195",0.266265371629213,309.179035064935,331.428574178404,14.3816277090666,10.8220649437732,236.2478,229.92,357.1129,389.3013,77,213
"ZNF263",0.130214932040564,710.450919480519,746.991023943662,20.06807672628,12.526819344677,593.8852,603.6939,823.8216,847.7999,77,213
"ZNF200",0.176780368280599,166.773546753247,175.747846948357,5.40117682101105,3.473303370832,143.0143,140.3162,190.5501,202.3568,77,213
"ZNF582",0.0128023846664456,32.7438090909091,27.2614441314554,2.17206564527001,1.05663796451543,19.5009,16.4716,41.4938,34.2374,77,213
"ZNF285",0.221823368829854,55.4611012987013,49.6560798122066,3.78704764927139,2.50001417522965,33.451,27.4098,75.7111,63.6816,77,213
"ZNF275",1.3328231756482e-05,524.388206493506,379.400625821596,36.2388027170029,14.6954919452229,309.9126,254.0568,626.5105,440,77,213
"ZNF37A",0.000272229648846989,370.702603896104,299.080844131455,18.813632022724,9.50365878639837,281.5982,206.1281,450.7327,387.3643,77,213
"ZNF510",0.0113321055218927,206.523158441558,178.937756807512,11.6699950327011,4.96039239779629,138.9474,129.5139,268.2737,216.0835,77,213
"ZNF506",0.611982469447721,333.956585714286,343.078766666667,15.7292935790945,9.18363372059024,263.5432,256.5197,409.0669,406.5886,77,213
"ZNF324",0.276713973929693,151.790232467532,145.550284037559,5.53108613916317,2.80371937877874,118.863,120.9748,185.5884,166.813,77,213
"ZNF671",0.58100542362182,130.754774025974,138.269923943662,12.5176211637299,6.81317754506508,39.009,60.6708,201.0389,199.0223,77,213
"ZNF416",0.00731531596463852,87.7161454545455,76.5211816901408,3.82020316646656,2.07451342127647,64.4834,57.3879,108.1563,91.175,77,213
"ZNF586",0.733335097133136,124.956328571429,122.782733333333,6.46283991214332,3.03981617434497,90.5966,98.5364,155.5847,141.9673,77,213
"ZNF446",0.634122756921428,312.139802597403,321.157960093897,18.8418323523258,9.12270716114199,211.7825,235.2257,355.6731,376.9599,77,213
"ZNF8",0.00981183028906352,89.5574662337662,78.1333483568075,4.14609605569388,2.17663323912645,65.3437,55.7177,111.3016,94.2317,77,213
"ZNF264",0.872043691352791,656.676867532468,661.735450234742,25.9309110480868,16.3717055359384,451.425,499.4737,801.9981,824.826,77,213
"ZNF213",0.102140896824226,517.256781818182,559.010311737089,18.8741687708762,13.7002168704119,400.9511,432.2626,597.8763,647.1363,77,213
"ZNF343",0.00696055668453233,284.666749350649,250.465193896714,11.1708993305685,6.39772838384175,218.7581,188.7265,334.3599,291.5828,77,213
"ZNF302",0.100028514418563,496.347276623377,552.146404694836,24.9254413664964,18.2204820171829,376.1904,368.9186,577.0893,672.6998,77,213
"ZNF268",0.386084082505883,427.985444155844,406.035537558685,22.8439462422226,12.767178088328,279.4857,280.4508,579.331,510.94,77,213
"ZNF184",0.984936852912562,163.185975324675,162.983103755869,6.77636603185941,5.96861141307519,125.6103,118.4658,196.0649,191.4242,77,213
"ZNF500",0.901590322816587,260.57202987013,261.867397183099,8.78141510461571,5.43337714969092,211.9007,202.844,314.6811,306.7501,77,213
"ZNF419",0.821694657522732,146.545262337662,148.970436619718,7.29960060195808,5.89813210208975,106.5844,99.4475,173.1266,176.7276,77,213
"ZNF175",0.0758083073799304,158.697837662338,144.681662441315,7.65381998812592,3.83716558656817,114.0972,106.2657,198.0183,176.893,77,213
"ZNF14",0.00882344331026241,146.851161038961,128.8076,6.26062201372729,3.43669313729885,110.8016,97.9418,174.1486,146.5594,77,213
"ZNF85",0.0695570858586239,73.1590454545454,64.5157352112676,3.88092060731234,2.48379270088608,51.158,42.9785,89.2447,75.0494,77,213
"ZKSCAN1",0.0186398357310287,746.87002987013,605.900800938967,68.9976625441131,25.7570388488711,350.3012,299.6897,1048.7948,817.4771,77,213
"ZNF862",0.0343771971186579,828.258941558442,1045.33872018779,103.238369100704,48.7890884477292,445.5521,558.4388,909.3552,1374.7573,77,213
"ZNF684",0.617190864858217,104.081151948052,108.832753051643,7.30806778193555,5.06011128879832,55.1249,66.8563,145.4112,135.4118,77,213
"ZNF430",0.00193231118776227,67.2525168831169,50.8745985915493,4.65723136837025,2.65890594394281,39.009,28.4257,95.3862,64.5161,77,213
"ZFP30",8.69117685086129e-05,170.254846753247,138.014267605634,7.36502086769116,4.07760854266594,124.2529,100.2786,209.6941,167.7733,77,213
"ZNF549",0.278189149122104,139.232115584416,128.668074647887,8.63868517977713,4.94283477005881,95.0822,78.8194,180.3784,167.2231,77,213
"ZNF211",0.612443573504912,197.067162337662,207.143074178404,11.0429278279715,11.2507707545605,119.0512,123.4521,271.0526,242.5334,77,213
"ZNF205",0.0270173531511835,448.810767532468,525.954127699531,29.7097028918202,17.8922805625036,270.4417,352.3903,516.3204,612.7432,77,213
"ZNF45",3.58392257714391e-05,199.560884415584,163.490163849765,8.51606418133992,4.1502329415498,137.5491,121.3967,250.3044,189.2779,77,213
"ZNF133",0.548339682427035,341.934606493507,360.93435399061,21.5010060771781,17.3386869685462,226.102,216.6359,372.6415,423.8125,77,213
"ZNF436",0.14689099471001,382.016544155844,342.314074647887,32.0488850601815,11.6463038488426,248.0453,253.5046,400.7269,381.4442,77,213
"ZNF484",0.0317052265075444,58.9758285714286,52.7594605633803,2.96478502679114,1.36096290735704,41.3401,39.0625,74.1244,63.9361,77,213
"ZNF780B",0.449068982212939,307.91201038961,290.722667605634,20.4512484095598,11.4581290867627,192.0046,167.7066,393.4075,377.6248,77,213
"ZNF557",0.0221702703506402,158.837080519481,144.050088262911,6.38491484217676,3.10282592248044,122.739,109.3135,193.4493,167.1018,77,213
