"gene","p-adj-mRNA.Cluster 2-mRNA.Cluster 1","p-adj-mRNA.Cluster 3-mRNA.Cluster 1","p-adj-mRNA.Cluster 3-mRNA.Cluster 2","mean-mRNA.Cluster 1","mean-mRNA.Cluster 2","mean-mRNA.Cluster 3","SEM-mRNA.Cluster 1","SEM-mRNA.Cluster 2","SEM-mRNA.Cluster 3","Q1-mRNA.Cluster 1","Q1-mRNA.Cluster 2","Q1-mRNA.Cluster 3","Q3-mRNA.Cluster 1","Q3-mRNA.Cluster 2","Q3-mRNA.Cluster 3","count-mRNA.Cluster 1","count-mRNA.Cluster 2","count-mRNA.Cluster 3"
"ZNF195",0.71701727845856,0.11068909895795,0.0350228042761305,308.541684415584,326.74277704918,243.02872173913,15.1991351994112,19.8876492801389,16.820377638052,221.4422,227.2196,196.61625,365.4649,387.4936,301.44215,77,61,23
"ZNF263",0.752235082631343,0.505278365426162,0.830879444834852,740.087167532468,717.47238852459,691.443304347826,19.5410700326403,26.508672120535,31.5601826713251,630.0354,563.5304,570.835,845.7407,867.4628,744.16215,77,61,23
"ZNF200",0.933424245869164,0.552338962800288,0.420845180129269,173.757235064935,176.979098360656,160.611808695652,5.53291522088488,7.81034576250937,9.32396507515361,145.8806,136.389,138.20535,190.919,206.5887,172.75835,77,61,23
"ZNF582",0.665257217273264,0.50916354992512,0.883325449323613,29.7358792207792,27.4314983606557,25.6192347826087,1.46921963619671,2.51807926666652,2.27940075368799,22.1224,14.8662,20.36145,37.2312,38.0099,31.2274,77,61,23
"ZNF285",0.153899025858124,0.270238966730421,0.977505834712019,54.7164506493506,43.9280983606557,42.2457565217391,4.20799683994922,4.36191398620575,3.90019304769414,31.7053,17.9163,27.9557,69.3143,58.9525,55.45915,77,61,23
"ZNF275",0.00047830126328563,0.272123612444976,0.000127356288302183,377.662125974026,523.281831147541,296.821317391304,19.3339026677518,37.8419589088732,20.6935147490081,270.5602,349.4493,210.3267,445.1689,628.284,375.6106,77,61,23
"ZNF37A",0.853911443762731,0.0147186506941314,0.0498253852299764,334.325836363636,321.01173442623,237.008282608696,16.2398423645544,20.5973608229909,21.1551444177775,231.0966,217.8439,177.77055,410.4842,419.8622,283.59275,77,61,23
"ZNF510",0.104246733279915,0.00123260467528652,0.101358855113064,214.872868831169,185.490650819672,143.28142173913,9.90556489096624,11.2239423590037,11.8845515562315,161.3475,114.787,100.2552,263.7262,232.9626,175.81555,77,61,23
"ZNF506",0.00534851072025466,0.00609216843197247,0.694404370762213,364.453475324675,294.746536065574,269.085591304348,14.5268400452499,18.2259679257842,18.1392624724988,289.8338,198.8821,221.10035,410.22,400.9575,309.43885,77,61,23
"ZNF324",0.314268716425312,0.221086402512478,0.821364341310963,153.980031168831,143.290860655738,137.029656521739,4.98675357115838,5.69375535321062,7.04066764460948,124.4755,112.5449,118.4781,174.4862,171.8503,149.2559,77,61,23
"ZNF671",0.151897969694431,0.565723102981957,0.945982998526281,138.093428571429,109.049314754098,116.101352173913,10.2658144542906,12.5081001306775,14.9382775437262,68.4051,28.0052,61.5788,188.3036,161.7662,161.655,77,61,23
"ZNF416",0.801903622026383,0.722078150635989,0.950417183365306,81.2335935064935,77.870437704918,75.5682043478261,3.28882650803858,4.56300838170609,4.882044410149,61.2553,53.0224,58.64105,94.6389,102.7215,85.38135,77,61,23
"ZNF586",2.01427944013233e-05,0.44013221877643,0.0989566856027098,130.193920779221,95.6614295081967,117.598160869565,4.66548137868182,6.35082655467454,6.40645613742115,103.3119,62.9706,98.59265,149.5753,112.3453,140.87155,77,61,23
"ZNF446",0.00671826420994315,0.00385046674439493,0.574236717388461,351.775383116883,274.452408196721,238.483486956522,20.1213750720345,15.1514125280792,18.0466147322724,238.5028,193.8821,190.03735,406.2612,328.317,261.14435,77,61,23
"ZNF8",0.952313267402064,0.0687010745332106,0.125502888376499,82.7955662337662,81.0960065573771,65.1224695652174,3.66076084628918,4.85698741461869,4.53847225311664,58.8223,55.7177,55.68715,102.6414,98.8139,72.1445,77,61,23
"ZNF264",6.84887162325509e-05,0.00662690976013725,0.998410335352172,747.824164935065,579.078367213115,582.044817391304,24.3761318994649,32.3287595259112,38.3721960124171,573.9055,416.9117,418.11025,903.5163,772.3684,723.8478,77,61,23
"ZNF213",0.997354131248495,0.966064282859289,0.979363275269812,565.147927272727,562.73678852459,553.079552173913,19.1217774656235,32.2703499718103,33.1064108528368,450.5814,381.6178,468.33255,647.1363,693.8218,647.98115,77,61,23
"ZNF343",0.488245781563328,0.0013402079631305,0.0226268731003184,269.935537662338,250.987162295082,187.86272173913,11.7378592367373,12.5422546718595,13.4862202168286,196.2704,184.4287,148.34765,330.9801,282.8424,218.4461,77,61,23
"ZNF302",0.590670248179032,0.00493033708348489,0.0451540892461709,570.029462337662,524.777944262295,366.085356521739,23.8646464116393,45.0001883744455,37.8622245963376,453.3958,344.2026,240.3477,636.7493,621.7553,374.7969,77,61,23
"ZNF268",0.390252694494309,0.874042475041767,0.899162374573248,457.018398701299,411.721403278689,433.362556521739,19.5440874215012,28.7856546159643,47.377156973082,357.3339,253.3693,303.14675,540.7935,492.0459,607.2084,77,61,23
"ZNF184",0.253625087158395,0.530048779506141,0.0817284448483173,164.063546753247,189.110047540984,140.531760869565,5.91369395587489,17.1933220731133,9.99270333459326,121.693,121.5091,115.61465,199.0862,211.025,165.57225,77,61,23
"ZNF500",0.139140083616658,0.250890038730357,0.975848881357088,277.803897402597,250.607301639344,246.326895652174,9.28086125370519,11.1999228333677,15.8396885528836,210.6233,182.3006,186.8528,326.2411,305.9202,288.075,77,61,23
"ZNF419",0.0358208153111531,0.0245363123044013,0.694377657312444,148.357574025974,121.254501639344,108.634569565217,7.26397846398942,8.80064161238342,8.96734470160309,103.377,74.8903,76.80415,165.2829,148.9335,139.8392,77,61,23
"ZNF175",0.00493750142474014,0.00088629584548694,0.367085986656231,168.599138961039,136.491191803279,116.990452173913,7.25876035752294,7.22917426199313,9.62788281136832,125.6117,99.6566,83.85525,202.7761,165.7459,143.17425,77,61,23
"ZNF14",0.261951232557555,0.0410641796000195,0.00190719845541398,128.958533766234,141.234944262295,102.445086956522,4.5836540509174,7.19537786593502,5.73491440521568,99.7732,101.1269,79.92,151.9738,173.7905,119.5336,77,61,23
"ZNF85",0.00611548979852683,0.306529207688989,0.00117123367465322,60.5432974025974,75.2360803278688,50.9161565217391,2.52357207808788,4.44126682359618,4.45068575123409,46.5199,51.0095,39.22115,73.4334,92.838,60.55085,77,61,23
"ZKSCAN1",0.0378975607654561,0.194805024318013,0.998723988952806,810.208196103896,594.223552459016,600.215356521739,69.2653511711665,49.8615994808294,85.9037412347561,376.1662,264.5888,250.1738,1101.1388,878.3838,882.7267,77,61,23
"ZNF862",7.52082862653936e-09,0.000831755072273066,0.687445179312443,1331.86782077922,524.663985245902,675.199247826087,116.569948643562,40.9687278857544,62.4866846874823,724.4485,284.1287,437.83135,1779.9708,678.8469,854.2548,77,61,23
"ZNF684",7.06457817094552e-05,0.000258493258656678,0.666981304665867,127.466457142857,80.6386704918033,67.4543130434783,8.24024612027569,7.45640209038949,6.45133549504723,79.8625,35.4548,45.69635,151.0645,102.8754,80.69485,77,61,23
