"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX","count-T1","count-T2","count-T3","count-T4","count-TX"
"ZNF195",0.235171602538026,0.999973748791853,0.335069517229843,0.93857521463978,0.69816249555564,0.946485062386718,0.805027169898712,0.490755951643702,0.82225826699449,0.999318332539514,320.7251,379.120293939394,318.431751666667,238.66785,203.4586,10.2618306254884,32.8956184482545,19.122069944792,23.39465,140.2686,233.4559,251.0388,227.084275,226.970525,133.3243,379.9379,447.7677,375.61715,250.365175,273.5929,193,33,60,2,2
"ZNF263",0.980902646587282,0.980194191341483,0.999976702902418,0.543241919345495,0.660172251730667,0.629492578608803,0.998893334708512,0.999959722931015,0.999893663457668,0.897126257986147,730.379843005181,749.488481818182,745.521773333333,928.2587,764.77775,13.3813754937707,23.0009262036116,24.8218383330409,158.1995,15.38305,591.8069,675.3182,588.7856,849.15895,757.086225,834.4266,840.4264,882.92925,1007.35845,772.469275,193,33,60,2,2
"ZNF200",0.695766311126211,0.994679635766478,0.913793325813748,0.934276260672019,0.992618784826203,0.957192687096596,0.970117148332684,0.998639332772274,0.982939842381678,0.9999649663749,171.021310362694,183.209184848485,173.966021666667,199.00855,193.43005,3.46020656794929,10.9152101595152,6.32157079085905,34.03955,13.37675,141.2881,140.0916,139.671575,181.988775,186.741675,193.7544,203.4008,207.21725,216.028325,200.118425,193,33,60,2,2
"ZNF582",0.202331182184421,0.00337972551980636,0.976560249319732,0.722917779410829,0.96417665025863,0.987940762323841,0.970252202835152,0.768397690372604,0.651667546021792,0.669863329831181,31.3054119170984,24.7274181818182,22.6514616666667,16.8901,38.57185,1.17706955439108,2.76228577588907,2.11322957168247,1.0902,2.78955,21.3556,17.5824,9.692925,16.345,37.177075,37.3067,28.343,32.901975,17.4352,39.966625,193,33,60,2,2
"ZNF285",0.999983278029766,0.0153300891972737,0.171599838444232,0.988506477455295,0.991385459112307,0.790638159691112,0.980861594841373,0.979482033570995,0.999980497795133,0.946173336350561,54.5387222797927,55.1539727272727,38.109995,66.7479,40.5499,2.58820886095056,6.41630797232527,4.17309118088902,21.7972,7.0329,31.7085,19.3571,12.1003,55.8493,37.03345,69.9177,78.8486,54.75615,77.6465,44.06635,193,33,60,2,2
"ZNF275",0.996939068648633,0.345458879073264,0.521994813732215,0.927081946277023,0.955829951309915,0.761102628385843,0.932661616441708,0.959774213961529,0.771507920406017,0.999999992953745,407.412217098446,390.947812121212,476.76688,261.4156,264.77275,19.3429590315853,31.7926331064241,30.7236632320779,8.28849999999998,40.13775,263.5247,285.4277,330.1457,257.27135,244.703875,456.5217,435.6775,603.546325,265.55985,284.841625,193,33,60,2,2
"ZNF37A",0.753141142158867,0.860292802133211,0.426525346966158,0.829766873103314,0.667497523524453,0.918284940648352,0.220561838199139,0.407924009392798,0.152669356206911,0.166138616722133,318.182987046632,284.786660606061,339.828335,429.13425,96.5377,10.1595573684962,22.944445222967,22.9590812796434,41.04995,31.8251,219.6846,220.0507,228.974025,408.609275,80.62515,406.3389,349.7556,411.362525,449.659225,112.45025,193,33,60,2,2
"ZNF510",0.983338419482169,0.601995757572815,0.985818012593137,0.995674406514348,0.999385860253296,0.999992043927763,0.377532309177725,0.489348213587787,0.576122835495097,0.8512250390211,191.693278756477,183.387548484848,174.234318333333,169.70195,86.98525,5.8274265487537,13.5030230471919,11.1938635185457,103.17495,14.27875,138.9474,133.9124,120.000025,118.114475,79.845875,236.3239,213.4485,208.624975,221.289425,94.124625,193,33,60,2,2
"ZNF506",0.998257626482042,0.00512446413428869,0.0665402409493873,0.880714384105745,0.857239573466735,0.999534898658858,0.700423878251217,0.671541649231662,0.981332849447748,0.999201793111102,355.367367875648,362.819524242424,287.151521666667,266.81665,234.38175,8.69335076607681,34.3215053180867,16.3265001393461,18.23935,67.27095,271.9006,252.7822,212.2126,257.696975,200.746275,412.8219,427.2237,351.8184,275.936325,268.017225,193,33,60,2,2
"ZNF324",0.341038223163929,0.0457080961882947,0.998693433076954,0.999999997674734,0.989837649863926,0.980438638706551,0.965417140484235,0.999856205257382,0.999991876162655,0.990818076153011,152.670796373057,137.722851515152,135.157211666667,152.36625,132.7877,3.03372393279481,8.13688056043206,5.40645741569554,16.16565,40.7943,125.3644,103.3636,110.449525,144.283425,112.39055,179.4756,164.1102,163.07595,160.449075,153.18485,193,33,60,2,2
