"gene","p-adj-Stage II-Stage I","p-adj-Stage III-Stage I","p-adj-Stage III-Stage II","p-adj-Stage IV-Stage I","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage III","mean-Stage I","mean-Stage II","mean-Stage III","mean-Stage IV","SEM-Stage I","SEM-Stage II","SEM-Stage III","SEM-Stage IV","Q1-Stage I","Q1-Stage II","Q1-Stage III","Q1-Stage IV","Q3-Stage I","Q3-Stage II","Q3-Stage III","Q3-Stage IV","count-Stage I","count-Stage II","count-Stage III","count-Stage IV"
"ZNF195",0.999764345232271,0.9834235606453,0.989911511630695,0.665834077688758,0.759862746562862,0.830709405920662,313.883747674419,311.074691304348,322.280355769231,358.527633333333,10.4192823627243,37.9848577831946,17.9760839619538,57.3212375595499,228.396125,224.4002,241.838175,204.6824,373.64845,347.3093,384.66725,545.54725,172,23,52,15
"ZNF263",0.981241059665534,0.427060767497512,0.924522791900806,0.141904753622341,0.447835342576351,0.659279523629101,718.366643023256,733.754439130435,762.204486538462,823.597846666667,13.7471151013701,20.8225565827657,28.3374806273052,56.1715303512849,586.119975,680.007,578.833925,659.7682,819.929,808.15345,902.568075,970.7721,172,23,52,15
"ZNF200",0.707058182562923,0.210025806946119,0.992158770745923,0.947490167494983,0.992809847166571,0.946199900293276,167.656497674419,179.628934782609,183.182430769231,175.0562,3.49900390747286,11.8905008791181,8.32791870391267,13.3795929965964,140.255,138.9275,141.147525,135.9197,188.590175,207.85285,213.650425,209.38915,172,23,52,15
"ZNF582",0.347133594570621,0.000690098628188585,0.751507634800998,0.0239355581203856,0.624000528817251,0.955833510643421,31.2864180232558,25.7649173913043,22.0260923076923,19.7715866666667,1.17738226831837,2.97090675275135,2.0059867264618,3.08699214636215,21.653225,19.3028,11.216475,11.9453,37.4396,30.4015,30.814075,22.5938,172,23,52,15
"ZNF285",0.83680318742333,0.163377589180236,0.940762846456907,0.554986246432025,0.957649114738182,0.999777255202103,53.4878645348837,46.990552173913,41.9947538461538,41.1209066666667,2.7129067785933,6.62947324022657,4.85279346987826,8.23904133476397,31.7077,16.7643,14.66485,11.1177,68.5994,71.1531,59.117225,54.29935,172,23,52,15
"ZNF275",0.628369539654437,0.049875547732848,0.0371778943853691,0.994542346229153,0.74718143287604,0.647773285682673,395.528396511628,333.178673913043,491.456125,411.261686666667,18.7132087915842,23.893422451076,35.232205536608,36.9074494616207,263.8511,230.3083,323.40505,347.5312,453.885225,410.71735,603.546325,450.6573,172,23,52,15
"ZNF37A",0.440471253279804,0.977020950928642,0.388672823508042,0.31202802525554,0.0791578021232024,0.522093950646189,313.829205232558,264.861847826087,323.338994230769,382.287206666667,10.3838846831469,28.5159503103073,24.9692955349843,41.4153685738179,217.046825,198.49665,224.466475,261.47145,406.9203,308.5295,404.865875,483.50625,172,23,52,15
"ZNF510",0.639261613090502,0.757594254830934,0.974307386942537,0.994352178454491,0.936385611187882,0.990543005107306,187.525606395349,167.139073913043,175.396434615385,182.245306666667,5.63807865433408,12.1624388085591,12.4340521262449,25.7510357371865,134.092325,128.9449,122.08495,127.8159,236.6233,211.0133,209.961825,206.74015,172,23,52,15
"ZNF506",0.703099351966003,0.142110173175171,0.978466099070314,0.0522954331913121,0.524231136469574,0.626285103449678,351.07374127907,320.636182608696,307.935836538462,263.1552,8.94471960108634,37.1648325850002,17.5226322195096,38.0562713912963,275.386825,236.8385,229.53305,165.21355,410.1384,376.7121,379.5554,342.79505,172,23,52,15
"ZNF324",0.551182871314352,0.098687750955429,0.991581086794539,0.371129377510732,0.973566785307666,0.995231833586808,152.166075,139.744608695652,136.677311538462,133.717113333333,3.08356870034629,9.53968338917638,6.78451802691309,8.69687266176957,125.2733,94.14745,104.37345,117.25255,178.345875,169.5975,166.212125,148.4902,172,23,52,15
"ZNF671",0.57799307589478,0.00122740936086307,0.60245081936043,0.000653872349475226,0.0950483439384056,0.395395853508884,151.036579069767,124.757826086957,96.0080711538462,53.2762533333333,7.53484848974594,17.4329971983703,11.6041540164031,12.6284135723597,75.4652,42.93705,20.87775,26.1319,206.68435,189.0568,150.834975,66.30455,172,23,52,15
"ZNF416",0.977400099399869,0.12177843002367,0.295290964906818,0.0420120659253254,0.0753729194584751,0.602126647563872,82.4795081395349,85.2272130434783,71.7832423076923,60.6975133333333,2.26144392770236,7.43636014221444,4.50782453067821,6.11641853612348,62.425825,58.1801,52.610975,46.04625,100.892275,92.8684,88.04025,68.48375,172,23,52,15
"ZNF586",0.826230364695197,7.6889341893982e-05,0.00239210761589537,0.00895986412669769,0.00972858181601932,0.954281391819373,129.885048837209,138.389073913043,98.4972211538462,91.6989266666667,3.3454766861475,11.0048089988475,6.33484161165365,8.95941299607485,105.0505,102.11105,86.569125,80.95565,150.1701,179.43,114.684275,110.71,172,23,52,15
"ZNF446",0.390046179184727,0.97836699610966,0.658182187790913,0.998785367795826,0.639362259317403,0.984773355669697,326.21053255814,275.001991304348,316.9986,332.1091,11.5324420007568,18.0462073948457,20.5049296758474,36.825399567338,232.91565,209.11955,210.738225,215.3671,374.82165,304.82325,341.95165,386.96465,172,23,52,15
"ZNF8",0.845894204484865,0.86083938442559,0.613476377142561,0.78972911943779,0.996913352896974,0.578399349278091,80.4392360465116,86.4539695652174,76.3207846153846,88.715,2.30388155419636,9.15259181604229,4.66312491171023,11.2885285494654,56.58435,55.88005,53.3363,64.83495,100.59045,113.09025,86.5655,105.88625,172,23,52,15
"ZNF264",0.696859731550485,0.00254800488076201,0.576697950448315,0.566002915385252,0.988277904655399,0.886191957002969,691.1063,636.552704347826,564.216053846154,612.317966666667,17.1274869039839,38.4515020156815,34.7704939646151,51.8071841447852,547.263825,532.85335,370.750625,494.1292,834.398325,690.3458,804.0016,800.8326,172,23,52,15
"ZNF213",0.98797736930403,0.0781725404072392,0.270575525037887,0.0134991468755294,0.0378736059630306,0.4392943934957,526.315695930233,512.966460869565,596.520232692308,677.497286666667,12.3038420825559,32.2132011721067,33.5987617228523,61.2686625403075,429.83605,413.8673,426.085975,509.9376,597.84825,591.4713,721.553575,764.2725,172,23,52,15
"ZNF343",0.765249301502887,0.237260850145794,0.987715649172928,0.141358847595097,0.695570850405069,0.775502265012298,246.72944244186,266.781469565217,274.426826923077,300.39908,6.2681968783952,21.8800111883217,15.0990203142975,32.5847160285677,187.997925,187.4279,192.60055,216.4456,287.21745,355.59495,305.4908,349.0277,172,23,52,15
"ZNF302",0.343864870807079,0.999820925473248,0.483669869475772,0.945735363225421,0.909748996781332,0.966616964319902,539.707061046512,446.586604347826,536.548375,502.24098,16.67538675305,37.248928460286,50.7355852979329,55.4295734160997,383.42365,312.87405,342.401025,370.10265,636.47955,511.34115,720.058675,564.53355,172,23,52,15
