"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","mean-1","mean-2","mean-3","SEM-1","SEM-2","SEM-3","Q1-1","Q1-2","Q1-3","Q3-1","Q3-2","Q3-3","count-1","count-2","count-3"
"ZNF195",0.120790387267349,0.18029755725617,0.987398542816047,247.215698387097,211.247023529412,214.018629508197,16.4047910180916,10.7983430337156,11.3270768185245,153.600175,156.043475,152.3006,300.827675,246.452175,257.2292,62,68,61
"ZNF263",0.547715778548636,0.652204067742969,0.128918498519862,649.322311290323,609.825710294118,683.473291803279,29.4991815280038,23.0436182194845,28.4020859962088,536.184725,460.332475,531.2545,717.75155,745.8488,755.5579,62,68,61
"ZNF200",0.725870651914869,0.124104485152643,0.426494371947654,201.74219516129,213.797976470588,233.591550819672,8.1816760409455,11.9752088913998,12.9513989018103,161.081275,140.211975,166.2198,232.489975,254.8967,261.6775,62,68,61
"ZNF582",0.207394818473418,0.333136964409982,0.968020906250676,41.822164516129,32.7513279411765,34.0516213114754,4.41841882812928,3.4889639065497,3.46857425345764,13.4547,8.69465,13.245,58.980825,46.096275,43.1468,62,68,61
"ZNF285",0.988326028129387,0.503926824228826,0.57879165593262,40.5258451612903,39.1243867647059,29.4964475409836,6.51902066951993,8.68964079163347,3.96116496134426,7.079875,7.455125,9.6665,60.18265,47.540425,42.0083,62,68,61
"ZNF275",0.321740986791345,0.812326304092644,0.699186590842725,924.507670967742,731.974795588235,840.209267213115,141.126081167124,53.7190888537137,74.4386538588913,473.773575,447.90075,436.9603,1028.6298,815.35145,963.7454,62,68,61
"ZNF37A",0.042973182164817,0.236398026326958,0.735305253158888,321.275166129032,259.878583823529,278.909250819672,22.1336991364654,15.3055496794358,16.48493098182,202.09185,155.783525,173.7611,413.340875,338.967225,374.9363,62,68,61
"ZNF510",0.102122953302185,0.735457754770004,0.407075629034256,175.986996774194,142.135163235294,163.341283606557,13.2559612145997,10.1864178762339,11.8816387326562,95.07555,82.931125,97.9766,226.753875,185.8036,216.5491,62,68,61
"ZNF506",0.00801505482146114,0.0758950724520225,0.720686366289402,197.752585483871,126.710751470588,144.935173770492,24.0684706432768,10.7014926871553,13.3947702759454,63.267125,65.53445,61.8321,289.4356,173.978125,187.813,62,68,61
"ZNF324",0.913931174230423,0.99836824596903,0.935872645479814,135.9249,132.763876470588,135.487775409836,5.34029332713389,5.27009714319229,6.15139752662974,105.318325,104.262325,100.7874,160.6415,150.030225,165.7168,62,68,61
"ZNF671",0.0781234435367711,0.331598424072523,0.756937589685915,105.672741935484,81.1813367647059,89.2281196721311,9.37485630058191,7.29992121855962,7.35149917011869,50.91895,39.524775,48.3384,137.872075,109.750025,118.9034,62,68,61
"ZNF416",0.163982400477254,0.0393438425973291,0.766533178513067,94.6900709677419,80.9363264705882,75.6761836065574,6.00012247954286,4.70826832450139,5.45330674116753,56.2507,52.26135,46.0157,120.445125,99.14335,99.1036,62,68,61
