"gene","p-adj-Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","count-DiseaseFree","count-Recurred/Progressed"
"ZNF195",0.904849425520761,386.241316733068,384.33978972973,9.86720884370276,12.7953652736371,281.1497,262.4638,459.53035,458.0497,251,185
"ZNF263",0.187620983547037,696.742297211155,671.338016756757,12.9613707406597,13.909246330268,564.54865,544.5023,782.5687,747.5375,251,185
"ZNF200",0.0785772737814988,215.374976494024,228.617045945946,4.65982257896745,6.04688657269944,167.457,175.4986,239.61985,262.3815,251,185
"ZNF582",0.315415085081887,31.9306115537849,30.0297605405405,1.22728678337266,1.44227517744507,17.5818,16.6282,41.95015,40.3575,251,185
"ZNF285",0.188213438632962,44.7236533864542,40.1497940540541,2.36489761034966,2.4584915738032,15.0398,11.823,65.34775,61.3497,251,185
"ZNF275",0.0421782229074614,689.743809561753,634.681742702703,17.4990146192572,20.6620738748815,494.96305,454.0059,848.72505,796.8313,251,185
"ZNF37A",0.00752821845646656,414.713431474104,370.655495675676,11.1007288707326,11.7652466153737,301.7354,258.0233,508.9547,451.2103,251,185
"ZNF510",0.00873115436551997,226.735241832669,209.309432972973,4.58421004780869,4.54704437231605,176.7073,161.8614,272.6412,247.9542,251,185
"ZNF506",0.1618905040426,347.378776494024,322.831171891892,10.1193375717682,15.1005437546966,240.7868,220.8256,430.95115,377.2877,251,185
"ZNF324",0.00230057862446742,160.216443426295,144.804987567568,3.40557786018645,3.59383464298454,122.70075,111.4969,191.76775,169.634,251,185
"ZNF671",0.0127802089208745,141.057617131474,123.517378378378,4.7762793449194,4.97771648247513,77.38795,71.7643,193.94705,171.8869,251,185
"ZNF416",0.29721053720457,107.676258565737,103.551538378378,2.48247666406923,3.13813651500613,77.6936,74.361,133.2712,126.3353,251,185
"ZNF586",0.368144493101019,164.269942231076,158.553567567568,4.02300724751903,4.98352931796977,122.05295,112.1784,190.62385,184.2336,251,185
"ZNF446",0.0986140360890869,217.414239043825,203.997561081081,5.5764870693823,5.6476316580909,162.83745,152.031,263.7786,245.6581,251,185
"ZNF8",0.0991618685049241,98.4619701195219,92.0558318918919,2.58972642664759,2.83619633487251,72.4821,64.7904,116.3221,106.2914,251,185
"ZNF264",0.0178293774224541,667.756264940239,611.507692972973,16.5809667764641,15.8994402074416,464.56525,449.4519,818.54395,760.0607,251,185
"ZNF213",0.255980687901592,505.587997211155,526.661720540541,11.5502325000757,14.8383564046586,382.1808,401.667,613.3161,634.8101,251,185
"ZNF343",0.910758116373615,192.065684462151,191.259370810811,4.23146462146568,6.09793343369228,146.0481,136.4755,229.6267,226.9366,251,185
"ZNF302",0.502086140394273,468.830879282869,482.819227567568,12.2582949408745,17.6570145200965,342.34815,325.0487,561.3004,580.3588,251,185
"ZNF268",0.509960982033785,348.067879681275,338.513267567568,10.1264667704053,9.79908913180575,248.08595,245.7382,416.3558,409.5728,251,185
"ZNF184",0.229958137783779,238.914604780876,228.55684,5.47236091817007,6.75259245440157,174.75485,166.0232,278.74045,274.7137,251,185
"ZNF500",0.0454010598394198,253.080508366534,236.435203243243,5.56185027827175,6.03350576209653,194.3907,179.4872,302.1382,280.8321,251,185
"ZNF419",0.344903211364676,168.78133187251,162.667885945946,4.31807899967117,4.73183974313342,123.9534,117.2914,202.74395,196.9365,251,185
"ZNF175",0.002607579802824,121.663162948207,106.422642162162,3.28964010386175,3.80098419522496,85.67645,69.3674,157.5232,132.6814,251,185
"ZNF14",0.344910534194064,185.172172111554,176.937224324324,4.79627555055225,7.78396776243109,129.3262,115.0069,234.8764,207.0539,251,185
"ZNF85",0.78278449309917,101.476627091633,103.699028108108,3.79389024150397,7.84825504635081,61.6712,53.8807,128.59195,121.6063,251,185
"ZKSCAN1",0.067037870911095,680.083493625498,611.588415135135,24.7875396287525,27.5169677603673,402.69705,365.9502,831.91275,789.4244,251,185
"ZNF862",0.00492750251953022,476.365754183267,404.836458918919,17.6654923554733,17.1613146410785,288.41905,241.5549,595.75605,507.9225,251,185
"ZNF684",0.689487195300804,61.4663501992032,62.8967751351351,2.21773405635891,2.88340294712426,42.41805,39.3902,72.12105,73.7176,251,185
"ZNF430",0.339103663302326,124.992355776892,117.843592972973,4.18014226533551,6.5999955384095,80.4857,76.3192,155.5636,145.8656,251,185
"ZFP30",0.63968824077741,197.096033067729,192.273395675676,6.05777656110658,8.73257576995705,133.2717,122.8637,244.61425,225.0409,251,185
"ZNF549",0.0845762417601508,165.20407250996,151.821909189189,5.31786806564915,5.40752587942177,101.7955,102.2129,211.77155,193.3764,251,185
"ZNF211",0.000978373799578103,247.017437450199,209.812573513514,8.20908242905136,6.80905397584716,152.53445,133.4343,309.48385,269.7629,251,185
"ZNF205",0.621201090949654,300.247656175299,306.693219459459,8.45599590973166,9.94413423705873,218.6281,218.2497,351.6162,365.5306,251,185
"ZNF45",0.525462225224469,230.631939442231,225.512825405405,5.32519893861368,5.98697418982839,176.6835,175.7384,271.97505,264.3841,251,185
"ZNF133",0.872423834775489,296.787298007968,294.577103783784,8.41642201638771,11.2406883019552,214.63835,194.392,345.5937,363.0058,251,185
"ZNF436",0.642409085853962,426.17214063745,419.023775675676,9.36014084619651,12.6437165803914,309.05195,309.4718,499.82155,481.7842,251,185
"ZNF484",0.791907669235299,116.720770119522,118.807335135135,4.89805071305319,6.37181562786658,67.73585,68.7889,141.81065,131.9603,251,185
"ZNF780B",0.0317319943923128,263.135399601594,238.003698918919,7.90564962893653,8.33713629593037,171.8042,158.1734,332.17935,282.0809,251,185
"ZNF557",0.00591681506497521,157.736142231076,142.426175135135,3.76849337506106,3.92697169374842,116.1826,102.1493,191.5319,174.6378,251,185
"ZNF337",0.0383030507881724,479.465354183267,432.47482972973,15.2608987736037,16.2815770773202,298.75365,266.356,593.1845,538.7741,251,185
"ZNF317",0.0103412232856536,609.30809123506,571.387286486486,9.27232656045036,11.657270159909,510.24815,462.0436,703.2108,661.7446,251,185
"ZNF426",0.104615839038189,103.091358964143,96.1424367567568,2.80250231530838,3.21142758675279,72.0159,70.4781,131.32,115.9923,251,185
"ZNF331",0.653449239496005,562.139801195219,544.117676216216,23.2732065406007,34.4440094941735,315.87805,299.0961,698.36885,666.1972,251,185
"ZNF227",0.786154443383416,226.478643824701,224.291063243243,5.13675365539779,6.28730096081939,177.25375,168.6791,264.27515,259.6399,251,185
"ZNF141",0.0263666876840478,82.3418231075697,73.731292972973,2.64532617348077,2.71555416579848,58.4705,51.4469,95.0903,87.542,251,185
"ZNF304",0.0273973358730251,264.740267330677,243.954617837838,6.04753111675097,7.23471157123423,202.58055,181.7763,316.3284,297.1014,251,185
"ZNF132",0.0250462188740099,82.5522478087649,72.8658113513514,2.93598478032625,3.0512412384021,45.8985,41.3997,110.63545,100.4361,251,185
"ZNF20",0.148100388845069,111.821256175299,106.03304,2.59774400823133,3.03843874249747,84.051,81.8752,131.2901,122.7679,251,185
"ZNF670",0.982015080776722,83.7531501992032,83.6450935135135,2.97578081857759,3.85225797744968,49.2235,54.8961,106.0669,94.5289,251,185
"ZFP37",0.579985289914918,48.2673087649402,46.2921902702703,2.20874844210517,2.87701236905474,22.6347,18.543,58.3072,61.3664,251,185
