"gene","p-adj-Magnoid-Bronchioid","p-adj-Squamoid-Bronchioid","p-adj-Squamoid-Magnoid","mean-Bronchioid","mean-Magnoid","mean-Squamoid","SEM-Bronchioid","SEM-Magnoid","SEM-Squamoid","Q1-Bronchioid","Q1-Magnoid","Q1-Squamoid","Q3-Bronchioid","Q3-Magnoid","Q3-Squamoid","count-Bronchioid","count-Magnoid","count-Squamoid"
"ZNF195",0.0576689036866315,0.886212606884566,0.0223635424968431,360.904062921348,421.164536507937,349.350675641026,13.4243101429482,23.4461019347004,19.0703036694448,275.4515,291.7482,227.99675,418.7259,534.4921,413.512375,89,63,78
"ZNF263",0.0523460316372102,0.00230172973737663,0.680763283592122,713.093629213483,643.252168253968,617.57387051282,20.9377091959685,22.5929277307108,18.3760076344381,568.3667,536.79685,529.059925,792.7191,719.73235,689.646425,89,63,78
"ZNF200",0.915327558141819,0.231701270864597,0.508512347984705,210.992694382022,215.562112698413,228.590688461538,6.66812516837735,10.7722861012454,6.91531959927376,169.8822,161.7654,185.941625,224.8804,240.49145,262.16485,89,63,78
"ZNF582",0.0806450484424243,0.79355159399923,0.0207764792050488,32.293393258427,24.9170333333333,34.3799743589744,1.85448781017133,2.94446201079342,2.48091987203067,19.548,9.98295,19.17105,42.0765,30.86135,44.313025,89,63,78
"ZNF285",0.172306736958638,0.605656517784192,0.657672679342338,35.9120269662921,47.3798222222222,41.6515307692308,3.54422912117364,5.96565703460342,4.1405546651581,10.8125,9.72945,12.98285,51.6917,71.6174,59.856225,89,63,78
"ZNF275",0.984072966088972,0.0177640027292169,0.0511868082951236,672.231457303371,664.697403174603,557.976638461538,21.8839752378883,45.8330321043569,26.9540464675036,528.7908,441.0875,391.305175,808.9888,816.32235,693.720025,89,63,78
"ZNF37A",0.998260441249451,0.421207963716754,0.451221769574925,390.901551685393,392.5606,355.9504,17.7224475160492,24.4390748415926,20.4242268101377,252.8736,268.2484,223.966425,499.779,461.19725,453.3255,89,63,78
"ZNF510",0.0962744200096967,0.047887864845098,0.986960097409497,240.327233707865,216.409049206349,214.583541025641,6.81862722233556,10.5375174487003,7.17749007593216,196.8431,154.60665,168.100225,275.4203,264.5595,264.865025,89,63,78
"ZNF506",0.008889943507568,0.00673105065706481,0.995942022460324,372.193421348315,287.881334920635,290.379714102564,19.9251726652503,25.0038056016829,13.80002954283,253.8226,146.71905,194.181325,469.4767,372.39615,364.2644,89,63,78
"ZNF324",0.000183514872531876,0.000389757879503461,0.912987885916974,174.005131460674,138.708487301587,142.326121794872,4.69682418924557,7.04485808803415,6.57891076695091,150.3569,104.5891,111.9954,209.8375,165.0867,162.7072,89,63,78
"ZNF671",3.88032239673208e-09,0.000508384142725693,0.0228743658103419,158.138642696629,90.3526095238095,119.627483333333,7.79006769891127,7.68122894209809,6.50908862113099,96.966,44.6685,77.22785,218.0715,138.2766,150.324075,89,63,78
"ZNF416",0.0161985467737789,0.986785744774719,0.0134337303176012,120.634782022472,99.1859174603175,121.76396025641,5.1854863192118,6.09341773548449,4.87909705709147,90.7985,69.44905,94.17395,152.8861,118.60435,145.21965,89,63,78
"ZNF586",0.391768646210929,0.217038616368529,0.962983290779503,167.339541573034,153.377217460317,150.505873076923,6.19235631318403,9.73965394691782,6.85494876781241,129.7786,97.01165,114.53925,207.9778,181.52095,177.6577,89,63,78
"ZNF446",0.816018977175939,1.2863759211279e-05,0.000727784648876351,211.601026966292,204.456192063492,159.445767948718,7.01533525942828,11.6989328242706,6.28364013054812,168.9082,146.9372,123.7433,251.4153,240.96095,187.108925,89,63,78
"ZNF8",0.00100978857265444,0.686163333265705,0.0165370265604599,80.8636685393258,103.106204761905,85.6391525641026,3.44734543852282,5.73486221534024,3.92414423601427,58.444,66.5485,60.881925,96.9282,131.2609,99.7571,89,63,78
"ZNF264",6.73932961658963e-08,0.00196930829723618,0.0366787094408269,762.746635955056,524.80066984127,629.585825641026,27.7014390637232,31.4822242339064,26.5348123014918,601.3449,348.61815,482.876075,898.917,691.0564,756.163225,89,63,78
"ZNF213",0.000529942860650667,0.00105059300181132,0.921811461722293,583.906194382022,459.059014285714,472.029629487179,23.726117734531,21.8774643779511,21.3146999475162,416.6667,359.59955,358.61675,697.6127,561.4751,544.799075,89,63,78
"ZNF343",0.762901433691279,0.0968061520050351,0.0279390828970411,178.793874157303,185.97306984127,158.762607692308,6.28885823511288,8.48533519861564,6.90409122770396,136.4755,138.5863,109.672025,218.2867,228.21525,193.653975,89,63,78
"ZNF302",0.286426489147276,0.849255627321631,0.595046257084054,481.75634494382,423.671352380952,462.06318974359,25.1167959209826,21.2079944827316,30.6268789965292,346.9809,281.84745,291.452,553.0036,514.2138,583.488125,89,63,78
"ZNF268",0.245224939479051,0.976652824716976,0.188890702393654,355.207683146067,392.972504761905,350.621524358974,12.3793411295848,21.5964111745672,16.3669393230627,286.0943,279.29035,230.8836,425.9819,496.96565,426.972675,89,63,78
"ZNF184",0.244257483243577,0.905354861845349,0.469850561189802,251.62183258427,228.384720634921,245.838994871795,7.40431514155265,9.87900267701418,12.4952890839249,205.7851,164.52855,177.284575,290.5917,275.37315,280.682025,89,63,78
"ZNF500",0.0012597020200783,0.00103091679934564,0.987646742548272,245.533819101124,206.204366666667,207.906006410256,7.16323015728685,8.13264023799689,7.6959035321372,196.6292,162.6618,167.008375,295.2783,240.2328,240.119975,89,63,78
"ZNF419",0.184349369904432,0.819109264330134,0.476739418520411,160.799857303371,142.075782539683,154.777283333333,7.03604710361705,7.94922528866374,7.17938984833695,121.8865,95.81415,109.608125,183.0601,198.0225,188.612875,89,63,78
"ZNF175",0.000542740116819096,0.411083378742526,0.0325289892886166,125.327537078652,93.9431968253968,115.413064102564,5.02266465302687,6.8011536067453,5.66616912002221,93.5337,54.1984,84.734725,158.2216,128.2614,141.884825,89,63,78
"ZNF14",0.000142824106397987,0.00825806627804637,0.410895241552661,214.867095505618,157.09920952381,175.386308974359,9.33620509949869,11.0909424644633,8.79815254783198,149.2877,102.51795,121.373275,267.2449,189.487,223.7528,89,63,78
"ZNF85",0.00377005703561883,0.921336259683913,0.00154236608351122,108.717679775281,70.9451015873016,112.937741025641,9.2020024574597,8.25726438027156,5.77865047123744,66.9649,24.5166,77.93295,123.3077,89.8041,141.2021,89,63,78
"ZKSCAN1",0.261412776019483,0.440752775642863,0.91373200746771,566.931526966292,683.230834920635,652.361823076923,36.4909281841084,74.8122089869092,47.8368484638622,337.5845,439.2933,371.686975,692.71,786.20915,780.997675,89,63,78
"ZNF862",0.000265771304794882,0.695003627135893,0.00559281338121975,397.293042696629,282.718596825397,375.266214102564,17.7498745954706,22.0768184293071,20.5867121702931,274.2736,151.51275,242.4199,490.4989,421.8419,464.0201,89,63,78
"ZNF684",0.434131966241708,0.597588966228945,0.947388763442434,65.4299314606742,58.305346031746,60.1648512820513,3.49937694936727,4.94602224316639,3.81618501175479,45.3457,37.18755,39.583775,77.4527,69.35535,68.0893,89,63,78
"ZNF430",2.66423833450435e-06,0.524562811847766,3.82282369093545e-08,131.130642696629,87.8244793650794,139.886702564103,5.41564845182868,5.92154210441358,6.42936734801547,89.241,61.09015,99.740325,161.6162,105.2817,172.6298,89,63,78
"ZFP30",0.0335424549236569,0.02798797344665,0.996521033239138,173.737751685393,212.934904761905,211.660237179487,6.90364475112733,14.3750531227649,11.9174137826527,130.7209,140.0042,135.8879,211.1784,289.8643,263.201125,89,63,78
"ZNF549",0.0809489926762009,0.292282171351388,0.750629257534958,163.594242696629,133.89313015873,144.122914102564,8.98212223076903,11.6951657587944,8.37607502249731,101.0488,58.97145,85.198225,218.7257,200.4434,179.617575,89,63,78
"ZNF211",9.59622043050778e-07,0.000284136821397607,0.299860590919932,266.166741573034,169.471412698413,197.52383974359,12.8946462524386,15.1613339715339,10.1745552935547,181.3958,99.3843,125.60105,328.2626,203.7493,236.703375,89,63,78
"ZNF205",0.993372239059458,0.422344530058937,0.551076532121484,277.459821348315,275.424763492064,255.557438461538,11.1844734176392,13.5410973908527,14.0114481173378,216.3977,209.4106,180.5197,306.263,346.92605,312.829975,89,63,78
"ZNF45",0.636484818433611,0.866473899483049,0.909730706494893,239.711657303371,227.28189047619,233.125087179487,6.73845955840295,13.2778500995119,9.38155303745139,199.3834,163.5018,187.116925,280.2242,271.319,272.7103,89,63,78
"ZNF133",0.767587997868605,0.755202901326361,0.381025415851094,252.395883146067,264.673477777778,240.479029487179,10.0088174762766,15.9392200188825,11.8847401095281,191.7065,182.91975,166.821975,299.2201,316.1974,283.38215,89,63,78
