"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","count-M0","count-M1","count-MX"
"ZNF195",0.991430466286737,0.550319317153331,0.933948682552089,375.867116138329,380.16845,392.850634042553,8.56591112225982,26.701256520897,14.8242963158504,259.90655,281.09275,278.6636,450.7513,439.03295,473.2376,347,24,141
"ZNF263",0.796779137138421,0.176151538853986,0.979748879293995,673.714430259366,700.281266666667,708.61710070922,10.0753947595741,29.5688638519864,18.6615563608029,553.9845,584.82075,564.1344,752.2275,815.671,808.6905,347,24,141
"ZNF200",0.827194048148053,0.830061745272538,0.688275951493039,222.431913544669,232.208991666667,217.848109929078,4.33299958272252,15.7954663949072,6.28057712671538,169.1408,164.907275,171.4378,246.2817,274.308825,239.8477,347,24,141
"ZNF582",0.837701311629615,0.933030648766544,0.922885313957246,31.5855106628242,29.0721875,30.841719858156,1.21565847152715,2.49915643404388,1.48589563184116,16.0298,20.3995,16.8526,41.12655,37.77405,41.9325,347,24,141
"ZNF285",0.335901028025822,0.00822314265496138,0.999993791118507,38.8084780979827,49.525725,49.552390070922,1.80449717868862,7.97870272105833,3.43564540627889,11.7723,16.32485,18.3299,55.78625,62.7009,76.0578,347,24,141
"ZNF275",0.459417711877576,0.297224181796386,0.166930238310175,649.849099423631,579.383320833333,691.543584397163,15.4314529749305,49.7823367496652,22.5938055228206,462.78495,394.3402,507.3815,817.18625,659.008825,841.3252,347,24,141
"ZNF37A",0.999735512755463,0.000350958068089158,0.179183599325535,373.987991066282,373.212358333333,438.953645390071,9.10693967799884,35.0378758060561,13.6749893067718,253.768,266.28335,332.5918,460.59805,452.271725,538.7205,347,24,141
"ZNF510",0.237157981340356,0.270653831626117,0.671014746677694,214.382705475504,238.3561,225.188996453901,3.60447653266171,18.9452779791457,6.11142395636566,167.9106,172.69065,171.9571,247.3087,277.070325,265.7907,347,24,141
"ZNF506",0.802274994980844,0.127778892301596,0.299728679394987,322.385541210375,298.4054625,357.241217730496,8.60938495759369,30.8439748340083,18.8276499677156,219.90185,200.199725,240.3812,396.5329,388.913075,428.0899,347,24,141
"ZNF324",0.879658484718316,0.00774079909918646,0.640740285268863,149.355316714697,154.776516666667,165.353607801418,2.73966286646354,12.5296283558584,4.80085380555734,111.55865,112.64005,129.964,184.33715,192.781325,186.822,347,24,141
"ZNF671",0.662881946106476,0.0169509292462221,0.0970899651609831,127.28193832853,113.802875,147.568722695035,3.76428515799025,14.2080140541405,6.98924859316719,66.1378,68.710825,80.4721,175.32345,145.043,192.8185,347,24,141
"ZNF416",0.905390522709486,0.336470874235797,0.549659524578443,104.921077809798,101.003883333333,111.074521276596,2.34578185880368,9.46550074963818,3.64216512141547,74.25315,67.537725,82.1693,128.55655,122.975475,131.6242,347,24,141
"ZNF586",0.800561807027975,0.00184279612643234,0.0788742906327237,153.327646685879,144.701558333333,175.394809219858,3.38874701500114,10.4852885926414,5.80439148840397,109.0055,112.293025,135.8662,183.35485,161.6334,200.217,347,24,141
