"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX","count-T1","count-T2","count-T3","count-T4","count-TX"
"ZNF195",0.508262519361098,0.175569913458296,0.00933600543818347,0.943282428563433,0.614769692282912,0.96242072392701,0.999975160464278,0.999840685545107,0.953452303125938,0.995112804419585,373.786532941176,398.658322743682,314.949872340426,344.375894736842,383.393,10.2032122108383,10.6932709432995,19.5270012032211,44.9876133690721,58.5230913391743,280.959875,277.5954,207.8163,251.4196,325.0848,449.351725,479.5037,390.21435,362.49305,416.8864,170,277,47,19,3
"ZNF263",0.124273035588941,0.176306404567913,0.915880600499218,0.372307918586325,0.909538312332755,0.998940146832189,0.963902940243879,0.824480406961918,0.714540163351214,0.675678717081989,718.882925882353,673.649046209386,647.529612765957,633.522268421053,794.5524,18.411842989427,10.204681629415,25.6597592533854,34.4582460846118,60.0934800839769,582.77085,557.2244,505.66105,538.7196,752.04885,820.59005,759.5664,719.11055,754.2595,852.5942,170,277,47,19,3
"ZNF200",0.914604301790277,0.102164187789364,0.0177906471901326,0.988380458581345,0.915383780455735,0.829488617029856,0.678591202921752,0.761632330708819,0.281445737831569,0.609670867944935,221.246609411765,227.738551624549,189.508676595745,211.979547368421,281.517233333333,5.9946988454021,4.92275892860765,8.71187403346651,14.8523055503283,47.8055451497813,169.02285,178.2356,151.6528,177.2969,236.859,244.410675,255.117,218.42045,245.65495,318.61995,170,277,47,19,3
"ZNF582",0.644378411173425,0.240446010616167,0.69108064053404,0.332662145200255,0.66189482105304,0.993460209321099,0.93281281794169,0.843473351510778,0.663571608267901,0.580884053847309,33.6559652941176,30.866342599278,26.5926531914894,24.2119052631579,43.2691,1.37362033238878,1.42092539090345,2.07658796144703,3.29143457460673,5.27291854763564,19.187375,13.9485,16.8619,15.3199,40.06215,43.378075,41.2371,32.7731,31.8456,48.4974,170,277,47,19,3
"ZNF285",0.999997299296084,0.339456689037958,0.27663016215081,0.988039561547077,0.9846295036634,0.958553168084219,0.938984857684213,0.940958379661646,0.710499975719561,0.891448829027955,43.1827123529412,43.3895945848375,32.0883553191489,38.8741578947368,59.4089666666667,2.74047933236281,2.23203149954628,3.99451808931364,9.05274033033633,38.5591198035922,15.621675,13.5118,12.6761,5.11015,21.58655,68.62605,63.263,40.28745,51.5162,84.81655,170,277,47,19,3
"ZNF275",0.979295291502925,0.540336058208148,0.721353020043046,0.921965246190672,0.973494487962658,0.999685203233265,0.559228066331202,0.618245394004477,0.832803877382377,0.812106453709616,678.623637647059,663.001075090253,607.530236170213,622.335026315789,432.117133333333,19.5901905417749,17.6998482986789,40.9686511018739,70.6348436808177,103.69117157152,522.82675,467.7337,407.9834,454.9032,335.27245,827.404975,826.0942,737.6315,729.44305,512.6288,170,277,47,19,3
"ZNF37A",0.635914467214697,0.889602643571233,0.99997461622275,0.661020848740129,0.29473994271402,0.400244648694404,0.833297812566572,0.701626742383699,0.704763546118542,0.991039417039858,404.951269411765,382.034351624549,379.282414893617,460.237626315789,508.3093,11.9479341012837,10.2990949002189,26.2271410303356,48.9522720429628,166.101003254235,298.525875,267.1141,227.81285,286.6486,351.4962,494.66325,467.0901,496.845,602.10345,634.14365,170,277,47,19,3
"ZNF510",0.572672963560305,0.0051101961573603,0.0542862794868774,0.988060348135853,0.800049222601934,0.0833149767567891,0.847122700378892,0.709444416351288,0.289473163123712,0.941146491850803,227.206487647059,217.143883754513,187.444319148936,235.489615789474,268.4358,5.70013973326744,3.95683891111289,7.93140475942574,22.2459651914695,77.25090080875,170.92685,174.2835,140.77375,167.77355,200.7182,264.909175,250,215.10385,301.5578,334.48965,170,277,47,19,3
"ZNF506",0.0056678566933156,0.214921351471248,0.999987697145834,0.609731788230132,0.999999177066164,0.999999995659776,0.998973318639264,0.99785810683557,0.997438341581504,0.997963471908735,372.099349411765,312.272762093863,309.855434042553,310.425868421053,344.931933333333,16.6568006551194,8.96651668319532,27.0742493035825,38.3970156171351,114.832963235103,250.396325,211.1335,200.80515,206.5686,272.02155,445.40665,387.5082,382.4107,397.5257,458.2182,170,277,47,19,3
"ZNF324",0.272976009946728,0.185515135341384,0.827639766346196,0.107589493662758,0.455203230090297,0.917926222060527,0.893116211184637,0.978110466466039,0.998573741079265,0.999981237501964,162.865241764706,152.544025631769,143.649080851064,131.480105263158,134.6375,3.88391769233243,3.36706374051645,7.22072534359966,10.2738577830702,13.7961013648784,127.23765,111.6071,104.53065,113.8945,123.24655,196.532575,183.4182,174.85445,158.493,147.07345,170,277,47,19,3
