"gene","p-adj-1-[Unknown]","p-adj-2-[Unknown]","p-adj-2-1","p-adj-3-[Unknown]","p-adj-3-1","p-adj-3-2","p-adj-4-[Unknown]","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-[Unknown]","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-[Unknown]","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-[Unknown]","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-[Unknown]","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-[Unknown]","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","count-[Unknown]","count-1","count-2","count-3","count-4","count-5"
"ZNF195",0.834760255564344,0.946148371183942,0.664711697027255,0.953176720249312,0.540689370761281,0.999978242384968,0.909117216344994,0.929916238822651,0.978322901966168,0.934728159494722,0.999992500787966,0.699144060605727,0.909330097250408,0.922823982053912,0.835395814277607,269.7936,407.979003947368,372.707570588235,369.214702962963,386.698086904762,289.211725,96.9311,16.9833698142815,14.9155357118472,13.787535215872,12.7059939661636,43.3967760696647,221.32805,296.767875,241.14905,275.34335,269.119075,268.54975,318.25915,484.948175,461.2398,416.06435,473.356775,342.450325,2,76,119,135,168,4
"ZNF263",0.999717503117427,0.999682528211887,0.0486960098100921,0.999997144567874,0.950583242079457,0.178114031424623,0.999999965214846,0.495868142784042,0.669260700759679,0.916484999578664,0.961318152062951,0.918133826087608,0.442585185626729,0.806714506012553,0.669122900323373,686.5351,727.463519736842,644.815276470588,702.64276,679.882117857143,827.972175,12.4893,26.1087558426376,14.1359022033497,17.8877579697285,15.3766441682397,54.6990861610346,680.29045,569.708125,536.3766,561.8563,553.9901,763.909725,692.77975,827.856225,718.4212,792.1281,767.5707,901.3361,2,76,119,135,168,4
"ZNF200",0.994835198066858,0.996552249432774,0.999921621809043,0.999725604647455,0.826142904605183,0.868286898313348,0.997791061997279,0.997159889301365,0.999818810702366,0.931791904412671,0.999999627296721,0.989985528871696,0.993736123785737,0.999784359523365,0.99635365654187,198.01855,228.511638157895,225.875841176471,214.508219259259,223.326866071429,203.325825,8.42744999999999,7.79273744472196,8.37414168023651,6.70998355946818,6.06579799745985,16.6726665819326,193.804825,183.861475,173.70095,166.75415,168.1542,178.137375,202.232275,263.269825,245.50715,243.48325,252.123925,219.268,2,76,119,135,168,4
"ZNF582",0.999739398741622,0.999143955814576,0.0197704689379841,0.999999929951299,0.529579266299413,0.490952937127342,0.999993904990572,0.250819830489947,0.73968920251485,0.996575232229738,0.75006955644857,0.0772811924550677,0.462436824221309,0.218363148894105,0.26761300645448,32.8528,37.1065947368421,27.4508201680672,32.0430162962963,30.8740464285714,8.42485,3.7326,2.67362582845311,1.67975977532999,1.73628077623012,1.67570000763843,2.19962245946132,30.9865,18.45105,15.5905,18.90645,16.336825,7.754125,34.7191,47.9289,35.1662,41.33375,40.7117,10.847975,2,76,119,135,168,4
"ZNF285",0.999971034353028,0.999266276848333,0.963054118939774,0.999982250102707,0.999999130646322,0.894715722199563,0.999999970182657,0.980231220533886,0.445062341353055,0.976668158055391,0.999880675887361,0.98519551517118,0.943010076523342,0.986936173051334,0.99672247480021,37.80025,42.5518828947368,46.9202932773109,42.08144,38.9880702380952,30.1534,5.57025,4.19522111523584,3.35765048073015,3.19799083698927,2.689235841727,14.8579788489215,35.015125,14.05665,18.60985,14.49,10.461225,10.428025,40.585375,61.72725,65.8391,67.7507,55.3589,39.662725,2,76,119,135,168,4
"ZNF275",0.99982030097598,0.998995109332041,0.994538923777246,0.999779764833337,0.999999963029036,0.992656658369113,0.993443918099044,0.65995455686906,0.88997416720892,0.50429769487184,0.999999822679722,0.999840055699985,0.998374510068713,0.999783275634686,0.98463387355559,583.22805,637.018767105263,659.382384033613,638.975326666667,695.88575,599.398975,72.69525,28.6203934140414,27.8163068979275,22.5535675963584,23.0626191468377,89.2237341392541,546.880425,455.9799,471.83325,456.53075,513.00975,498.76045,619.575675,805.372225,829.1625,783.42875,852.8363,635.040625,2,76,119,135,168,4
"ZNF37A",0.99837467373295,0.976151708216765,0.612197276599863,0.998625965584808,0.999999451386114,0.379228032972926,0.966010932864169,0.347179984922319,0.999159454210609,0.129698624542404,0.994709329989026,0.999548540521148,0.99999422760568,0.999330588246928,0.999929677951684,319.02905,369.915248684211,409.381128571429,367.894107407407,416.806250595238,397.8964,21.11965,18.7599788643898,15.7316033701332,13.3978775556822,14.1435628923562,76.078955822126,308.469225,250.368375,295.4108,253.5544,301.0836,375.242675,329.588875,469.582175,479.0237,458.7216,508.849775,477.448025,2,76,119,135,168,4
"ZNF510",0.438713929176357,0.574822460310795,0.901308885795414,0.479707737185168,0.999122359094179,0.966620851142571,0.509670784643827,0.988825483174301,0.99355345122378,0.99969238783674,0.972205187506988,0.800200367737651,0.92390383810637,0.845267356563091,0.873915869795455,132.0431,225.380093421053,214.503412605042,221.654676296296,219.232741666667,179.2595,9.2208,8.25076525674837,6.74551358618417,6.04798462646528,5.33118638023839,11.0638703924832,127.4327,174.1418,163.30755,175.45635,173.7696,168.311075,136.6535,266.0254,247.5379,256.55265,261.20125,186.169575,2,76,119,135,168,4
"ZNF506",0.999999750024797,0.999975943383415,0.834591187013108,0.999971878014578,0.993816166402046,0.32228536021154,0.999999978753829,0.999991238221932,0.779689468046893,0.955800249442,0.99970882361485,0.991435152249986,0.999863689913529,0.974430526568785,0.993328559882869,329.37785,338.570578947368,306.502324369748,352.961251111111,334.950957142857,283.348675,30.59735,16.2915179764737,14.2692800992181,14.4419355109275,17.0473118729659,75.3355481112489,314.079175,243.197375,218.47995,231.1756,210.145375,202.0167,344.676525,400.202075,359.2443,444.4412,397.11845,371.231875,2,76,119,135,168,4
"ZNF324",0.999367845883023,0.99976679357733,0.999583295467702,0.999946970500273,0.983546963080492,0.998455492625463,0.999870584170725,0.996122843013547,0.999964310487973,0.999864682388875,0.982899691539412,0.98334876088284,0.970092574905907,0.949221304687172,0.961166008073078,165.19975,151.901840789474,154.404488235294,157.211657037037,155.644920238095,132.85695,38.02205,5.20962197770429,5.01307686986808,4.99479996427346,4.16599415942451,20.8538559410684,146.188725,113.625075,115.60105,116.18575,119.8761,98.955775,184.210775,187.650975,182.25735,191.16085,188.0628,166.452425,2,76,119,135,168,4
"ZNF671",0.84309280565937,0.472975594548151,0.0444268260581753,0.746446782808537,0.954746525135827,0.156661509766034,0.519813053445398,0.0781193212099741,0.997701514977153,0.263394754549704,0.326878245974461,0.486713951313454,0.934009811643793,0.63550482948536,0.897756525378823,214.5879,151.624715789474,120.058213445378,142.446068888889,124.041177380952,84.4146,54.3092,7.85321509803381,6.25900816153486,7.45727936972132,5.3680085443915,27.4481393319292,187.4333,113.970575,69.0333,65.3417,67.02745,53.50145,241.7425,196.756175,156.9516,195.1019,172.239175,110.6786,2,76,119,135,168,4
