"gene","p-adj-Cluster 13 (HNSC-LUSC)-BRCA CIMP c7","p-adj-Cluster 14 (HNSC)-BRCA CIMP c7","p-adj-Cluster 14 (HNSC)-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 5-BRCA CIMP c7","p-adj-Cluster 5-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 5-Cluster 14 (HNSC)","p-adj-Cluster 6-BRCA CIMP c7","p-adj-Cluster 6-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 6-Cluster 14 (HNSC)","p-adj-Cluster 6-Cluster 5","p-adj-Low purity c2-BRCA CIMP c7","p-adj-Low purity c2-Cluster 13 (HNSC-LUSC)","p-adj-Low purity c2-Cluster 14 (HNSC)","p-adj-Low purity c2-Cluster 5","p-adj-Low purity c2-Cluster 6","p-adj-OV-like c1-BRCA CIMP c7","p-adj-OV-like c1-Cluster 13 (HNSC-LUSC)","p-adj-OV-like c1-Cluster 14 (HNSC)","p-adj-OV-like c1-Cluster 5","p-adj-OV-like c1-Cluster 6","p-adj-OV-like c1-Low purity c2","mean-BRCA CIMP c7","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 14 (HNSC)","mean-Cluster 5","mean-Cluster 6","mean-Low purity c2","mean-OV-like c1","SEM-BRCA CIMP c7","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 14 (HNSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-Low purity c2","SEM-OV-like c1","Q1-BRCA CIMP c7","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 14 (HNSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-Low purity c2","Q1-OV-like c1","Q3-BRCA CIMP c7","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 14 (HNSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-Low purity c2","Q3-OV-like c1","count-BRCA CIMP c7","count-Cluster 13 (HNSC-LUSC)","count-Cluster 14 (HNSC)","count-Cluster 5","count-Cluster 6","count-Low purity c2","count-OV-like c1"
"ZNF195",0.999998874409044,0.999933220002739,0.996259938758834,0.983316119448918,0.526374019852856,0.819473566232915,0.976259460679825,0.779693073586126,0.99651877597296,0.302331418365323,0.999997981941638,0.999999996356723,0.997660234684286,0.959311791709538,0.863344155994904,0.886069648836606,0.856269684185017,0.771260559614481,0.969069483030351,0.530247541250601,0.88743279673589,306.33385,313.286379710145,288.564053846154,343.115055629139,255.571569230769,315.000885185185,417.297766666667,41.6272704728957,10.6589926033074,36.4184524187252,11.5527292642049,40.1329026519522,31.1690815998254,170.782920839159,201.022025,224.351725,166.1595,236.76695,156.4596,202.5008,248.30555,378.10905,368.90925,428.4284,422.0075,263.4989,346.54325,523.1557,10,138,13,151,13,27,3
"ZNF263",0.980415802794997,0.760408162050194,0.898811353279742,0.652283527069969,0.284480182107656,0.99995626557823,0.29151977075672,0.267707904326446,0.985630221566614,0.822760329985299,0.741602553352839,0.833090069759983,0.999996554717435,0.999999939871922,0.926097905985004,0.998090491264831,0.999999216439987,0.999651460448179,0.999934523408531,0.973771804756412,0.999905683273259,779.75065,714.421473913043,632.752030769231,652.260176821192,559.054884615385,647.594296296296,694.404166666667,82.801205228879,17.1210399254982,67.6142476176334,22.8391217339833,43.9536094779497,28.8012929990976,24.6457216734354,586.15055,561.084225,386.4215,490.32365,469.6328,553.20845,669.7732,974.77325,849.2224,815.3659,739.1486,603.5646,717.1635,707.4581,10,138,13,151,13,27,3
"ZNF200",0.910777803528128,0.999427992168655,0.994547941181131,0.621344499846605,0.752839061361282,0.865751634309055,0.775045190866153,0.985106927159846,0.934038936422057,0.999995339326611,0.879181537764155,0.999756668526108,0.9843222579428,0.999338476309547,0.999385904388939,0.977172969086816,0.999894576640796,0.996777104827515,0.999999999928735,0.999999995896892,0.999996590745546,308.16427,270.169863768116,289.451876923077,252.560741059603,246.889923076923,262.09472962963,250.765733333333,37.8529956992282,7.64523215803848,36.1707824569779,8.15652293892675,24.5058786215758,26.0368136793948,33.823975722473,238.979075,218.482825,197.6744,187.84035,183.9187,189.52775,219.43455,348.230875,316.069025,366.0446,292.13735,294.0951,257.47305,277.46825,10,138,13,151,13,27,3
"ZNF582",0.999974156989618,0.99999806124569,0.998256517938318,0.800789607120658,0.0280560881815711,0.529730873908363,0.800083998626436,0.589447888855142,0.626555311417423,0.999299180644826,0.142695531439942,0.00103202125831892,0.0435859470326494,0.228080398049153,0.940216603811671,0.999952740664955,0.999176075421434,0.99999650824644,0.924682582436535,0.887050617455447,0.503497519386877,17.95313,19.8136065217391,16.4078923076923,27.9415622516556,30.8318,38.6121148148148,13.8106666666667,6.5219632524613,1.65581218499867,6.54480401750084,1.86451806338986,7.25601231592437,4.82337650722473,4.40445327455949,4.2086,7.594775,7.6118,9.81015,10.1054,22.51425,9.55225,26.457475,26.210275,15.3061,42.79745,43.7461,51.6332,16.91395,10,138,13,151,13,27,3
"ZNF285",0.978708258175262,0.998634139428647,0.999990897991263,0.996619357736992,0.00119371277948965,0.783140689111909,0.830638286738889,0.0578121213561661,0.420551760912979,0.864529140386092,0.955357564571211,0.0362497946518784,0.595950545587608,0.983612840335602,0.997188451473553,0.00246177536049408,3.89252512682514e-05,0.000411570057456401,0.00132241252621534,0.0343142476424592,0.00705158008086793,25.74034,16.9099956521739,18.9071384615385,31.9769251655629,43.5679461538462,37.3310444444444,106.098366666667,8.59908655503207,1.8788763181534,6.36607030321325,2.52461682016932,13.3816509618468,7.21519685380086,97.9328555861333,1.818425,4.40285,5.7088,8.28265,15.1569,10.6267,8.17135,38.048475,22.47375,20.7135,47.52925,38.6793,60.6056,155.988,10,138,13,151,13,27,3
"ZNF275",0.991064634655117,0.375445059870772,0.310250174850717,0.834565117271525,0.622655815055681,0.746512509105632,0.428527383055775,0.38207284190276,0.999999951477704,0.81549138731863,0.999999999607753,0.894541230640768,0.1235097773453,0.320315500061398,0.157727042071527,0.682388594667728,0.802438521738861,0.999953248326887,0.939612441482315,0.999868067729023,0.579090016339048,750.65089,681.967445652174,498.947361538462,624.288987417219,509.268307692308,755.011559259259,445.5485,106.48175276047,23.5645664064226,63.8724677427853,23.3739701770324,47.5109197733376,78.335505020504,37.2055762002149,510.8592,509.3995,425.7862,442.17505,385.5739,523.2198,416.17805,958.02835,833.2575,608.1375,764.5153,573.1415,936.199,480.0131,10,138,13,151,13,27,3
"ZNF37A",0.601643276564904,0.367152964037609,0.936161068449711,0.723302664993244,0.998361862571328,0.855458605916355,0.303028536369432,0.881024662427278,0.999999749555336,0.771715001486891,0.773257650344488,0.999999639867018,0.953863210789364,0.999997799928428,0.915761106114554,0.994586430740065,0.999989913613421,0.993235092000813,0.999999802545965,0.988388997877779,0.999998010640569,434.52376,340.622754347826,288.883492307692,351.053746357616,281.079346153846,345.071951851852,362.2027,38.3071586917473,14.5062249313207,52.7020062071042,14.0051929781023,27.8433759400541,25.473600813823,118.581220407041,384.49815,222.3707,178.2242,227.6653,201.9739,255.16105,274.24815,513.8265,433.58615,334.9649,451.86045,329.9268,406.8903,475.0576,10,138,13,151,13,27,3
"ZNF510",0.999998733589541,0.992313334244808,0.98010119063264,0.874772086341823,0.0423535092903898,0.999742840432824,0.79019209908465,0.492722797656563,0.987703599463272,0.994648848462942,0.999000509955622,0.996360569937924,0.999870118793881,0.931931071616213,0.879640791334676,0.99999364231954,0.999999241674555,0.999979106310014,0.999220411164994,0.991196392228845,0.999999985447521,233.57746,229.325833333333,209.049476923077,199.829047682119,184.064684615385,218.627377777778,222.372866666667,26.0909491326833,6.61300125142256,26.3287820377102,7.12953055807147,16.5400507927353,15.68900712937,64.1651216417542,167.346125,174.94805,133.8801,141.38255,151.9296,184.6389,159.0474,303.949875,281.605325,277.8306,239.765,226.6147,234.7079,262.99585,10,138,13,151,13,27,3
"ZNF506",0.999112310469805,0.968500657866558,0.495600903248641,0.985402830582561,0.976007141811906,0.275507703298525,0.999845640133007,0.999999999962319,0.817684401511447,0.999746058320132,0.632995605354278,0.295947452615129,0.04681716585508,0.598772168155893,0.802962221860012,0.99999996054454,0.999998017024337,0.992704619438396,0.99986238267851,0.999999312593834,0.968528800818964,219.69284,248.086847101449,149.099446153846,266.804918543046,246.637161538462,332.302337037037,230.182166666667,51.4040716675725,11.2678045545889,35.494970218499,14.9051147713655,46.1370592425585,68.1290028930702,51.1687073392952,80.785775,142.145775,90.7029,147.75365,182.2458,182.79325,185.87235,308.4097,327.525,124.123,332.59185,272.0109,335.45245,274.49915,10,138,13,151,13,27,3
"ZNF324",0.253565243772148,0.492328648869797,0.999998997841148,0.883606341288926,0.0511370923342438,0.824434627102103,0.624231497814772,0.999999529941155,0.999992831744281,0.935966655551967,0.570206505903808,0.999393504654207,0.999640503393836,0.887297756898719,0.999998315978697,0.998333843005333,0.993568294351266,0.993163370269872,0.999999968893185,0.997804302421802,0.998863953827027,244.96878,182.653063768116,179.014053846154,211.642617218543,185.858930769231,190.478003703704,215.735533333333,41.7206091652416,5.92921545961964,23.0094272215442,7.31558965408782,32.8964116412265,13.1917956888243,24.0817233948855,157.1586,129.925175,106.3174,153.81745,131.8554,135.5325,191.74985,274.413975,221.200025,236.9131,263.7379,211.5358,240.3255,229.5891,10,138,13,151,13,27,3
