"gene","p-adj-Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","count-DiseaseFree","count-Recurred/Progressed"
"ZNF195",0.459342691207207,343.325723673469,331.772465384615,8.95520388858692,13.1805673054182,236.8272,235.99885,435.261,403.85635,245,130
"ZNF263",0.406475591091681,676.715049387755,695.054696153846,13.2313092751603,17.2022669266641,523.057,560.884975,797.8547,805.032525,245,130
"ZNF200",0.701472893762896,260.063086530612,256.478675384615,5.40523534897211,7.79552711483607,196.2963,197.513675,300.207,302.491425,245,130
"ZNF582",0.574498790645696,22.3978028571429,23.72602,1.2975633567656,2.13362236734549,7.9929,5.762225,30.4248,35.0197,245,130
"ZNF285",0.104681578182291,24.4537175510204,29.8383115384615,1.80871491163311,3.00689209517617,5.6589,6.007775,33.5941,39.69925,245,130
"ZNF275",0.405493631121991,647.232015102041,675.269245384615,18.6940195016373,29.9234886724185,455.4404,470.049125,826.2831,777.324425,245,130
"ZNF37A",0.720054495054243,373.73353877551,366.917170769231,12.1565768809376,12.4715931963735,229.9421,269.038125,465.9741,451.1693,245,130
"ZNF510",0.0323774534926102,204.823764081633,225.134886153846,5.11154024855937,8.70694078096289,143.3892,157.26385,254.5118,267.7249,245,130
"ZNF506",0.903126735261968,262.031377959184,259.51433,13.0663626043745,14.0790006643276,141.5482,138.603125,322.6076,341.2617,245,130
"ZNF324",0.316859766324773,200.265796326531,209.434324615385,5.416991973635,7.31290452328867,140.1335,140.420375,240.6022,258.49735,245,130
"ZNF671",0.494749550398561,72.7299065306122,77.5467384615385,4.26703184831542,5.3787911197122,31.0881,30.92115,89.808,104.342425,245,130
"ZNF416",0.353437211867176,127.634229795918,133.332371538462,3.51055112923719,5.20803538205311,89.5835,85.0848,162.6984,168.852425,245,130
"ZNF586",0.69709443008994,173.802910204082,177.536356923077,5.9348503310887,6.92568337651062,107.8253,130.91365,225.6105,213.17465,245,130
"ZNF446",0.808047633328091,225.822887755102,228.814348461538,7.99492779370791,7.62639137445015,150.3706,164.62015,270.7163,268.206525,245,130
"ZNF8",0.0369771614067568,111.232048571429,124.43005,3.34584926214069,5.93064114980994,74.2148,78.882975,131.8762,149.985325,245,130
"ZNF264",0.0871880323584295,618.888917142857,670.121297692308,16.8459608334312,25.9682904652585,425.9084,470.418525,789.6175,811.808025,245,130
"ZNF213",0.553041278678201,464.259931836735,452.676110769231,12.5497726401768,12.5544556214987,332.1201,359.52865,551.9171,519.392375,245,130
"ZNF343",0.649842510458563,301.984241632653,308.818483846154,9.11307944699791,11.4621242704326,203.6435,212.208,361.6421,396.060175,245,130
"ZNF302",0.836269696935229,427.134787346939,421.217431538462,18.2016266336985,19.1193459780653,263.7331,280.6,503.055,487.1747,245,130
