"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF195",0.973892740499294,0.992621271615098,0.943926683840003,0.955703304576244,0.981012351294965,0.923896721570803,0.939225272440512,0.973723605887634,0.900332095634105,1,340.090810691824,331.165448854962,350.3902375,295.23052,295.209833333333,7.38348157521311,13.3633789714965,27.9316505510204,33.8380339927041,67.5160652846104,241.1357,228.5748,222.60835,248.4472,180.31615,431.059025,402.256,447.646375,304.4453,378.322425,318,131,40,5,6
"ZNF263",0.0395459078319198,0.932621392317876,0.128593996338836,0.928035952613355,0.999865424090735,0.832511375583218,0.884762787917857,0.48462439247338,0.979010602570838,0.730696064897281,670.459840880503,736.899752671756,640.3008325,753.05742,583.474833333333,11.3959309481159,25.6065020490204,24.6872015496477,73.5232894095429,64.6463059633298,522.103925,564.15655,530.314725,646.4441,470.745975,793.66425,842.727,717.326625,881.4606,682.77285,318,131,40,5,6
"ZNF200",0.732339617748496,0.996464328953105,0.995767866294494,0.834295298354518,0.94375066275832,0.909173954041268,0.596064132961868,0.412227798955867,0.562020932213066,0.395958516234077,257.696964150943,269.976725954198,263.4676775,302.89032,200.387,5.46878038909556,8.81761100082994,10.9877378310502,35.5667517354818,14.2636191129975,196.272625,197.79875,206.370925,267.6003,173.317275,295.27365,321.87865,314.7322,367.767,213.3425,318,131,40,5,6
"ZNF582",0.999081296068935,0.996456971544091,0.999725939138889,0.999786517608306,0.99936151625809,0.998373353497092,0.992934266718787,0.996396166206642,0.998893309957828,0.993322418584119,24.0254471698113,23.4429870229008,22.696555,25.7742,20.1214,1.2022480131583,2.04755464643078,3.78277146028959,7.67633546863346,5.42768623442193,7.98,7.81665,5.0351,18.2524,15.401725,34.2943,31.82395,33.482375,40.3361,24.825875,318,131,40,5,6
"ZNF285",0.927680216163091,0.415566937729066,0.233409448376061,0.829603061814033,0.911764792984187,0.488883716990247,0.999999740629014,0.999340234805196,0.969714895103751,0.928407286691059,27.0795317610063,24.3646648854962,36.4628675,11.72664,27.5145833333333,1.78223873323592,2.86088244917952,5.98660479989775,3.60780429937656,5.18073022764273,6.267275,4.808,7.97195,9.084,19.013475,38.66125,31.6524,62.176325,12.8155,34.243525,318,131,40,5,6
"ZNF275",0.932669091599487,0.180457727353777,0.0920342995533636,0.880109984803269,0.799721081188218,0.999958118843406,0.812625814809515,0.709026769896956,0.999763074652133,0.999999474844636,662.16136572327,686.812813740458,551.496245,534.92064,527.849916666667,17.5860682611772,25.5618702017966,32.6612029629386,119.631643133063,70.8707842407077,465.23015,489.63625,425.49045,415.1139,462.816975,814.701275,853.30825,712.100425,637.7744,573.068475,318,131,40,5,6
"ZNF37A",0.821232326536581,0.999796070014831,0.937196474766744,0.588992574930204,0.442131884722303,0.675163605489075,0.492192231611927,0.677699705386705,0.510201606553474,0.18826658515807,362.106830503145,381.453200763359,357.03939,247.63696,477.450533333333,9.4524457811253,15.7471488448168,31.6262811236127,45.8533157193087,69.564072257182,243.9465,261.9406,212.26335,214.2857,378.6898,461.93905,461.82195,453.339475,286.5254,568.77005,318,131,40,5,6
"ZNF510",0.677712812291025,0.999980016774797,0.914787207156123,0.999985181054935,0.995093081322173,0.999998442579612,0.648370085921951,0.447808540193917,0.721484315207761,0.909826661496139,208.405883647799,220.063310687023,207.0247,204.96296,160.5126,4.61172810099385,8.13952975593118,13.0374652276425,38.3826738930158,12.8676120940134,146.5548,152.52815,147.928075,163.0435,135.235675,261.866625,286.67985,234.223225,224.0727,187.45655,318,131,40,5,6
"ZNF506",0.949719520313871,0.481053830308275,0.810881275447955,0.93407052869985,0.972967602104706,0.999797084861493,0.996141033675168,0.982742076738244,0.869281349270353,0.919323195112207,265.49908836478,251.948955725191,216.64216,201.91294,292.548416666667,10.9081678137944,13.3141141105963,21.6659022016973,59.3787204844008,41.5203961885916,146.8157,139.88395,109.6428,139.3351,239.66215,327.711,329.8815,305.8555,314.1748,323.21295,318,131,40,5,6
"ZNF324",0.997722729038025,0.649151257374277,0.593290571500434,0.973987162021081,0.984542484525546,0.826804312446449,0.858279340648131,0.896475856442371,0.589734637633195,0.999437198995397,200.469436792453,197.622303053435,220.1147675,177.03714,165.399733333333,4.27925713853245,8.50025548435609,18.5606129422738,21.4189875337888,17.7499992712801,145.4435,126.95895,132.605075,151.1387,140.31915,249.020325,240.2928,265.04095,207.3786,195.484075,318,131,40,5,6
"ZNF671",0.160537386130372,0.870875799718642,0.99450244151521,0.901885656085588,0.633607791158377,0.760922933724198,0.994288552753233,0.871992966481564,0.944027031407372,0.995400950879131,77.8920088050315,63.4348854961832,67.91129,102.53146,88.2050666666667,3.67697196118923,4.74077983299084,8.49073352334224,20.2435193453757,23.4008053601675,35.6782,29.0768,25.74185,90.7733,46.641325,100.975025,81.1136,95.645875,144.9659,133.024575,318,131,40,5,6
"ZNF416",0.444561449200472,0.998008276221859,0.718712064276628,0.190322886432213,0.0843083495794972,0.287967531702791,0.770732795369606,0.948952391063322,0.742017466926445,0.113338024075832,132.098681446541,121.974912977099,135.103165,188.89176,104.27965,3.22850736785066,4.97208502495758,9.44617298192599,45.1340924190417,15.6893928572513,88.84465,83.87275,90.2361,132.5052,79.93165,167.924175,153.419,170.43285,169.5685,127.69765,318,131,40,5,6
"ZNF586",0.691404570339772,0.398365238787031,0.122085885292962,0.99058899886352,0.999848284660083,0.825978004041338,0.326352057389215,0.538168953382892,0.104195023939011,0.881513746430624,177.950227987421,165.272310687023,205.686675,158.37216,104.950166666667,5.20643165347397,7.60907820244244,20.1930178926503,21.246020897561,12.6038148246385,115.846475,101.7538,131.539325,139.5912,90.04125,223.932475,210.72915,242.0798,172.6891,119.560925,318,131,40,5,6
"ZNF446",0.827027475921277,0.992595313012767,0.849731593027131,0.97587289261475,0.996894061551157,0.952213364375079,0.820147713907302,0.931719711561137,0.764701097067585,0.998495676316259,224.851814150943,213.159070992366,232.5940825,196.36948,177.83735,6.05181752200583,7.52327705896179,23.5724634230969,18.9293801078746,45.3761663997944,157.943175,146.6954,160.08475,182.7899,108.141025,269.859925,264.9499,249.6461,225.5062,198.17855,318,131,40,5,6
"ZNF8",0.911237800694558,0.999866708400357,0.996798294964419,0.682677511785531,0.565815802614689,0.689069256816078,0.782340299052302,0.663635253993776,0.786427702196262,0.999652046776205,114.288719496855,119.528519847328,115.8247525,79.53756,86.5973,3.12515585368449,5.43111889919289,11.74814611792,7.49139003233712,6.28186152134328,74.0756,78.0291,70.270375,71.7479,73.303725,140.806475,143.4053,137.467775,90.5786,97.480475,318,131,40,5,6
"ZNF264",0.996932054081379,0.99997339620034,0.998339424443562,0.99653691494648,0.992777971397516,0.998188355050971,0.999734913945543,0.999979810018877,0.999528614607522,0.995019810112798,648.10821509434,637.841999236641,653.106715,694.08958,626.233733333333,15.2412772270373,26.3536597868889,54.4777919376811,149.027185624655,83.9935658750505,447.278875,435.4946,405.8767,573.499,539.545275,805.196125,803.0574,786.12895,665.2427,732.070425,318,131,40,5,6
