"gene","p-adj-C10-GBM-C1-LUAD-enriched","p-adj-C12-small-various-C1-LUAD-enriched","p-adj-C12-small-various-C10-GBM","p-adj-C2-Squamous-like-C1-LUAD-enriched","p-adj-C2-Squamous-like-C10-GBM","p-adj-C2-Squamous-like-C12-small-various","p-adj-C4-BRCA/Basal-C1-LUAD-enriched","p-adj-C4-BRCA/Basal-C10-GBM","p-adj-C4-BRCA/Basal-C12-small-various","p-adj-C4-BRCA/Basal-C2-Squamous-like","p-adj-C6-UCEC-C1-LUAD-enriched","p-adj-C6-UCEC-C10-GBM","p-adj-C6-UCEC-C12-small-various","p-adj-C6-UCEC-C2-Squamous-like","p-adj-C6-UCEC-C4-BRCA/Basal","p-adj-C8-BLCA-C1-LUAD-enriched","p-adj-C8-BLCA-C10-GBM","p-adj-C8-BLCA-C12-small-various","p-adj-C8-BLCA-C2-Squamous-like","p-adj-C8-BLCA-C4-BRCA/Basal","p-adj-C8-BLCA-C6-UCEC","mean-C1-LUAD-enriched","mean-C10-GBM","mean-C12-small-various","mean-C2-Squamous-like","mean-C4-BRCA/Basal","mean-C6-UCEC","mean-C8-BLCA","SEM-C1-LUAD-enriched","SEM-C10-GBM","SEM-C12-small-various","SEM-C2-Squamous-like","SEM-C4-BRCA/Basal","SEM-C6-UCEC","SEM-C8-BLCA","Q1-C1-LUAD-enriched","Q1-C10-GBM","Q1-C12-small-various","Q1-C2-Squamous-like","Q1-C4-BRCA/Basal","Q1-C6-UCEC","Q1-C8-BLCA","Q3-C1-LUAD-enriched","Q3-C10-GBM","Q3-C12-small-various","Q3-C2-Squamous-like","Q3-C4-BRCA/Basal","Q3-C6-UCEC","Q3-C8-BLCA","count-C1-LUAD-enriched","count-C10-GBM","count-C12-small-various","count-C2-Squamous-like","count-C4-BRCA/Basal","count-C6-UCEC","count-C8-BLCA"
"ZNF195",0.999999999998543,0.999999804540715,0.999999916837362,7.37486372687224e-05,0.989875834418953,0.999099238121854,0.991058093825594,0.997972999498858,0.996930973881815,0.843313540932618,0.000176364971606779,0.00222481712740441,0.00391032328250274,2.43792334693183e-05,0.0212998410119145,0.999560635674984,0.999915850441486,0.99975799527955,0.950191512553192,0.999991925255362,0.011945277498476,369.513387762238,370.532766666667,360.67455,323.727902830189,425.3192,855.0853,402.0773,7.11136555613191,38.0271473472015,58.1815207496404,6.2611801399734,6.54755619779879,0,91.415043547274,256.085,294.672875,259.9012,230.97515,413.9785,855.0853,243.7418,455.1985,449.8493,461.4479,378.8489,436.6599,855.0853,560.4128,572,6,4,424,4,2,4
"ZNF263",0.965288344761512,0.998105733765108,0.999997579934589,0.816171930720134,0.910150509551818,0.991314401311771,0.999991273368353,0.987809888142883,0.998195959161837,0.999999999548487,0.115140786608011,0.0839623514962083,0.168977484409474,0.155035406246432,0.393829086471267,0.989544000734682,0.999999999995262,0.999999306783746,0.969228311328323,0.993472435830539,0.129333640494106,660.154862237762,576.216933333333,600.70185,679.223958018868,683.7648,1065.4642,578.9495,7.87754679822936,84.2390475001257,55.2409603586038,12.2172087319341,23.6519620677299,0,87.4007271255985,538.0897,406.073125,505.0217,523.417575,642.7984,1065.4642,427.567,744.0925,751.204,696.382,789.669975,724.7312,1065.4642,730.332,572,6,4,424,4,2,4
"ZNF200",0.999303848315588,0.999890938791001,0.998035569864947,9.14157638476354e-13,0.509590437426071,0.983708826647993,0.957223844803246,0.940190869265858,0.999265672232997,0.999998509338015,0.872362100089601,0.843336505372538,0.981498346893937,0.999437202314344,0.999331881102086,0.601809079788644,0.663215311170066,0.957235466122747,0.997514984320873,0.998535556341102,0.999999999952743,223.58981958042,207.405466666667,237.9653,273.086547641509,266.1126,300.0222,297.88905,2.98237080142129,14.1052482860498,0.0708986130564849,5.00161174932373,75.4185151088909,0,10.3214928348971,171.4378,178.898175,237.8425,206.099,135.4839,300.0222,280.0117,259.242,236.697675,238.0881,317.785475,396.7413,300.0222,315.7664,572,6,4,424,4,2,4
"ZNF582",0.00027303500117859,0.981528150905728,0.0113030243042855,8.3270864884688e-05,9.01439282885441e-06,0.999983913456614,0.988989187442736,0.0139024178332341,0.99999999743175,0.999998459771057,0.999922824160068,0.171445582702519,0.999989041302599,0.99999988529013,0.999997129657167,0.368423829654798,0.906454853695689,0.375607169179723,0.10877010602208,0.410453571039651,0.769080165183444,31.91305,73.0705,22.3292,25.103041509434,23.23325,26.8114,55.7947,0.968560813871544,12.944989123518,11.2840223361766,1.09333118790492,0.244017091272995,0,17.2531890343013,16.4245,48.28945,2.7847,8.696875,22.8106,26.8114,25.9113,41.5628,100.1308,41.8737,35.870175,23.6559,26.8114,85.6781,572,6,4,424,4,2,4
"ZNF285",0.994495004631964,0.996692388410939,0.973922972756093,9.67892432868211e-13,0.465658336417488,0.999527816643989,0.999998686432414,0.998154577346494,0.999918935451082,0.97632721498572,0.821914912114336,0.979676074152098,0.766173143925023,0.357825044119667,0.892152689585826,0.111040041029841,0.654701419149444,0.238771958343359,0.00451612151981307,0.417718526354378,0.999553758570328,41.4835468531469,50.4052,31.5414,24.4819245283019,38.8838,73.1221,85.17355,1.50627427876936,5.78284016736874,16.6026884860053,1.36352595195728,20.5871558987637,0,10.6342434757172,12.0961,40.982675,2.7847,5.8672,3.2258,73.1221,66.7545,60.4154,61.969625,60.2981,34.1704,74.5418,73.1221,103.5926,572,6,4,424,4,2,4
"ZNF275",0.999063306131698,0.999199054624642,0.994063107306988,0.999993197581416,0.999377953167374,0.998911075614094,0.416289868064878,0.507425109922104,0.932663386939376,0.400952375343329,0.842340384565645,0.972122038447897,0.826762143706373,0.851588560248879,0.27609972385194,0.771121788609121,0.780876696526977,0.992639479421964,0.75668959022586,0.999745014061507,0.465141613634379,636.834061888112,693.860066666667,568.99805,640.674168867925,348.28415,906.0492,426.67635,12.3317509876128,163.613169511053,168.542890730641,13.5072858799828,43.5159001517932,0,27.5216233794599,443.8596,376.22505,277.0732,475.677575,272.9124,906.0492,379.0075,797.3978,1036.08135,860.9229,772.33295,423.6559,906.0492,474.3452,572,6,4,424,4,2,4
"ZNF37A",0.769994042946617,0.926512038999413,0.999999992098257,0.00376492131431894,0.976491667986738,0.995904030058708,0.897511021676961,1,0.999999995628441,0.991787378268454,0.998704608447637,0.903160027121746,0.939820058342947,0.979676964032397,0.925657782251799,0.990112394724246,0.999848936630125,0.999974574217727,0.99997345374997,0.99991215964797,0.979930635140778,370.066596153846,263.234466666667,270.9859,327.341430660377,263.29305,434.7441,303.8341,7.81168783554907,10.0461243048473,34.5348991719005,8.25118116055765,53.4747304150989,0,1.98539210568928,226.7474,242.6404,211.1697,207.9759,170.6721,434.7441,300.3953,473.6355,283.90705,330.8021,403.094025,355.914,434.7441,307.2729,572,6,4,424,4,2,4
"ZNF510",0.00510382485767069,0.906952776348969,0.0219141807028991,0.590966102463159,0.00186031810732545,0.965563131430817,0.418731270164539,0.00220880363087395,0.997145591612413,0.568433357892137,0.998896083932349,0.261668710622308,0.999969190590134,0.999877764224046,0.989377042408182,0.996265685901158,0.520509734486621,0.867704507096185,0.980859288799971,0.512012178911263,0.988182580408972,222.947609440559,335.321033333333,179.092,214.596870754717,147.8867,196.5433,246.1902,3.04486893770696,56.3501985213342,1.04055839016046,3.7536831000206,19.533895802681,0,42.2363476177017,173.9748,233.148,177.2897,157.126075,114.053,196.5433,173.0347,266.7295,452.0052,180.8943,266.451525,181.7204,196.5433,319.3457,572,6,4,424,4,2,4
"ZNF506",0.967946507154291,0.935602749022546,0.788091172013153,0.0221777241054818,0.785849214625369,0.994547933239355,0.999999922298148,0.998665027596747,0.981600522396356,0.998728627855966,0.83972808648207,0.993491196189138,0.611525388517512,0.671571531950224,0.947668494843665,0.834064674537493,0.999379282892329,0.608533165951758,0.584244516477269,0.975610828977161,0.999928914915349,310.289027622378,387.488366666667,201.11915,268.451482075472,320.2954,500.554,446.2414,8.287818446037,35.1996757990058,23.1363016748032,10.1676073432087,99.8721280253905,0,147.086562869126,190.5204,314.383075,161.0459,135.835075,147.3118,500.554,191.48,385.7548,458.614225,241.1924,335.409425,493.279,500.554,701.0028,572,6,4,424,4,2,4
"ZNF324",0.999999985542144,0.999209839122857,0.999918311514442,9.17710352155154e-13,0.656175079628393,0.58259233899311,0.735216687529892,0.918491348981757,0.989811649279965,0.0774190372495649,0.999290181974417,0.999823373705423,0.999999887761348,0.818793816236998,0.99882963762478,0.859058914793271,0.943139833959448,0.876646072073645,1,0.423354560797938,0.921884847408995,152.602196853147,150.4503,136.01925,198.001137735849,98.96085,129.6255,198.05645,2.58886249976561,6.75416580341348,2.69989193132491,3.96919108241643,6.80802777174369,0,8.8680712672392,109.73,136.496175,131.3429,134.784675,87.169,129.6255,182.6965,183.3333,164.2263,140.6956,244.036575,110.7527,129.6255,213.4164,572,6,4,424,4,2,4
"ZNF671",0.000199446788563873,0.99958210480869,0.0278666910274502,9.07496300328603e-13,2.79073442133182e-08,0.962065637834829,0.590273225644775,0.000639494215986858,0.966714847592547,0.999838523647663,0.25621001463147,0.0005567679539773,0.669855523135206,0.853255391051196,0.978820965268004,0.982858947721177,0.30374498506069,0.975511203605671,0.296410725598823,0.537548516211192,0.226978348748297,119.138243706294,233.269,105.96095,75.7366537735849,64.53585,18.1697,144.9172,2.8933793192539,11.5473307685081,15.7261264398082,2.59889613808227,11.1859016579279,0,3.79740592554092,58.6273,211.26375,78.7225,38.236775,45.1613,18.1697,138.3399,163.1712,257.3979,133.1994,96.126875,83.9104,18.1697,151.4945,572,6,4,424,4,2,4
"ZNF416",0.119040847165679,0.993211230226919,0.293315909069196,9.17710352155154e-13,0.896661749861788,0.509569686636065,0.529086549597496,0.0334226924169008,0.984146975986751,0.0444550189400974,0.615653136607951,0.077417994246721,0.955774807892206,0.150243336182414,0.999893115987416,0.00954104230731667,0.946624713518599,0.0498514503332333,0.243532030326079,0.00334491763604972,0.0121790987653745,116.056098951049,178.856666666667,95.91645,150.267175943396,62.61305,45.8675,217.6615,2.07123475919303,2.04247783972747,19.1137291442783,3.35233228628789,7.59253131751855,0,14.8623238345601,82.6957,174.584525,62.8105,98.35665,49.4624,45.8675,191.9192,143.8849,182.826575,129.0224,190.27255,75.7637,45.8675,243.4038,572,6,4,424,4,2,4
"ZNF586",0.999981668790953,0.999037288484643,0.999990393579642,1.36204732175127e-05,0.948100732849098,0.921082267513135,0.996110590203432,0.999901748751106,0.999999928001264,0.86996435701627,0.591984126332837,0.811412797605946,0.916032485875445,0.30324882478795,0.939634658660064,0.562554193741367,0.720884832535468,0.678082624180827,0.916098159934611,0.613596338294274,0.178912180302847,161.651959090909,152.688166666667,140.04455,190.121060377359,133.94325,52.515,240.8852,3.04574492185431,20.8622945676431,5.42631310751907,5.21983907774927,23.3219775213746,0,32.707816510023,112.2883,109.58955,130.6459,120.51295,93.5484,52.515,184.2336,195.115,190.172925,149.4432,237.805575,174.3381,52.515,297.5368,572,6,4,424,4,2,4
"ZNF446",0.781120371429936,0.137136749162644,0.0566938168935512,0.916439763890513,0.870797898981533,0.0968673449824838,0.999968367050125,0.992352471134254,0.406707162502854,0.999999684498836,0.800676359220196,0.454632941239031,0.999875811091167,0.742293437654601,0.850483908843302,0.088370287459511,0.886547998978942,0.00326773364605271,0.127915744843885,0.577921359635327,0.0901558655671162,191.446030769231,236.9498,92.1004,197.067149528302,201.8877,114.8416,297.66975,3.33380201365115,14.6293694508456,9.1839684670263,3.61046214035112,16.6465671064637,0,42.4439916420157,134.047,206.928725,76.1933,143.92545,173.055,114.8416,224.1546,233.8431,262.628675,108.0075,238.8373,230.7204,114.8416,371.1849,572,6,4,424,4,2,4
