"gene","p-adj-BRCA CIMP c7-BRCA basal-like c8","p-adj-BRCA non-CIMP c9-BRCA basal-like c8","p-adj-BRCA non-CIMP c9-BRCA CIMP c7","p-adj-Cluster 13 (HNSC-LUSC)-BRCA basal-like c8","p-adj-Cluster 13 (HNSC-LUSC)-BRCA CIMP c7","p-adj-Cluster 13 (HNSC-LUSC)-BRCA non-CIMP c9","p-adj-Cluster 14 (HNSC)-BRCA basal-like c8","p-adj-Cluster 14 (HNSC)-BRCA CIMP c7","p-adj-Cluster 14 (HNSC)-BRCA non-CIMP c9","p-adj-Cluster 14 (HNSC)-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 5-BRCA basal-like c8","p-adj-Cluster 5-BRCA CIMP c7","p-adj-Cluster 5-BRCA non-CIMP c9","p-adj-Cluster 5-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 5-Cluster 14 (HNSC)","p-adj-Cluster 6-BRCA basal-like c8","p-adj-Cluster 6-BRCA CIMP c7","p-adj-Cluster 6-BRCA non-CIMP c9","p-adj-Cluster 6-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 6-Cluster 14 (HNSC)","p-adj-Cluster 6-Cluster 5","p-adj-KIRC-like c17-BRCA basal-like c8","p-adj-KIRC-like c17-BRCA CIMP c7","p-adj-KIRC-like c17-BRCA non-CIMP c9","p-adj-KIRC-like c17-Cluster 13 (HNSC-LUSC)","p-adj-KIRC-like c17-Cluster 14 (HNSC)","p-adj-KIRC-like c17-Cluster 5","p-adj-KIRC-like c17-Cluster 6","p-adj-Low purity c2-BRCA basal-like c8","p-adj-Low purity c2-BRCA CIMP c7","p-adj-Low purity c2-BRCA non-CIMP c9","p-adj-Low purity c2-Cluster 13 (HNSC-LUSC)","p-adj-Low purity c2-Cluster 14 (HNSC)","p-adj-Low purity c2-Cluster 5","p-adj-Low purity c2-Cluster 6","p-adj-Low purity c2-KIRC-like c17","p-adj-OV-like c1-BRCA basal-like c8","p-adj-OV-like c1-BRCA CIMP c7","p-adj-OV-like c1-BRCA non-CIMP c9","p-adj-OV-like c1-Cluster 13 (HNSC-LUSC)","p-adj-OV-like c1-Cluster 14 (HNSC)","p-adj-OV-like c1-Cluster 5","p-adj-OV-like c1-Cluster 6","p-adj-OV-like c1-KIRC-like c17","p-adj-OV-like c1-Low purity c2","p-adj-UCEC Serous c4-BRCA basal-like c8","p-adj-UCEC Serous c4-BRCA CIMP c7","p-adj-UCEC Serous c4-BRCA non-CIMP c9","p-adj-UCEC Serous c4-Cluster 13 (HNSC-LUSC)","p-adj-UCEC Serous c4-Cluster 14 (HNSC)","p-adj-UCEC Serous c4-Cluster 5","p-adj-UCEC Serous c4-Cluster 6","p-adj-UCEC Serous c4-KIRC-like c17","p-adj-UCEC Serous c4-Low purity c2","p-adj-UCEC Serous c4-OV-like c1","mean-BRCA basal-like c8","mean-BRCA CIMP c7","mean-BRCA non-CIMP c9","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 14 (HNSC)","mean-Cluster 5","mean-Cluster 6","mean-KIRC-like c17","mean-Low purity c2","mean-OV-like c1","mean-UCEC Serous c4","SEM-BRCA basal-like c8","SEM-BRCA CIMP c7","SEM-BRCA non-CIMP c9","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 14 (HNSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-KIRC-like c17","SEM-Low purity c2","SEM-OV-like c1","SEM-UCEC Serous c4","Q1-BRCA basal-like c8","Q1-BRCA CIMP c7","Q1-BRCA non-CIMP c9","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 14 (HNSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-KIRC-like c17","Q1-Low purity c2","Q1-OV-like c1","Q1-UCEC Serous c4","Q3-BRCA basal-like c8","Q3-BRCA CIMP c7","Q3-BRCA non-CIMP c9","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 14 (HNSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-KIRC-like c17","Q3-Low purity c2","Q3-OV-like c1","Q3-UCEC Serous c4","count-BRCA basal-like c8","count-BRCA CIMP c7","count-BRCA non-CIMP c9","count-Cluster 13 (HNSC-LUSC)","count-Cluster 14 (HNSC)","count-Cluster 5","count-Cluster 6","count-KIRC-like c17","count-Low purity c2","count-OV-like c1","count-UCEC Serous c4"
"ZNF195",0.998112611984235,0.999999650180487,0.999998448813895,0.992385737279054,0.99999687565351,0.999971080505944,0.969867976434316,0.995964994685027,0.999335807739843,0.998150156963833,0.999945504684016,0.988422911706617,0.999999999998748,0.000184934021300154,0.255051466154243,0.999444688265222,0.99998820420621,0.999999968867889,0.270999688357162,0.701918057054673,0.70569296837884,0.973430421893315,0.999214902887822,0.998040531221348,0.999766635022154,0.999997611313095,0.984071666634784,0.99561340140279,0.99919131058576,0.999999730552476,0.999999890048252,0.930751583604484,0.869829418121445,0.948305082599837,0.999999990743836,0.997080989164114,0.999999837108165,0.329526376231969,0.999388110887342,0.0579555204376997,0.0469289635532976,0.530818832767671,0.278985816825515,0.667190998918855,0.28252474391542,0.155490032835063,0.000133510622954636,0.0589896193423781,2.88453633257024e-05,1.84421842018834e-05,0.000267725703853361,0.000118602986525662,0.00233019970124593,0.000116720322301034,0.0403029207170347,431.7137,331.0056,377.5137,316.551382142857,288.564053846154,366.598884545455,347.487346285714,240.0698,343.100543478261,470.53586,855.0853,0,26.4148026460544,0,7.61562939658282,25.2314439689047,6.41807102808896,7.25431372482036,0,17.074168478783,79.852581793198,0,431.7137,225.618075,377.5137,226.017375,166.1595,250,238.06445,240.0698,231.544,291.0292,855.0853,431.7137,447.787125,377.5137,373.56825,428.4284,453.5809,427.6858,240.0698,409.4584,755.2822,855.0853,2,24,2,280,26,660,350,2,92,10,2
"ZNF263",9.89704726259699e-05,0.00111745559277698,0.995927251951756,2.14405104255189e-05,0.999998065986533,0.998174103901212,3.4350941958694e-06,0.859750876802971,0.999999627323047,0.759263735735676,4.16817709936179e-06,0.93309613818507,0.999947802648871,0.103564523555854,0.999193040985021,2.06284158255077e-06,0.724277139328797,0.99999521715029,0.00615005357158105,0.999999810053358,0.93587087360064,0.000348184576708932,0.958883545692646,0.999999983489585,0.972826438229353,0.999748835924624,0.996454314843035,0.999000720308843,6.6887423543216e-06,0.982168154531537,0.999915698464842,0.907431556763049,0.998784330343985,0.999999992456555,0.993832501835593,0.99550424869888,3.66002551301925e-05,0.998155071865525,0.999990545348699,0.999518450412749,0.999999796573018,0.999999999994046,0.999999999607484,0.998963946709763,0.99999999915926,0.692674851355481,0.537623296353773,0.421239378100758,0.39109874945458,0.159559828041879,0.215861637174563,0.159351322400336,0.258815676134689,0.246934042289991,0.312608095378615,1473.6403,731.241941666667,576.7824,712.015493571429,632.752030769231,667.401345454545,647.22162,521.2711,673.107836956522,659.4264,1065.4642,0,52.4322250644537,0,11.9713732446804,46.8445248757136,9.01043564354043,9.52728727217565,0,19.9576610419389,17.2149330421391,0,1473.6403,500.69415,576.7824,556.458925,386.4215,531.2441,533.889975,521.2711,556.8439,623.0163,1065.4642,1473.6403,943.80915,576.7824,849.2216,815.3659,752.893,734.605025,521.2711,724.7312,671.2501,1065.4642,2,24,2,280,26,660,350,2,92,10,2
"ZNF200",0.851797841923588,0.207624511850542,0.662862077686234,0.587257872978521,0.983589172178214,0.837234378526001,0.823735801710428,0.999999999984856,0.693375927234844,0.993523463255721,0.247887201282646,0.104697184868613,0.983794815672915,2.20343355552544e-05,0.124979707328428,0.12233946676386,0.00401104057804813,0.998533122184982,4.32786029236354e-11,0.0045324428438408,0.0429264621328238,0.128212346613725,0.466352146715756,0.99999999882557,0.662168528874517,0.497384675705327,0.92860357931774,0.985954659217114,0.381563224775472,0.606246050653024,0.953574363421948,0.766536427195626,0.676905893967808,0.970199012534544,0.0772935601373353,0.855254384299021,0.695467959384478,0.999762178279466,0.908537712977149,1,0.999931030264687,0.991803552468743,0.806420648284648,0.784015802523446,0.999947096364718,0.987740971467879,0.99999999999667,0.906158225720702,0.999995062384918,0.999999999861558,0.996237617892143,0.970530228339938,0.813684745714086,0.999515233430425,0.999996615189919,401.4428,292.717,163.6197,270.294087142857,289.451876923077,238.152399393939,218.978736571429,145.7567,250.89117173913,268.82654,300.0222,0,22.8633011745058,0,5.33875598549238,25.0598531860027,3.53424805047449,3.35751984569982,0,13.5180801757023,17.3599515098222,0,401.4428,223.323325,163.6197,217.731775,197.6744,180.2938,170.476825,145.7567,183.0823,241.5084,300.0222,401.4428,342.744425,163.6197,318.22515,366.0446,279.5808,246.154525,145.7567,248.7702,313.4281,300.0222,2,24,2,280,26,660,350,2,92,10,2
"ZNF582",0.999999849767084,0.999999999997646,0.99999465892666,0.999999999655578,0.999980505853061,0.999999845477095,1,0.997247734410975,0.999999999996707,0.999666109706257,0.998259397181097,0.719726936282873,0.993662318336204,7.15684178587139e-11,0.0376494689366179,0.999357150704073,0.905208622175238,0.997143871091987,2.31869722688849e-06,0.116536315873002,0.994319689535385,1,0.99999854444595,1,0.999999980312086,1,0.996141126461309,0.998386020535424,0.928729376719539,0.0183808898220897,0.8721403311608,2.58348897830274e-13,7.05662000833884e-05,0.00893805341782306,0.00187274545426175,0.897923488541397,0.999999999911595,0.996861876089659,1,0.999562187358795,0.999999988707129,0.382431042564848,0.543303573464726,1,0.0190458507850239,0.999996716943655,0.999999962863843,0.999974892637816,0.999996178959192,0.999897597209608,0.999999985896123,0.999999999865617,0.999988459957406,0.999045264283041,0.999680332243886,16.9743,22.2425,14.6252,19.7194042857143,16.4078923076923,30.79629,29.306936,15.589,39.8183347826087,14.3607,26.8114,0,4.23013485653741,0,1.15533219452658,4.53437323355694,0.857276047120557,1.23507214348833,0,2.29067329846429,2.28355220605481,0,16.9743,4.4902,14.6252,7.5035,7.6118,15.1389,11.780375,15.589,24.3761,7.6041,26.8114,16.9743,42.781525,14.6252,26.205225,15.3061,42.7972,38.689925,15.589,52.0305,22.3275,26.8114,2,24,2,280,26,660,350,2,92,10,2
"ZNF285",0.998520490106081,0.899841031600923,0.978700134239728,0.999999935203888,0.618599137185537,0.723219107106886,0.999999433088865,0.966485033735708,0.812520673555204,0.999999930421724,0.979897349220046,0.99401586663157,0.996577391556418,0,0.109887171555251,0.983794065434584,0.997966264128014,0.995534610617691,0,0.166366496085044,0.999999649495716,0.999945358386045,1,0.997320489335293,0.999976605818494,0.999996683293747,0.999999630161511,0.999999859076619,0.972078854781706,0.986463476356823,0.998284313726791,3.77051824207442e-07,0.133035233350251,0.999997592297059,0.999936854458367,0.999998163588652,0.18905997743403,0.00506383430376134,0.999762722848372,2.55873796262129e-07,4.89938341020624e-05,0.00462624575547321,0.00382358209664668,0.691662156716285,0.014884203307242,0.750921545964299,0.870002545509453,0.999999955699229,0.433273371041488,0.54809182871432,0.951808365458593,0.944068272682077,0.978102518761985,0.968061106533431,0.999999794836644,9.3359,31.7470416666667,63.0713,16.7496357142857,18.9071384615385,39.2388666666667,38.4179674285714,30.3985,40.924497826087,82.22494,73.1221,0,5.65435873714841,0,1.30960722430541,4.4105428838883,1.31239127713185,2.12272863939552,0,3.83667224933253,37.6046793323715,0,9.3359,2.675275,63.0713,4.42695,5.7088,11.5607,8.9965,30.3985,11.5037,10.0236,73.1221,9.3359,61.039325,63.0713,21.25545,20.7135,58.319,51.915275,30.3985,54.3624,76.543,73.1221,2,24,2,280,26,660,350,2,92,10,2
"ZNF275",0.999847231445344,0.997617589707037,0.999962656029432,0.998820814676763,0.999990744284793,0.999996510188557,0.834347989936092,0.229315691419144,0.999997986651632,0.0678880230554999,0.99439815079087,0.990105906199926,0.999999967639646,0.815779432897594,0.260176127938906,0.990025708434915,0.956386822344693,0.99999999883001,0.466547797282873,0.463532064376624,0.998825328178738,0.999973465928464,1,0.99999955507323,1,0.997623927703614,0.99999999382788,0.999999894167212,0.999897439645722,0.999999999919642,0.999898531998205,0.983833742168359,0.0190105279796781,0.3695731556411,0.174459605078739,0.999999999975157,0.819129931212958,0.484215087218713,0.999986275484091,0.45301438111977,0.99999999134401,0.712702337171407,0.826594734267005,0.995704063555801,0.236252174491337,0.999999999780233,0.998004495358511,0.990758512304869,0.991046828107623,0.69409077111307,0.972681962694169,0.958670435089124,0.9997007688979,0.998380195509005,0.682759312819096,857.2035,713.194233333333,589.5795,682.386320714286,498.947361538462,646.849960909091,630.567698285714,695.2672,723.313441304348,472.62144,906.0492,0,69.3943470578368,0,16.5087030964893,44.2521437341233,11.3234017878416,14.772410130196,0,35.6215366910689,19.4853497999406,0,857.2035,453.452525,589.5795,506.525075,425.7862,456.8713,431.20585,695.2672,538.7531,455.7368,906.0492,857.2035,919.05485,589.5795,836.49515,608.1375,804.1667,798.0106,695.2672,863.2824,504.2894,906.0492,2,24,2,280,26,660,350,2,92,10,2
"ZNF37A",0.999999839528578,1,0.999999935187643,0.99999999999678,0.912737024671928,0.999999999963852,0.999990775454934,0.52505697174941,0.999984226438115,0.943287429861916,0.999999999725863,0.999964654794466,0.999999999959601,0.143850025050084,0.322989370564513,0.999999996477719,0.999998993765649,0.999999999164703,0.100134030095834,0.244844157998806,0.999979062286605,0.995220678570333,0.829472870952118,0.994338640114755,0.965499077474502,0.998563194319677,0.878907408494053,0.85665594931754,0.999999999580546,0.999991732420592,0.999999999931184,0.814126250701333,0.466954257730955,1,0.999999988215435,0.881287911627033,0.999997976048153,0.999999994005266,0.999998938888821,0.971585047320771,0.722004562177635,0.999886377562774,0.999981733972801,0.813302667467169,0.999943543954763,0.999995868960736,0.999999943067677,0.999997384484164,0.9995687987407,0.988331455076418,0.999994160364186,0.999998050003335,0.926449568854621,0.999995564079988,0.999999999805153,353.6318,396.329241666667,357.404,339.784392857143,288.883492307692,375.185026666667,381.547776571429,176.1551,376.336245652174,411.96454,434.7441,0,30.1609121940106,0,10.1303384335244,36.5130209646059,6.77577176032202,10.0406358641996,0,15.6666464860414,48.1742281084796,0,353.6318,318.873075,357.404,222.1607,178.2242,252.8736,232.460625,176.1551,268.2486,412.0034,434.7441,353.6318,507.5997,357.404,426.91485,334.9649,470.2247,502.681625,176.1551,467.5576,513.9312,434.7441,2,24,2,280,26,660,350,2,92,10,2
"ZNF510",0.997094212090134,0.981639739690416,0.999839897563674,0.997939543311542,0.99999999128105,0.999460784679695,0.976232213721705,0.999597146991275,0.999999132934025,0.967993805107291,0.97709759244556,0.998822165801186,0.999996151162884,0.0476908505318488,0.999999999548332,0.995199745284295,1,0.99983605921441,0.998700312219927,0.996606630805105,0.341480308643125,0.957444188611826,0.9983594305338,0.999999999927541,0.995783548462858,0.99995148547692,0.99985989187427,0.998203099202629,0.996301975567651,1,0.99979112779851,0.999997696421035,0.996754683719054,0.880671067655165,0.999999999950618,0.997897910823191,0.999076043741254,0.999999999937446,0.999736765551272,1,0.999718858612151,0.999691406269922,0.999999995735824,0.997861470070252,0.999999999789155,0.992252193972996,0.99998980238066,0.999999999985969,0.999950846219329,0.999999997377554,0.999999971616988,0.999990688302114,0.99999996812094,0.999986533677367,0.999976359293516,280.6422,225.815641666667,186.4717,229.908619285714,209.049476923077,211.903441818182,224.478878857143,174.5962,225.817658695652,230.2199,196.5433,0,15.341033238601,0,4.62190055008046,18.2411152762884,3.12520782142101,3.90618106358816,0,8.16276818883967,24.7244036310596,0,280.6422,174.0703,186.4717,175.18775,133.8801,154.0309,175.30845,174.5962,182.0396,176.9679,196.5433,280.6422,291.977825,186.4717,282.420625,277.8306,252.8975,264.850525,174.5962,268.2486,276.2215,196.5433,2,24,2,280,26,660,350,2,92,10,2
"ZNF506",0.999999312486867,0.999994137601405,0.99999997986125,0.999999994178414,0.99998166576387,0.999997446858982,0.996628493143359,0.91303295310257,0.999999897960169,0.218004948003787,1,0.861228559228099,0.999583333234836,0.056663848084779,0.00546768031719402,0.999999941123007,0.398941483363211,0.996466830019703,0.000118773412339568,0.000290338087446496,0.416362923728456,0.999999981527818,0.999652575816309,0.999650632071294,0.99994343928708,0.962381274189934,0.999999952473391,1,0.99999495626888,0.193622017536153,0.987519122000419,0.00130823894355458,0.000123564358610495,0.295581221416647,0.992345306566045,0.999999999998902,0.999996810581334,0.844001471555921,0.992564058331144,0.87813656782231,0.137164188475275,0.997999463873733,0.999998082357446,0.999999999997719,1,0.987010507122405,0.681664938852712,0.867061304262957,0.741518314291346,0.279031016222447,0.903836726524166,0.964104177365748,0.998446302447723,0.988128165631233,0.994325362287404,283.4712,230.091275,192.8702,251.821777142857,149.099446153846,294.524337575758,323.4648,333.6035,347.216882608696,349.32744,500.554,0,29.9544264668026,0,8.05664139585616,24.5916367326338,7.84972839464296,9.0709323887671,0,30.5412168456479,59.9963896307199,0,283.4712,95.017725,192.8702,143.079125,90.7029,176.7625,197.183025,333.6035,195.7133,230.1965,500.554,283.4712,316.393625,192.8702,332.74815,124.123,361.784,414.69935,333.6035,376.6562,386.9707,500.554,2,24,2,280,26,660,350,2,92,10,2
"ZNF324",0.941550223396182,0.999999440870951,0.69044834457056,0.999841805220941,0.222265977445727,0.980672286132009,0.999961248303761,0.514479324681676,0.990847122651179,0.999999981695098,0.999962363953993,0.0811077187982707,0.989711426978142,0.995966288337726,1,0.999999999856706,0.000519937397088555,0.999818853686213,0.000219034405286256,0.901013985196759,0.000333531671866116,0.999999999877534,0.862236538889314,0.99999999760163,0.998049773107121,0.999315628480439,0.999269135158841,0.999999235519681,0.999980489536515,0.130627519553807,0.992506473916712,0.999405016566854,0.999999999526928,0.999999997198207,0.402310288008241,0.999540590561837,0.976748829726402,0.999999996848092,0.817135836183948,0.922150924494154,0.938623189546571,0.819328712325888,0.222481912034835,0.933796142832729,0.819901312440694,0.99999999270844,0.805134938573899,0.999999999978532,0.994784584598915,0.997916628158305,0.997715768007137,0.999990746611192,1,0.99846748205817,0.898182078069095,147.3937,224.37435,119.7441,183.012855714286,179.014053846154,177.814586666667,155.872768571429,135.6239,176.01942173913,218.23024,129.6255,0,25.7388736345583,0,4.17188004465841,15.9413988003092,3.04553996991728,3.37318200192452,0,6.93708043680674,9.38639705700873,0,147.3937,139.803175,119.7441,129.476775,106.3174,122.9726,113.8763,135.6239,130.6286,195.4713,129.6255,147.3937,246.455925,119.7441,221.392525,236.9131,216.3743,184.22045,135.6239,207.9608,236.7785,129.6255,2,24,2,280,26,660,350,2,92,10,2
