"gene","p-adj-Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","count-DiseaseFree","count-Recurred/Progressed"
"ZNF195",0.763597521525121,365.043090322581,362.645338412698,4.75890324866395,6.62545396604165,258.03335,245.6991,448.625775,436.28705,992,630
"ZNF263",0.575801573763087,686.849805846774,681.125852698413,6.54517809123891,7.64859965926057,542.038425,554.311375,789.6088,781.7725,992,630
"ZNF200",0.531982322475852,237.448740524194,240.115496190476,2.61324038320021,3.42411888176292,177.7439,183.9733,277.24935,280.403425,992,630
"ZNF582",0.846951182592009,27.2218653225806,27.4282168253968,0.648054614982096,0.870628919199205,11.20905,11.36665,38.50815,37.11535,992,630
"ZNF285",0.500742894906516,34.7112858870968,35.8942615873016,1.10248811623493,1.35817228260901,8.02645,8.247625,53.588425,51.8375,992,630
"ZNF275",0.247860030555268,668.745040120968,651.432140634921,9.05810737595029,12.2379745646109,477.149475,458.396525,841.520225,790.8877,992,630
"ZNF37A",0.00395366588951196,394.471347379032,369.112694920635,5.84190721554274,6.0787537091259,268.26945,259.8855,499.5102,451.512775,992,630
"ZNF510",0.985663718725259,215.912032056452,215.840572380952,2.44571689481296,3.17256845413231,158.7405,159.069,263.830475,250.245125,992,630
"ZNF506",0.376253924781914,305.221291330645,296.700411746032,5.97276172972898,7.58269666296615,190.1483,182.427475,390.72825,368.61055,992,630
"ZNF324",0.0223744663829005,179.998885887097,171.477412380952,2.33536609303692,2.89047836353611,129.980325,119.83335,214.371725,210.928675,992,630
"ZNF671",0.471491189895278,107.307034274194,104.545368253968,2.51083435827212,2.74224769306652,45.0021,48.910275,153.64565,150.2604,992,630
"ZNF416",0.507091127640381,117.534530645161,115.842040952381,1.54467834791804,2.08071393596675,83.4652,79.502875,144.381625,146.70475,992,630
"ZNF586",0.509336490421271,168.978767137097,166.387734603175,2.52443543878242,2.90953370533371,117.6219,117.257325,206.03905,205.976825,992,630
"ZNF446",0.145155583688587,221.567704637097,214.23940984127,3.42950000617065,3.26187827847134,156.585075,156.21375,265.979875,259.87875,992,630
"ZNF8",0.80096117290531,104.769770967742,105.41662031746,1.502930991783,2.1823891627017,73.52115,69.871975,123.086275,122.207425,992,630
"ZNF264",0.54968677563365,643.618159677419,635.697434603175,8.37936412597603,10.0911217234712,444.0642,458.2355,803.671825,776.29915,992,630
"ZNF213",0.252294017527683,485.17393266129,496.127976825397,6.05114621878095,7.29907461536326,357.359225,378.350475,590.838225,583.603625,992,630
"ZNF343",0.2906688438049,246.360133064516,239.77583015873,3.92855414421194,4.77847254824912,166.91945,151.605475,293.816825,298.136375,992,630
"ZNF302",0.452956385904297,448.235027419355,457.396264126984,7.74040133834582,9.2717238405938,299.697625,299.291575,534.11515,550.635275,992,630
"ZNF268",0.0184328988593302,310.195415322581,327.189952380952,4.61727841231561,5.37100054714189,220.950075,234.3342,375.14,407.65485,992,630
"ZNF184",0.171034680528515,248.553639112903,241.56843047619,3.09932016049417,4.14114117812852,178.0597,170.409775,287.807675,286.0109,992,630
"ZNF500",0.0088761623880862,239.774202419355,228.474173015873,2.8252950664257,3.08208852274944,179.79215,176.4624,292.507525,268.39935,992,630
"ZNF419",0.806886447675632,168.582743145161,169.531655238095,2.43749827851031,2.99819941013783,120.11165,117.611675,206.48135,204.845375,992,630
"ZNF175",0.58363960682358,115.731380645161,114.135246031746,1.7777544279659,2.34808615905741,77.82625,73.8125,154.617375,145.030125,992,630
"ZNF14",0.588470673393815,174.494578225806,177.183475238095,2.99781057562813,4.07352731247276,115.322675,115.9169,224.587825,210.91125,992,630
"ZNF85",0.256911866776429,85.4592122983871,90.083806984127,2.27724661426214,3.65047934538899,37.162975,41.43045,112.85015,114.482475,992,630
"ZKSCAN1",0.0821491210533802,738.570191330645,703.465642857143,12.5277481491301,15.8811620715956,450.106125,424.656275,909.967625,901.0166,992,630
"ZNF862",0.00522657340896071,409.423621572581,374.12064031746,8.29195505665857,8.96935261167559,229.695325,215.857625,523.81325,483.066375,992,630
"ZNF684",0.746002910292219,55.7879096774194,55.2268126984127,1.07802935276061,1.35714030739295,35.98455,34.6472,65.372825,66.2994,992,630
"ZNF430",0.736024352947283,129.43973266129,127.998882539683,2.62094769342559,3.42368099067253,80.896075,80.135625,160.222,160.419125,992,630
"ZFP30",0.552525674407178,202.380957056452,198.688826349206,3.81555874342932,4.97174775682058,128.0454,122.58195,253.1884,241.04455,992,630
"ZNF549",0.353709249880757,155.032877217742,159.440174920635,2.91755337984679,3.79939870585396,88.462025,99.68975,206.593725,202.42645,992,630
"ZNF211",0.191433593547538,223.196177419355,215.483217142857,3.84492214071993,4.26483571496085,140.706675,134.430825,274.391375,271.153675,992,630
"ZNF205",0.157901982760178,281.081768951613,290.10826984127,4.02894900329063,4.90180596943857,198.2082,214.328625,334.143625,345.5524,992,630
"ZNF45",0.411198888187198,239.784895564516,243.893442857143,2.98142437975096,4.15929140971228,176.78995,178.9082,285.764375,286.96145,992,630
"ZNF133",0.9812590378418,336.670059677419,336.860422222222,4.84725699984302,6.71736259910558,236.016425,214.84795,408.4314,417.43935,992,630
"ZNF436",0.0458277249121949,588.635342741935,556.50798,9.83749551565334,12.9219964151199,368.45275,356.7465,722.4302,660.757625,992,630
"ZNF484",0.0828901807042227,106.248884274194,113.195751111111,2.02547642424749,3.88176641040371,66.95595,68.94165,122.93025,127.058625,992,630
"ZNF780B",0.736753487168614,268.041257862903,264.942129206349,4.51727330910334,9.12214618936347,169.73675,158.501425,332.2891,300.9204,992,630
"ZNF557",3.41746415499777e-06,170.616056048387,154.105107936508,2.23124873882412,2.72427674378221,120.107775,102.4407,205.696125,187.7151,992,630
"ZNF337",0.0501315882827145,506.563589919355,480.729541587302,8.2983168932505,10.1357355219546,323.172725,298.103375,618.9418,619.72645,992,630
"ZNF317",0.000756815721266846,686.10025141129,647.416425079365,7.41343821852173,8.40523982222058,532.6338,498.515375,782.17285,756.487875,992,630
"ZNF426",0.344091691854562,111.778261895161,109.024375873016,1.81215699819977,2.2783425357596,72.87105,73.3516,139.8694,134.541975,992,630
"ZNF331",0.0262161012489646,475.914200604839,526.900015238095,10.6058292308127,23.4101212418783,247.4948,287.472025,605.06895,616.6849,992,630
"ZNF227",0.254455711170516,250.317772782258,256.61358031746,3.30947227294137,4.56842487440302,182.438075,178.60375,295.0834,302.8746,992,630
"ZNF141",0.459862540125365,67.5686235887097,66.1945584126984,1.20675666332197,1.3525070122622,42.582625,44.81765,83.23555,80.9302,992,630
"ZNF304",0.397608175749297,286.79846733871,281.388237142857,3.78609622998179,5.3701984331863,208.1211,199.95885,343.75355,337.130425,992,630
"ZNF132",0.0116737537441347,72.6736485887097,67.1022926984127,1.46643308115743,1.528273445899,38.412325,37.646025,99.784975,91.4522,992,630
"ZNF20",0.667836641953663,105.590309677419,104.663251746032,1.32214473227812,1.73560175842569,78.107725,77.69065,125.813525,122.688025,992,630
