"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX","count-T1","count-T2","count-T3","count-T4","count-TX"
"ZNF195",0.973159478811221,8.65561186784713e-05,1.5247541873542e-06,0.995272024166172,0.961118350611795,0.126563428392479,0.997664764619353,0.999188072839281,0.776918110815032,0.993490757892286,363.16411590106,367.978300350877,310.395923728814,356.253088095238,383.393,5.53789531335947,4.87686676770938,8.68078665197655,18.7803420231458,37.0132528691729,267.257775,246.4833,208.3333,259.5914,320.7455,436.281125,448.399,377.3349,405.3352,458.4479,566,1140,236,84,6
"ZNF263",2.64393659693551e-05,0.000128361955805234,0.660919794855256,0.742713894166297,0.902772934895462,0.532659259378629,0.924336345077387,0.618585612137837,0.476079990699489,0.788934817543579,723.360618727915,672.200450526316,651.819216949153,693.332976190476,794.5524,9.67496422681207,5.49303877147442,12.3899570227241,43.0099998790468,38.0064539182667,568.007475,543.1977,507.8569,553.9733,715.258825,844.985175,781.1989,722.6435,766.0065,866.07685,566,1140,236,84,6
"ZNF200",0.512209893374428,0.620024886048313,0.0598144319851401,0.880232392163168,0.999034215813373,0.416548187515385,0.757589574565634,0.858002874194318,0.598304107908065,0.899107716726067,237.703629681979,244.983688070175,227.883169491525,247.5963,281.517233333333,3.60359684128394,2.71824637451122,5.20583746847461,12.3038151912531,30.2348814918648,174.6589,186.2374,175.5846,186.2845,222.0854,275.080575,283.2413,258.9195,293.1709,344.726825,566,1140,236,84,6
"ZNF582",0.0135894190141204,0.000328826280416306,0.171169046514245,0.0546138755031499,0.659666554646194,0.999998541869402,0.608946238169651,0.356180711389625,0.181118894867366,0.205911652354858,30.5707830388693,27.0460652631579,23.6021771186441,23.7407452380952,43.2691,0.885650721981725,0.66396575543622,1.34404240463023,1.95121363393421,3.33488650541514,14.94655,10.2894,8.7892,10.6626,36.437325,41.958975,38.4918,30.9677,33.1044,49.0902,566,1140,236,84,6
"ZNF285",0.461217729163372,0.0913446943970896,0.552271268792368,0.999415566072112,0.985464246300821,0.6818253215556,0.533766165485751,0.399679252827161,0.265698545483538,0.521888223700025,37.1554858657244,34.1639142105263,30.3573101694915,36.2248071428571,59.4089666666667,1.45887096417766,1.07083589249018,2.02532914577433,3.48566564698517,24.3869286301312,9.922125,7.2754,7.3491,13.683,15.090175,54.495225,49.5951,41.5691,49.3134,109.935175,566,1140,236,84,6
"ZNF275",0.415177131233713,0.914480317766979,0.997664021760998,0.470954867030632,0.892988971109941,0.859195317877287,0.23580638864719,0.343387061179989,0.322693880312783,0.529048821071171,678.360077385159,652.502039122807,659.202480508475,622.595030952381,432.117133333333,12.1995204055281,8.53925425027985,20.0921542055629,30.1351060413811,65.580055083461,513.693775,456.0887,459.8237,492.2437,303.183125,829.3418,814.6751,846.2569,716.6571,569.21765,566,1140,236,84,6
"ZNF37A",0.00375809951571815,0.936990993149882,0.433086097650799,0.971320875470495,0.870996585338381,0.999977908938257,0.531732092571035,0.268265749120947,0.44544642984957,0.449584289778489,399.135744876325,367.847915789474,388.770915254237,386.598304761905,508.3093,6.99572585479321,5.07499894287405,11.879951668556,19.5543279215487,105.051498384484,285.750675,246.8514,280.2267,253.2767,304.0684,493.498,451.6837,485.7831,476.0307,728.039575,566,1140,236,84,6
"ZNF510",0.0907129796105387,1.35031510222205e-05,0.00517104933211288,0.973638289222569,0.39275258863814,0.00409712557590935,0.616143333764291,0.412067708731903,0.140262441218645,0.746525371303959,223.395167844523,213.440453333333,194.341048305085,228.910783333333,268.4358,3.48211099166184,2.21041206664439,4.52468532236509,10.126557348476,48.8577595710787,162.885725,159.6781,142.8571,152.0021,168.52315,264.909175,252.2369,229.3922,272.2388,369.180325,566,1140,236,84,6
"ZNF506",7.63693552841005e-11,3.0486464464019e-08,0.636662976219359,0.00461733378830864,0.994795164469281,0.993040904009048,0.999999999999385,0.901949849026314,0.797326225976208,0.870930862242846,344.833830388693,279.380033684211,261.472596610169,271.284445238095,344.931933333333,9.7787740389594,4.59191988120251,10.4349093471087,16.8898138213977,72.6267428578604,218.040275,164.8847,163.839,148.5714,195.190475,420.271475,355.5719,322.593,376.6562,474.48545,566,1140,236,84,6
"ZNF324",0.672210771211821,0.606167051834781,0.975662689663552,0.39535273739093,0.740455416538421,0.944826163732085,0.540826172231961,0.646901828800681,0.719742555198353,0.854914575244407,181.692780565371,176.577254561404,173.388261864407,166.273464285714,134.6375,2.83498967375527,2.29475691171681,4.65194302729222,10.1915193518489,8.7254206287147,135.034525,126.093,117.6275,113.6131,116.506075,216.7085,211.2867,214.2934,220.7894,152.246425,566,1140,236,84,6
