"gene","p-adj-M1-M0","mean-M0","mean-M1","SEM-M0","SEM-M1","Q1-M0","Q1-M1","Q3-M0","Q3-M1","count-M0","count-M1"
"ZNF195",0.76321755132045,378.266785274725,396.474266666667,4.89687098890862,28.5889698156669,307.06655,369.42355,434.9796,418.01155,455,3
"ZNF263",0.000584497260712968,835.466237362637,1228.40563333333,9.06160948520814,298.649043586377,710.8125,957.0779,933.2373,1472.1407,455,3
"ZNF200",0.0409388108425051,183.136853846154,243.353633333333,2.36734963596855,49.9528306160366,148.9981,194.09385,208.9536,275.1647,455,3
"ZNF582",0.0901864532921881,86.4201718681319,58.7874666666667,1.31935605589002,7.45546671584758,69.9798,51.7997,99.57735,64.5322,455,3
"ZNF285",0.449827765521176,120.238498461538,138.354833333333,1.93160233568415,38.6456365768648,89.807,115.5952,140.16205,176.783,455,3
"ZNF275",0.0504366899259586,966.10693956044,1254.7164,11.8963901684474,177.810501867306,809.51455,1087.75865,1125.0524,1391.16945,455,3
"ZNF37A",0.85398037538956,499.245451428571,515.911866666667,7.33959638875424,27.5568892352005,392.05375,501.7439,605.18295,543.46505,455,3
"ZNF510",0.765954880304437,309.75803956044,326.584733333333,4.5554087420809,92.0330125860703,253.6037,234.71685,362.0433,377.29105,455,3
"ZNF506",0.00990907940112462,487.064418021978,644.541666666667,4.90445012742998,96.6514728701419,414.206,548.5986,554.2475,702.62885,455,3
"ZNF324",0.000628671895601118,196.941686813187,284.7496,1.99883964710176,98.9034646980074,168.184,193.1238,223.58195,362.81085,455,3
"ZNF671",0.597871148386765,146.353141318681,168.848833333333,3.4166905464122,97.521577364915,95.50295,78.4945,194.57105,245.80515,455,3
"ZNF416",0.0483890862546573,121.786793406593,155.4171,1.35336972464079,48.3252217850403,103.93485,107.62,137.4812,185.486,455,3
"ZNF586",0.0258329756408482,208.665045494506,280.926233333333,2.59194199360085,72.541526351126,169.9752,210.0005,238.87825,329.5747,455,3
"ZNF446",0.410988159029151,484.432604835165,399.745466666667,8.31269668169267,140.898007393449,371.9217,260.6703,540.4026,488.8473,455,3
"ZNF8",1.28754765738037e-08,65.1997624175824,141.0993,0.942099142704292,91.2228638032337,50.631,50.1014,77.67885,192.14305,455,3
"ZNF264",0.0027445750387054,773.251235384615,1133.99876666667,9.65389417291575,204.397453041057,666.5023,979.7037,894.1243,1327.2433,455,3
"ZNF213",0.518987672042173,639.364469230769,706.300166666667,8.36969667416213,156.582094671968,530.49835,571.4955,720.6075,842.68975,455,3
"ZNF343",0.00744410186253697,262.578722197802,349.715766666667,2.58898816834698,84.8678623969901,227.38635,266.21575,293.26475,404.6083,455,3
"ZNF302",0.471702800754915,648.228111648352,722.0202,8.3007929488455,70.365542323427,526.50915,680.62125,736.48935,791.9952,455,3
"ZNF268",0.933141312185818,343.578416043956,337.433566666667,5.92925629964095,59.14316896124,266.0121,283.3519,419.5062,385.2064,455,3
"ZNF184",0.282817877428751,207.221754065934,242.439833333333,2.64212688330404,51.3859055659667,167.3876,198.7391,239.11565,287.70105,455,3
"ZNF500",0.953266800425383,314.365070989011,317.3387,4.1100903941525,30.4045154801607,258.74145,294.83795,365.83725,346.2982,455,3
"ZNF419",4.45030943208025e-08,239.341206373626,498.4039,3.67819915726371,157.708655188526,181.0585,404.9028,285.561,655.1416,455,3
"ZNF175",0.0273669088672076,141.827844835165,198.7526,2.07771678393565,34.623735731624,114.4555,165.7775,168.64485,224.3826,455,3
"ZNF14",0.192526151619916,244.109068791209,288.206266666667,2.73280910247784,38.5162574854365,204.87365,257.039,273.21845,323.3878,455,3
"ZNF85",0.384029503006965,118.485427912088,139.758633333333,1.975606524732,25.2697816669986,91.68635,116.7176,137.38495,160.2655,455,3
"ZKSCAN1",0.822205076316921,1463.66566879121,1334.40346666667,46.6223770254751,173.633694458289,771.0463,1170.36365,1900.0798,1465.71535,455,3
"ZNF862",1.50201843817088e-05,727.592951428571,1678.08153333333,17.2569306283267,659.469603272515,502.28675,1056.20785,884.40655,2179.0972,455,3
"ZNF684",0.00949568998816042,35.7209391208791,52.1852,0.511355595145457,6.89348746088171,29.12935,46.7458,41.87375,58.5723,455,3
"ZNF430",0.995695162368116,112.337477362637,112.505266666667,2.51932926262672,17.519570356826,80.7487,100.11345,142.79395,129.42655,455,3
"ZFP30",8.63481629531648e-07,199.499524835165,386.890266666667,2.96675609940931,128.440060095236,156.4032,262.98045,233.82615,478.12665,455,3
"ZNF549",0.00120597925261012,226.227107692308,353.044733333333,3.10323937350323,107.950721245982,184.79145,250.5504,259.6193,433.63815,455,3
"ZNF211",1.01560099996512e-07,225.945385934066,448.030266666667,3.28420545428495,101.248016208094,180.46465,376.296,258.20015,545.77645,455,3
"ZNF205",0.46521989154719,405.953257582418,492.7895,9.61011282445414,132.801720481225,286.73815,408.5451,464.97915,623.8183,455,3
"ZNF45",0.0355954998045663,259.714172747253,330.2044,2.69339866958569,59.7898138349948,224.21135,272.09325,299.69395,371.44345,455,3
"ZNF133",0.00106580307215165,315.955011868132,542.533233333333,5.54215894052823,120.047310000299,237.0301,455.53825,372.52975,657.67165,455,3
"ZNF436",0.00662092440936068,619.947631648352,912.539533333333,8.69174208937715,70.7270432344501,509.16385,854.10815,712.6444,976.26705,455,3
"ZNF484",0.741003621440746,63.9135914285714,68.5941,1.14723106086464,7.32005501891892,48.84465,61.3147,78.15415,72.901,455,3
"ZNF780B",0.00546510533599842,354.546276043956,558.4099,5.846932688397,176.002134728001,266.1075,390.5658,426.4945,688.1995,455,3
"ZNF557",0.352408848081594,168.177054505495,187.9308,1.71358416955992,30.0678072607565,144.35455,158.25755,191.5664,206.972,455,3
"ZNF337",3.16645494269352e-06,492.626852747253,1015.61513333333,8.84703051380599,296.781487048958,368.8915,789.5507,578.8252,1295.1724,455,3
"ZNF317",0.000251228701266593,638.52443010989,876.3979,5.10920252499475,206.17157361126,572.8719,680.2228,705.99255,1029.40845,455,3
"ZNF426",0.529722848045922,120.973553846154,144.120266666667,2.97732050587503,40.3887058678675,74.6261,105.19605,155.12545,172.9159,455,3
"ZNF331",0.754938721722933,796.094933846154,734.5715,15.9605744512877,138.159524645402,589.8282,610.6219,925.41735,849.39905,455,3
"ZNF227",0.386416321383482,407.457278021978,453.8759,4.32204032808211,78.7422232588294,352.15445,388.92295,460.50685,524.9022,455,3
"ZNF141",0.0431724316049592,87.8681947252747,130.788933333333,1.70699908769039,34.1769930089592,64.5154,98.68315,105.5455,156.98895,455,3
"ZNF304",0.179703895408809,350.049087692308,452.6502,6.15697890225048,124.279375511198,266.3798,329.4265,419.1782,528.2607,455,3
"ZNF132",0.0126695568044848,145.688088131868,211.963666666667,2.07307995560394,104.244562240025,115.34665,109.25345,174.1981,278.75105,455,3
"ZNF20",0.124588569880912,121.267310549451,144.7817,1.23617829181127,17.0829814494816,104.03065,136.02745,135.4723,161.8629,455,3
"ZNF670",0.27091330345071,67.3901448351648,81.7218,1.04484594438687,26.5247808383657,52.7315,55.19965,79.21885,95.3064,455,3
"ZFP37",0.000251682398015762,63.6190597802198,141.622633333333,1.69002089705171,53.8895365821088,37.75045,89.00275,85.4986,178.00345,455,3
"ZNF189",5.52627388294979e-10,650.900290549451,1370.19303333333,8.29417131697772,740.583103471144,543.7176,629.7113,737.9311,1751.0453,455,3
