"gene","p-adj-Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","count-DiseaseFree","count-Recurred/Progressed"
"ZNF195",0.498862140698883,375.689133834586,383.880342391304,5.23669945644999,10.93157535907,302.48625,313.308925,433.62625,426.16105,399,92
"ZNF263",0.000561295762346758,815.528968922306,892.039020652174,9.70739753522734,18.2313093762701,686.48205,756.34725,914.1176,980.268925,399,92
"ZNF200",0.0819852014350151,180.765391478697,190.816659782609,2.4731975894071,5.40481030284193,147.10995,155.328225,207.41045,218.31605,399,92
"ZNF582",0.0304952041942378,84.3284689223058,91.2849684782609,1.22048821618538,4.07749049919051,67.9462,73.121425,97.65635,99.83605,399,92
"ZNF285",0.296449087666427,119.040461904762,123.99585,1.98579824357051,4.83294384529687,89.6004,91.145325,138.39465,145.78355,399,92
"ZNF275",0.332705633711303,972.09280075188,943.877830434783,12.7362007643083,24.9110083719089,810.53435,808.13515,1124.1459,1120.543,399,92
"ZNF37A",0.126316745178008,507.315341854637,479.680356521739,7.85518355466667,15.8614070945348,402.10965,356.4857,615.2041,573.7732,399,92
"ZNF510",0.215749268733461,312.9377839599,299.150869565217,4.87343891116404,9.47312085022884,258.35215,239.533875,364.132,357.70355,399,92
"ZNF506",0.422081944124203,483.840307518797,493.513498913043,4.94777021359331,12.9827984642874,411.6969,411.95575,550.81545,560.364625,399,92
"ZNF324",0.0092967489954815,193.358047368421,206.026916304348,2.04956201340744,4.80649149357214,165.8959,171.287475,219.79945,234.21115,399,92
"ZNF671",0.580965861394495,146.622106265664,151.289522826087,3.51906786766385,8.77005045923648,97.15925,91.178475,192.9042,202.399275,399,92
"ZNF416",0.448690974714299,121.348986967419,123.860980434783,1.31108015525594,3.91485095903599,104.0971,99.682375,137.07145,137.046125,399,92
"ZNF586",0.294146908013306,206.188345614035,212.924980434783,2.79464880299063,5.61595293532922,166.7887,175.124075,235.2865,250.445475,399,92
"ZNF446",0.201469403881898,475.121801754386,500.64280326087,8.56334135679927,18.6395787976626,365.1162,399.22065,536.17715,599.089075,399,92
"ZNF8",0.119765000160486,64.353577443609,67.9265054347826,0.997182848527437,2.02224920035425,50.631,52.3687,76.2389,82.003225,399,92
"ZNF264",0.612838628911465,776.207301002506,764.22549673913,9.67159803561602,25.9005125723448,664.33235,652.075875,910.20775,839.497375,399,92
"ZNF213",0.782462639743763,634.701724561403,640.33030326087,9.03625571189437,16.242062872233,523.2413,548.686375,715.79855,727.44995,399,92
"ZNF343",0.7217164124224,263.450772681704,265.773741304348,2.82520237217582,5.84306020364389,226.5508,235.3048,294.50485,298.383275,399,92
"ZNF302",0.0507066788491788,639.572217293233,679.140765217391,8.50082546584168,20.2780802293362,523.138,540.942075,724.2809,766.345325,399,92
"ZNF268",0.000924196554318413,352.594344110276,304.82405326087,6.19611189644082,12.9916218482174,271.647,217.940175,426.9786,369.37545,399,92
"ZNF184",0.554971347125623,208.225116541353,204.380618478261,2.82119644956337,5.8291317049071,169.4258,159.2943,237.88035,233.652875,399,92
"ZNF500",0.0391250090832042,309.571231578947,330.115964130435,4.30103308652844,8.93939225458313,256.32815,281.714675,360.55335,377.219225,399,92
"ZNF419",0.000425708603623232,233.036981954887,265.522647826087,3.89471766101424,8.85258488194136,177.5051,207.91965,280.0618,310.8018,399,92
"ZNF175",0.84746251415585,142.603820802005,143.587239130435,2.23158900382269,4.4218259710931,115.74435,114.226125,168.24105,176.26525,399,92
"ZNF14",0.855177451538789,245.114394736842,246.344655434783,2.84804848027507,6.65848394703552,207.79355,205.2461,275.33545,273.414825,399,92
"ZNF85",0.130063448140041,116.882789724311,124.166339130435,1.85995846420449,5.92651266068119,93.10575,86.724225,134.85575,141.8429,399,92
"ZKSCAN1",0.0688196052411538,1517.97357994987,1308.03901630435,51.4827398041375,87.1536642093315,756.80705,822.5346,1956.17935,1746.3521,399,92
"ZNF862",0.000924239796300408,700.487803258145,847.114840217391,18.1984437152287,46.5736496670905,477.52615,553.79445,827.1474,1012.5048,399,92
"ZNF684",0.763354643135251,35.9448205513784,35.5638543478261,0.55534856555109,1.06475764711903,29.26455,29.598225,41.4544,41.79765,399,92
"ZNF430",0.247624901928786,114.392460401003,107.244680434783,2.67070375687387,5.58726237038083,80.9957,78.071875,145.93085,130.81815,399,92
"ZFP30",0.412421135412873,199.925839348371,206.048643478261,3.18906537835303,7.09578991178999,158.51505,160.8748,233.51135,244.52165,399,92
"ZNF549",0.0940631868388948,223.483436842105,236.14137826087,3.03621340247476,8.58732530098933,185.4177,186.284025,255.2163,273.211775,399,92
"ZNF211",0.00960687134785887,222.044960902256,243.194069565217,3.37303282265859,8.55246594404495,177.3922,192.6852,251.86055,282.72375,399,92
"ZNF205",0.344811592892397,397.596241102757,419.529757608696,10.4100631698769,17.1395677320531,275.32205,322.396175,453.13065,480.6468,399,92
"ZNF45",0.783089833608822,259.673688721805,257.847935869565,2.90560028117627,5.63150459797027,225.19595,218.826425,298.96985,300.37525,399,92
"ZNF133",0.203304231531687,312.744888972431,329.969017391304,5.84349753683337,12.2717840712728,232.14105,257.2835,368.7721,380.06275,399,92
"ZNF436",0.471371282633101,626.618474686717,611.199184782609,9.3281794687325,18.6471771599315,515.845,486.372825,715.275,702.016775,399,92
"ZNF484",0.261776985271115,64.8877781954887,61.7258619565217,1.21574140678054,2.55960240387248,48.8736,49.6634,80.116,77.227525,399,92
"ZNF780B",0.6697000720166,352.257241353383,358.268289130435,5.83860356454671,14.8155270531004,273.72665,258.738275,421.24585,426.50395,399,92
"ZNF557",0.0927844066667576,166.914550877193,174.000738043478,1.78287095270032,4.12452024678236,144.35455,148.470275,188.55385,199.421625,399,92
"ZNF337",0.000379428156851214,476.552116290727,553.446441304348,9.02640251683097,21.6871165514739,350.85065,444.6853,562.74335,615.229475,399,92
"ZNF317",0.78213005860692,639.5351160401,636.078331521739,5.15284592034237,13.3381579484469,574.90565,563.654375,710.3791,690.661275,399,92
"ZNF426",0.270865713321263,123.257230576441,115.191759782609,3.1881578405384,6.40146869155722,77.91935,75.796875,160.9844,145.272875,399,92
"ZNF331",0.953626217796912,793.854396240602,791.619335869565,16.1611069852249,38.5951271066026,591.11215,590.409475,925.41735,894.082825,399,92
"ZNF227",0.583816511349869,407.224925814536,413.116068478261,4.74124795884829,8.82757181760497,345.5981,361.8678,462.84785,462.937225,399,92
"ZNF141",0.0917019689842826,86.4913939849624,93.4418065217391,1.60985198753106,4.97169871605132,64.8498,62.7964,105.62205,105.833925,399,92
"ZNF304",0.534014627335021,349.470798997494,358.883454347826,5.94994357931348,18.0951289912098,268.68295,261.32095,419.09535,401.190875,399,92
"ZNF132",0.0696581560798093,148.074217794486,138.868083695652,2.14085272821324,5.00258087321639,117.76755,103.684825,175.5712,174.621425,399,92
"ZNF20",0.724704562481732,121.936163157895,120.860194565217,1.30957422312537,2.86056628358804,104.56925,104.01955,137.2718,133.006075,399,92
"ZNF670",0.480506480779792,67.1740388471178,68.9820097826087,1.11468162794376,2.25092796588944,52.2417,54.844875,79.19045,80.161275,399,92
"ZFP37",0.603087194823882,64.1303100250627,61.9174445652174,1.81865040604553,4.03107947196007,37.1203,38.8082,87.0989,78.07505,399,92
"ZNF189",0.99076248591197,648.117789974937,647.884629347826,8.42647139973923,20.5511044367396,545.8478,526.0005,738.89095,711.883975,399,92
"ZNF434",0.0469207300004776,321.088885714286,336.26642173913,3.38010332352187,6.06424963430346,277.54055,294.168625,350.5477,374.91705,399,92
"ZNF287",0.803959170236725,157.911351629073,156.905226086957,1.6811644747679,4.24887283686769,135.46725,125.520275,179.3195,183.3285,399,92
"ZIM3",0.126794528817698,0.0344075187969925,0.00733369565217391,0.00840849893595838,0.00521301072645616,0,0,0,0,399,92
"ZFP14",0.73957347113286,212.795911528822,210.213970652174,3.33887896961267,7.18895755604322,173.9268,164.14075,248.2044,250.575625,399,92
"ZNF473",0.373138960327849,259.325967669173,276.115614130435,7.87209790605506,19.3290140173333,179.6064,183.3027,274.3291,284.499775,399,92
"ZNF614",0.0837432601859763,812.101565914787,721.883951086956,22.4370985303355,47.8186067623274,497.70095,464.892,1021.3916,833.44505,399,92
"POGK",0.500867292420081,910.521230075188,928.798975,11.2662235260833,28.4129475142723,781.5864,747.1169,1024.96905,1063.878625,399,92
"ZNF514",0.0589678439969412,245.275830325815,270.833547826087,5.74981516139218,13.0002837593155,169.26035,193.71695,292.97875,316.233025,399,92
"ZNF300",0.00446585408994338,117.682267418546,140.388648913043,3.12148039580292,9.54482256143281,75.0983,80.3809,141.80855,174.256375,399,92
"RBAK",0.364871436750814,442.60656716792,456.425568478261,6.52481858015464,14.3599775339729,362.8281,371.979175,519.7869,518.405375,399,92
"ZNF92",0.309299014067989,209.341961904762,218.790256521739,3.96715983802221,8.82113110295738,153.63535,165.1297,254.818,267.183275,399,92
"ZNF157",0.326697097688069,1.20007944862155,1.0553902173913,0.0639788783539263,0.131153426947401,0.30965,0,1.73815,1.453175,399,92
"ZNF182",0.0156397940639278,149.020003258145,162.237133695652,2.30225895638311,5.39508438344209,117.551,127.616575,174.6882,191.64235,399,92
"ZNF673",0.0208014185211253,220.273641353383,237.579797826087,2.99417129390621,8.55144234264794,177.69165,187.84375,250.2846,274.087675,399,92
"ZNF41",0.816170487748719,222.977336090226,220.618732608696,4.42424221928699,8.81624659481356,171.2785,172.715275,266.67125,268.361275,399,92
"ZNF7",0.00169690421525703,455.24969197995,515.150576086957,7.69487401379439,21.2069951819566,354.82245,398.631225,516.36855,565.475775,399,92
"ZNF214",0.0246746928666205,56.7134957393484,50.6222391304348,1.16975149995839,2.43977691129479,40.7883,34.0718,73.6752,68.00905,399,92
"ZNF215",0.404899946081373,25.8590441102757,23.7941706521739,1.06375450228595,2.30826156580019,9.98465,7.29775,35.26675,34.0186,399,92
"ZNF547",0.0681043452028803,65.1575634085213,71.5658239130435,1.45922858209738,3.6405072253479,45.10655,49.711375,76.41635,84.258725,399,92
"ZNF773",0.0641794946132779,150.446652130326,158.303463043478,1.66882366529194,5.04970922453083,130.0536,135.53945,170.17725,172.96815,399,92
"ZNF776",0.411370158952606,503.805918546366,518.979932608696,7.89574346107454,17.4593915977666,421.6368,410.0488,594.1995,613.189125,399,92
"ZNF256",0.0100208166844945,106.373787969925,116.14197173913,1.43140213813029,4.84567648197449,88.2956,93.56145,118.1231,125.972975,399,92
"ZNF599",0.528904266040619,152.547340350877,156.263372826087,2.46045881607021,6.0855812797783,122.9686,121.2926,173.28695,175.091,399,92
"ZNF18",0.817673941569529,275.15512556391,271.746641304348,6.34760383886571,13.7568367997527,192.0923,180.3615,323.72395,331.93435,399,92
"ZKSCAN2",0.0808833475855926,195.243486967419,183.588911956522,2.85953101241108,6.22502193045062,159.31995,147.09975,224.2261,207.0544,399,92
"ZNF689",0.868572366610157,136.352284711779,137.40134673913,2.68257163340717,6.23141868401516,104.61395,101.0757,172.36575,179.60345,399,92
"ZNF19",0.051256944731493,64.7517273182957,60.141947826087,1.02609219862007,2.08078428831751,52.08615,44.876625,77.0698,71.23885,399,92
"ZNF230",0.837126243443329,91.5141315789474,91.0195380434783,1.07194584087494,1.85869305371501,76.0901,78.2794,105.33715,102.55425,399,92
"ZNF222",0.545992449981578,61.0994380952381,62.114577173913,0.736848997788301,1.42411811368644,51.58915,54.706025,69.6623,69.71105,399,92
"ZNF221",0.0522960515310611,15.6981829573935,13.4363065217391,0.519096697835681,0.88977583028137,8.71515,7.6334,20.07365,19.9014,399,92
