"gene","p-adj-Papillary-Mucinous","p-adj-Tubular-Mucinous","p-adj-Tubular-Papillary","mean-Mucinous","mean-Papillary","mean-Tubular","SEM-Mucinous","SEM-Papillary","SEM-Tubular","Q1-Mucinous","Q1-Papillary","Q1-Tubular","Q3-Mucinous","Q3-Papillary","Q3-Tubular","count-Mucinous","count-Papillary","count-Tubular"
"ZNF195",0.805342381843312,0.495800199480297,0.867134522930084,334.5733,442.3236,506.9185,66.6834,62.462571283316,74.9457924752093,301.2316,392.51305,364.330225,367.915,499.86875,580.677575,2,3,8
"ZNF263",0.119917724176979,0.492089948458959,0.294759956513406,405.6938,747.375933333333,564.2332,135.4956,155.845240000653,43.8583811105578,337.946,610.21085,444.4488,473.4416,880.0296,621.4291,2,3,8
"ZNF200",0.617242010093576,0.840046187157454,0.806721845605621,200.14045,262.537766666667,232.0961125,28.76435,29.5304999058224,27.9855750166456,185.758275,240.4463,162.038675,214.522625,290.55445,271.162975,2,3,8
"ZNF582",0.37794510712192,0.464625982095441,0.894581962940341,30.6648,11.2414666666667,15.89825,24.3811,5.34688889022808,4.12759628290399,18.47425,5.9375,8.382275,42.85535,14.479,23.0704,2,3,8
"ZNF285",0.906449986600658,0.710139836123285,0.929798939734009,29.97035,20.9638333333333,15.2215125,27.27735,18.2430358125444,5.86013670027164,16.331675,2.7366,3.78005,43.609025,30.7349,20.178125,2,3,8
"ZNF275",0.978423193388396,0.999999898819933,0.961328101417318,851.7581,931.284866666667,851.9062625,161.4529,134.793446677516,176.914014737367,771.03165,809.936,549.172925,932.48455,1042.7805,965.9202,2,3,8
"ZNF37A",0.561891522976966,0.943649260880118,0.218416052167006,688.93685,912.363366666667,629.21315,79.87045,187.705575827627,75.0055479679265,649.001625,728.7725,512.342325,728.872075,1038.00895,708.8437,2,3,8
"ZNF510",0.781201758240041,0.925163725097461,0.399281750676639,318.2675,391.943266666667,282.7724875,81.7325,66.4057059239474,42.6578470639611,277.40125,328.1437,215.791225,359.13375,439.7961,344.7121,2,3,8
"ZNF506",0.832680392949559,0.563304621818896,0.898355707591057,776.1263,638.340433333333,560.4684375,11.7636,161.058151714697,96.0848908514143,770.2445,496.35715,406.3388,782.0081,775.1755,665.732875,2,3,8
"ZNF324",0.228980682451451,0.575343088757619,0.490163115564592,131.36865,212.036133333333,172.09195,23.47875,33.1226285209137,17.5680399676108,119.629275,180.1477,143.62595,143.108025,235.73775,199.3844,2,3,8
"ZNF671",0.291538369597478,0.259467369329448,0.980343941560929,109.29135,52.7829333333333,57.7701875,65.75455,23.9198110363448,7.2700679003372,76.414075,28.8699,42.610525,142.168625,65.23255,69.028175,2,3,8
"ZNF416",0.0107426501827921,0.00030478544734347,0.125164221888607,181.56045,102.814366666667,68.3983,26.69805,9.75885731567881,7.89615417990664,168.211425,95.02485,59.32015,194.909475,111.8002,85.136325,2,3,8
"ZNF586",0.414957587588044,0.293884681879919,0.99707122051403,278.2675,187.431766666667,183.7176125,41.7325,45.8673066690329,26.8766148239734,257.40125,144.1124,139.030375,299.13375,222.1464,228.371375,2,3,8
"ZNF446",0.917450412117119,0.804943588692189,0.977037888557882,127.71295,151.506766666667,160.6393375,65.81935,37.0576183479337,21.6216565036072,94.803275,117.8253,123.079525,160.622625,181.73105,189.47185,2,3,8
"ZNF8",0.995056942533517,0.877227409793149,0.897566944543734,210.67985,205.102833333333,185.6832375,54.35135,30.706408569783,23.1221424916984,183.504175,180.48345,152.57705,237.855525,233.3052,196.681525,2,3,8
"ZNF264",0.991823666959748,0.948453610785191,0.859886715375012,922.26145,863.350966666667,1052.0956625,44.34405,497.779503985725,152.573338894118,900.089425,384.4169,808.140775,944.433475,1220.31245,1408.1924,2,3,8
"ZNF213",0.474135378180067,0.349838140214987,0.997138040565388,440.1946,612.214733333333,619.816875,121.2955,67.3525352562256,57.6073345294173,379.54685,550.98605,541.754975,500.84235,667.1305,683.607575,2,3,8
"ZNF343",0.823533128504106,0.393185096907594,0.718481049857535,359.94535,302.7605,247.0200125,11.68845,11.6046426745218,43.9372279387856,354.101125,296.8757,174.8697,365.789575,314.36475,247.40715,2,3,8
"ZNF302",0.0710829436857457,0.0269236776128144,0.969718302037034,1562.1823,368.231666666667,285.2876375,1147.9094,32.1967546267908,27.0665085428926,988.2276,349.097,240.472025,2136.137,400.2238,323.132175,2,3,8
"ZNF268",0.9987466774813,0.945142888357579,0.948561357853624,298.81985,291.8165,258.022125,233.29025,118.929189937598,34.0680552020812,182.174725,215.6736,178.819675,415.464975,409.0069,298.70835,2,3,8
"ZNF184",0.985214399054408,0.511904103516926,0.529006163930437,257.64215,249.289266666667,207.439525,1.80735,36.5438794042784,20.2310776059538,256.738475,215.90665,164.8489,258.545825,278.8566,249.663275,2,3,8
"ZNF500",0.916711844984548,0.99927632110331,0.83348616831766,250.28035,281.4569,247.8279875,59.07745,79.4933087376751,22.5122926621565,220.741625,202.3524,241.079975,279.819075,327.80975,273.926825,2,3,8
"ZNF419",0.933531013772852,0.997596848968519,0.846234611659758,66.59415,80.3385333333333,64.375625,40.56185,35.7582999622155,11.2424238810878,46.313225,51.40265,37.589775,86.875075,113.00065,78.388025,2,3,8
"ZNF175",0.821792042975376,0.180272235227077,0.35737930385709,200.76455,166.883366666667,106.7548375,53.54735,48.7803295196719,17.8764464969166,173.990875,131.4235,73.59275,227.538225,213.62345,137.947725,2,3,8
"ZNF14",0.956927855952512,0.240481381834912,0.273290409507975,228.725,215.813833333333,160.2646,54.5778,44.5007951735072,11.2560114783803,201.4361,172.3079,149.68625,256.0139,245.67025,179.089875,2,3,8
