"gene","p-adj-1-0","mean-0","mean-1","SEM-0","SEM-1","Q1-0","Q1-1","Q3-0","Q3-1","count-0","count-1"
"ZNF195",0.194718493076294,390.9379,282.82565,46.1445017868326,9.98174999999998,349.45875,277.834775,428.2698,287.816525,4,2
"ZNF263",0.160637898070023,589.9588,497.71975,34.780146969308,20.37765,552.61585,487.530925,617.30005,507.908575,4,2
"ZNF200",0.549444173445047,167.690775,192.0987,22.2252533630618,27.6229,143.028225,178.28725,175.6438,205.91015,4,2
"ZNF582",0.422939651333099,47.444675,57.5371,7.5429159969664,0.467500000000001,41.7942,57.30335,55.342325,57.77085,4,2
"ZNF285",0.0217059995968722,37.75435,72.0343,5.59796730705292,6.8371,32.938175,68.61575,45.914775,75.45285,4,2
"ZNF275",0.905785914297927,1020.957275,1040.28855,94.4498438858192,95.97305,901.130875,992.302025,1173.2656,1088.275075,4,2
"ZNF37A",0.663170072401187,717.487375,754.0013,39.647886099017,81.8435,651.1379,713.07955,777.693425,794.92305,4,2
"ZNF510",0.980778917436669,388.628825,387.6301,25.1727590959412,15.7043,348.576,379.77795,430.207325,395.48225,4,2
"ZNF506",0.806552373723894,717.5162,780.1163,155.138107497132,91.1134,541.736125,734.5596,799.933925,825.673,4,2
"ZNF324",0.180481982195673,214.25145,171.44045,16.3152384335678,16.26255,191.67425,163.309175,232.32015,179.571725,4,2
"ZNF671",0.656509058293075,183.5906,141.17305,55.6486915294211,47.66955,107.17845,117.338275,228.04325,165.007825,4,2
"ZNF416",0.492567655051398,97.07085,112.36365,12.9516899413744,9.44605000000001,81.33695,107.640625,107.57915,117.086675,4,2
"ZNF586",0.209957759094727,258.754225,176.362,35.0108971401376,27.8701,222.6619,162.42695,282.690925,190.29705,4,2
"ZNF446",0.660726430258635,159.94145,167.03485,7.85338144585928,15.13685,150.897725,159.466425,161.820075,174.603275,4,2
"ZNF8",0.365259539937592,318.06035,252.6939,42.6764262998223,4.09500000000001,303.21115,250.6464,356.69135,254.7414,4,2
"ZNF264",0.329355690238364,1608.83825,1778.41955,78.311017113074,159.63145,1516.466025,1698.603825,1632.622775,1858.235275,4,2
"ZNF213",0.542197830737247,670.62625,612.3541,42.4857717276521,98.0867,617.133775,563.31075,696.563825,661.39745,4,2
"ZNF343",0.897564415836381,262.727575,264.90755,8.36269133187945,15.95165,255.243475,256.931725,272.9057,272.883375,4,2
"ZNF302",0.316528956943876,460.639725,634.17795,101.086168986311,8.97755000000001,329.177125,629.689175,557.0618,638.666725,4,2
"ZNF268",0.0608207670005403,349.733575,451.957,14.6440318119348,53.6114,327.24455,425.1513,371.096375,478.7627,4,2
"ZNF184",0.619120973938843,217.068425,238.7009,12.162234267969,58.5149,203.3023,209.44345,227.423625,267.95835,4,2
"ZNF500",0.740452555758401,377.267275,364.22685,19.5075929953516,36.23715,348.454,346.108275,400.998025,382.345425,4,2
"ZNF419",0.762447141958674,84.854075,75.40475,18.8815210731893,11.60225,59.483675,69.603625,113.62275,81.205875,4,2
"ZNF175",0.901701965087233,241.0474,250.4525,47.6596359626431,2.19260000000001,175.40315,249.3562,276.0354,251.5488,4,2
"ZNF14",0.9853265580868,203.684625,202.67065,34.3656230157012,8.69825,157.839375,198.321525,225.03955,207.019775,4,2
"ZNF85",0.800396191999483,93.418375,103.50025,22.6380224421354,25.27005,70.99405,90.865225,101.649225,116.135275,4,2
"ZKSCAN1",0.925460489494302,1776.4336,1740.24185,227.841481079712,201.72675,1481.5631,1639.378475,2057.0338,1841.105225,4,2
"ZNF862",0.833891575454086,559.366425,529.5525,77.2155872770234,107.5107,455.6969,475.79715,677.181575,583.30785,4,2
"ZNF684",0.380084852970558,74.1909,87.96995,9.27891453017718,2.12305,62.253025,86.908425,80.605475,89.031475,4,2
"ZNF430",0.229187744628755,190.77185,146.85855,12.9175783957043,39.45235,182.015,127.132375,199.57825,166.584725,4,2
