"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX","count-T1","count-T2","count-T3","count-T4","count-TX"
"ZNF195",0.942565403210212,0.875569703072759,0.999939472066998,0.999392839776547,0.950172442023822,0.832090830351434,0.971271283083431,0.811670625152119,0.757561971234549,0.931884823008138,404.5695,497.67905,509.798583333333,429.347515384615,271.9976,48.8897211459287,124.774960679464,57.4860389637264,36.9455931883851,NA,357.24635,336.692575,382.9048,340.0366,271.9976,429.63925,469.0916,571.856925,576.2056,271.9976,4,6,12,13,1
"ZNF263",0.951667711447531,0.970214965565368,0.999604199975728,0.827336740538311,0.998392703596557,0.97261935449953,0.995237072347862,0.921714719100396,0.941092901856231,0.85634260218738,506.642275,583.35995,566.521775,607.085846153846,435.5499,31.9007477342192,109.266578109145,38.5425129698562,43.2701407540919,NA,473.405225,396.9232,511.52935,517.4116,435.5499,524.59255,708.91715,622.1308,624.0265,435.5499,4,6,12,13,1
"ZNF200",0.951307324907046,0.977040527243166,0.512302874302959,0.97455242161406,0.491946899134246,0.999999985688345,0.993434759447854,0.999999999993131,0.937845878070735,0.935521835581057,224.4214,261.688166666667,197.401733333333,196.897692307692,261.8896,34.1746947040497,61.4061997743532,14.8360804379684,17.0858690719563,NA,169.484275,183.086075,150.253775,156.4799,261.8896,267.596575,266.010125,229.962475,219.7216,261.8896,4,6,12,13,1
"ZNF582",0.740035666104402,0.883146493148451,0.986630040675094,0.502026464686204,0.998757394320203,0.87088577718736,0.94015673096423,0.999997417254267,0.99813120210037,0.999994521127911,9.403325,26.0322166666667,20.7389166666667,28.8514923076923,27.3376,1.81816062609761,8.66430177346168,7.24950818262693,5.42740891075533,NA,7.8288,9.2166,6.88715,12.2258,27.3376,11.257925,42.3706,21.20055,46.6409,27.3376,4,6,12,13,1
"ZNF285",0.556484722908083,0.999963778855955,0.371540966672157,0.858066908610675,0.914451167105931,0.7208308963508,0.999711886201357,0.803665987106265,0.998901723290664,0.943680061829657,15.7409,40.083,17.3269666666667,29.7561307692308,10.5675,9.77083014726316,12.3007923029372,6.19822508848095,7.28211521119735,NA,3.28445,13.61465,3.944825,8.7997,10.5675,21.53575,57.37565,22.804175,45.7493,10.5675,4,6,12,13,1
"ZNF275",0.638932761020021,0.7695458810204,0.99142252852445,0.521955211699263,0.999999995994636,0.978394175585399,0.999997299458707,0.937230059443733,0.97628995726129,0.926452934848618,684.551175,974.784216666667,902.663683333333,976.597715384615,705.4937,102.835510453591,91.2736343772995,125.612582411069,71.0752162086855,NA,577.64045,787.135025,601.577725,876.377,705.4937,769.317125,1121.360475,1081.635175,1136.2616,705.4937,4,6,12,13,1
"ZNF37A",0.970432541989183,0.998856394781919,0.987044647935234,0.931604642207877,0.999974317766254,0.943682847249027,0.996731846652066,0.947722023006665,0.984760716570152,0.925986207154367,614.705425,701.054766666667,647.592966666667,711.853092307692,531.3601,89.8793200325894,90.371901718125,54.9660289860272,66.6678886165004,NA,539.99515,575.408925,524.4355,646.7954,531.3601,718.405225,753.12325,767.188825,800.4662,531.3601,4,6,12,13,1
"ZNF510",0.912654992232358,0.973000519652211,0.393055784457228,0.998953934891283,0.925079756914367,0.725863117860218,0.816344059443326,0.494179565888317,0.921990326601661,0.690785757472469,352.043175,409.18505,315.567425,367.462323076923,226.5115,62.7858606897866,37.9359617294966,37.7122791368732,19.304540163329,NA,296.702675,347.042275,227.768725,333.4425,226.5115,391.50105,453.721425,412.736275,392.6481,226.5115,4,6,12,13,1
"ZNF506",0.978344129049402,0.847732182934451,0.99238882050056,0.657656361198667,0.920131327094131,0.988596524524936,0.926862494417025,0.765093235246818,0.615469380000618,0.498381862050398,505.1693,596.7061,650.33465,698.110523076923,281.4164,180.637935860056,74.5401224757557,77.0586937046715,60.4582699861639,NA,348.931275,468.811425,531.4066,577.514,281.4164,679.529975,747.928425,804.971675,755.7198,281.4164,4,6,12,13,1
"ZNF324",0.998802165791882,0.987723064064441,0.999450308034963,0.999999960965891,0.997384857488016,0.959720999065807,0.976107241078248,0.99132754067126,0.99628817466636,0.970624969642567,178.900275,169.946316666667,164.255316666667,178.306615384615,144.9582,16.7196904916715,29.6316398877441,12.3943226699177,14.5634375931331,NA,151.392225,142.0103,137.133875,149.7133,144.9582,201.21605,160.563875,193.620025,213.9518,144.9582,4,6,12,13,1
"ZNF671",0.40907528017787,0.763271670005005,0.885961731821156,0.795115251144255,0.845806267049907,0.9999751417234,0.998761238643315,0.935252579526641,0.996073526497069,0.997436225223313,44.123775,129.126116666667,94.7817833333333,91.7748538461538,66.621,10.901573888922,22.9322391193332,29.5201925963446,15.9289917929325,NA,33.02795,101.46615,43.93505,59.5903,66.621,47.276675,167.14605,78.772725,111.8147,66.621,4,6,12,13,1
"ZNF416",0.246242808908159,0.865628516725952,0.516604332044198,0.993572202589954,0.183192754269227,0.925022196875403,0.999735317443069,0.605397158643422,0.946443700939998,0.992865252471982,77.957675,128.730466666667,98.992175,86.8117846153846,70.2967,5.9315441163291,16.476812615383,13.9962706265521,7.64902579905413,NA,70.560325,94.589,72.145825,69.4698,70.2967,86.2002,164.0859,132.747925,105.207,70.2967,4,6,12,13,1
"ZNF586",0.671397021810847,0.969293480434317,0.853702887801468,0.999762680734819,0.544533081701317,0.964890692899398,0.999733147902852,0.858627951406126,0.981705438907844,0.99824677051693,190.9434,255.92435,218.283391666667,198.605215384615,175.5119,33.6687192198486,30.0100818461035,23.6218289057237,19.8885677844335,NA,139.030375,214.89445,192.94275,141.7598,175.5119,231.251125,300.603625,263.507825,214.5263,175.5119,4,6,12,13,1
"ZNF446",0.878191554717243,0.873167674009058,0.999959074422666,0.878914159541893,0.999900861357945,0.999999706386438,0.892822275340118,0.57039856957686,0.56935027177219,0.574538422647419,140.26325,180.6252,176.830741666667,175.947969230769,73.1062,19.2300568858796,33.9568744704711,14.2519804552202,21.2949643812424,NA,121.245025,146.14665,138.8626,136.8326,73.1062,163.811525,233.369575,203.295625,182.1717,73.1062,4,6,12,13,1
"ZNF8",0.480312767512631,0.999773536238606,0.32693783271398,0.485479195791853,0.999000233960452,0.251453703991779,0.992411595898478,0.613228200991765,0.979699026191734,0.65229024918252,198.777575,295.35515,207.997983333333,283.878007692308,154.9421,30.0135606557651,58.2842356060353,22.3618531725477,22.2462524104608,NA,152.597925,177.781375,155.49065,248.5989,154.9421,228.7543,385.4499,230.817375,339.1691,154.9421,4,6,12,13,1
"ZNF264",0.514212131815802,0.254200935190646,0.996688408593983,0.064587303223172,0.784042142207625,0.865806651139186,0.998085458354363,0.967600624871796,0.919533983131883,0.747736102771236,720.042225,1158.42281666667,1232.66154166667,1398.71848461538,864.2355,265.10456272408,177.464527736861,125.273739453267,107.14438398319,NA,408.546775,947.2852,953.716675,1388.1428,864.2355,980.75835,1376.429,1570.156025,1567.0539,864.2355,4,6,12,13,1
"ZNF213",0.968223190883323,0.994851063145497,0.995839202680292,0.947314420025817,0.999999973289392,0.988348108573029,0.857055697000655,0.628752127687789,0.704180135913901,0.587762370416062,607.866825,680.17575,647.609958333333,681.765369230769,412.1315,35.4476358875637,102.81208557073,58.5227804253058,34.1514787967264,NA,598.870025,601.480975,518.1732,621.4672,412.1315,647.19405,831.54415,781.892075,734.6721,412.1315,4,6,12,13,1
"ZNF343",0.944522125500751,0.835621789458799,0.999228059036608,0.931466433624617,0.999997605825857,0.995854871977094,0.997423899110752,0.9340559033857,0.884585744223366,0.932552238727736,235.126975,296.653083333333,312.023575,293.098030769231,188.3767,15.3490765536766,31.4995233325037,30.1918014295777,47.8476911812667,NA,220.602375,245.11265,256.434,207.3214,188.3767,240.4878,339.8252,341.2714,314.1994,188.3767,4,6,12,13,1
"ZNF302",0.263638393560488,0.981696637541433,0.27744272553013,0.9895420093961,0.226481421077038,0.999956685162012,0.999999995868125,0.741171759945544,0.998361459754885,0.999138716200639,253.44985,795.88115,382.057266666667,363.098853846154,258.6734,50.3117053199104,387.212044050285,53.1223203630294,41.5101354717545,NA,194.951525,334.59295,255.10385,304.2474,258.6734,287.467675,578.6318,449.7505,412.2486,258.6734,4,6,12,13,1
"ZNF268",0.849232220472368,0.941335787951862,0.992469631821182,0.603927770503814,0.996409391182416,0.864043829028848,0.976510700985926,0.747208321561538,0.831968408064516,0.616474464279605,266.573225,368.68205,334.927166666667,396.157876923077,164.2553,76.395001710729,63.6799993416601,52.2748536016128,36.6415860473454,NA,218.67715,292.632775,206.901675,318.2375,164.2553,341.761475,497.703975,516.3011,398.3456,164.2553,4,6,12,13,1
"ZNF184",0.547027720638946,0.991712637904837,0.585850246187571,0.452806056149499,0.999998562843931,0.402197907647224,0.705600259254737,0.994030935676389,0.790094616260908,0.991449100060675,189.5353,264.2944,208.74325,262.456792307692,297.2676,22.3316856147269,45.574214205067,15.4603450793915,22.0847246695726,NA,171.04665,206.35235,161.157325,191.8147,297.2676,209.9562,301.90325,247.1648,323.9842,297.2676,4,6,12,13,1
"ZNF500",0.46814377429373,0.980641002314354,0.562367886431933,0.140996595124188,0.973213906659083,0.0882379744435584,0.649965235829204,0.137952079662057,0.402738411506776,0.0615487897157874,231.8929,311.939366666667,255.678791666667,334.159230769231,117.8503,16.0598642378031,28.9966074614907,21.46354922062,22.985038541604,NA,216.80435,288.2249,200.526275,274.1738,117.8503,255.44385,315.68135,302.115925,400.464,117.8503,4,6,12,13,1
"ZNF419",0.0166320954905378,0.704622402149769,0.0547176399344116,0.478122127335519,0.121815049818052,0.985744089739645,0.998930835876406,0.179979031479472,0.857752117721845,0.757064733014202,44.369925,123.280883333333,71.2981583333333,78.7332384615385,33.77,16.9309713253737,22.0653699090893,10.0248609580508,7.92637724263948,NA,17.0279,108.449375,42.807875,63.8025,33.77,66.286775,136.187075,94.6429,87.791,33.77,4,6,12,13,1
"ZNF175",0.00697216198999784,0.0239501903012256,0.820593433564253,0.0205519788100779,0.831549837324495,0.999999014735799,0.826580585984652,0.797064497095497,0.966462593188214,0.962740716512842,51.27505,222.847383333333,184.416141666667,185.710092307692,136.2285,9.56718037812082,29.4409903664762,23.2874466701986,19.8504055501117,NA,35.389325,163.9578,133.174125,152.8055,136.2285,64.198975,252.2477,222.53375,243.0247,136.2285,4,6,12,13,1
"ZNF14",0.898123906104042,0.766799127041931,0.999595476409491,0.87711136550085,0.999993991076201,0.996920889892715,0.961071891671623,0.735664730005306,0.649704519478454,0.726141518928138,143.449275,181.349183333333,188.054791666667,179.049415384615,93.9586,14.6934825909525,24.2195536631516,25.3586902590834,13.7740105500887,NA,136.919,154.5199,153.08935,136.0733,93.9586,159.035025,191.84465,220.891325,199.3152,93.9586,4,6,12,13,1
"ZNF85",0.620886935891776,0.960508650333809,0.828864054449271,0.962125121196841,0.813819028787443,0.999999956010638,0.999999008683122,0.928312115261687,0.997433493747823,0.997641742179352,54.704825,183.648733333333,109.536791666667,108.371576923077,61.7967,21.9932450130858,126.121692578609,26.5959407421721,15.7148875032447,NA,19.60525,50.37135,53.3146,69.0572,61.7967,83.520425,84.315,128.214225,138.5522,61.7967,4,6,12,13,1
"ZKSCAN1",0.999995815349164,0.811644188306951,0.766836026280329,0.993686722270963,0.99474838458922,0.861831194424717,0.864394878412248,0.866276627914124,0.991537129666341,0.92125747706915,2521.594525,2475.2286,1823.33594166667,2260.06836923077,1309.2181,450.398445864204,649.260203118433,244.466202896334,314.058292081105,NA,1852.901975,1575.07515,1288.979525,1848.9968,1309.2181,3215.5019,3106.6133,2050.5133,2165.0485,1309.2181,4,6,12,13,1
"ZNF862",0.966597368568358,0.943476804919653,0.999999745117619,0.977039952343426,0.999804464088591,0.999104319280925,0.952657217263848,0.79515076427011,0.764128053597877,0.813034585062133,382.790475,488.23855,492.309516666667,467.013030769231,181.2551,55.4770511410856,160.604992267936,78.8719099296072,48.4753127929785,NA,355.205525,262.6475,308.4121,412.7095,181.2551,434.64845,508.010625,594.29465,609.6083,181.2551,4,6,12,13,1
"ZNF684",0.649788687158558,0.2956750963673,0.984225106344577,0.882200173891363,0.951731379254219,0.548692103968357,0.993515237204799,0.994795834116161,0.963904454501958,0.999995024236632,47.376425,69.24025,75.7113,60.5386076923077,58.8103,5.75131800291246,12.1945319892907,9.10173572760446,4.46815180327509,NA,46.978,45.291175,58.238975,46.6405,58.8103,53.024725,88.728825,97.57745,69.3046,58.8103,4,6,12,13,1
"ZNF430",0.634254787525517,0.996322309372346,0.638052131785479,0.963099312227833,0.825037077199091,0.992539509632742,0.998281407259277,0.983485217285048,0.999954457743048,0.999998728721331,158.3621,295.578933333333,189.759783333333,215.933053846154,208.363,14.1880917859544,132.526780007093,21.8080275873943,28.4160606848049,NA,149.40905,146.6974,149.852525,173.319,208.363,175.87945,210.445825,206.07625,212.5229,208.363,4,6,12,13,1
"ZFP30",0.999999834203887,0.991892148669671,0.98952275401604,0.894297461095546,0.814540722691227,0.328264722859118,0.893163770652815,0.887565219085755,0.948440300101547,0.588559691712947,180.379075,177.741916666667,144.414775,253.468769230769,36.9862,32.5544192731283,55.9730531987635,26.1367110502268,52.3207989382959,NA,141.991975,106.51115,74.568125,179.0891,36.9862,217.23475,193.01695,225.528625,233.7289,36.9862,4,6,12,13,1
"ZNF549",0.0234333790572901,0.25463323611744,0.417825094010212,0.305812541444905,0.323180297745417,0.999691766786948,0.997799329930247,0.509342370200651,0.923470496734208,0.943796031112671,35.407325,193.351383333333,126.677366666667,120.893553846154,62.0265,8.64121932400891,27.5197775422866,26.0379881411591,20.5987533981898,NA,22.83055,141.799625,62.877225,56.1747,62.0265,44.917025,221.8174,166.583925,156.7642,62.0265,4,6,12,13,1
"ZNF211",0.720958226015053,0.986044278322578,0.205278353849307,0.999934710082082,0.398546552640352,0.981413636556537,0.95562516590623,0.588696176632362,0.989728141043688,0.959307238238178,222.034825,304.6567,192.126025,214.526215384615,142.4312,69.9606768479786,68.1021834481636,24.3711105006868,17.4018339465099,NA,139.26115,209.794225,145.768975,169.2664,142.4312,254.533375,299.494825,222.943625,263.0176,142.4312,4,6,12,13,1
"ZNF205",0.945511686035133,0.999334806761488,0.739525495923866,0.999925132253359,0.794331771660353,0.999900777007677,0.919887318761957,0.993443240552351,0.845400014668568,0.868467545346092,266.44285,222.525033333333,278.706025,273.444453846154,181.2391,35.2048365312803,37.9507772412869,33.2154787200895,19.4305335706579,NA,232.320275,158.369175,212.34295,210.0539,181.2391,296.121225,275.1242,341.380425,307.8212,181.2391,4,6,12,13,1
"ZNF45",0.532605495330105,0.999559958349726,0.405663933598839,0.340708265695126,0.999862941434949,0.140056563640005,0.998144129616849,0.970334589411735,0.999570213532123,0.949889260573791,197.80555,304.841216666667,210.555191666667,312.962907692308,233.4033,12.9021995218193,15.1869364466618,13.239407937242,45.1399010659645,NA,179.300675,284.027975,180.2468,242.7184,233.4033,214.439625,327.2521,244.05085,301.0154,233.4033,4,6,12,13,1
"ZNF133",0.977574277523676,0.856967675073936,0.994259408081972,0.94158593253135,0.99995047593424,0.996486335883072,0.998421631581099,0.966838000281751,0.909513685359263,0.94897533734623,195.5074,256.143883333333,288.828083333333,265.790315384615,143.1203,28.6530386080895,31.8759211109934,47.1440988114982,56.020616318825,NA,156.8706,228.667825,196.976725,182.2394,143.1203,215.6077,304.634025,275.3453,262.2569,143.1203,4,6,12,13,1
"ZNF436",0.645199150513239,0.96567703635946,0.838777194337078,0.180059064927986,0.918440948349386,0.167298487110909,0.992022691859092,0.995724486700387,0.999964871168306,0.933735070934539,392.242,622.1064,488.899441666667,728.206784615385,518.4747,38.8001414807558,131.281881524139,69.4309966902124,75.7816922772611,NA,361.19755,372.812125,337.347125,591.3711,518.4747,443.78515,788.42785,697.44605,872.3371,518.4747,4,6,12,13,1
"ZNF484",0.854945636860128,0.936409973577604,0.214193035461612,0.98603666042241,0.951330297484984,0.370173513523167,0.998250858304521,0.894319155583693,0.999962531386497,0.97444026107019,161.4366,191.760316666667,140.389425,175.108869230769,145.8771,24.4600342431281,9.5479279254163,17.6356948521042,10.724148716095,NA,127.522475,180.396275,75.69195,149.0862,145.8771,201.483575,207.3963,180.427075,213.3052,145.8771,4,6,12,13,1
"ZNF780B",0.0214847464268803,0.0444239256592228,0.92949041514474,0.1313853993024,0.61533749886836,0.938920975774918,0.992675549233553,0.145947742488728,0.24823967566359,0.3888274070725,228.3931,447.58495,405.982233333333,374.049923076923,178.4984,36.8995327951678,48.7072762839034,36.3089161412938,22.1104236649796,NA,173.603325,390.903825,322.697425,341.8647,178.4984,282.542425,471.114075,497.83335,453.0095,178.4984,4,6,12,13,1
"ZNF557",0.959834077848792,0.508618863827528,0.865354511306717,0.674978408120575,0.964419942149204,0.993902938092562,0.891476885294657,0.665823816667376,0.357540255740514,0.441860649565294,190.815275,228.466816666667,270.332958333333,256.290307692308,103.3775,25.4065706194735,23.4504449870845,33.6605227757965,18.9361911483095,NA,167.517275,191.5943,198.773225,207.9921,103.3775,199.2237,275.3882,286.901675,294.6718,103.3775,4,6,12,13,1
"ZNF337",0.430749054083813,0.227223427747574,0.999187080692381,0.779211142432411,0.882194248855207,0.599712848443382,0.999999292838141,0.85711273489161,0.781251493301804,0.975780107840672,197.82515,431.499533333333,456.893191666667,335.278530769231,207.5038,27.7612093186848,49.8999649644077,84.8199082228944,45.4674861270136,NA,188.53285,367.647475,282.94875,252.58,207.5038,223.9374,477.9489,574.9866,357.7592,207.5038,4,6,12,13,1
"ZNF317",0.633041404133624,0.103398688394218,0.779162227911298,0.493252982846632,0.999998037641324,0.650811624701892,0.990322350526924,0.996227834900257,0.884857405355075,0.994333055090464,746.241175,938.434783333333,1060.78101666667,944.048146153846,855.7356,74.9481843663049,92.519291772734,80.7877769804308,37.4712070013022,NA,667.46245,765.28245,862.40515,849.884,855.7356,835.013975,1068.71005,1183.4872,1013.2062,855.7356,4,6,12,13,1
"ZNF426",0.907647371006932,0.486095734558223,0.93608537633055,0.287298050258714,0.755548228587507,0.986462161952742,0.999999508961029,0.980400948835094,0.875471829953809,0.781303379785328,95.3503,144.078383333333,177.891875,195.477123076923,91.6613,40.4011906783492,30.8733021753901,29.6097047705675,21.5618801121514,NA,54.94685,110.1709,113.101,134.7125,91.6613,114.7881,190.227925,200.57465,261.4849,91.6613,4,6,12,13,1
