"gene","p-adj-Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","count-DiseaseFree","count-Recurred/Progressed"
"ZNF195",0.372801447692814,318.18708206278,327.967110416667,3.42769783031674,10.1179581689082,275.139125,294.214375,358.538675,372.26335,446,48
"ZNF263",0.322956461917984,679.39277690583,696.934960416667,5.47144938549669,18.3668238277006,611.423375,625.4349,726.099225,722.906375,446,48
"ZNF200",0.312608213088446,161.656778699552,156.86196875,1.48110763965027,4.43539151580818,142.534475,140.218475,184.0548,167.2058,446,48
"ZNF582",0.264696018195504,93.6660421524664,90.3221333333333,0.910265098383959,3.44390789694825,80.60895,76.863725,105.243025,98.127175,446,48
"ZNF285",0.783018906775576,88.6781955156951,89.8483979166667,1.23648539755366,5.99678888279094,70.16355,65.943975,104.487375,98.856975,446,48
"ZNF275",0.355844893132177,573.138234304933,502.9383,24.6748699492743,31.0925265489356,386.15615,360.3914,577.75605,608.5853,446,48
"ZNF37A",0.506207092648808,432.82294529148,446.97026875,6.47355590594727,24.2395332163048,349.810825,352.684925,510.18885,523.5316,446,48
"ZNF510",0.528308029181184,251.507517264574,258.554120833333,3.47101430327979,10.8890502776603,205.385175,213.508625,300.91135,314.577225,446,48
"ZNF506",0.306334985195177,574.49478632287,592.791666666667,5.330717781209,22.746552373117,496.60195,486.014525,641.6142,666.117,446,48
"ZNF324",0.47494021369368,225.021403139013,229.89521875,1.94443785896451,10.320165175142,197.23675,193.193325,247.10445,261.879875,446,48
"ZNF671",0.633092184404552,321.887857174888,316.299329166667,3.468867653995,15.329874192379,274.091775,260.518925,365.0857,341.50255,446,48
"ZNF416",0.691612761135207,142.216837668161,140.347072916667,1.34865796442704,7.05176593964848,123.54585,110.833075,160.010175,158.26805,446,48
"ZNF586",0.108953141079554,139.527203363229,146.68574375,1.37941013276549,4.51862239886338,118.943275,126.63565,156.997025,159.73765,446,48
"ZNF446",0.138751340397731,353.904389910314,381.974604166667,5.36976044991413,29.153564483987,280.64495,263.06435,393.419375,456.6037,446,48
"ZNF8",0.00341540635623261,87.6590984304933,98.0887166666667,1.07135764044188,4.21926878790254,72.70705,80.61155,100.10925,112.273175,446,48
"ZNF264",0.10275412504594,821.408729596413,878.0036,10.0037163492688,50.2413928582369,675.0427,703.06245,956.14765,967.59225,446,48
"ZNF213",0.232971049110117,601.412517488789,631.642004166667,7.8264909161185,25.827763234863,500.51875,525.9866,679.676425,737.188225,446,48
"ZNF343",0.142339938433479,228.135990134529,218.200258333333,2.11222308092356,6.28994122172995,197.549175,191.09755,254.088675,244.056375,446,48
"ZNF302",0.428945177986713,636.273444618834,659.58795625,8.49617938363017,42.9726955265858,523.947425,500.437475,722.51885,746.589475,446,48
"ZNF268",0.172347441084316,395.518226681614,424.617502083333,6.60319985214331,21.1809217175851,304.728125,331.8045,476.285175,525.1543,446,48
"ZNF184",0.547090103495646,208.192405381166,212.990420833333,2.44042569072214,8.67885227972096,173.509425,177.74555,236.22165,244.407475,446,48
"ZNF500",0.0672440859452104,252.600994394619,269.8019375,2.92944249311974,8.7348602264601,215.935125,226.021425,292.124,305.506675,446,48
"ZNF419",0.0334378998976447,237.75872264574,258.55854375,2.73678101638768,15.4907723742104,201.231625,203.0633,269.731025,280.318125,446,48
"ZNF175",0.0297581890556005,216.272536098655,244.08346875,3.61054909733143,19.7942283769674,172.733325,169.6612,246.523,262.2735,446,48
"ZNF14",0.185909788506324,256.995904932735,243.710083333333,3.16828707699099,8.22536925062272,209.337725,209.795625,295.77185,276.75335,446,48
"ZNF85",0.225357446627152,155.312783183857,145.298947916667,2.64405677846133,5.29956494551892,118.37125,128.027675,176.491675,168.3773,446,48
"ZKSCAN1",0.0781732157775389,465.503533183857,533.828664583333,11.9784640855907,39.2277230704577,262.91445,341.271775,638.8135,687.60735,446,48
"ZNF862",0.664064810194553,576.116654932735,593.580275,11.4254751763689,61.4664611219428,413.30365,367.050575,674.4636,614.09745,446,48
"ZNF684",0.0239243972975166,57.1619820627803,49.47908125,1.07490097545452,2.65681051710341,42.831275,37.023375,65.298775,57.799675,446,48
"ZNF430",0.291104273117646,319.188667040359,353.86403125,10.1791094816299,32.5394394387602,150.0395,125.335325,455.72595,512.968875,446,48
"ZFP30",0.38806367405704,200.183447533632,207.722466666667,2.64064624078795,10.3100706660815,163.470175,179.23935,232.51995,239.509875,446,48
