"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","count-FEMALE","count-MALE"
"ZNF195",0.110648143561823,315.444739837398,326.823956115108,3.61852366132595,6.50742967343933,273.5382,278.4491,356.9058,369.75755,369,139
"ZNF263",0.743178633201898,680.314767750677,684.115699280576,6.21970980440136,9.17502582775284,610.7785,615.39045,721.9751,744.88335,369,139
"ZNF200",0.431419118808319,160.287704878049,162.739545323741,1.65754246779892,2.52487586615076,141.3581,145.72385,182.5436,185.78305,369,139
"ZNF582",0.0342972634156899,94.4760533875339,90.2939604316547,1.05325165088034,1.57761528365155,80.5545,78.8626,106.2389,101.1018,369,139
"ZNF285",0.406687754446132,87.6229279132791,89.9408086330935,1.42910604442447,2.50831117819184,68.7002,71.28005,101.6142,107.1379,369,139
"ZNF275",0.384308182840643,576.495965311653,533.722941007194,29.0584042942972,21.1955525958932,383.2563,388.0031,576.9981,598.99345,369,139
"ZNF37A",0.894963544276338,435.404445799458,433.561756834532,7.18498358077142,12.363113057349,352.4582,346.16995,513.5424,504.14045,369,139
"ZNF510",0.781134047820775,252.809143902439,250.775463309353,3.78495445810833,6.41305073764505,206.9095,199.25235,302.0355,308.2301,369,139
"ZNF506",0.058993471762891,568.638982384824,590.942673381295,5.93180559843628,10.9924448993611,486.4379,510.8038,638.5084,656.82035,369,139
"ZNF324",0.688468498728745,225.332369918699,227.127346043165,2.19826221691569,4.37185720292503,196.3069,198.71995,247.4653,251.79305,369,139
"ZNF671",0.0257530054119781,315.287970731707,332.637274820144,3.8029887149322,7.60836709324929,270.6856,284.9347,356.7096,374.33955,369,139
"ZNF416",0.0805472335471943,139.831296476965,145.288441007194,1.55217531960269,2.96876906520546,120.1217,129.1465,159.7054,158.7079,369,139
"ZNF586",0.935757759155031,140.295930894309,140.061610071942,1.51454984046059,2.49959586943961,119.2457,121.6199,156.6711,157.13105,369,139
"ZNF446",0.00432092898961023,346.460935772358,381.924384892086,6.01040869128611,12.3235727816313,271.3533,297.30085,382.2773,423.2512,369,139
"ZNF8",0.922280371241586,88.6884964769648,88.4601776978417,1.21823886662132,2.01644064729365,73.2955,72.84995,101.7743,100.8752,369,139
"ZNF264",0.0658399597489232,813.447707588076,854.989075539568,11.0571268704332,22.0660585055709,666.5021,715.7938,947.9456,972.96665,369,139
"ZNF213",0.531246736145807,600.893393224932,611.307926618705,8.67321841227551,14.2611881044053,496.8487,505.12915,678.4171,687.5546,369,139
"ZNF343",0.0437360061764772,225.450854471545,234.999354676259,2.52411254299193,3.78298364715348,194.8121,205.1,249.8198,264.57435,369,139
"ZNF302",0.0358436671657826,624.058904607046,664.648075539568,9.7575394995896,17.8018390119822,507.6261,556.66415,708.3779,756.9681,369,139
"ZNF268",0.579207884383077,400.703112737127,392.99715971223,7.49476029396395,10.7699569502473,308.3333,307.11395,480.4119,474.4645,369,139
"ZNF184",0.787758964661442,208.231483468835,209.624926618705,2.67475849921207,4.5417608711893,174.9409,174.84665,235.998,239.7929,369,139
"ZNF500",0.102687180292418,252.231651219512,262.385364748201,3.06546705398463,6.01704947230696,217.286,216.9131,290.6432,306.5067,369,139
"ZNF419",0.0343740289999787,235.230903252033,248.822505035971,3.07701833029409,6.50404472900281,194.005,204.9275,266.1196,277.67665,369,139
"ZNF175",0.00387713556602209,212.988972628726,237.058251798561,4.02075684602654,8.29766299833353,172.2473,168.8507,242.0677,270.83185,369,139
"ZNF14",0.168494216611298,252.058449322493,261.202591366906,3.50626529888432,5.48395503223984,206.9328,212.33865,290.2108,307.2858,369,139
"ZNF85",0.367879276977721,152.892221138211,157.803865467626,2.85901227591218,4.60843401535878,117.2573,123.21365,172.3923,183.17555,369,139
"ZKSCAN1",0.128518166307759,485.367892682927,446.284479856115,13.9455932146555,19.4538368929897,275.6451,264.60945,659.893,602.9945,369,139
"ZNF862",0.318028769325932,571.255137940379,597.622558992806,12.7005506842682,26.6766445477278,411.1548,413.608,673.2123,677.78175,369,139
"ZNF684",0.248681253450912,55.7689975609756,58.3398158273381,1.15290438300774,1.94631707890311,41.6583,43.86295,64.6208,66.22305,369,139
