"gene","p-adj-cribiform morular-columnar cell variant","p-adj-Diffuse sclerosing variant-columnar cell variant","p-adj-Diffuse Sclerosing Variant-columnar cell variant","p-adj-Diffuse sclerosing variant-cribiform morular","p-adj-Diffuse Sclerosing Variant-cribiform morular","p-adj-Diffuse Sclerosing Variant-Diffuse sclerosing variant","p-adj-Papillary carcinoma, diffuse sclerosing variant-columnar cell variant","p-adj-Papillary carcinoma, diffuse sclerosing variant-cribiform morular","p-adj-Papillary carcinoma, diffuse sclerosing variant-Diffuse sclerosing variant","p-adj-Papillary carcinoma, diffuse sclerosing variant-Diffuse Sclerosing Variant","p-adj-Papillary carcinoma: mixed papillary and follicular variant-columnar cell variant","p-adj-Papillary carcinoma: mixed papillary and follicular variant-cribiform morular","p-adj-Papillary carcinoma: mixed papillary and follicular variant-Diffuse sclerosing variant","p-adj-Papillary carcinoma: mixed papillary and follicular variant-Diffuse Sclerosing Variant","p-adj-Papillary carcinoma: mixed papillary and follicular variant-Papillary carcinoma, diffuse sclerosing variant","p-adj-Thyroid Papillary Carcinoma - Classical/usual-columnar cell variant","p-adj-Thyroid Papillary Carcinoma - Classical/usual-cribiform morular","p-adj-Thyroid Papillary Carcinoma - Classical/usual-Diffuse sclerosing variant","p-adj-Thyroid Papillary Carcinoma - Classical/usual-Diffuse Sclerosing Variant","p-adj-Thyroid Papillary Carcinoma - Classical/usual-Papillary carcinoma, diffuse sclerosing variant","p-adj-Thyroid Papillary Carcinoma - Classical/usual-Papillary carcinoma: mixed papillary and follicular variant","p-adj-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)-columnar cell variant","p-adj-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)-cribiform morular","p-adj-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)-Diffuse sclerosing variant","p-adj-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)-Diffuse Sclerosing Variant","p-adj-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)-Papillary carcinoma, diffuse sclerosing variant","p-adj-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)-Papillary carcinoma: mixed papillary and follicular variant","p-adj-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)-Thyroid Papillary Carcinoma - Classical/usual","p-adj-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)-columnar cell variant","p-adj-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)-cribiform morular","p-adj-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)-Diffuse sclerosing variant","p-adj-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)-Diffuse Sclerosing Variant","p-adj-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)-Papillary carcinoma, diffuse sclerosing variant","p-adj-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)-Papillary carcinoma: mixed papillary and follicular variant","p-adj-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)-Thyroid Papillary Carcinoma - Classical/usual","p-adj-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)","mean-columnar cell variant","mean-cribiform morular","mean-Diffuse sclerosing variant","mean-Diffuse Sclerosing Variant","mean-Papillary carcinoma, diffuse sclerosing variant","mean-Papillary carcinoma: mixed papillary and follicular variant","mean-Thyroid Papillary Carcinoma - Classical/usual","mean-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)","mean-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)","SEM-columnar cell variant","SEM-cribiform morular","SEM-Diffuse sclerosing variant","SEM-Diffuse Sclerosing Variant","SEM-Papillary carcinoma, diffuse sclerosing variant","SEM-Papillary carcinoma: mixed papillary and follicular variant","SEM-Thyroid Papillary Carcinoma - Classical/usual","SEM-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)","SEM-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)","Q1-columnar cell variant","Q1-cribiform morular","Q1-Diffuse sclerosing variant","Q1-Diffuse Sclerosing Variant","Q1-Papillary carcinoma, diffuse sclerosing variant","Q1-Papillary carcinoma: mixed papillary and follicular variant","Q1-Thyroid Papillary Carcinoma - Classical/usual","Q1-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)","Q1-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)","Q3-columnar cell variant","Q3-cribiform morular","Q3-Diffuse sclerosing variant","Q3-Diffuse Sclerosing Variant","Q3-Papillary carcinoma, diffuse sclerosing variant","Q3-Papillary carcinoma: mixed papillary and follicular variant","Q3-Thyroid Papillary Carcinoma - Classical/usual","Q3-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)","Q3-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)","count-columnar cell variant","count-cribiform morular","count-Diffuse sclerosing variant","count-Diffuse Sclerosing Variant","count-Papillary carcinoma, diffuse sclerosing variant","count-Papillary carcinoma: mixed papillary and follicular variant","count-Thyroid Papillary Carcinoma - Classical/usual","count-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)","count-Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)"
"ZNF195",0.999982270987124,0.293317646899615,0.999987667070185,0.122109372053532,0.997372503684694,0.539565294487785,0.729743256275643,0.415499365641536,0.982909768689098,0.93480616354908,0.898245325500953,0.684063707000329,0.986829905709016,0.984114192474907,0.999999999223367,0.572314712091813,0.223369426955326,0.893269582627287,0.889015064520802,0.999999861237714,1,0.414049088702959,0.133088548388244,0.962436062364962,0.77411940918477,0.999999998696029,0.999999824134967,0.4586772625664,0.535595509776002,0.202780143292488,0.92623092795721,0.86393856489536,0.999999999628462,0.999999999993084,0.999961032584262,0.996409467492385,460.8313,500.811,221.5704,422.6804,310.93585,320.6637,321.741766483516,304.884082352941,316.200885714286,NA,NA,NA,NA,4.99404999999999,NA,3.67250751683414,7.56546351746059,10.6433146964017,460.8313,500.811,221.5704,422.6804,308.438825,320.6637,276.390275,263.3734,291.5522,460.8313,500.811,221.5704,422.6804,313.432875,320.6637,361.914675,347.5516,347.81555,1,1,1,1,2,1,364,102,35
"ZNF263",0.848071290203986,0.995805716536224,0.980763135319584,0.998990089582471,0.999940728134069,0.999999859775276,0.98963462982684,0.99693324125947,1,0.99999941261869,0.999999165429746,0.945828133759921,0.999751890710663,0.997382576078887,0.999353229932487,0.992624362460522,0.948495199720817,0.9999991194391,0.999709622958803,0.999990639965239,0.999855791191425,0.994301500089146,0.941903393339827,0.999998004991226,0.999583012171045,0.999978864995122,0.999911277598746,0.999999014955349,0.974349154024024,0.984403844022413,0.999999999991177,0.999991241145339,0.999999999973733,0.998473388490071,0.96230198277586,0.953065063650034,788.4652,538.1792,650.7987,615.2398,652.15005,743.9035,682.567381043956,686.172569607843,658.377605714286,NA,NA,NA,NA,13.54065,NA,5.89827068732494,13.8417335477893,14.0241893370171,788.4652,538.1792,650.7987,615.2398,645.379725,743.9035,618.39195,594.109275,597.94635,788.4652,538.1792,650.7987,615.2398,658.920375,743.9035,718.5067,748.902425,698.7677,1,1,1,1,2,1,364,102,35
"ZNF200",0.999999882286397,0.93218635275818,0.968664648384683,0.976101407884874,0.99153864904736,0.999999985686077,0.997451419013357,0.999837372292516,0.998491290332074,0.999833937033949,0.978278785821816,0.994854180156118,0.999999785862561,0.999999999989243,0.999948021480059,0.979589616664947,0.997774675437722,0.997540576091904,0.999809952241901,0.99999998984987,0.999953981642168,0.927364666329136,0.984255843854098,0.999880169995361,0.999998734076236,0.999872006147374,0.999999943095384,0.337182690146484,0.929189245839229,0.98458631086019,0.999897832071109,0.999999004848022,0.999873750024943,0.999999958911866,0.856621062173789,1,196.243,186.9424,138.9892,146.1228,166.5609,149.0196,163.135503571429,155.049661764706,154.860922857143,NA,NA,NA,NA,28.7606,NA,1.60102671417072,3.35712898708627,5.02968302912122,196.243,186.9424,138.9892,146.1228,152.1806,149.0196,143.799675,135.788175,145.11155,196.243,186.9424,138.9892,146.1228,180.9412,149.0196,184.9076,173.241525,165.4217,1,1,1,1,2,1,364,102,35
"ZNF582",0.999608966696856,0.964493074131111,0.995873911166232,0.999765441735797,0.999999743583795,0.999996208224574,0.999998965072779,0.98842546845807,0.796200657582322,0.947815949998352,0.999999995541783,0.999947108903808,0.983968127415322,0.998875890109097,0.999963246331961,0.999999999912427,0.991089845657716,0.732917673860404,0.942268652542413,0.999992247995486,0.999998808241672,0.999997864033826,0.966534320562501,0.589766417693712,0.86703393815312,0.999999999999259,0.999898978323901,0.568428433380162,0.999426453082577,0.999999906865666,0.987164363565031,0.999847302864215,0.916318784243473,0.999964421228739,0.00158438618827661,6.42604954546044e-05,91.9265,75.4258,60.0181,69.0273,98.5392,88.0845,93.5889532967033,97.876031372549,79.4636971428571,NA,NA,NA,NA,3.5468,NA,1.00229810923695,2.15923883696078,2.65429024671185,91.9265,75.4258,60.0181,69.0273,96.7658,88.0845,80.567625,83.740475,71.83375,91.9265,75.4258,60.0181,69.0273,100.3126,88.0845,104.5936,110.6643,88.9929,1,1,1,1,2,1,364,102,35
"ZNF285",0.0813092200101799,0.152626057340846,0.0932746117154001,0.999999558102326,0.999999999998497,0.999999929489242,0.0348757976359865,0.999999984966076,0.999999998155482,0.999999999601714,0.573473075037393,0.987176154685483,0.998256667564365,0.990991758065163,0.988019151196075,0.0143229544020886,0.999317526651656,0.999998330414058,0.999717949065923,0.999421082359161,0.99810587848669,0.0264309573998808,0.996336218830444,0.9999402174197,0.998092907978473,0.994301450979829,0.999736945595617,0.827949181245565,0.00353498426679155,0.99999989452368,0.999999995572705,0.999999996385344,1,0.963297677992488,0.251118056046082,0.0496343203586403,185.052,70.1541,79.8736,72.1649,75.65015,108.5973,88.0205961538462,92.8336892156863,75.9702085714286,NA,NA,NA,NA,36.77535,NA,1.47759075909845,2.7687854201053,2.92795283756953,185.052,70.1541,79.8736,72.1649,57.262475,108.5973,69.34005,72.382975,63.3568,185.052,70.1541,79.8736,72.1649,94.037825,108.5973,102.352125,110.389725,89.76435,1,1,1,1,2,1,364,102,35
"ZNF275",0.999973713665303,0.999998210728172,0.999999995315318,0.998549205392516,0.999763608081219,0.999999988652222,0.999999960801822,0.999130487718687,0.999999986787659,1,0.999999996342287,0.999776855220502,0.999999985932691,1,1,0.99999999999183,0.999845346260915,0.999922568746442,0.999999344973153,0.999979577266019,0.999999455585459,0.998526753954642,0.999999997777699,0.968332340909623,0.992028140995059,0.923342037698036,0.992373735299242,2.7127640711555e-07,0.999999977617618,0.997880060508285,0.999999626685149,1,0.99999999998083,1,0.919480638228313,0.000210625467581327,480.016,763.9903,278.8809,385.0291,372.58205,387.9336,510.379662362637,825.455869607843,397.108291428571,NA,NA,NA,NA,59.68695,NA,23.3541143998206,63.746269319022,15.0206758573565,480.016,763.9903,278.8809,385.0291,342.738575,387.9336,379.853175,480.005825,343.6877,480.016,763.9903,278.8809,385.0291,402.425525,387.9336,552.626,875.310225,451.90365,1,1,1,1,2,1,364,102,35
"ZNF37A",0.997139272752648,0.74834939954428,0.855765991476986,0.992494933992386,0.998645292820819,0.999999928689413,0.995542259126064,0.999999999981784,0.9713352382593,0.993430760941906,0.999999948248599,0.999609624104971,0.852099206783244,0.928408263623693,0.999486491430537,0.991612947345965,0.999999945472155,0.867492150746551,0.957569992981882,0.999999992509559,0.999247203448144,0.99793913658492,0.999992472484293,0.785106236962459,0.913220732572255,0.999987173651652,0.999919227180158,0.857433725255513,0.883841494175586,0.999995455538051,0.991112102049263,0.999242576719761,0.999672442685194,0.962346490602497,0.0694127992975045,0.0118034752878925,563.9488,409.1646,231.0469,269.8342,421.0687,526.6968,435.716082967033,458.959533333333,362.056268571429,NA,NA,NA,NA,115.4429,NA,6.84109767889675,17.136823551647,17.5501614708623,563.9488,409.1646,231.0469,269.8342,363.34725,526.6968,356.8067,363.45665,306.12925,563.9488,409.1646,231.0469,269.8342,478.79015,526.6968,516.5109,528.55585,426.97705,1,1,1,1,2,1,364,102,35
"ZNF510",0.956112161971279,0.802274309925197,0.67658506613438,0.999980683164657,0.999567472900252,0.999999908120547,0.713478458573204,0.999991005113562,0.999999999681292,0.999995337453685,0.999944597230886,0.998206984454787,0.9674926503798,0.916822201829856,0.952322173021674,0.811897451364915,0.999999999351545,0.999019419735931,0.988564948034307,0.997213826264634,0.990966085211742,0.909106892150598,0.999996678172651,0.993473501488327,0.961123420011878,0.976940857757781,0.99853919364511,0.609782408992972,0.608645314281379,0.999999737973382,0.999996002527799,0.999531510214433,0.999998501952005,0.941446332888429,0.575487359538849,0.10211274729064,366.9065,242.9035,201.2635,180.1883,210.22555,319.1554,250.913015934066,266.503352941176,225.651868571429,NA,NA,NA,NA,82.22305,NA,3.79419247888733,7.70483308020379,10.5415967830232,366.9065,242.9035,201.2635,180.1883,169.114025,319.1554,204.0134,224.09675,197.01135,366.9065,242.9035,201.2635,180.1883,251.337075,319.1554,301.43225,315.80225,264.30905,1,1,1,1,2,1,364,102,35
"ZNF506",0.999999996466229,0.724551440864363,0.99674279500373,0.634446942094483,0.990587680485642,0.991107711348787,0.822795714146248,0.732443529300152,0.999963898787917,0.999379185838795,0.774222883786694,0.68937562653485,0.99999999994034,0.995202986868506,0.999994447220577,0.571178090401168,0.43856305172035,0.999915311151561,0.996053993621619,0.999999999990048,0.999989199380864,0.796648045390587,0.678761402761374,0.996021783249772,0.999922392350032,0.999976367016485,0.998608704859518,0.0604705956171996,0.217432268869114,0.141777699850363,0.999999998946505,0.891858568921715,0.992964883281533,0.999999765484195,0.0184767207027604,5.87028475789175e-05,798.1615,820.3569,513.9892,666.5173,576.02895,527.3002,570.694429120879,610.261660784314,500.313471428571,NA,NA,NA,NA,72.55235,NA,6.03422072975239,12.4615242510686,15.1031709663128,798.1615,820.3569,513.9892,666.5173,539.752775,527.3002,494.29845,513.068275,449.67205,798.1615,820.3569,513.9892,666.5173,612.305125,527.3002,637.1671,689.972825,555.74385,1,1,1,1,2,1,364,102,35
"ZNF324",0.236341550764597,0.942427451203107,0.699391671328202,0.947971826275907,0.998475929368442,0.999874530224598,0.84345952218921,0.91309203024288,0.999999999979387,0.999857987005561,0.933123923511771,0.955747802935958,1,0.999925485834106,1,0.880318672958569,0.487218480350822,0.999995476195914,0.979212485546698,0.999626585789648,0.999987094335382,0.957067567155389,0.334300167265694,0.999710851449797,0.931133609958096,0.991067403510249,0.999475765133848,0.426924808359672,0.667716136504118,0.771269118185226,0.99999999998872,0.999271161519708,1,1,0.361406541347736,0.0291160182691862,289.3685,132.6034,210.2888,177.9471,206.41835,208.1448,225.171091208791,235.968598039216,207.316631428571,NA,NA,NA,NA,37.64465,NA,2.20195186153225,5.43506207275305,5.52858159403586,289.3685,132.6034,210.2888,177.9471,187.596025,208.1448,198.193375,197.467475,183.1003,289.3685,132.6034,210.2888,177.9471,225.240675,208.1448,247.7725,261.9836,227.5294,1,1,1,1,2,1,364,102,35
