"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","count-1","count-2","count-3","count-4","count-5"
"ZNF195",0.250911317886309,6.86332497976672e-05,0.250742688621191,0.97871367276294,0.118782741980222,2.82296259377368e-05,0.054063045498934,0.997816440193666,0.298899205772261,0.0210396609096419,305.684176119403,326.674073913043,349.693682142857,300.318150526316,330.071962962963,6.85082708440578,6.34044490534891,6.70090771183078,7.54630127659087,6.60275181796586,258.298125,297.4538,309.7847,259.653,291.9231,347.5516,359.5402,386.6621,340.4148,369.498175,134,69,84,95,108
"ZNF263",0.45303364264902,0.84809425749036,0.965905522185193,0.556706920835309,0.998551895771443,0.99416687145198,0.00966013115995468,0.780476736561339,0.294046489875842,0.511554330519655,704.502904477612,675.718034782609,688.067270238095,680.962322105263,655.137650925926,13.835940736543,9.53741033391113,9.94068313874954,11.8978904672903,8.13375727876116,603.4824,625.4813,635.7836,619.3211,602.08535,762.4575,722.7321,723.45615,703.1804,701.24755,134,69,84,95,108
"ZNF200",1.76853602207316e-07,0.974014619477432,3.25375636672787e-05,0.0496619890541149,0.020747856384877,0.323793089636673,0.885182594960694,7.21665949221517e-09,0.623397565609394,0.00515044629873773,155.92388358209,181.444024637681,158.462145238095,166.973928421053,152.308473148148,2.45295823207249,3.37070861573032,2.8021074450622,3.47864259233038,3.154083707085,139.602275,161.9433,145.1583,144.1634,131.22485,174.3475,195.4373,170.8157,191.46725,171.648875,134,69,84,95,108
"ZNF582",0.990931182446197,0.569364490084545,0.438578906529947,0.259601757502118,0.703151806387079,0.0130789876382758,1.25137811224363e-09,4.69830385707581e-08,0.000114474187706937,6.95540292028340e-11,96.6873179104478,97.941068115942,92.8551285714286,101.684841052632,80.9515092592593,1.91577830983813,1.91211924251215,1.91664715168835,1.66268681488855,1.68328833119551,82.367675,88.1987,82.412725,91.804,68.599825,108.697425,105.5901,102.26425,111.8288,92.055575,134,69,84,95,108
"ZNF285",0.997147564243896,0.280679952324004,0.6402600666061,0.620486248206302,0.553406587122758,0.0175373170549951,7.01709725881017e-08,4.82309689526783e-05,0.00767347574488064,4.53570514480361e-10,93.820676119403,92.4770463768116,86.4786773809524,98.8824642105263,73.4399935185185,2.80827309521593,3.11706066322368,2.53304432493125,2.83863493654346,1.94807708454606,71.5245,68.8689,70.503,80.5353,60.5864,109.531975,110.8772,99.221925,113.71565,87.009575,134,69,84,95,108
"ZNF275",1.94824234522883e-08,7.82198750215457e-11,0.954038250236011,7.09324821102086e-11,0.952897982254382,0.999999987906795,6.94619917140926e-11,0.851118053649572,0.998735636244029,0.998208333662348,902.622854477612,487.836788405797,435.013517857143,436.053946315789,416.678862962963,73.748526608949,12.0237491111771,10.7958846094981,12.8525955431989,11.8131177712487,520.447,414.2352,372.4089,363.31895,349.0126,916.8265,528.6497,475.5478,499.63965,469.544825,134,69,84,95,108
"ZNF37A",0.849084857280659,0.596161809688499,0.194621217775142,0.000582367166495179,0.000142059397651328,0.154701854228483,7.61317220709934e-07,4.56278198890381e-07,0.00518457331243871,0.772798509826967,474.438881343284,494.613014492754,447.351619047619,401.579723157895,379.617936111111,13.9826695440629,15.7466414684193,12.6797036037257,12.0361780623506,12.0853496265716,373.58815,414.598,369.53325,332.6532,297.44115,549.778775,545.0174,512.061725,483.17005,449.652375,134,69,84,95,108
"ZNF510",0.999275212121708,0.403461604409391,0.702401234814794,0.091486605577982,0.319298968726462,0.972766530746028,5.72756877148528e-07,0.000132112839710041,0.0117142060509107,0.0583091175810281,273.191578358209,270.682256521739,255.933346428571,249.416568421053,222.718476851852,6.70555745705415,7.8093348293822,7.00403494801075,8.24520561865146,5.84507026577002,224.94475,230.6338,213.628775,195.3556,187.897325,330.7957,310.6367,297.951875,309.3262,261.278025,134,69,84,95,108
"ZNF506",0.162375027454971,7.65663730430965e-05,0.36561042334506,0.0843306668187325,0.999999378084199,0.30446819483221,6.94333479600573e-11,8.06775646289282e-10,6.8772258694505e-06,8.56754667211135e-11,633.158763432836,597.609653623188,566.19175,596.924547368421,488.274285185185,12.9147836630778,10.07590774093,8.45872025942299,8.67031753124571,8.73580650984956,531.563025,545.1714,508.44295,548.7751,430.905,723.600375,647.0372,619.8354,651.1446,533.37605,134,69,84,95,108
"ZNF324",0.00251903655733299,0.0189580574674564,0.953632696215242,0.380121588889556,0.309808166085489,0.721109326978982,9.09141206761888e-10,0.245630649659545,0.0263702242454275,0.000131082289644424,242.694276865672,219.25541884058,224.248675,232.333256842105,205.65122962963,5.22331582397825,3.46001430055358,3.63089819694959,3.71535977729215,3.54171867686012,203.577775,198.2075,200.757675,210.78775,182.203075,277.56475,244.063,242.25765,249.8702,228.415575,134,69,84,95,108
"ZNF671",0.602984891492682,0.000516521315538587,2.0714192765281e-05,0.484458684828951,0.9999998771352,2.4163728256088e-06,9.00494076638836e-07,5.53307984985096e-08,0.886282788518573,1.67713509746648e-09,332.984229850746,348.677933333333,291.24454047619,348.993658947368,281.312778703704,8.09427124912846,7.92262276824259,6.29869923046345,7.01273063260073,6.2475980973965,279.9356,309.7443,257.487975,306.65945,240.234675,374.297375,399.6328,335.746375,395.4431,338.2108,134,69,84,95,108
"ZNF416",0.271213438759694,0.820810871294797,0.897328781847876,0.0392379514658788,0.984280318836107,0.54056743459511,0.995787745442437,0.170319261222142,0.654278450352331,0.0209947644383147,137.619819402985,146.856557971014,142.288104761905,149.478116842105,136.102599074074,3.40386118894123,3.37720430081816,2.78807843140161,3.02064855849996,2.61622076479136,113.80565,129.6777,128.167825,129.74135,121.35225,155.2746,162.9764,157.7001,169.25625,153.072775,134,69,84,95,108
"ZNF586",0.0501071314432175,0.893003985305889,0.00990287358452002,0.121390812545371,5.64238607285716e-05,0.697934447202781,0.99994087844969,0.0868052145427153,0.862625218144549,0.119691730644469,140.75031119403,152.376260869565,137.119913095238,131.584691578947,141.221832407407,3.10812119526109,3.40175719675688,2.37210667210705,2.3688931258438,2.67490571509218,114.7895,134.3639,124.5441,116.02095,122.86615,163.908575,168.1871,150.3332,147.49255,151.79125,134,69,84,95,108
"ZNF446",9.6256901529701e-05,1.0921774595829e-10,0.256715503844252,0.99472821925891,0.00127041681356033,8.65847704645262e-09,4.01575439568091e-10,0.627349148785113,0.937836706524034,8.45903349588895e-08,408.684879850746,332.545011594203,294.745896428571,402.553164210526,307.708914814815,13.4503753205892,7.56087288862887,7.24379879811237,14.0840434598784,8.25685017158826,305.5863,296.3672,249.32485,316.57955,251.582925,463.153925,369.0966,334.04045,425.23565,353.72695,134,69,84,95,108
"ZNF8",0.696968937242527,1.27704206132062e-06,0.00620756860761851,0.0648150924039906,0.841615968559643,0.0689142353091974,0.00263257208599654,0.359933247078719,0.329914941737129,0.917190275231787,81.3758798507463,85.7672376811594,98.5029916666667,89.5059747368421,92.2265583333333,2.37240392322657,2.19734276642374,2.45498565251723,2.29371318527747,1.94372365770048,66.08865,73.8019,80.49665,76.6933,79.887725,92.030225,96.2692,112.48565,100.00195,102.8703,134,69,84,95,108
"ZNF264",0.308198705198425,0.907405664537525,0.853234488242556,0.112780398661586,0.999133966128545,0.65737244501529,0.505460068979107,0.0135887330086809,0.164969585195445,0.0017514036763483,808.331419402985,872.425286956522,835.646498809524,881.34368,762.044355555556,23.1978571398275,21.8083078546558,22.6308033959969,21.1898115176234,21.2588565292287,653.392275,748.1874,681.48985,760.22285,629.188175,940.988475,981.8024,969.9092,1020.1569,896.98345,134,69,84,95,108
"ZNF213",0.992072979792614,0.999453082881464,0.999547189020332,4.39818260922209e-07,4.15464105474328e-06,3.10762986321933e-06,0.999964755911138,0.997398956751902,0.999962147984107,1.00689358495387e-06,582.919990298508,572.356579710145,577.920858333333,703.234353684211,580.589748148148,18.84432365175,13.7730982760614,14.8792926752954,15.5886588479418,12.0705784059609,441.5471,493.4416,494.673075,587.92955,502.283175,639.44905,648.2256,667.427375,802.9853,667.95875,134,69,84,95,108
