"gene","p-adj-Dead-Alive","mean-Alive","mean-Dead","SEM-Alive","SEM-Dead","Q1-Alive","Q1-Dead","Q3-Alive","Q3-Dead","count-Alive","count-Dead"
"ZNF195",0.260333493114591,319.204247764228,298.6968125,3.24822505682954,14.1500456097229,276.652375,258.64125,359.6513,326.192325,492,16
"ZNF263",0.572244163289716,680.828128455285,697.54951875,5.2686780688568,25.7538982551853,611.892925,626.93625,725.71725,744.60235,492,16
"ZNF200",0.31471974047426,161.210420934959,153.21455,1.4096924517648,7.88537033696473,142.119,136.010025,183.7831,169.4169,492,16
"ZNF582",0.429590488724637,93.2060237804878,97.19753125,0.869683806797831,8.46239637910818,80.17615,74.503275,104.525875,116.138075,492,16
"ZNF285",0.898252289731665,88.2284237804878,89.14051875,1.1940895127347,15.0144537883757,69.6097,57.904925,102.7578,100.855,492,16
"ZNF275",0.748327801106648,566.060932317073,525.78258125,22.5851608881086,29.951881181262,384.92965,438.309275,579.719575,591.112125,492,16
"ZNF37A",0.438819432739726,434.031789634146,461.6052625,6.31679377809079,34.8455472530588,348.724425,357.94295,510.7524,536.6275,492,16
"ZNF510",0.945491745289426,252.212449796748,253.4898875,3.31222745727961,18.7510226479337,206.10705,188.90765,302.519575,319.8979,492,16
"ZNF506",0.477731063410424,575.416979471545,553.9788875,5.27858463406132,41.2274654232354,494.29845,428.3626,642.1156,688.430025,492,16
"ZNF324",0.000412109231874291,224.559868495935,264.68064375,1.87940653039809,24.5740467143759,196.7371,225.335675,247.497175,284.666175,492,16
"ZNF671",0.623139441352867,320.343217073171,310.561225,3.31603492629516,43.150725760358,273.695375,234.693125,364.743575,343.800475,492,16
"ZNF416",0.231816450716061,141.624923373984,132.0862125,1.29681991039119,19.5313903517472,123.399175,90.21045,159.7641,140.818,492,16
"ZNF586",0.219980790630315,139.945352642276,149.04055,1.31160183758276,7.76859398066986,119.286425,135.453625,156.83315,158.724125,492,16
"ZNF446",0.170169263538897,354.789867682927,398.43499375,5.48247655759789,52.2441034913993,278.148275,281.487175,394.45995,401.366875,492,16
"ZNF8",0.123302980369682,88.3364174796748,97.53140625,1.02627855365304,9.95496421634481,72.92165,72.5774,101.068925,113.788525,492,16
"ZNF264",0.0921344473374923,821.755654471545,918.868975,9.45697769046889,134.862625768515,676.33915,688.7272,956.20735,868.919775,492,16
"ZNF213",0.976263365306799,603.782836585366,602.51926875,7.48693151079765,49.4129421651772,502.195,485.90215,680.648325,764.30655,492,16
"ZNF343",0.00376522656689304,226.963018699187,261.9044,2.00527312288475,25.7034068901122,196.63985,206.3395,253.519125,257.223925,492,16
"ZNF302",0.684658471008289,635.797777642276,615.70698125,8.53440929888332,80.9447532957913,520.578875,406.206475,723.219875,748.2313,492,16
"ZNF268",0.640438512240268,398.072748577236,414.64134375,6.33311015126792,26.2434341362257,306.79515,366.198775,479.57725,519.20535,492,16
"ZNF184",0.389591000562578,208.254870121951,219.61788125,2.34748305808551,11.9285524391521,173.343,187.974475,236.6448,250.564425,492,16
"ZNF500",0.0737302194565307,254.115657317073,282.50885,2.78846292521456,19.3755840722243,216.570725,233.025725,293.888325,316.68745,492,16
"ZNF419",0.469880082211963,238.575882926829,250.44981875,2.77979457679464,32.0748174772505,200.9044,181.152725,270.523725,269.141875,492,16
"ZNF175",0.00222820061468765,217.526892073171,282.5498125,3.64831905207871,34.9749864483103,171.95525,209.9228,247.1298,327.949925,492,16
"ZNF14",0.0744369650070849,255.512240243902,225.2941125,2.98114992938976,19.7556003459734,209.200925,169.222725,291.805,304.043875,492,16
"ZNF85",0.571135810266214,154.484590447154,146.596775,2.4522230761834,16.6008384577318,119.378475,102.757075,175.49975,189.7374,492,16
"ZKSCAN1",0.130821121620606,471.550428658537,570.7177625,11.5261926971999,81.0471862733571,266.807875,459.6847,642.9778,588.5491,492,16
"ZNF862",0.0752517040236578,574.697257520325,694.47693125,11.7139805164759,96.9221847038488,411.0925,434.0444,668.7084,1040.3167,492,16
"ZNF684",0.451018856626338,56.3373353658537,60.62659375,1.00977380107602,5.48575414797629,42.01725,43.8075,65.14815,72.888625,492,16
"ZNF430",0.306353029291995,323.408837195122,267.5192375,9.73995046560649,42.9892845835689,150.1333,142.946275,461.770975,323.2203,492,16
"ZFP30",0.453678484575229,200.133022560976,211.0479125,2.49541061179935,25.5730156663668,165.674775,154.12115,233.3258,236.4449,492,16
