"gene","p-adj-stage II-stage I","p-adj-stage III-stage I","p-adj-stage III-stage II","p-adj-stage IV-stage I","p-adj-stage IV-stage II","p-adj-stage IV-stage III","mean-stage I","mean-stage II","mean-stage III","mean-stage IV","SEM-stage I","SEM-stage II","SEM-stage III","SEM-stage IV","Q1-stage I","Q1-stage II","Q1-stage III","Q1-stage IV","Q3-stage I","Q3-stage II","Q3-stage III","Q3-stage IV","count-stage I","count-stage II","count-stage III","count-stage IV"
"ZNF195",0.0612774819140341,0.0549473036449238,0.942170603815191,0.754961403754705,0.618190901682962,0.830546262182802,326.944485069444,299.901141176471,306.718972972973,316.640494642857,4.32969906651106,8.85210661637467,6.96417829556916,8.17409285897656,280.311425,272.20775,269.01005,269.1299,367.482575,339.6086,351.95235,352.275275,288,51,111,56
"ZNF263",0.639418360233128,0.964871868895223,0.877721198587288,0.728053770739312,0.998922651096381,0.93178435882698,676.219131597222,697.135462745098,682.388885585586,693.873148214286,6.34157983476576,20.3145135365309,12.0790913406466,14.7423712116988,613.495625,606.95045,610.3965,624.069025,722.550225,765.12065,710.57875,728.44015,288,51,111,56
"ZNF200",0.83256202329046,0.0949013573557298,0.86684397853395,0.175124271559167,0.817949314209252,0.995390199751929,164.111972916667,160.106484313726,156.032010810811,154.8277875,1.83889136610882,4.60196820942771,2.94216495309841,3.97837602922794,143.007175,143.55785,133.42415,136.334875,186.943225,183.66885,176.5327,172.004225,288,51,111,56
"ZNF582",0.188313195235293,0.349659620689138,0.0208563206622973,0.00101859561552442,7.07814383353877e-05,0.11443992467167,94.5975736111111,100.513649019608,91.0055621621622,83.8720196428571,1.0686169236756,2.63944892382731,2.17163562393421,2.55251271763806,82.93745,88.00195,75.2123,72.05055,104.5439,112.8704,104.3525,98.777675,288,51,111,56
"ZNF285",0.840601543798666,0.820435459093581,0.551119873292449,0.969065679415695,0.753781977520452,0.997588109564138,88.6933263888889,92.2284058823529,85.9662117117117,86.837475,1.58323344874223,3.58005567198077,2.77655565997953,4.46189838616582,70.01295,73.8355,67.91785,68.784425,104.59145,109.7846,98.93065,101.385525,288,51,111,56
"ZNF275",0.000220616678095253,0.694253651990022,6.08832496117317e-05,0.979887396233823,0.00231091111810133,0.97871461078391,550.360348958333,857.029119607843,491.100196396396,522.727833928571,26.9904727773461,134.264856238704,25.0476889332942,38.1419103623273,390.87525,409.76105,364.76605,375.5314,578.15385,708.484,563.1963,588.927625,288,51,111,56
"ZNF37A",0.695619971900716,0.0369293286439125,0.0307685535765621,0.132798866380846,0.0620772610523816,0.999635425994988,446.212328472222,469.195064705882,404.509205405405,402.221916071429,8.64054310704782,18.9444314887925,12.4155488166636,15.0269025242318,358.4739,399.33195,321.0499,337.4915,524.984775,529.53685,491.41505,462.402325,288,51,111,56
"ZNF510",0.41482700461291,0.218283640283017,0.0407361067283891,0.362669165383024,0.0714067634828538,0.999034066642945,255.677047916667,272.748564705882,239.965268468468,238.297919642857,4.26714501985947,11.6143783993279,7.0295764740061,8.5149686858967,208.518175,214.3245,195.24175,187.890125,306.329475,331.4925,288.73115,279.24815,288,51,111,56
"ZNF506",0.5822381374205,0.0929776983981251,0.978805122032812,0.146608063328288,0.93011657165449,0.990031865887137,586.846924305556,564.196154901961,556.317238738739,550.427344642857,6.49116519846181,15.1887735186037,11.5403244912003,19.8781481428372,513.4945,481.70395,474.64945,471.08855,648.32195,654.72255,620.47625,604.749925,288,51,111,56
"ZNF324",0.0728532833664196,0.906910528767932,0.0438376411666327,0.926820132518404,0.0837991129100971,0.99973955568941,225.362721527778,241.892264705882,221.990934234234,221.331196428571,2.4137827671125,5.90668100065615,5.14822118012091,6.04155098803009,200.600025,213.70205,190.83875,190.184575,247.563025,275.30575,243.63435,250.725475,288,51,111,56
