"gene","p-adj-Notassigned-CN high","mean-CN high","mean-Notassigned","SEM-CN high","SEM-Notassigned","Q1-CN high","Q1-Notassigned","Q3-CN high","Q3-Notassigned","count-CN high","count-Notassigned"
"ZNF195",0.054212373955513,42.607,454.091155555556,NA,45.6495868583788,42.607,304.584325,42.607,600.075825,1,18
"ZNF263",0.326276738420362,1154.7211,832.905194444444,NA,73.0397228907961,1154.7211,652.086575,1154.7211,910.253725,1,18
"ZNF200",0.262877081041956,113.3779,225.148977777778,NA,22.1435046438158,113.3779,179.48215,113.3779,258.01225,1,18
"ZNF582",0.0701117389592809,62.1051,25.1354277777778,NA,4.38842678988534,62.1051,9.5788,62.1051,37.46455,1,18
"ZNF285",0.14560741599914,122.0437,39.5656777777778,NA,12.4064119312085,122.0437,2.4894,122.0437,51.74095,1,18
"ZNF275",0.260093516631538,288.1387,652.197461111111,NA,71.6896261753437,288.1387,444.963475,288.1387,859.0001,1,18
"ZNF37A",0.0209344224823532,69.3266,322.349405555556,NA,22.8105913813867,69.3266,282.1884,69.3266,357.436775,1,18
"ZNF510",0.0161427107394925,38.9962,209.877605555556,NA,14.6808128480758,38.9962,167.8429,38.9962,241.208675,1,18
"ZNF506",0.567583285253039,165.3728,308.228411111111,NA,56.2202428209176,165.3728,43.65845,165.3728,448.106025,1,18
"ZNF324",0.606381103816677,150.2076,206.363605555556,NA,24.5404294068805,150.2076,151.287625,150.2076,234.082475,1,18
"ZNF671",0.394150018958415,6.4994,87.2748277777778,NA,21.1959256978693,6.4994,18.58275,6.4994,137.1635,1,18
"ZNF416",0.231218352486436,209.4241,116.993222222222,NA,17.0779179815423,209.4241,71.01715,209.4241,154.436275,1,18
"ZNF586",0.850090704398996,215.9235,185.649338888889,NA,36.1918261047999,215.9235,98.0564,215.9235,186.6452,1,18
"ZNF446",0.282812515322768,664.4521,465.821938888889,NA,41.0847213993574,664.4521,345.6858,664.4521,554.94935,1,18
"ZNF8",0.730858526844282,129.0775,106.912627777778,NA,14.5409488842948,129.0775,72.568125,129.0775,115.722,1,18
"ZNF264",0.251844205189384,202.9247,489.779416666667,NA,55.4771748341346,202.9247,343.0399,202.9247,626.5234,1,18
"ZNF213",0.454469840729148,561.1121,734.080127777778,NA,51.8373021305007,561.1121,626.365225,561.1121,884.478225,1,18
"ZNF343",0.73876814548219,301.8595,272.722133333333,NA,19.7190454986868,301.8595,210.460175,301.8595,328.68995,1,18
"ZNF302",0.534307027587745,231.8108,354.123522222222,NA,44.2361383092386,231.8108,209.101675,231.8108,494.95475,1,18
"ZNF268",0.0709187963683142,83.7696,309.896061111111,NA,26.9270008767072,83.7696,247.4494,83.7696,381.1541,1,18
"ZNF184",0.492892317466541,155.9848,253.552305555556,NA,31.9386848109412,155.9848,182.260325,155.9848,313.395525,1,18
"ZNF500",0.803474098807188,202.2026,224.321316666667,NA,20.074787504496,202.2026,158.74555,202.2026,296.852125,1,18
"ZNF419",0.955449891916727,222.4228,216.077483333333,NA,25.676659111672,222.4228,111.551425,222.4228,298.155425,1,18
"ZNF175",0.655206236438014,55.6057,81.4922666666667,NA,13.0661240700868,55.6057,32.49125,55.6057,113.322025,1,18
"ZNF14",0.128352257398528,62.8272,230.241544444444,NA,24.0272857329324,62.8272,137.19675,62.8272,317.939,1,18
"ZNF85",0.373567820219841,64.9937,140.443905555556,NA,18.9409482184711,64.9937,84.609625,64.9937,182.2737,1,18
"ZKSCAN1",0.207508349138664,87.3804,553.183,NA,81.552957213497,87.3804,295.424375,87.3804,750.07765,1,18
"ZNF862",0.218740069980867,190.6481,736.236272222222,NA,98.0095070192245,190.6481,384.827025,190.6481,964.368875,1,18
"ZNF684",0.753379357555866,38.2741,45.00875,NA,4.83861788935973,38.2741,33.0523,38.2741,57.30415,1,18
"ZNF430",0.255567419206062,4.3329,62.7885222222222,NA,11.3977705133104,4.3329,30.169275,4.3329,84.2734,1,18
"ZFP30",0.612601976500761,119.1551,159.132388888889,NA,17.7791782999137,119.1551,107.7891,119.1551,200.1464,1,18
"ZNF549",0.972126257650574,166.095,169.487011111111,NA,21.9455199346581,166.095,103.7504,166.095,236.771425,1,18
"ZNF211",0.139497447941357,61.3829,241.110588888889,NA,26.5972532632772,61.3829,129.78365,61.3829,324.623125,1,18
"ZNF205",0.532148964455135,1164.0946,839.963994444444,NA,116.602973757142,1164.0946,536.1743,1164.0946,956.221075,1,18
"ZNF45",0.261852155714994,104.712,201.767755555556,NA,19.1853471067569,104.712,132.292075,104.712,288.0869,1,18
"ZNF133",0.000226777554276025,2475.5371,676.766122222222,NA,88.6458540773132,2475.5371,465.794625,2475.5371,763.509225,1,18
"ZNF436",0.351395375472119,155.9848,515.189427777778,NA,86.0026902161634,155.9848,322.677525,155.9848,573.951175,1,18
"ZNF484",0.0370860656459687,3.6108,51.2158777777778,NA,4.82808507167359,3.6108,38.977375,3.6108,61.65115,1,18
