"gene","p-adj-Cluster 13 (HNSC-LUSC)-BRCA CIMP c7","p-adj-Cluster 5-BRCA CIMP c7","p-adj-Cluster 5-Cluster 13 (HNSC-LUSC)","p-adj-OV-like c1-BRCA CIMP c7","p-adj-OV-like c1-Cluster 13 (HNSC-LUSC)","p-adj-OV-like c1-Cluster 5","p-adj-UCEC CIMP c18-BRCA CIMP c7","p-adj-UCEC CIMP c18-Cluster 13 (HNSC-LUSC)","p-adj-UCEC CIMP c18-Cluster 5","p-adj-UCEC CIMP c18-OV-like c1","p-adj-UCEC non-CIMP c3-BRCA CIMP c7","p-adj-UCEC non-CIMP c3-Cluster 13 (HNSC-LUSC)","p-adj-UCEC non-CIMP c3-Cluster 5","p-adj-UCEC non-CIMP c3-OV-like c1","p-adj-UCEC non-CIMP c3-UCEC CIMP c18","p-adj-UCEC Serous c4-BRCA CIMP c7","p-adj-UCEC Serous c4-Cluster 13 (HNSC-LUSC)","p-adj-UCEC Serous c4-Cluster 5","p-adj-UCEC Serous c4-OV-like c1","p-adj-UCEC Serous c4-UCEC CIMP c18","p-adj-UCEC Serous c4-UCEC non-CIMP c3","mean-BRCA CIMP c7","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 5","mean-OV-like c1","mean-UCEC CIMP c18","mean-UCEC non-CIMP c3","mean-UCEC Serous c4","SEM-BRCA CIMP c7","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 5","SEM-OV-like c1","SEM-UCEC CIMP c18","SEM-UCEC non-CIMP c3","SEM-UCEC Serous c4","Q1-BRCA CIMP c7","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 5","Q1-OV-like c1","Q1-UCEC CIMP c18","Q1-UCEC non-CIMP c3","Q1-UCEC Serous c4","Q3-BRCA CIMP c7","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 5","Q3-OV-like c1","Q3-UCEC CIMP c18","Q3-UCEC non-CIMP c3","Q3-UCEC Serous c4","count-BRCA CIMP c7","count-Cluster 13 (HNSC-LUSC)","count-Cluster 5","count-OV-like c1","count-UCEC CIMP c18","count-UCEC non-CIMP c3","count-UCEC Serous c4"
"ZNF195",0.999993079302779,0.848265434703092,0.978889337076536,0.959231548832553,0.999839603529186,0.989408285614683,0.997356053652654,0.999999999125896,0.913892322488114,0.991375758401829,0.74357509727718,0.99905247079728,0.991989989085204,0.999992532548385,0.463955894521402,0.841611906023247,0.999698818666701,0.985151183367175,0.99999999998076,0.705493590332358,0.999715984591337,337.54074,391.858,679.447,484.41616,403.054684615385,508.308718421053,487.1925025,95.8817933543725,NA,NA,133.163496645404,23.9438640303876,46.281755643315,40.6286088173555,195.3003,391.858,679.447,276.6504,295.21955,299.499475,301.470875,439.35,391.858,679.447,763.6484,495.7033,620.860125,621.6209,5,1,1,5,39,38,40
"ZNF263",0.993006786624489,0.999988023544221,0.999828602690141,0.638015483630598,0.999963514546842,0.99004020924586,1,0.989156018059489,0.999979610724835,0.288573330765129,0.999998790824492,0.993871807321876,0.999997623463686,0.380828797815793,0.999881857598745,0.986798595914072,0.999749260019514,0.999999764162532,0.774197601823214,0.650762318932302,0.85030751171259,802.2574,601.1823,735.8678,521.03646,803.012853846154,782.644534210526,704.1179925,53.1333565334621,NA,NA,82.9281290583274,40.6740565496976,55.9681778532343,32.1457649400387,750.2313,601.1823,735.8678,418.2,638.5285,562.901625,556.800325,827.7751,601.1823,735.8678,500.2137,853.97975,844.4823,861.318225,5,1,1,5,39,38,40
"ZNF200",0.999999097882686,0.156520819962641,0.518192098281495,0.999657635834682,0.999756028993956,0.0911143521156615,0.777804641559176,0.998567827509256,0.380400742894142,0.433800699386084,0.87325234726108,0.999517907185522,0.328693668156679,0.561143532336232,0.999677584369396,0.839933391534344,0.999259137347626,0.346601320856366,0.510793892396656,0.999976198490399,0.999999100829843,204.62612,220.0948,470.7071,180.21616,270.290576923077,261.583897368421,264.7809525,18.3991351851493,NA,NA,27.1751601141668,16.2112288031053,15.5071287113299,15.4396847438687,173.913,220.0948,470.7071,141.59,197.2236,188.3042,204.993775,230.8094,220.0948,470.7071,209.4017,331.0026,330.8416,327.5823,5,1,1,5,39,38,40
"ZNF582",0.981868146173828,0.286153874451586,0.93003181675139,0.293640136904731,0.999307233876228,0.963029730303445,0.978881003985681,0.998893994399537,0.410170681126041,0.357744325511174,0.594231968636378,0.99999997989791,0.683000937737763,0.887501064035721,0.518566014539051,0.103989507237754,0.999764628579547,0.91273358815595,0.999981220846649,0.00272218514674494,0.397877768999924,13.88356,32.345,63.8084,42.5222,22.1316794871795,30.7316605263158,40.1459925,4.76763966639678,NA,NA,13.7168821145332,2.85989072420169,3.23232361308972,3.56407702819072,4.6447,32.345,63.8084,20.2762,8.26985,12.086825,20.64345,24.0518,32.345,63.8084,57.792,34.3593,46.470925,56.039325,5,1,1,5,39,38,40
"ZNF285",0.559953508787458,0.999999997973416,0.787475455234113,0.127445157528684,0.999966772434725,0.702149814967459,0.999999999244818,0.449809950936907,0.999999999792609,0.00990707130358237,0.754565036597012,0.879047147471666,0.98870263199316,0.415137791498357,0.0292794097927765,0.245141948871945,0.97924132298332,0.913544713559629,0.898519054953066,4.36479980081561e-05,0.594110135892288,29.2213,138.3028,25.9723,121.79756,28.0262743589744,68.5446631578947,90.4563825,16.4520230842593,NA,NA,34.4291912231118,5.60783754285141,9.34984777060672,10.7585066977794,2.7752,138.3028,25.9723,75,1.81635,11.891225,44.590325,58.9875,138.3028,25.9723,171.8325,46.65675,109.297225,122.802325,5,1,1,5,39,38,40
"ZNF275",0.175995875384217,0.934399378178326,0.930454017705136,0.826818528621179,0.617197127938709,0.999944079249676,0.799533333406157,0.404953180451979,0.998754699868422,0.999695042151775,0.34793610689747,0.626731949133893,0.999998122847306,0.999901514116788,0.743764197928957,0.113748825803553,0.784597012847909,0.999999951548297,0.975682827013183,0.113137642366479,0.91144450018343,364.38214,1066.2701,668.5451,584.97928,536.535141025641,624.942444736842,692.1815075,48.2673576597331,NA,NA,83.3556514569012,34.4417728984527,45.2284717601346,46.1778348771601,294.0355,1066.2701,668.5451,435,395.74135,419.53875,459.848475,426.457,1066.2701,668.5451,668.0849,661.647,799.14105,881.1379,5,1,1,5,39,38,40
"ZNF37A",0.999999999993354,0.858480836210172,0.95091642563422,0.908619262897419,0.993028696353296,0.996228165005186,0.886805257172939,0.996932401663406,0.98275483431896,0.999902463530449,0.533465616236073,0.974985454098149,0.998354297645977,0.999951967138098,0.861255321426209,0.368042209486095,0.953302289650441,0.999613073002346,0.998120572549166,0.53137338889954,0.998316768773333,222.70838,218.6077,479.0438,356.15966,328.041523076923,381.121126315789,403.1051975,53.9889683405175,NA,NA,92.6181327548207,25.4284927694675,36.6965122150839,25.0228958843057,147.7807,218.6077,479.0438,220,195.68465,270.22665,292.711825,254.9439,218.6077,479.0438,483.8804,418.55055,470.34105,511.006,5,1,1,5,39,38,40
"ZNF510",0.976614339742159,0.510087336343741,0.987431076899663,0.999907132517652,0.99337272116581,0.633837199555022,0.708746100968266,0.999993006723945,0.858977378711137,0.917660292656573,0.965615210587119,0.998841698387735,0.700398724611056,0.998676078671276,0.85508959924082,0.883836361710347,0.999803533657703,0.778776909351267,0.985155832892772,0.991700022066488,0.996945125368031,157.96004,237.5685,328.6613,175.00524,219.951166666667,195.318828947368,206.5489225,33.4175086662306,NA,NA,28.7476314871434,12.2532182470722,13.3533026312916,14.8364496327839,104.9608,237.5685,328.6613,111.0038,172.4969,143.985525,148.07325,232.7749,237.5685,328.6613,232.9326,260.2436,252.159,266.802825,5,1,1,5,39,38,40
"ZNF506",0.97993134939256,1,0.994716461715873,0.974425834824195,0.999888561135074,0.998638944629968,0.999998889340025,0.956933117467304,0.99999999038748,0.83715308327928,0.8914421594814,0.999860082419245,0.997575489297494,0.99999999994189,0.0776369027365514,0.99540900906292,0.996315245082887,0.999937016972897,0.998163194736165,0.640013974885187,0.895430221360228,232.6981,541.3142,231.8264,419.62904,208.456720512821,424.312623684211,333.8646675,96.5707547920125,NA,NA,122.693492263309,40.5727507907623,75.4183449024413,41.843648356531,91.3965,541.3142,231.8264,287.4725,25.9734,119.3237,163.071075,429.7771,541.3142,231.8264,333.8675,309.98175,524.29645,490.258575,5,1,1,5,39,38,40
"ZNF324",0.963033951616646,0.999999998668327,0.986866863605463,0.952974370223704,0.726560715394445,0.998386458104433,0.994282965357581,0.831264857119978,0.999974949152701,0.994047996526374,0.985389392225807,0.800346907236554,0.99991321634978,0.998198331449194,0.999967440250917,0.955486609491093,0.748289300376992,0.999620983479843,0.999860566523896,0.993261329531216,0.999627120290184,169.47598,62.0876,175.0722,234.6566,201.945261538462,208.268160526316,217.801985,18.2944839452333,NA,NA,54.9272005123873,10.655691475806,18.8217035454029,18.9594986558665,141.0757,62.0876,175.0722,156.4835,172.6417,141.0898,147.34405,181.3136,62.0876,175.0722,307,227.42165,224.6578,260.1128,5,1,1,5,39,38,40
