"gene","p-adj-stage II-stage I","p-adj-stage III-stage I","p-adj-stage III-stage II","p-adj-stage IV-stage I","p-adj-stage IV-stage II","p-adj-stage IV-stage III","mean-stage I","mean-stage II","mean-stage III","mean-stage IV","SEM-stage I","SEM-stage II","SEM-stage III","SEM-stage IV","Q1-stage I","Q1-stage II","Q1-stage III","Q1-stage IV","Q3-stage I","Q3-stage II","Q3-stage III","Q3-stage IV","count-stage I","count-stage II","count-stage III","count-stage IV"
"ZNF195",0.633442482736132,0.249410275874481,0.992263327922382,0.31682310247166,0.841245139902137,0.902547034058802,432.541586138614,497.563434615385,514.65982826087,574.0395,18.6845035318046,47.4518140806109,50.941055379842,86.5228874700073,276.6504,343.694925,317.195025,374.61645,566.0986,572.22225,633.254425,752.641475,101,26,46,10
"ZNF263",0.436260058496788,0.999977188936311,0.514535530168506,0.305904797484948,0.9116179243949,0.340466609251328,768.404327722772,684.375561538462,770.203206521739,621.97661,26.3574465794971,31.1602138561172,41.2371250145175,63.2752818072454,610.9595,594.5283,600.81195,465.14885,860.9713,779.256775,860.6536,757.749275,101,26,46,10
"ZNF200",0.709504141232858,0.968603882302061,0.572442654542066,0.962624164370926,0.997151432993111,0.900232697318141,261.398763366337,239.725980769231,268.865939130435,246.59942,10.158964161035,13.3004674848252,12.2281712279527,25.2963238646637,187.245,198.067075,217.5301,202.70775,323.0352,266.277475,325.969075,315.657425,101,26,46,10
"ZNF582",0.52904355980487,0.908782005746283,0.884920700058311,0.910667474561895,0.996717078489292,0.991525104513234,36.2851465346535,29.2295692307692,33.4698217391304,31.07897,2.36433146465372,4.42483076475602,3.53347325167033,7.65140132584367,17.9271,9.2995,15.583225,18.054825,51.3906,48.415625,43.915925,34.62555,101,26,46,10
"ZNF285",0.993468956035694,0.755276938158957,0.774931381217938,0.986524191698497,0.998895159749905,0.841587980067265,69.662502970297,65.2391846153846,83.03255,61.12544,6.64290577544649,11.1145783484571,15.1960345660812,17.5341164244148,5.5218,20.933375,20.6972,19.998075,106.4987,85.937825,124.34695,85.239775,101,26,46,10
"ZNF275",0.45150995764284,0.998414918138172,0.622795948762345,0.955639087508355,0.543247563874286,0.940236283955748,609.877961386139,712.755219230769,619.116963043478,556.0194,30.7008946703983,83.1155587814623,39.5056589568119,84.0012250722505,409.3906,519.4925,417.760225,327.139725,745.9978,794.5366,809.1818,803.089825,101,26,46,10
"ZNF37A",0.996824934136873,0.548292618905067,0.865917459737109,0.999988256277224,0.999699081222067,0.917135967013363,356.68268019802,364.871576923077,398.952902173913,358.58159,16.3914655890828,26.7064437868238,33.1303659856337,58.5835764479611,221.6315,265.902825,263.022225,218.601475,460.0684,490.111325,511.0592,475.11645,101,26,46,10
"ZNF510",0.994787818415694,0.63675626634418,0.919066913348013,0.99031633515352,0.999302515403234,0.988984111127554,216.134395049505,211.415784615385,197.698995652174,207.35504,9.13661856763368,13.8126452050661,12.4136893111048,30.153262489154,157.1699,158.1846,143.3666,130.8478,263.1332,256.00905,262.68125,276.2356,101,26,46,10
"ZNF506",0.993032795237315,0.402180373008935,0.515926563431831,0.694520995081966,0.669356856131777,0.995057827083292,360.623047524752,381.166973076923,264.694556521739,235.68143,33.3012463965485,102.251528119863,38.4228593532501,52.257413544566,91.3965,37.2024,42.640075,100.78905,540.3226,427.52475,347.825675,292.75805,101,26,46,10
"ZNF324",0.999997318862042,0.661988145091707,0.831465736868485,0.999057758360296,0.999502870425075,0.891017815894637,198.881567326733,198.487284615385,217.595934782609,194.67722,6.9096753564549,22.9153534420965,16.8257711411759,33.4865340218914,153.739,143.548,155.4505,118.11745,229.1823,207.663175,253.429275,206.254275,101,26,46,10
"ZNF671",0.583509735311218,0.619145353388848,0.993947801830771,0.96140062375533,0.636345417801131,0.700057367663571,94.1897425742574,73.0401615384615,77.8390065217391,106.47735,7.70180490025505,13.8029227965173,10.3554616008183,30.2361582516006,20.7345,11.430875,19.856,17.804025,139.2045,129.31865,116.549475,164.039875,101,26,46,10
"ZNF416",0.457014926567251,0.812961699715418,0.905503683996862,0.995689449532781,0.705460098509627,0.908438858495335,125.769427722772,108.305219230769,117.278173913043,129.88811,4.50207705080823,12.0186232995644,8.75914441403702,26.6837744443924,93.1599,78.91185,78.282675,84.45395,153.2065,111.0512,141.96535,153.7563,101,26,46,10
"ZNF586",0.954078848383835,0.915394679496452,0.999999959973579,0.973518598721499,0.999853031744421,0.999843626755645,192.847466336634,175.978892307692,175.80512826087,171.91054,12.352363814378,22.3438155156509,30.0590643968909,41.0548332894576,101.7314,113.710525,71.114075,88.33455,242.2964,192.8929,220.314025,243.193875,101,26,46,10
"ZNF446",0.998299854328946,0.810535180728178,0.856464889598114,0.403416733095232,0.445393605110831,0.731973349481257,422.680874257426,429.586638461538,393.168532608696,326.09126,18.207210588024,37.2167337906647,29.6592698685538,42.7029435979645,311.9603,295.299175,278.27925,233.496925,508.7144,546.360725,511.10355,411.075675,101,26,46,10
"ZNF8",0.924056962801245,0.328136568369432,0.281356604221763,0.852773023502324,0.699206648110202,0.99961915341178,101.695712871287,94.3111576923077,117.925556521739,116.01303,3.86903560620377,10.9683282395579,10.7026081275329,23.7564645594277,77.2907,67.61435,72.465125,68.201775,118.1495,97.899225,136.2176,146.893875,101,26,46,10
"ZNF264",0.851135446865874,0.1446854870181,0.841202998016774,0.845996447699121,0.994384089946046,0.989274804553881,549.288555445545,509.687161538462,464.356895652174,488.78329,22.2902572113959,45.347978602421,30.2191311138722,86.2817988785873,393.5211,378.11675,339.11545,351.730325,704.2598,626.241275,604.68475,585.442825,101,26,46,10
"ZNF213",0.789946065660102,0.375722536857287,0.98696344134932,0.129438028420318,0.498287908385643,0.588392738286517,607.142637623762,564.449634615385,547.23347173913,455.11731,20.3300249568466,31.8173403769642,37.0597536116568,42.1841343623891,468.1763,463.4354,342.078775,369.153675,719.1901,652.6775,653.61315,494.560775,101,26,46,10
"ZNF343",0.830840111648523,0.293023611242929,0.17677482351299,0.134361536670576,0.0735117827975186,0.649354023139418,283.866036633663,259.384765384615,325.059367391304,378.37688,10.5860199089405,21.3184914490279,17.7891168234189,105.126812840136,208.0844,191.27725,235.767875,225.60855,349.25,277.7384,360.512925,376.552,101,26,46,10
"ZNF302",0.997921308557949,0.104336579209984,0.440608382416672,0.0211333158721771,0.0657393947978566,0.383344269415209,399.91670990099,414.179015384615,546.618486956522,747.2574,25.65183925623,49.5174254798076,63.6317731160819,270.967496707931,215.9194,218.20595,238.9599,345.93915,540.9214,499.58925,668.741125,688.53555,101,26,46,10
"ZNF268",0.999075627748119,0.859386452919171,0.969739669041099,0.888952087519347,0.943550196885062,0.99214794327225,289.762853465347,285.593653846154,270.367082608696,256.76631,14.3316131080928,23.4867781988428,20.5152692684182,35.6913608240346,167.9143,231.717925,179.135675,191.581725,404.5929,353.4226,350.22785,310.87835,101,26,46,10
"ZNF184",0.996285120567519,0.632320050354748,0.71377318062786,0.999478342749723,0.995683065765928,0.958887532477061,271.287891089109,265.019788461538,298.909306521739,276.17739,12.3608587164284,17.8565658922859,23.0025567462989,45.826933500953,192.0591,220.19465,177.5012,135.440725,340.5253,288.095725,379.3366,396.09455,101,26,46,10
"ZNF500",0.971070118110396,0.888456502863076,0.794636326459561,0.881106377758297,0.978679784387382,0.708123671337131,238.878074257426,229.981784615385,250.622341304348,216.44866,9.40120116098082,14.2559304623732,14.4833242998806,21.1678203723808,176.6613,181.47715,175.731625,179.5032,292.2857,283.646025,315.817775,266.85115,101,26,46,10
"ZNF419",0.529470719116051,0.998208657660536,0.696073384379179,0.983412514055984,0.96428431838019,0.993900708008031,221.991362376238,187.757973076923,218.490993478261,208.11217,10.4716884465253,18.9635710345782,21.0284308416101,34.472053655853,155.8596,121.395925,131.14575,124.1649,269.5531,232.075875,254.580675,290.26955,101,26,46,10
"ZNF175",0.936853495969073,0.993790602293608,0.892204266147204,0.999979237635005,0.989578002050399,0.998263683079029,102.021395049505,95.2406538461538,104.46805,101.34524,5.63844234652233,8.17104754467632,7.5244728858917,13.9759415847711,55.7533,75.1844,67.942225,79.547525,147.0236,118.436925,140.287275,124.35225,101,26,46,10
"ZNF14",0.999714621453764,0.587722431061135,0.750407768720457,0.933398293459049,0.936485306094349,0.999827575834736,273.832671287129,276.919053846154,239.782923913043,243.92134,16.6597185196318,28.9883254653844,18.0268057815703,31.6743598251232,182.3174,187.2915,141.739825,161.74535,300.5457,344.2733,305.582125,313.7386,101,26,46,10
"ZNF85",0.380740591695716,0.941563174965329,0.735992670640517,0.781671546319885,0.999572920235866,0.929860609757407,147.648328712871,187.478415384615,159.071241304348,183.01829,9.48505927026251,32.971686536194,16.7708794557193,32.2549127104296,78.8057,83.483575,73.1096,108.024075,194.019,220.278525,213.515,262.446575,101,26,46,10
"ZKSCAN1",0.704905879243016,0.999898194197331,0.796129634794322,0.657920544948643,0.347025799962553,0.672834602318967,497.280885148515,579.101326923077,501.31952826087,365.18657,32.9612232979804,85.4718253463902,51.1210632866179,56.7442529209964,232.7962,232.149775,229.177025,268.476725,738.8799,859.277425,680.84725,453.94355,101,26,46,10
"ZNF862",0.958062681903644,0.995329570362787,0.992298253603999,0.828061299937342,0.714700154773815,0.78737572897687,503.296243564356,542.011461538462,517.992832608696,404.31127,33.323040856666,70.5762277292709,57.3222087546469,81.1440713796586,269.4711,265.15225,325.963675,204.885025,685.1393,774.68285,605.398225,512.2653,101,26,46,10
"ZNF684",0.999035186891756,0.103817175904346,0.417853857556135,0.783005636374554,0.874095766923947,0.992745436829253,52.9735267326733,53.8078923076923,64.0871152173913,61.47524,2.2202202687174,5.16082836730373,5.24748968447727,9.97673072775067,37.7261,36.123975,41.500125,42.08435,66.7226,65.2291,74.798625,87.8123,101,26,46,10
"ZNF430",0.769056493474573,0.984842135865674,0.928939512043005,0.972848115041426,0.774555859061867,0.934755316308773,72.7632336633663,84.9615730769231,76.3716369565217,64.53195,5.41890334992901,13.7784270652836,8.58303045914902,14.1423013486274,33.871,39.510775,28.453475,24.633375,100.2387,113.011375,120.82825,103.75705,101,26,46,10
