"gene","cluster 2-cluster 1","cluster 3-cluster 1","cluster 3-cluster 2","cluster 4-cluster 1","cluster 4-cluster 2","cluster 4-cluster 3"
"ZNF195",0.723267556682401,0.000287013805742475,0.00404005053811796,0.108838439376994,0.511334940354221,0.238707222367487
"ZNF263",0.614190290117743,0.676703753663866,0.998843005442782,0.943608909336988,0.233344212320447,0.270113068039852
"ZNF200",0.437499432625608,0.755213830829195,0.927010746096675,0.990531451880746,0.590292691344972,0.893088268534298
"ZNF582",0.75154446063534,0.308185302055212,0.0144881482939961,0.996521255213908,0.846014884358989,0.165231119844439
"ZNF285",0.663382741010889,0.0056514523334853,0.0792097488579744,0.267144559493858,0.861109647713769,0.438541104468928
"ZNF275",0.699170143260764,0.877007574015966,0.171820543664091,0.671140740278195,0.0864973785132992,0.963267388045757
"ZNF37A",0.265020509561564,0.117657421054098,0.977912070656339,0.100066336952665,0.932043275893799,0.995511332643743
"ZNF510",0.990297741351121,0.839540994105028,0.939427409675859,0.972437208744389,0.857167941948421,0.521594177953623
"ZNF506",0.540669298105176,0.0196979887394974,0.307124105520528,0.0426784102084922,0.440853742874027,0.99937849392535
"ZNF324",0.993756348738055,0.917916577681442,0.975931808939856,0.25183868360013,0.301167896663757,0.495156713794221
"ZNF671",0.588496646304473,0.0646579693060664,0.54474105583704,0.0113055674782272,0.160662234540624,0.812583157525782
"ZNF416",0.995805385711445,0.196177268972134,0.214914825988689,0.728747250385005,0.809811502609417,0.781620044791502
"ZNF586",0.986522086819904,0.110829187348747,0.15109710976283,0.333663941220206,0.448585495924919,0.958828982990605
"ZNF446",0.844313255183147,0.102464424122072,0.373662021318293,1.38472082378271e-06,6.95190997246353e-06,0.00165239040305998
"ZNF8",0.416704547196318,0.297177638069999,0.997284425095279,0.0880645289913221,0.769894830413821,0.851603956949293
"ZNF264",0.286502579849818,0.159645533798352,0.991149359163822,0.111466594073233,0.933487884624837,0.987302647432034
