"gene","Cluster 13 (HNSC-LUSC)-BRCA basal-like c8","Cluster 14 (HNSC)-BRCA basal-like c8","Cluster 14 (HNSC)-Cluster 13 (HNSC-LUSC)","Cluster 5-BRCA basal-like c8","Cluster 5-Cluster 13 (HNSC-LUSC)","Cluster 5-Cluster 14 (HNSC)","Cluster 6-BRCA basal-like c8","Cluster 6-Cluster 13 (HNSC-LUSC)","Cluster 6-Cluster 14 (HNSC)","Cluster 6-Cluster 5","Low purity c2-BRCA basal-like c8","Low purity c2-Cluster 13 (HNSC-LUSC)","Low purity c2-Cluster 14 (HNSC)","Low purity c2-Cluster 5","Low purity c2-Cluster 6","mean-BRCA basal-like c8","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 14 (HNSC)","mean-Cluster 5","mean-Cluster 6","mean-Low purity c2","SEM-BRCA basal-like c8","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 14 (HNSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-Low purity c2","Q1-BRCA basal-like c8","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 14 (HNSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-Low purity c2","Q3-BRCA basal-like c8","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 14 (HNSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-Low purity c2"
"ZNF195",0.995510545429761,0.999892898006866,0.994079983620843,0.964553152011309,0.993818556454404,0.652859127293597,0.987832794906767,0.999977825050324,0.908827189201844,0.943742622704965,0.999804471275882,0.996492684005231,0.999999824163957,0.708274283995301,0.935533687937056,241.9757,397.359,311.5742625,467.664852857143,419.864922222222,320.6198,NA,56.4664826143085,41.1556455912575,39.2056796278491,32.3806381802035,70.1146495675348,241.9757,292.6525,254.017125,243.914725,266.1362,215.13735,241.9757,459.0164,404.8125,541.328075,562.1013,358.75015
"ZNF263",0.999999931150392,0.999835530690873,0.991664025056288,0.999978425583417,0.99594895125139,0.99978878733055,0.999974321645245,0.99573417373379,0.999869425508608,0.999999991153018,0.999772244174631,0.998446375516931,0.86345816785039,0.808817063833528,0.817194165113142,588.7378,578.07376,638.0292375,619.780371428571,621.014102222222,536.0724625,NA,90.9798133332972,45.93280052943,20.9940398866882,29.5355075861125,28.9729480073712,588.7378,468.003,575.524475,506.9457,455.5942,510.19295,588.7378,602.2806,707.113,743.730725,731.4253,595.7984
"ZNF200",0.999997601199503,0.99999952085827,0.999163927348562,0.999982520548741,0.989235780817347,0.999931380333013,0.999999479632255,0.99803508270981,0.999999999997854,0.997894502350333,0.995986343895898,0.859815323448435,0.946698959911606,0.922463116116996,0.847845681918844,262.8912,273.73408,255.2891375,248.035544285714,255.523906666667,215.273625,NA,32.8588509660852,35.5737517202137,11.6654750953457,11.8175286969829,17.6208782261043,262.8912,224.877,197.363025,182.995225,209.7902,175.610325,262.8912,337.7167,289.37405,281.0064,288.4042,248.0916
"ZNF582",0.999999506661813,0.999851031403302,0.999552448746112,0.957656832862265,0.32717536260486,0.0358278913205001,0.999169897652182,0.928417083235573,0.561864544665648,0.115495227742836,0.876905127071833,0.236397336305483,0.0499140670412785,0.954783247990818,0.287672079223208,15.1235,12.88422,8.284375,36.7518457142857,24.3851688888889,44.892825,NA,5.84899598233748,3.47281049423076,3.56939491079712,3.05097479402336,6.78731823854895,15.1235,1.4507,1.300175,14.640425,8.8372,31.59275,15.1235,16.7364,13.39445,49.90755,36.0825,49.421125
"ZNF285",0.999953365227561,0.999997485555968,0.99997420994485,0.961980406407097,0.77171677259915,0.398205342545993,0.974546920322243,0.859897286291489,0.549497989048411,0.999056921185057,0.796733123915629,0.353710967880123,0.139941192703526,0.727927146200988,0.635767280609512,11.9057,31.09428,22.2326875,84.3659271428571,78.1905444444444,129.757425,NA,10.2011124754803,4.59111654784221,9.23243468238048,11.3916093641371,75.4764756012943,11.9057,14.3671,16.432975,37.1401,27.2851,24.3825,11.9057,39.4611,26.09575,94.366625,99.6306,132.5383
"ZNF275",0.996604800401603,0.997974903084264,0.506052210620724,0.999911959095737,0.986791186704386,0.434092075360686,0.999999998802189,0.890015812302023,0.801941527356583,0.888937571161814,0.999999951236276,0.907951868183966,0.964119850837901,0.973250377296543,0.999949969687716,463.3577,582.83174,359.5784125,515.172617142857,468.856855555556,451.2477875,NA,189.914669573508,67.6951229619251,23.6288628351212,37.6390035303337,48.5256336084137,463.3577,291.7155,222.736125,400.526425,288.5538,329.16115,463.3577,857.1429,423.902025,657.123975,529.7552,532.823
"ZNF37A",0.983555300566482,0.945536996035549,0.999141129803021,0.999456128985272,0.947240359842674,0.556503808332746,0.999973183105365,0.835757829178752,0.338443720748843,0.967802632443959,0.998759733648106,0.99214573464759,0.889420100714261,0.999923992375139,0.989966559479379,462.7142,336.51222,301.4622,406.348987142857,431.994366666667,392.3551625,NA,65.1812493876145,47.3620762872688,19.6768092325007,28.3195229284182,32.2857497475055,462.7142,262.6498,217.332775,282.66645,332.3962,313.11235,462.7142,415.4214,403.4001,476.6857,503.2503,432.168925
"ZNF510",0.973575124701232,0.972156548975422,0.999999996885074,0.954160719523961,0.999999464142646,0.999990356362292,0.992368024731507,0.994916153954748,0.990424181851917,0.662394286154148,0.948306946328086,0.999960291464301,0.999848284181879,0.999959274844671,0.935466776609359,264.8218,191.63406,193.1024375,188.29359,213.544513333333,181.8665625,NA,35.1106359505578,24.4784955393792,9.5288574824438,15.9267435628408,14.9783506803741,264.8218,135.0227,156.450925,133.985425,137.7274,153.406475,264.8218,200.7001,219.36825,220.421425,243.6755,198.746575
"ZNF506",0.417170382988903,0.133334845410627,0.909712873819562,0.792351374593259,0.561269044893453,0.00551945805322862,0.687726929596763,0.818261774265227,0.0335043313873138,0.926849963107534,0.52795872756815,0.997928794896437,0.557586808505636,0.733411639140085,0.953284770081897,808.6236,273.67828,122.53815,472.82891,424.803511111111,338.37075,NA,57.5814913664921,34.718101913766,35.8904437952216,34.1345115931716,51.318985385037,808.6236,280.2843,26.92145,246.757125,297.5361,262.2016,808.6236,346.6826,186.51605,599.126675,541.9367,450.4657
"ZNF324",0.995921318776908,0.99996955538534,0.777054749630427,0.999971621525613,0.967420829972241,0.911568601077969,0.998701625110968,0.999535341376089,0.628112360944962,0.863507288549589,0.999999999450358,0.937742710701946,0.997964958281652,0.998034857016759,0.920755412561011,186.952,250.20526,164.5262625,207.946168571429,232.878017777778,189.4660625,NA,72.5308840607682,24.2112202215429,8.82339199726416,23.5560231244379,42.6745172263342,186.952,175.1135,131.4244,155.828925,148.8764,139.094075,186.952,243.8733,200.17065,240.989225,251.6401,167.69065
