"gene","T2-T1","T2a-T1","T2a-T2","T2b-T1","T2b-T2","T2b-T2a","T3-T1","T3-T2","T3-T2a","T3-T2b","T3a-T1","T3a-T2","T3a-T2a","T3a-T2b","T3a-T3","T3b-T1","T3b-T2","T3b-T2a","T3b-T2b","T3b-T3","T3b-T3a","T4-T1","T4-T2","T4-T2a","T4-T2b","T4-T3","T4-T3a","T4-T3b","T4a-T1","T4a-T2","T4a-T2a","T4a-T2b","T4a-T3","T4a-T3a","T4a-T3b","T4a-T4","TX-T1","TX-T2","TX-T2a","TX-T2b","TX-T3","TX-T3a","TX-T3b","TX-T4","TX-T4a","mean-T1","mean-T2","mean-T2a","mean-T2b","mean-T3","mean-T3a","mean-T3b","mean-T4","mean-T4a","mean-TX","SEM-T1","SEM-T2","SEM-T2a","SEM-T2b","SEM-T3","SEM-T3a","SEM-T3b","SEM-T4","SEM-T4a","SEM-TX","Q1-T1","Q1-T2","Q1-T2a","Q1-T2b","Q1-T3","Q1-T3a","Q1-T3b","Q1-T4","Q1-T4a","Q1-TX","Q3-T1","Q3-T2","Q3-T2a","Q3-T2b","Q3-T3","Q3-T3a","Q3-T3b","Q3-T4","Q3-T4a","Q3-TX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.999999789939336,0.999999522698922,0.994457258227784,0.999944481077406,0.999986073036725,0.991850580830034,0.999973325075408,0.999995994119501,0.993633708658531,1,0.999932936370246,0.999974083877302,0.986413648306859,1,1,0.999988719690676,0.995364259997358,0.999999982146689,0.989605073023971,0.991704703382017,0.985549182379041,0.976434878607737,0.977014314418115,0.904889631591331,0.997836205093084,0.996681358294689,0.996946008706711,0.892698210746391,0.976988376677869,0.94486528506049,0.773129316645904,0.999536964147076,0.998899884406276,0.998973376323571,0.810758146032618,0.999997001034929,1,0.999999993778725,0.99999854088183,0.99998715132287,0.999994746815879,0.999985929245421,0.999979320664095,0.984162684133021,0.988586083762625,520.6094,487.336445945946,562.159773333333,440.216575,448.630766666667,443.353318181818,589.345585714286,255.72725,340.763671428571,511.72162,70.8818679501982,28.7836914387854,83.9965892719911,95.3946936996119,85.7089685319292,94.6138435821859,208.740355659451,45.46165,74.9378856203517,101.169575371702,426.194275,296.5129,376.99415,207.514975,254.8057,230.2147,240.06565,232.996425,226.323,299.1015,630.32,604.963175,683.02345,545.354075,743.2839,572.2725,769.28985,278.458075,354.12345,676.7025,260.124331578947,430.225306127451,236.7347,373.06695,140.37525,339.9581,257.7839,525.197125,33.3588689056481,12.174594759865,1.65392181314218,1.57588621355467,0.725891034715826,0.656163369142771,"BLCA"
"ZNF263",0.999894262967843,0.99999999624677,0.999918388635204,0.622395972415116,0.46283552253685,0.441274467736443,0.990723017725853,0.99805473734679,0.987016404603276,0.985507952383792,0.983290044694841,0.992914867253147,0.971675542367676,0.985942969127587,1,0.971267617955522,0.986871506682854,0.95873534879749,0.998939371152899,0.999999895351361,0.999999977422945,0.999513355872371,0.999987429488143,0.999755853012559,0.999784439833007,1,1,0.999999999839712,0.999675451248512,0.999999506705952,0.999822626418569,0.941186253031526,0.999999006096143,0.999995181004317,0.999915487382143,0.999999930117506,0.997920720899026,0.999914730228864,0.998337111641756,0.992945792365931,1,0.99999999996595,0.999999809269369,0.99999999999871,0.99999995850966,678.718533333333,636.406935135135,663.775026666667,494.94955,586.001488888889,581.6387,563.350471428571,580.7932,615.228128571429,591.513,56.3555641570949,20.5507342770083,49.2675702984693,58.731235951311,46.3723667808763,45.5506782029123,76.2899014662139,7.23849999999999,61.842283380801,82.5425017437623,570.688925,527.1533,542.12205,361.60615,458.5697,476.7604,419.31025,577.17395,521.12085,452.678,735.069275,735.9918,808.83695,601.22785,670.9241,667.42975,694.43075,584.41245,738.29875,623.4307,703.85847368421,614.944756862745,670.5019,594.16405,584.97895,803.8608,498.351525,708.51465,42.8528321316433,8.20463271294209,0.873676711802497,0.886148197342916,-0.194828559510757,-0.174380103000187,"BLCA"
"ZNF200",0.999999999881911,0.999996612953357,0.999979203860266,0.999998426880766,0.999997409581642,1,0.999999999949225,1,0.999999585914348,0.999999839760044,0.998447968140516,0.983916209441151,0.999921857674797,0.999982829290971,0.998804575824062,0.999999991706557,0.99999999944378,0.999999997681952,0.999999998721519,0.999999999979473,0.999813579778617,0.867859520133724,0.795220282627887,0.91341917762756,0.936396028698627,0.870330260220847,0.981904823285703,0.91031537350505,0.983886098830876,0.919558707850368,0.995178694010632,0.998257873604574,0.984022621435327,0.999992279365757,0.994716379599831,0.998205995124106,0.999909853903809,0.999780051267656,0.999999601538282,0.999999871721892,0.99996278239822,0.999999999896683,0.999995447542193,0.98336601027721,0.999984280518616,261.992033333333,257.169116216216,244.578293333333,244.1583125,256.540922222222,223.953163636364,251.828628571429,143.56975,204.789628571429,229.99084,32.6009943427974,11.5784223430903,21.5361188883554,19.6503258494651,16.8289039887215,28.4841644871681,52.6231798368665,46.65485,27.3202746884653,40.25328130961,202.8266,189.443075,195.35545,210.16475,249.2476,164.7034,174.0528,120.242325,156.1075,166.4803,331.909475,307.715,270.8274,274.534975,280.7279,274.03485,257.16915,166.897175,221.62675,254.9838,171.431294736842,234.061019607843,178.4257,222.7771,140.8752,193.8738,183.0036,271.787025,9.01498285709798,3.92154884790244,1.3653342580603,1.24857069357161,0.449254191739725,0.320277508392945,"BLCA"
"ZNF582",0.496346539293657,0.947062074131027,0.993514210077615,0.986669971411198,0.996322494582865,0.999999999667328,0.794716852454887,1,0.999833547686333,0.999709447583335,0.98520972874336,0.982247198071868,0.999999978341801,1,0.99895072590292,0.741509200471081,0.999999985593301,0.998770364866074,0.99841681280318,0.999999990686531,0.995705378732141,0.996006572657818,0.999999949701287,0.999999999668794,0.999999987078251,0.999999991152671,0.999999935777759,0.999999403139313,0.222387243116409,0.934881937934278,0.746078638844311,0.798990852881075,0.983144234855411,0.692556854728085,0.997396246731941,0.996596378261503,0.989650900019581,0.999804869317104,1,0.999999999996288,0.999976593171108,0.999999999653695,0.999778319706324,0.999999999640668,0.921087900972643,54.1468,29.1942689189189,36.6947466666667,38.32915,29.6748222222222,39.0588818181818,26.9444857142857,33.88585,14.4066285714286,37.03628,9.57548612043622,2.8273423196258,7.66897096612221,13.8678792469582,7.21452738291478,12.570602419316,10.0424097853963,12.34925,6.74284763073381,13.3458608628818,41.467875,9.741975,12.84525,19.25505,18.7185,12.54955,10.80975,27.711225,3.0953,7.7187,72.131625,39.243275,60.3332,39.11925,38.961,44.3297,32.25355,40.060475,13.57465,51.6129,46.6535368421053,29.9055056372549,48.8235,24.7044,37.5085,58.82955,11.0867,42.3667,4.10799538771052,1.20968792196582,0.641012614723454,0.505994039755446,-0.641575346436647,-0.982807703773913,"BLCA"
"ZNF285",0.585661568349065,0.945432560136915,0.998934117414326,0.961737789833761,0.99997531421301,0.999999999996673,0.39525470610899,0.991527250380717,0.938312968649777,0.983750636317571,0.373074309838518,0.990967582085136,0.933884251461598,0.984545233121844,1,0.900434652144681,0.99999999998366,0.999996376548008,0.999999829858442,0.998750734661493,0.999014986774078,0.999646947250138,0.999989964196355,0.999999999805409,0.999999997886201,0.99746611546287,0.997904427530244,0.999998799648422,0.697075504104373,0.999988611500427,0.997421827764932,0.999543496866566,0.999998340382857,0.999999435083428,0.999995318311924,0.999831352609792,0.491466778296797,0.993473141327258,0.954966095879047,0.983668486176809,0.999999997962904,0.999999973120935,0.997961290633204,0.995919494641668,0.999982886921844,132.80365,76.6240675675676,90.8076133333333,88.4585625,53.3961888888889,55.1723272727273,79.1510428571429,97.146,65.1324571428571,47.29218,50.099420100428,6.72805010518466,19.5345452567371,23.2017912686325,15.1541243226926,16.4637685659262,37.189984736433,8.8369,29.4924599028767,12.658928552346,44.35765,39.237325,34.32225,50.520825,27.2851,17.10745,10.3824,92.72755,19.0787,35.6977,163.58915,100.394,140.6883,109.649775,37.66,89.0794,125.3202,101.56445,79.35415,71.6846,54.8541947368421,73.250225,47.1448,54.67835,30.41575,72.2767,28.509925,95.782175,7.46189279348676,3.39851222414381,1.33536232463918,1.15979599022586,0.417231242315998,0.213871055547738,"BLCA"
"ZNF275",0.97509418454772,0.918163415962385,0.999648342450655,0.990455989029037,0.999999999471335,0.999999518485145,0.992543954907462,1,0.999995825652796,0.999999999999773,0.998821906202881,0.999999245222613,0.999179898098872,0.99999884514004,0.999999778769608,0.997519485643349,1,0.999983007124224,0.999999999233247,0.999999999990819,0.999999997915584,0.999789617156976,1,0.999999959939567,1,1,0.999999999036604,1,1,0.974256956556303,0.915088957942374,0.991536590787891,0.993470864541253,0.999112973993686,0.998021936074382,0.999856339526314,0.755152298688794,0.965188513442312,0.999181214337157,0.995999387841427,0.992724498178364,0.961870122261824,0.990819817444683,0.999647904899531,0.75148601370374,337.08075,465.329497297297,513.91736,479.101,471.017355555556,438.285636363636,459.138671428571,468.70085,345.256942857143,612.28594,38.3504265521585,31.9497648469908,65.8378617605357,87.5519805414801,82.0265738839895,76.1471664036725,79.6323967577019,154.15255,71.9633377598881,127.535263251795,286.381675,298.313325,358.835,228.81485,276.5753,358.3771,296.62245,391.624575,252.2067,397.4183,337.9067,533.559175,578.35815,706.08525,568.9444,419.64735,646.86225,545.777125,371.84325,825.7021,491.474110526316,450.742451715686,482.8844,411.21395,371.15155,599.85295,296.365275,531.62895,36.6759468476011,11.0084461411422,0.917123490458103,0.851578452316952,-0.124812089446066,-0.231788649475702,"BLCA"
"ZNF37A",1,0.999999999998658,0.999999999949631,1,1,1,0.999999976052136,0.999998824227179,0.999998127617215,0.999999879275442,0.999999999630808,0.99999996304697,0.999999866833007,0.999999996540101,0.999999999974995,0.944196870014959,0.693383905680827,0.872857091295813,0.922504949176643,0.792663499881373,0.8054846574357,0.99999999842665,0.999999996322197,0.999999999808612,0.999999999121762,0.999999377600871,0.99999988154675,0.998994597260174,0.990235942192067,0.907404923695076,0.94630223962184,0.981222768155293,0.996210465238848,0.989574279853407,0.303229153108098,0.996927348008865,0.999687944365674,0.997072709158439,0.997782942090491,0.999347513299907,0.999965462691866,0.999836262078268,0.637995623318779,0.999767332579415,0.99999968552241,373.126433333333,373.949491891892,379.51344,375.3119125,352.506511111111,360.675663636364,504.825957142857,396.67625,271.841585714286,302.46206,43.149670260692,23.3098370418152,41.7543995341544,51.6551380134896,38.2813294141451,41.0786818255235,74.2184037498589,137.66985,47.4621008455941,57.3775625295864,348.821525,257.925175,281.2003,269.25825,278.8439,301.7094,375.41,327.841325,199.5442,186.9701,436.817025,418.129,442.5704,436.21305,419.7487,426.0217,642.18715,465.511175,329.0591,431.511,398.953421052632,362.390430882353,414.1176,334.27,252.49285,499.45385,245.02235,436.331425,39.6859300438161,8.21731359891941,0.908352734327211,0.807186171271156,-0.138675456792607,-0.309026636510265,"BLCA"
"ZNF510",0.999999803880923,0.998879446375982,0.99640439376596,0.959539331735088,0.882874970831796,0.99940469432567,0.999860825164632,0.967027651272232,0.832664565433085,0.563917148169503,0.999999902885506,1,0.999837302707729,0.972907415273185,0.992402876574998,0.999999774963654,0.999999999981029,0.999982066643559,0.990863478913969,0.994959057819751,1,0.999986220098705,0.999574893052325,0.992606865774927,0.944146437046412,0.999999999999027,0.999706215527165,0.999680938414779,0.998940124280768,0.932709375056384,0.769621508935462,0.5016554401127,0.999999975580528,0.978247170345752,0.984868636265398,0.999999999999488,0.999999928581977,0.999999999999308,0.999991663592149,0.99504422324154,0.997913975550358,1,1,0.999798403820126,0.992729705284197,172.599216666667,183.241363513514,206.003726666667,233.9759625,144.387755555556,184.353245454545,186.766057142857,139.3191,134.394914285714,186.14594,24.083165177684,9.17877592420082,30.988716947232,35.0221017604187,15.3516803147635,49.2089300170265,22.0310271779193,50.9055,16.1010541361121,30.4242764707166,132.846125,124.258675,121.46835,157.5842,112.7785,106.3949,151.18155,113.86635,107.55355,143.4292,200.3326,200.56535,250.265,276.435875,167.9587,167.6721,211.19355,164.77185,155.63215,207.5918,217.6011,173.736771078431,197.4674,156.69045,128.6015,300.39935,122.4156,204.3791,24.7928465854427,3.85513889682882,0.798418625082462,0.793500344867051,-0.324782719401701,-0.333697244810047,"BLCA"
"ZNF506",0.999999351782849,0.998817705217172,0.997718240539403,0.985011328795075,0.96858446130594,0.999974057208132,0.996458081410427,0.994416952399442,0.999999966888975,0.999999944881046,0.797264493587323,0.435215936175075,0.967605313198169,0.999883018759351,0.997226665810307,0.999533155920019,0.999784603602251,1,0.999995886875097,0.999999997361509,0.992761360989744,0.999968656870515,0.99999705902448,1,0.999999967041778,0.999999999997169,0.999876218098777,1,0.817213028292295,0.608974925992865,0.971874324060874,0.999734236253467,0.9964043606268,0.999999999802994,0.991464715660282,0.999745198453088,0.999162917408139,0.999591717566057,0.999999999422173,0.999999941330813,1,0.998985362696237,0.999999999945342,1,0.998382233245938,555.984,519.502954054054,455.294373333333,397.7826,429.392888888889,324.851545454545,452.709457142857,446.32265,308.107471428571,435.13016,87.9293564744107,33.3615837442656,62.034795957211,77.6163935022934,86.2943546222261,50.9454682028349,147.653261187726,72.83195,74.3028760237824,126.734218108353,380.364125,278.54615,282.45195,307.5264,270.8033,202.69135,254.8726,409.906675,201.3782,281.2519,654.77825,698.571675,627.51855,366.3662,500.7973,431.12895,489.4575,482.738625,439.5266,643.0227,362.297152631579,431.600206862745,321.8659,381.56475,232.00375,513.6455,250.47665,573.434175,39.9497147147689,12.1604464961244,1.19128787992888,1.18547739912802,0.252522088902637,0.245468158411034,"BLCA"
"ZNF324",0.999999248284059,0.576026560190468,0.0937186690797287,0.908493932174513,0.773850647376907,0.999985626027901,0.999999999987117,0.999999929062568,0.453344507011677,0.886291285967524,0.999968634400372,0.969378720891453,0.0664408134958063,0.44071755219729,0.999608751542258,0.997046424044288,0.857420975062112,0.051441496527,0.304785521003691,0.987431999531795,0.999978000732194,0.999730731341535,0.999936455803825,0.999839902020251,0.999999258047111,0.999831095450626,0.990883108459636,0.960129220891706,0.970178246790536,0.568322233419562,0.0149745996880342,0.143514430077019,0.915184579855127,0.997249348804145,0.999998627557565,0.892244073341766,0.999450345015619,0.967671831247748,0.172717488994919,0.51525657742464,0.99747328398423,0.999999330740098,0.999999999979279,0.979587597919476,0.999993229496398,193.029933333333,203.047554054054,264.41676,249.9205,196.667955555556,174.6232,157.800471428571,231.2908,144.291,162.06126,15.1978152756389,8.00354503529876,30.2049816492748,31.9986526639404,19.7985967658914,19.3937108407058,16.8495673058859,17.0579,16.8077591546994,23.1147619860902,173.48105,168.127325,183.42505,193.37045,158.6456,140.71935,135.3758,222.76185,126.49515,134.446,212.197075,235.279625,298.45,289.9024,246.1264,195.76655,160.72115,239.81975,171.6486,172.6165,226.818973684211,197.984133088235,216.8541,188.6647,197.799,260.15625,145.29805,231.4009,12.9327536046636,4.22902795021486,0.872872890095514,0.870007530408694,-0.196156514549698,-0.200900206527995,"BLCA"
