"gene","p-adj-Low Grade-High Grade","mean-High Grade","mean-Low Grade","SEM-High Grade","SEM-Low Grade","Q1-High Grade","Q1-Low Grade","Q3-High Grade","Q3-Low Grade","count-High Grade","count-Low Grade"
"ZNF195",0.000749620607920165,415.344837349398,606.552965,13.1162160708628,71.9327917793354,253.00945,336.8868,505.3149,808.875775,332,20
"ZNF263",0.228940387811851,609.007600301205,655.925095,9.3228691054982,34.5756788601403,485.831025,558.293725,702.43275,760.979875,332,20
"ZNF200",0.569675406922745,234.90629186747,224.3181,4.30836873632066,25.4346388437915,183.0036,161.480575,273.3454,259.138375,332,20
"ZNF582",0.00425056437152249,28.8907237951807,44.539855,1.29110997555892,5.6307567917198,10.4538,26.285125,40.987875,64.10445,332,20
"ZNF285",0.209089344660289,71.6794728915663,92.120855,3.92701661546323,11.1738864174007,27.080025,74.99725,89.72555,115.371575,332,20
"ZNF275",0.228074767067355,449.74254939759,512.464305,12.3538237811807,52.4126939956029,295.5187,369.35555,530.2266,583.7227,332,20
"ZNF37A",0.298253852911583,367.093828012048,326.94135,9.20064659174243,36.4896576650891,251.421575,198.754025,439.134125,420.08905,332,20
"ZNF510",0.955661930110086,175.397928313253,176.42646,4.29616524848149,24.4928108438808,123.91485,104.236425,206.71745,227.79195,332,20
"ZNF506",2.28821809874491e-05,419.83952560241,665.255085,13.5817336053747,58.675559418329,243.675775,501.592875,562.90785,761.991475,332,20
"ZNF324",0.343247581705027,197.746397891566,217.02056,4.9479049568054,9.28205071093894,144.8548,198.752525,229.9056,238.272875,332,20
"ZNF671",0.00419966177927478,60.8657292168675,102.83593,3.28947434280793,23.5864215888898,18.8767,20.77275,80.258525,140.196725,332,20
"ZNF416",0.674820573626125,121.099401204819,126.34808,3.02165925856926,8.62161951242524,86.657675,93.622475,143.71405,147.453725,332,20
"ZNF586",0.00160043151902423,191.474577409639,254.19541,4.73568879747925,16.4424779634142,130.562825,199.326325,236.0885,315.698375,332,20
"ZNF446",1.29685573391214e-09,342.133338855422,625.127315,10.5887196018765,58.0070425053977,221.38045,389.9469,405.771,779.88225,332,20
"ZNF8",0.302231205445964,113.64321746988,99.321525,3.35361095752799,9.27408099042668,76.1887,67.9839,137.291375,125.9437,332,20
"ZNF264",0.0244480391232285,639.610589457831,780.519425,15.0739511240137,42.9250665596393,460.72775,670.75995,776.839425,889.8256,332,20
"ZNF213",0.00115082184645543,510.706266566265,663.253875,11.1674255103988,39.5635418375048,367.09185,580.39745,610.717575,696.483275,332,20
"ZNF343",0.969345223257285,288.399849096386,289.324385,5.67758311204788,26.8265902324033,220.98265,213.311875,338.149975,368.7649,332,20
"ZNF302",0.00693224207887921,416.145206325301,612.03772,17.0850618201128,77.1880088277006,236.036075,422.11945,481.003125,629.38585,332,20
"ZNF268",0.892074843167508,283.781606325301,288.374575,7.79497859170937,48.0556944337395,185.545875,140.257525,356.5504,377.26265,332,20
"ZNF184",0.671149914746157,236.154080421687,222.48859,7.83964439145462,13.9857796008527,153.639875,177.1535,275.918975,274.098575,332,20
"ZNF500",0.0277591512757092,200.637746686747,235.443625,3.73121330632599,16.8482257061575,151.250825,182.321275,241.3394,278.26355,332,20
"ZNF419",0.188188499023326,183.547930421687,211.055485,4.86595897820507,26.7329760921524,122.67135,152.3212,219.301075,209.95215,332,20
"ZNF175",0.0007068495198852,183.972810240964,381.79142,12.502822794376,114.077591769202,76.73325,74.23615,197.292225,363.88805,332,20
"ZNF14",0.00464034942862213,168.940353614458,226.33296,4.7876757621749,20.5030233143469,104.423575,169.642075,216.218775,253.3601,332,20
"ZNF85",0.620301791872971,139.23287439759,150.922865,5.58535201357677,25.1944787067172,73.44915,106.86355,184.32905,162.012375,332,20
"ZKSCAN1",0.0703866160464204,532.960355120482,671.624385,17.3607636661984,119.395234749276,307.64665,341.142825,674.621925,854.5015,332,20
"ZNF862",1.04346174638614e-05,416.31945813253,768.388105,17.5832289475999,134.994927174634,223.88035,417.668325,522.15945,863.4149,332,20
"ZNF684",0.90743092248234,52.2966222891566,51.28282,2.09500008391666,7.03875058901791,32.078,31.53065,60.767225,61.76295,332,20
"ZNF430",0.658390219707161,115.581821987952,122.95674,3.94896229050799,17.7788943799788,64.227925,70.94235,151.59815,159.60205,332,20
"ZFP30",0.920777576267229,182.13030873494,179.38661,6.6939113197184,15.6836341748567,103.55615,126.96465,230.0356,216.25785,332,20
"ZNF549",0.17693365859459,154.682038253012,183.18083,5.00119020233855,21.8046211133692,96.332025,117.6542,192.242425,219.156575,332,20
"ZNF211",6.52762681685459e-08,362.098036746988,714.979145,13.6888749010043,129.427277258313,179.6657,413.46215,480.4352,740.588425,332,20
"ZNF205",6.75187727949833e-09,371.164943674699,650.676905,10.8927786707044,64.1510809201354,258.93255,476.481725,429.18045,756.45225,332,20
"ZNF45",0.370056249082559,238.460638554217,215.33643,6.16042578338162,23.6274142233162,167.907975,140.149025,283.660475,273.106175,332,20
"ZNF133",0.00696946169665436,453.00241746988,591.66132,11.414119482989,87.5386170567706,311.48725,401.171825,546.5787,616.348425,332,20
"ZNF436",0.725554800995607,1012.13790451807,1073.571475,42.6600002370382,70.440321131361,476.9081,913.701425,1275.700125,1289.298975,332,20
"ZNF484",0.328880848634062,71.5497280120482,79.93494,2.02630421994792,9.51375082003993,51.33185,47.55335,85.55915,104.0576,332,20
"ZNF780B",0.319806459051724,281.452851807229,351.84572,17.1597463729903,39.8072465881823,157.195175,217.56405,338.39585,424.75925,332,20
"ZNF557",0.111065193992274,162.145480421687,190.144075,4.25760204508439,9.75235150754307,111.2575,153.045425,197.6147,215.578525,332,20
"ZNF337",0.00392676508330347,639.254688855422,918.095035,21.7497941025045,153.174952588599,386.589675,608.079175,764.9516,979.395675,332,20
"ZNF317",0.0265545108786092,705.421528313253,837.31367,13.9779385694146,66.4453459824341,544.535675,656.3322,835.84335,879.6202,332,20
"ZNF426",0.29496196785255,86.3661879518072,72.863705,3.07519410433482,12.0223448594,48.90785,39.492625,112.153125,99.9788,332,20
"ZNF331",0.710252208669935,599.051319578313,657.399075,35.0441829158271,269.629528019145,277.224275,240.10205,671.47325,463.22975,332,20
"ZNF227",0.500073977811799,265.994027108434,248.559685,6.23754332357924,18.3508645205934,187.28645,202.6888,310.392425,255.0923,332,20
"ZNF141",0.0015286823861933,71.0250490963855,109.15113,2.67781183051711,20.0343400203857,39.378,58.3247,86.897,124.7333,332,20
"ZNF304",0.136577256825802,255.240126506024,295.325035,6.37928767834407,27.7658707036518,173.0733,204.7341,315.97715,353.8018,332,20
"ZNF132",0.000191427673598366,71.0057963855422,129.08948,3.64809813254745,16.584447213731,32.469275,88.52985,90.47145,161.515675,332,20
"ZNF20",5.02897383880541e-06,121.744457831325,180.427895,3.02350663601322,11.8577405900567,81.747125,154.43325,155.156325,213.75895,332,20
"ZNF670",0.366673946373169,80.125234939759,71.23718,2.36912523359208,7.53484014818252,51.08905,42.737,102.723925,90.44785,332,20
"ZFP37",0.982791397544552,43.2596888554217,43.475375,2.34548489134916,11.996054566604,9.808775,9.850125,62.051625,41.5305,332,20
"ZNF189",0.822531221009607,294.12929126506,300.734955,6.96187902361707,32.1138537593582,214.251325,209.80125,353.5039,360.036275,332,20
