"gene","Papillary-Non-Papillary"
"ZNF195",0.000339409008586422
"ZNF263",0.744117826066323
"ZNF200",0.811144638695554
"ZNF582",0.0251297591995647
"ZNF285",0.634587537498732
"ZNF275",0.679610053076441
"ZNF37A",0.754062748706771
"ZNF510",0.440070478240324
"ZNF506",2.13745498418572e-05
"ZNF324",0.790363763978981
"ZNF671",0.705880296556728
"ZNF416",0.648389665681073
"ZNF586",0.000107034885315382
"ZNF446",1.20250111244058e-05
"ZNF8",0.204313015538559
"ZNF264",0.00608917708369516
"ZNF213",0.0439283321929386
"ZNF343",0.303926024850368
"ZNF302",0.00452184956319546
"ZNF268",0.754385126555342
"ZNF184",0.708480608347141
"ZNF500",0.597413127349291
"ZNF419",0.0498859229786572
"ZNF175",0.0144586446523575
"ZNF14",0.0194149634340863
"ZNF85",0.150719388936623
"ZKSCAN1",0.0588280559190315
"ZNF862",0.0118649786758682
"ZNF684",0.734435440800428
"ZNF430",0.657399630234703
"ZFP30",0.569033193282549
"ZNF549",0.107866084714908
"ZNF211",2.54501422292108e-06
"ZNF205",0.000123474044696592
"ZNF45",0.979181534696523
"ZNF133",0.0309283340422926
"ZNF436",0.460713490781448
"ZNF484",0.710121623137948
"ZNF780B",0.573566126015224
"ZNF557",0.0186464171268567
"ZNF337",0.0131743907030603
"ZNF317",0.0736994683432879
"ZNF426",0.523573723176633
"ZNF331",0.867402880154444
"ZNF227",0.762446496114585
"ZNF141",0.0518709717745421
"ZNF304",0.137645747462688
"ZNF132",0.174623390388067
"ZNF20",1.21640367223286e-06
"ZNF670",0.381361779864259
"ZFP37",0.604815274841707
"ZNF189",0.127579756340305
"ZNF434",0.00506325078444314
"ZNF287",0.000738216617640952
"ZIM3",0.208682991722213
"ZFP14",0.0635381549594607
"ZNF473",0.177145327448755
"ZNF614",0.000176793840372946
"POGK",0.479937789110837
"ZNF514",0.00568570770680776
"ZNF300",0.0719999885592993
"RBAK",0.223425485599078
"ZNF92",0.440129982358674
"ZNF157",0.690533170409261
"ZNF182",0.000198202891529498
"ZNF673",0.815113134763699
"ZNF41",0.00209185684941393
"ZNF7",0.167408416488205
"ZNF214",0.133299186280179
"ZNF215",0.785984425563821
"ZNF547",0.000169899450535693
"ZNF773",0.772367039726791
"ZNF776",0.00625981825066579
"ZNF256",0.289509748377555
"ZNF599",0.70484655146161
"ZNF18",0.00061853099716247
"ZKSCAN2",0.456169734017621
"ZNF689",0.20290591328227
"ZNF19",0.0244113283272315
"ZNF230",0.329180694764675
"ZNF222",2.76994325769664e-05
"ZNF221",0.10856049876785
"ZNF233",0.452872015338443
"ZNF235",0.540267868475024
"ZNF208",0.448569986436244
"ZNF714",0.716674518418599
"ZNF394",0.000803966762983666
"ZNF333",0.00049135418812396
"ZNF382",0.0293144730027118
"ZNF577",0.00564138424347738
"ZNF75A",0.526323848270839
"ZNF496",0.230198073662578
"ZNF2",0.968298237401551
"ZNF589",0.380250049786741
"PRDM9",0.616774831994796
"ZNF12",0.145109138615826
"ZNF202",0.0772700471574713
"ZNF3",0.000138311604733543
"ZNF606",0.0201245407076391
"ZNF91",0.0270007140860277
"ZNF226",0.000980919987391138
"ZNF229",0.441854540475636
"ZNF180",0.156333359059519
"ZNF641",0.233053149129442
"ZNF610",0.390710244397542
"ZNF528",4.59497314772017e-05
"ZNF701",0.094787558795881
"ZNF283",0.309847871836491
"ZNF558",0.00145905746178032
"ZNF597",0.253500392187637
"ZNF30",0.0882481131881012
"ZNF354A",0.111397177596278
"ZNF764",0.811409633723055
"ZNF747",0.157254753629796
"ZNF778",0.887277018524114
"ZNF212",0.344633478130954
"ZNF282",0.00709646460558544
"ZNF160",0.000405514821720021
"ZNF415",0.00988755819842679
"ZNF439",0.00129114107691675
"ZNF440",1.70052716352842e-08
"ZNF562",0.292909953823543
"ZNF561",1.76481522062844e-07
"ZNF584",0.429469099514925
"ZNF274",0.37786348461946
"ZIK1",0.937738715381411
"ZNF540",0.244387926374443
"ZNF570",0.251295438393667
"ZNF57",1.96781384196321e-05
"ZNF556",0.166130158444097
"ZNF554",0.000302502547713579
"ZNF738",0.267424312021957
"ZNF596",0.00117829684984583
"ZNF621",4.34576923629137e-05
"ZNF680",0.35995595864987
"ZNF483",0.0416313956255281
"ZNF417",0.256392371756097
"ZNF791",0.857884746532137
"ZNF519",0.928200666911277
"ZNF25",0.233337011963941
"ZNF77",0.00895616415165301
"ZNF169",0.862844869575246
"ZNF613",0.0054598324813393
"ZNF404",0.064924196450611
"ZNF135",0.694368514332955
"ZNF620",9.22159914169551e-05
"ZNF619",0.392759687513128
"ZNF354C",0.281713539141034
"ZNF114",0.684006017459907
"ZNF454",0.186072010137936
"ZNF543",0.316001971947159
"ZNF354B",0.0052257535678264
"ZNF223",4.9778113519916e-05
"ZNF713",0.490612164634526
"ZNF552",2.08943865542821e-08
"ZNF154",0.466639462178524
"ZNF571",0.154736305316911
"ZNF443",3.18887657835276e-07
"ZNF792",1.60332039896849e-05
"ZFP82",0.0483734293150466
"ZNF707",0.112405282431747
"ZNF746",0.139676496792851
"ZNF678",0.623949809705283
"HKR1",0.179519215022849
"ZNF101",0.227476016014521
"ZNF716",0.742434103774122
"ZNF708",0.0144086612536899
"ZNF721",0.0550818060754789
"ZNF662",2.78188802329549e-05
"ZNF320",7.27534496889337e-05
"ZNF530",0.908650389921799
"ZFP1",0.180540744640871
"KRBA2",0.590915484999338
"ZNF93",0.472716073224038
"ZFP90",0.412116698876902
"ZNF479",0.216471403290428
"ZNF445",0.113796329877839
"ZNF74",0.309850625994228
"ZNF829",0.104994162672261
"ZNF267",0.379163927311524
"ZNF566",0.630708186398917
"ZNF224",0.000679339628761322
"ZNF529",0.314088635228406
"ZNF284",0.111478483580369
"ZNF749",0.102917389348122
"ZNF17",0.18344203847543
"ZNF555",0.615269395768061
"ZNF75D",0.0640202138047311
"ZNF197",0.000397826896411102
"ZNF732",0.84507639172445
"ZNF546",0.180905121762077
"ZNF286A",0.364458842319084
"ZKSCAN4",0.976937025384108
"ZNF643",0.20846441108846
"ZNF642",0.727998470005443
"ZNF490",0.00539534889975435
"ZNF626",2.94229116540867e-05
"ZNF793",0.23144987483645
"ZNF383",0.057919551784959
"ZNF669",0.13444801919051
"ZNF559",0.0861283774033088
"ZNF177",0.00143520879430059
"ZNF548",0.619023908941936
"ZNF563",0.377057723994832
"ZNF567",0.911677400905131
"ZNF573",0.509489927362083
"ZNF527",0.498286564242253
"ZNF33A",0.00107741571102193
"ZKSCAN3",0.82095195045189
"ZNF676",0.443234782540116
"ZNF699",0.184673711505532
"ZNF250",0.294699318582443
"ZNF79",0.116230310298641
"ZNF681",0.242135913428213
"ZNF766",0.404021751504235
"ZNF471",0.610907668005258
"ZNF836",0.136834600725685
"ZNF493",0.00141195007926886
"ZNF167",0.00622907318376786
"ZNF565",0.00160471793648354
"ZNF34",0.18750129867785
"ZNF140",0.000519713839407188
"ZNF658",0.0431859062141071
"ZNF765",0.358612952068951
"ZNF124",0.155029228165666
"ZNF569",0.00274033614277425
"ZNF777",0.760122848753248
"ZNF605",0.159140504561713
"ZNF799",4.00366014684517e-05
"ZNF782",0.582371562996138
"ZNF846",0.000145812178016236
"ZNF136",0.497183041477625
"ZKSCAN5",0.816144208677833
"ZNF33B",3.79672704897693e-06
"ZNF431",0.0985017867644861
"ZNF418",0.243461099161287
"ZNF700",0.000113072744406861
"ZFP28",0.599470752314201
"ZNF585A",0.772817572937667
"ZNF138",0.186021757953207
"ZNF429",0.00230267502643688
"ZNF470",0.673422740432552
"ZNF100",0.0166823196221298
"ZNF398",0.218438555004579
"ZNF498",0.12837719589767
"ZNF441",0.0507758615120222
"ZNF420",0.30851691240211
"ZNF763",3.38344734229779e-07
"ZNF679",0.792384107298373
"ZNF682",0.00166362770650141
"ZNF772",0.725717319075694
"ZNF257",0.487890821764154
"ZNF785",0.0481591096153083
"ZNF98",0.597624245714945
"ZNF786",0.010689832666233
"ZNF517",0.413843992304631
"ZNF675",0.0339963982750057
"ZNF860",0.626082938922592
"ZNF695",0.273831741227659
"ZNF665",0.933037944433669
"ZNF624",0.0119302206709898
"ZNF841",0.000426955210097058
"ZNF615",5.83869505439427e-05
"ZNF433",0.000207856102567572
"ZNF595",0.994014366885094
"ZNF460",0.00359033290189059
"ZNF81",0.658763853459832
"ZNF780A",0.176431347018197
"ZNF461",0.164045414195338
"ZNF181",0.234907723760294
"ZNF44",0.0175129867635098
"ZNF790",0.00616257840873446
"ZNF677",0.672112650331041
"ZNF823",0.000141816465460076
"ZNF311",0.139589122288054
"ZNF347",0.998440408170058
"ZNF273",0.483779858078839
"ZNF84",0.0142433582089617
"ZNF667",0.791170039520119
"ZNF649",0.352381231100342
"ZNF248",0.000486328761045707
"ZNF544",0.390203399916662
"ZNF251",0.109319905245242
"ZNF607",0.965504734308315
"ZNF334",0.185024346218624
"ZNF485",0.0035544148776292
"ZNF192",0.508174182635468
"ZNF442",0.849990519081563
"ZNF813",0.39816944065689
"ZNF26",0.0546312485925909
"ZNF69",0.000212268462137732
"ZNF583",0.219328636676692
"ZNF568",0.148755628865494
"ZNF480",0.000547407069497075
"ZNF587",0.000367680417728833
"ZNF808",0.000168084188367223
"ZNF43",0.00200766521876983
"ZNF28",0.33583985997057
"ZNF627",0.0273692832242666
"ZNF789",0.0644983440454064
